Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,OTP_Q3,OTP_Q1,UID
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.1 Environmental Policy Planning and Coordination,Annually,Number of environmental research projects completed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",,,,,,,3,5,3,5,5,"Due to collaboration with external stakeholders.
",n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.1 Environmental Policy Planning and Coordination,Annually,Number of functional environmental information management systems maintained,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Inclusive economic growth and sustainable job creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,2,2,2,2,2,n/a,n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.1 Environmental Policy Planning and Coordination,Annually,Number of legislated tools developed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Inclusive economic growth and sustainable job creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,1,1,1,1,1,n/a,n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.1 Environmental Policy Planning and Coordination,Quarterly,Number of inter-governmental sector programmes implemented,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,1,1,0,0,1,1,2,2,2,N/A,N/A,,n/a,n/a,,n/a,n/a,Achieved,"The province is on target for Q2 and has achieved the target for the quarter 
",n/a,n/a,"This indicator is noted as annually reported and target is expected to be performed during quarter 4
",n/a,n/a,Achievement noted.,"The province is on target for Q4 and Q2. The annual target has been achieved 
",,Not planned for the quarter.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.1 Environmental Policy Planning and Coordination,Quarterly,Number of interventions to promote the use of renewable energy in FS,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Education, innovation and skills development","The Economic Sectors, Employment and Infrastructure Development cluster",1,1,0,0,0,0,0,0,1,1,1,N/A,N/A,,n/a,n/a,,n/a,n/a,Not planned for the quarter,,n/a,n/a,,n/a,n/a,Not scheduled for the quarter. ,,,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.2 Environmental Empowerment Service,Annually,Number of work opportunities  created through environment sector public employment programmes,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Build social cohesion  ,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,250,446,250,446,446,"Due to extension of contracts from previous financial year.
",n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.2 Environmental Empowerment Service,Quarterly,Number of environmental awareness activities conducted,Standardized,Not  Applicable,Not Applicable,"Education, innovation and skills development","The Social Protection, Community and Human Development cluster",20,101,20,"40
",20,38,20,32,80,211,211,"Due to limited space at available venues, more smaller groups had to be assisted.
",N/A,,Activities are done in small groups and additional invitations were received from stakeholders.,n/a,"The province is on target for Q1 and has achieved the target for the quarter 
","Due to limited space at venues, more smaller groups were assisted.

",n/a,Achieved,"The province is on target for Q2 and has achieved the target for the quarter 
","Due to limited space at the venue, we were forced to conduct sessions in smaller groups.",n/a,"The province is on target for Q3 and has achieved the target for the quarter 
","Due to limited space at available venues, more smaller groups had to be assisted.
",n/a,,"The province is on target for Q4 and has achieved the annual target  
",,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.2 Environmental Empowerment Service,Quarterly,Number of environmental capacity building activities conducted,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Good governance,"The Social Protection, Community and Human Development cluster",5,11,10,"13
",10,10,10,11,35,45,45,Due to invitations received,N/A,,Due to invitations received.,n/a,"The province is above Q1 target and has achieved by exceeding the target for the quarter 
","Due to invitation received.
",n/a,Achieved,The province is on target for Q2 and has achieved the target for the quarter ,n/a,n/a,"The province is on target for Q3 and has achieved the target for the quarter 
","Seriti Road Committee NPO requested training for waste management and recycling for the community.
",n/a,,"The province is on target for Q4 and has achieved the annual target  
",,"Although over-achieved, what is the reason for the over-achievement and the implications thereof? ",230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.2 Environmental Empowerment Service,Quarterly,Number of schools participating in Environmental Programmes,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Education, innovation and skills development","The Economic Sectors, Employment and Infrastructure Development cluster",0,0,60,"86
",0,0,60,37,120,123,123,The programme became very  popular in schools after last year awards and many schools joined the programme.,N/A,,n/a,n/a,,"Due to strong interest shown by schools
",n/a,Achieved,,n/a,n/a,,"The majority of schools had already benefited from the Enviro Quiz conducted during the second quarter.
",n/a,Achievement noted.,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.3 Environmental Quality Management,Annually,Number of air quality management plans developed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Good governance,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,0,1,0,0,"Vetting & finalization of the SLA was delayed. The appointed service provider could not start the scope of work without the SLA.
",n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.3 Environmental Quality Management,Annually,Number of section 24G application finalized,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,4,4,4,4,4,"Annual target was already achieved in Q1 & Q2
",n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.3 Environmental Quality Management,Annually,Number of separation at source programmes implemented,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Education, innovation and skills development","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,n/a,n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.3 Environmental Quality Management,Quarterly,Number of waste landfill sites environmentally audited,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Good governance,"The Economic Sectors, Employment and Infrastructure Development cluster",5,5,10,10,10,10,5,5,30,30,30,N/A,N/A,,n/a,n/a,,n/a,n/a,,,n/a,n/a,,n/a,n/a,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.3 Environmental Quality Management,Quarterly,Percentage of complete Atmospheric Emission Licenses (AELs) issued within legislated timeframes,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Improved quality of life,"The Economic Sectors, Employment and Infrastructure Development cluster",100 %,0 %,100 %,NAR %,100 %,NAR %,100 %,NAR %,100 %,100 %,0,NAR,"There were no opportunities to demonstrate.
",,No opportunity to demonstrate (no applications received),n/a,"The province is on target for Q1 and has achieved the target for the quarter 
",There were no opportunity to perform.,n/a,Achieved,The province is on target for Q2 and has achieved the target for the quarter ,"There were no opportunities to demonstrate.
",n/a,"The province is on target for Q3 and has achieved the target for the quarter 
","There were no opportunities to demonstrate.
","Demand driven
",,"The province did not receive applications during quarter four
",Achieved.,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.3 Environmental Quality Management,Quarterly,Percentage of complete Environmental Impact Assessment (EIA) applications finalized within legislated timeframes  ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Good governance,"The Economic Sectors, Employment and Infrastructure Development cluster",90 %,100 %,90 %,90 %,90 %,100 %,90 %,100 %,90 %,100 %,100,"Good quality reports enhanced the speedy review and finalization of assessments.
",N/A,,Good quality reports enhanced speedy review and finalization of reports,n/a,"The province is on target for Q1 and has achieved the target for the quarter 
","100%
","Good Quality reports enhance speedy review and finalization of reports
",,"The province is on target for Q2 and has achieved the target for the quarter 
",Good quality reports enhanced speedy review and finalisation of reports.,n/a,"The province is on target for Q3 and has achieved the target for the quarter 
","Good quality reports enhanced the speedy review and finalization of assessments.
",n/a,,"The province is above quarter Q4 target and has achieved the annual target. 

Please take note of the agreed sector target of 100% by Working Group 5 and MINTECH     
",Achieved.,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.3 Environmental Quality Management,Quarterly,Percentage of complete waste license applications finalized within legislated timeframes,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Good governance,"The Economic Sectors, Employment and Infrastructure Development cluster",100 %,0 %,100 %,NAR %,100 %,NAR %,100 %,NAR %,100 %,100 %,0,NAR,"There were no opportunities to demonstrate.
",,No opportunity to demonstrate (no applications received),n/a,"The province is on target for Q1 and has achieved the target for the quarter 
","There were no opportunities to demonstrate.
",n/a,Achieved,The province is on target for Q2 and has achieved the target for the quarter ,There were no opportunities to demonstrate.,n/a,"The province is on target for Q3 and has achieved the target for the quarter 
","There were no opportunities to demonstrate.
","Demand driven
",,"The province did not receive applications during quarter four
",Achieved.,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.4 Compliance and Enforcement,Quarterly,Number of administrative enforcement notices issued for non-compliance with environmental management legislation ,Standardized,Not  Applicable,Not Applicable,Good governance,Not Applicable,3,3,3,0,3,0,3,10,12,13,13,Demand driven,n/a,,n/a,n/a,"arget Achieved
SSangqu",Ongoing due diligence.,n/a,,The province is on target for Q2 and has achieved the target for the quarter ,"Ongoing due diligence.
",n/a,"The province is on target for Q3 and has achieved the target for the quarter 
",Demand driven.,n/a,,"The province is on target for Q4 and has achieved the annual target  
",,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.4 Compliance and Enforcement,Quarterly,Number of completed criminal investigations handed to the NPA for prosecution ,Not Applicable,Not  Applicable,Not Applicable,Good governance,Not Applicable,1,0,1,4,1,4,1,0,4,8,8,Demand driven,n/a,,In process of obtaining two sworn statements from the witness.,n/a,"Target Achieved
SSangqu",Pending investigations were completed.,n/a,Achieved,The province is on target for Q2 and has achieved the target for the quarter ,"Due to intensified compliance
",n/a,"The province is on target for Q3 and has achieved the target for the quarter 
","Annual target was already achieved in quarter 2.
",n/a,,"The province is on target for Q4 and has achieved the annual target  
",Achieved.,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.4 Compliance and Enforcement,Quarterly,Number of compliance inspections conducted: Brown,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",10,10,15,17,15,11,10,13,50,51,51,Demand driven,n/a,,n/a,n/a,"Please note that the two indicators should have been combined on the eQPR system to incorporate the Green and Brown issues as reflected on the tabled DESTEA 2024/25 APP for ease of reference.  

The province is on target for Q1 and has achieved the target for the quarter.  
",DEFF rendered their support to the province regarding landfill site projects.,n/a,,The province is on target for Q2 and has achieved the target for the quarter ,"Demand driven
",n/a,"The province is on target for Q3 and has achieved the target for the quarter 
",Demand driven.,n/a,,"The province is above quarter Q4 target and has achieved the annual target  
",,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.4 Compliance and Enforcement,Quarterly,Number of compliance inspections conducted: Green,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",70,195,70,205,40,157,70,123,250,680,680,Demand driven,n/a,,Demand driven,n/a,"arget Achieved
SSangqu",Demand driven,n/a,Achieved,The province is on target for Q2 and has achieved the target for the quarter ,"Demand driven
",n/a,"The province is on target for Q3 and has achieved the target for the quarter 
",Demand driven.,n/a,,"The province is on target for Q4 and has achieved the annual target  
",Achieved.,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.5 Biodiversity Management,Annually,Number of biodiversity economy initiatives implemented ,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Improved quality of life,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2,2,2,2,2,2,n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.5 Biodiversity Management,Annually,Number of hectares cleared of invasive alien species,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Sustainable rural development,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,6500,0,6500,0,0,"Due to shortage of invasive species clearing resources.
",n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.5 Biodiversity Management,Annually,Percentage of area of state managed protected areas assessed with a METT score above 67%,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,70 %,0 %,70 %,0 %,0,"The Chief User has retired. The new nominated Chief User is awaiting training from DFFE as the custodian of the system.
","The target will be achieved in 2025/26 financial year.
",,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 2: Environmental Affairs,2.5 Biodiversity Management,Quarterly,Percentage of complete biodiversity management permits issued within legislated timeframes,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"The Economic Sectors, Employment and Infrastructure Development cluster",90 %,95 %,90 %,94.2 %,90 %,92 %,90 %,93 %,90 %,279.2 %,95,"Due to improved management of the permit system.
",n/a,,Due primarily to the micro management of the permit system by Management ,n/a,"The province is on target for Q1 and has achieved the target for the quarter 
","Primarily due to the micro management of the permit system by Management – this ensures a quick turnaround time from initial inspection, through recommendation and approval.",n/a,,The province is on target for Q2 and has achieved the target for the quarter ,"Due to micro management of the permit system by management.
",n/a,"The province is on target for Q3 and has achieved the target for the quarter 
","Due to improved management of the permit system.
",n/a,,"The province is above quarter Q4 target and has achieved the annual target  
",Achieved.,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Economic Research and Planning ,Annually,Number of ease of doing business interventions completed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,n/a,n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Economic Research and Planning ,Quarterly,Number of advisories on capital formation to other entities/departments on research outcomes compiled,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",0,0,1,0,1,1,0,1,2,2,2,N/A,N/A,,n/a,n/a,,"Lack of human resources
",n/a,,,n/a,n/a,,"Capital formation was concluded in Q4 in order to meet annual target.
",n/a,,,,Not planned for the quarter.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Economic Research and Planning ,Quarterly,Number of advisories on innovation and technology to other entities/departments on research outcomes compiled,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",2,2,3,3,3,3,2,2,10,10,9,Due to human resource challenges.,N/A,,n/a,n/a,,n/a,n/a,Achieved,,n/a,n/a,,n/a,n/a,Performance noted.,,Achieved.,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Economic Research and Planning ,Quarterly,Number of assessment reports on existing trade agreements and provincial MOU’s completed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",1,0,0,0,0,0,0,0,1,0,1,N/A,N/A,,Due to limited MOUs received from stakeholders.,n/a,,n/a,n/a,,,n/a,n/a,,n/a,n/a,,,,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Economic Research and Planning ,Quarterly,Number of market intelligence reports completed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",1,1,0,0,1,1,0,0,2,2,2,N/A,N/A,,n/a,n/a,,n/a,n/a,,,n/a,n/a,,n/a,n/a,Not scheduled for the quarter.,,Achieved.,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Economic Research and Planning ,Quarterly,Number of municipality IDP alignment initiatives concluded,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"The Social Protection, Community and Human Development cluster",1,2,2,2,2,2,2,2,7,8,8,Due to collaboration with COGTA and SALGA .,N/A,,Due to collaboration with COGTA and SALGA .,n/a,,n/a,n/a,Achieved,,n/a,n/a,,n/a,n/a,Performance noted.,,Achieved.,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Economic Research and Planning ,Quarterly,Number of procurement localization initiatives completed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Good governance,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,1,1,0,0,0,0,1,1,1,N/A,N/A,,n/a,n/a,,n/a,n/a,Achieved,,n/a,n/a,,n/a,n/a,,,,Not planned for the quarter.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Economic Research and Planning ,Quarterly,Number of research colloquiums convened with stakeholders,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Good governance,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,0,0,1,1,0,0,2,2,2,N/A,N/A,,n/a,n/a,,n/a,n/a,,,n/a,n/a,,n/a,n/a,Not scheduled for the quarter.,,Achieved.,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Integrated Economic Development,Annually,Number of clusters facilitated,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,1,0,1,0,0,The Agreement/MOU for all the participating parties has not yet been signed by everyone who is involved as indicated in our plan.,n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Integrated Economic Development,Annually,Number of enterprises participating in productivity programmes,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,3,1,3,3,Due to some enterprises not meeting Productivity SA’s qualification criteria.,n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Integrated Economic Development ,Quarterly,Number of actions plans developed for participation in trade agreements,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Inclusive economic growth and sustainable job creation,"Governance, State Capacity and Institutional Development cluster",0,0,2,0,0,0,0,1,1,1,1,N/A,N/A,,n/a,n/a,,"Delayed due diligence
",n/a,,,n/a,n/a,,1 Action plan was developed in Q4 in order to meet the annual target,n/a,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Integrated Economic Development ,Quarterly,Number of enterprises assisted with access to markets ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Improved quality of life,"The Economic Sectors, Employment and Infrastructure Development cluster",40,62,40,65,40,37,30,0,150,164,162,,,,Due to collaboration with DFI's,n/a,,"Due to collaboration with DFI's.
",n/a,,,"Several enterprises have already benefited from support in the previous quarters,",n/a,,"The target was already achieved in 2nd quarter due to partnership with following stakeholders:
-Annual Game Auction
-Bloem Show 
-#Business of the week
",n/a,,,Achieved.,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Integrated Economic Development ,Quarterly,Number of enterprises identified to participate in ACFTA ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Improved quality of life,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,1,"
10",2,0,2,0,5,10,5,,,,n/a,n/a,,Due to partnership with stakeholders.,n/a,,,The target was already achieved in 2nd quarter due to partnership with stakeholders.,n/a,,"Annual target was already achieved in 2nd quarter due to partnership with stakeholders.
",n/a,Performance noted.,,,Not planned for the quarter.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Integrated Economic Development ,Quarterly,Number of enterprises linked with mainstream businesses after supplier development programme participation,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Improved quality of life,"International Cooperation, Trade and Security cluster",0,0,1,0,2,0,2,0,5,0,0,,,,n/a,n/a,,"Delayed due diligence
",n/a,,,"Evidence under review.
",n/a,,"Due to insufficient linkage information from stakeholders.
",n/a,,,Achieved.,Not planned for the quarter.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Integrated Economic Development ,Quarterly,Number of manufacturing SMME’s mainstreamed into industry,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Education, innovation and skills development","The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,0,1,0,1,0,2,0,0,,,,n/a,n/a,,n/a,n/a,,,The Q3 target could not be achieved due to ongoing due diligence.,n/a,,"Unavailability of funds to support the mainstreaming of manufacturing SMMEs into the industry.
",n/a,Performance noted.,,Achieved.,Not planned for the quarter.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Integrated Economic Development ,Quarterly,Number of opportunities supported in innovation,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,1,1,1,1,1,1,3,3,3,N/A,N/A,,n/a,n/a,,n/a,n/a,,,n/a,n/a,,n/a,n/a,,,,Not planned for the quarter.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Integrated Economic Development ,Quarterly,Number of share acquisition transactions by PDIs facilitated,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Good governance,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,0,1,0,0,0,1,0,0,,,,n/a,n/a,,n/a,n/a,,,Removed from the APP.,n/a,,n/a,n/a,,,,Not planned for the quarter.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Integrated Economic Development ,Quarterly,Number of value chains supported ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Good governance,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,2,2,3,3,3,3,8,8,8,N/A,N/A,,n/a,n/a,,n/a,n/a,,,n/a,n/a,,n/a,n/a,Performance noted.,,Achieved.,Not planned for the quarter.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Small Business Development ,Annually,Number of catalytic projects facilitated,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,4,5,4,5,5,"The Department was initially facilitating SERITI GREEN as a single project and later discovered that they're actually working on two wind energy projects in the Free State, Namely: Mabele Emoyeni and Fula Emoyeni",n/a,,,,,,,,,,,,,,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Small Business Development ,Quarterly,Number of compliance inspections related to Competition Commission decisions concluded,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Good governance,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,1,0,0,0,1,2,2,2,2,N/A,N/A,,n/a,n/a,,"Deferred to the third quarter due congested programme in Q2.

",n/a,Achieved,,n/a,n/a,,"Additional inspection was conducted in order to meet the annual target.
",n/a,,,,Not planned for the quarter.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Small Business Development ,Quarterly,Number of consumer awareness / educational / buy local sessions conducted,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, innovation and skills development","The Social Protection, Community and Human Development cluster",3,7,3,22,5,15,4,15,15,59,44,Due to invitations received,N/A,,More invites from stakeholders.,n/a,,"Due to invitations from our stakeholders. 
",n/a,Achieved,,"Due to invitations received.
",n/a,,"Due to invitations received.
",n/a,Performance noted.,,,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Small Business Development ,Quarterly,Number of enterprises provided with business support through strategic partnerships,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",70,290,170,"263
",160,665,150,50,550,1268,1246,"Due partnership with external stakeholders and  high demand for entrepreneurial skills training.
",N/A,,Due to high demand of entrepreneurial skills training.,n/a,,"Due to high demand of entrepreneurial skills training.

",n/a,,,"Due to high demand of entrepreneurial skills training.
",n/a,,"Annual target was already achieved in previous quarters.
",n/a,,,,,230
Environmental Affairs,Environmental Affairs,Free State,Programme 3: Economic and Small Business Development ,Small Business Development ,Quarterly,Number of pro-active inspections conducted on business compliance with various industry standards,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Good governance,"The Economic Sectors, Employment and Infrastructure Development cluster",30,87,30,0,30,71,30,43,120,201,201,"Due to invitations from external stakeholders.
",N/A,,Due to invitations from external stakeholders.,n/a,,Verification still ongoing,n/a,,,"Due to a surge in food-borne illnesses in the Province.
",n/a,,"Due to invitations from external stakeholders.
",n/a,Performance noted.,,,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 4: Tourism,4.1 Tourism Planning,Quarterly,Number of tourism sector initiatives  rolled-out based on the Free State Tourism Sector Strategy 2020/30,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,2,1,2,1,1,1,1,4,6,6,Due to a visit from the Deputy Minister for Tourism Community Engagement meeting.,n/a,,Due to a visit from Deputy Minister of Tourism Community Engagement meeting.,n/a,,"Due to a visit from Deputy Minister for Tourism Community Engagement meeting.
",n/a,Achieved,,n/a,n/a,,n/a,n/a,Performance noted.,,,Achieved.,230
Environmental Affairs,Environmental Affairs,Free State,Programme 4: Tourism,4.2 Tourism Growth and Development,Quarterly,Number of niche market interventions implemented,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",2,2,2,2,2,2,2,3,8,9,8,N/A,N/A,,n/a,n/a,,n/a,n/a,,,n/a,n/a,,"Due to invitation from a stakeholder.
",n/a,Achievement noted.,,,Achieved.,230
