ReportTitle,Textbox95,Textbox80,Textbox81,Textbox82,Textbox83
QPR for FY 2023-24 National Institutions Oversight Performance  Report as of ( FY 2023-24),Location/s: National,InstitutionType:   National,"Institution:   National Treasury, Office of the Chief Justice, Office of the Public Service Commision, Planning, Monitoring and Evaluation, Public Enterprises",FinancialYear:   FY 2023-24,"Report Printed On:   Monday, September 11, 2023 1:47:53 PM"

Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
National Treasury,National Treasury,National,Programme 4: Asset and Liability Management,Programme 4: Asset and Liability Management,Quarterly,"4.1.3 Percentage of complete PFMA Section 51(g), 52, 54(2), 55, and 92 applications received from Schedule 2 and 3B public entities reviewed",Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,N/A,N/A,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,100 %,,,,,,,178
National Treasury,National Treasury,National,Programme 4: Asset and Liability Management,Programme 4: Asset and Liability Management,Quarterly,4.1.4 Percentage of complete review requests of borrowing limit applications relating to Schedule 2 and 3B public entities reviewed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,N/A,N/A,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,100 %,,,,,,,178
National Treasury,National Treasury,National,Programme 4: Asset and Liability Management,Programme 4: Asset and Liability Management,Quarterly,4.1.5 Percentage of complete guarantee applications received from Schedule 2 and 3B public entities reviewed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,N/A,N/A,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,100 %,,,,,,,178
National Treasury,National Treasury,National,Programme 4: Asset and Liability Management,Programme 4: Asset and Liability Management,Quarterly,4.1.6 Percentage of annual gross borrowing requirement met in compliance to the risk benchmarks,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,N/A,N/A,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,100 %,,,,,,,178
National Treasury,National Treasury,National,Programme 5: Financial Accounting and Supply Chain Management Systems,Programme 5: Financial Accounting and Supply Chain Management Systems,Annually,5.1.1 Percentage of norms and standards developed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,100 %,,,,,,,,178
National Treasury,National Treasury,National,Programme 5: Financial Accounting and Supply Chain Management Systems,Programme 5: Financial Accounting and Supply Chain Management Systems,Annually,5.1.12 Procurement legislation developed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,"Draft Public
Procurement
Regulations
produced",,,,,,,,178
National Treasury,National Treasury,National,Programme 5: Financial Accounting and Supply Chain Management Systems,Programme 5: Financial Accounting and Supply Chain Management Systems,Annually,5.1.4 Percentage availability of transversal systems,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,98 %,,,,,,,,178
National Treasury,National Treasury,National,Programme 5: Financial Accounting and Supply Chain Management Systems,Programme 5: Financial Accounting and Supply Chain Management Systems,Quarterly,5.1.10 Number of transversal term contracts implemented,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,3,17,Over-performance is attributed to the office’s SCM policy not being approved timeously which resulted on the extension of contracts.,N/A,,,3,,,,,,4,,,,,,3,,,,,,13,17,,,,,,,178
National Treasury,National Treasury,National,Programme 5: Financial Accounting and Supply Chain Management Systems,Programme 5: Financial Accounting and Supply Chain Management Systems,Quarterly,5.1.11 Percentage implementation of the strategic sourcing opportunities plan,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,100 %,78 %,Under-performance is attributed to the delays in finalising the Terms of Reference (TOR) which contributed to required approval not being obtained.,"The TOR was received from NT ICT end of June 2023 and the submission to CD, CPO and ADG for approval is underway. ",,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,78 %,,,,,,,178
National Treasury,National Treasury,National,Programme 5: Financial Accounting and Supply Chain Management Systems,Programme 5: Financial Accounting and Supply Chain Management Systems,Quarterly,5.1.2 Number of governance reports produced,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,6,5,Under-performance is attributed to the report not being finalised due to the client’s unavailability to provide inputs. ,The stakeholders have been engaged and the final report will be submitted in Quarter 2.,,,8,,,,,,10,,,,,,8,,,,,,32,5,,,,,,,178
National Treasury,National Treasury,National,Programme 5: Financial Accounting and Supply Chain Management Systems,Programme 5: Financial Accounting and Supply Chain Management Systems,Quarterly,5.1.3 Number of public finance management capacity development programmes progress reports produced,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,4,5,Over-performance is attributed to an increased demand for capacity development programmes to strengthen the implementation of both MFMA and PFMA reforms by public institutions.,N/A,,,5,,,,,,5,,,,,,8,,,,,,22,5,,,,,,,178
National Treasury,National Treasury,National,Programme 5: Financial Accounting and Supply Chain Management Systems,Programme 5: Financial Accounting and Supply Chain Management Systems,Quarterly,5.1.5 Number of statutory reports produced,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,5,5,N/A,N/A,,,5,,,,,,5,,,,,,5,,,,,,20,5,,,,,,,178
