Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,OTP_Q2,DesiredPerformance,UID
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programme 2.1 and 2.2,Annually,"POI 2.11: Percentage of learners having Numeracy/Mathematics textbooks in Grades 6, and 9 ",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,100 %,97 %,100 %,97 %,,"Dropped out learners not returning books to School.
Increased learner enrolment
Failure to retrieve Textbooks from Learners at the end of the year.

Relocation/ transfer of learners from one school to another
","Schools placed Top Up Orders and received delivery.



Schools will be encouraged to intensify Retrieval strategies.

Coordination of relocation of learners from one school to another to be monitored to ensure that learners move with LTSM to the new school
",,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programme 2.1 and 2.2,Annually,POI 2.12: Percentage of public ordinary schools that received their stationery by January,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,100 %,100 %,100 %,100 %,,None,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programme 2.1 and 2.2,Annually,POI 2.23: Number of flags provided to schools,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,40,40,40,40,,None,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programme 2.1 and 2.2,Annually,POI 2.9: Percentage of schools where allocated teaching posts are all filled,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,100 %,88.8 %,100 %,88.8 %,,Terminations of appointments for various reasons.,Immediate filing of posts on a quarterly basis and the conversion of temporary educators (CA 2 of 2024) into permanent will reduce the vacancy rate.,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programme 2.1 and 2.3,Quarterly,POI 2.4: Number of Foundation Phase teachers trained in reading methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",50,50,50,50,50,0,50,100,200,100,,,,,None,None,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target. 
",None,None," The outcome for the 2nd quarter of the 2024/25 financial year is 100% of the set target.
",Training for Q3 were put on hold in prioritising the NSC activities as per circular 25 of 2024.,The 50 teachers will be incorporated in Q4.,Include the indicator that was not achieved in the Improvement plan,"The PED has achieved 0% of the set target for the quarter under review. The variance is -050.  The PED has provided a reason for the attainment of the set target. The outcome of the corrective action to be undertaken should be monitored.
",The 50 teachers who were not trained in Q3 (due to implementation of circular 25-which was suspending all trainings) were incorporated in Q4,"There will be no targets attached in Q3. Annual targets will only be distributed across Q1, 2 & 4.",,"The PED has achieved  200%  of the set target for the quarter under review.   The variance is 50. The PED has provided a reason for the attainment of the set target
",,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-programme 2.1 and 2.3,Quarterly,POI 2.5: Number of Foundation Phase teachers trained in numeracy content and methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",50,50,50,50,50,50,50,50,200,50,,,,,None,None,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target. 
",None,None," The outcome for the 2nd quarter of the 2024/25 financial year is 100% of the set target.
",None,None,,"The PED has achieved 100% of the set target for the quarter under review.
",None,None,,"The PED has % of the set target for the quarter under review.   
",,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.1: Public Primary Level,Quarterly,POI 2.13: Number of Grade 3  schools monitored where learners perfomance are tracked through EGRA tool for Home Language (HL),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",0,,0,,40,40,0,,40,40,,,,,,,,"The PED is not reporting on this indicator for the quarter under review
",,,,None,None,,"The PED has achieved 100% of the set target for the quarter under review.
",,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.1: Public Primary Level,Quarterly,POI 2.14: Number of sampled Grade 3  schools  minitored for implementation of Lesson plans in Home Language,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",0,,0,,40,40,0,,40,40,,,,,,,,"The PED is not reporting on this indicator for the quarter under review
",,,,None,None,,"The PED has achieved 100% of the set target for the quarter under review.
",,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.1: Public Primary Level,Quarterly,POI 2.18: Number of sampled schools monitored for the programme of “Incremental introduction of An African Language”(IIAL),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",7,7,7,7,0,,0,,14,0,,,,,None,None,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for  the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target. 
",None,None," The outcome for the 2nd quarter of the 2024/25 financial year is 100% of the set target.
",,,,,,,,,,,116
Basic Education,Education,North West,Programme 2.	Public Ordinary School Education,Sub-Programme 2.2: Public Secondary Level,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116
