Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,OTP_Q2,DesiredPerformance,UID
Basic Education,Education,North West,Programme 4:  Public Special School Education,Sub Programme 4.1,Quarterly,POI 4.3:Percentage of special schools serving as Resource Centres,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",0 %,,0 %,,13 %,13 %,0 %,,13 %,13 %,,,,,,,," The PED is not reporting on this indicator for the quarter under review.
",,,,None,None,,"The PED has achieved 100% of the set target for the quarter under review. 
",,,,,,,116
Basic Education,Education,North West,Programme 4:  Public Special School Education,Sub Programme 4.1,Quarterly,POI 4.5: Number of learners enrolled in technical occupational subjects,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",0,,0,,2023,1992,0,,2023,1992,,,,,,,," The PED is not reporting on this indicator for the quarter under review.
",,,,Inconsistencies of learner stats from EMIS and SASAMS,Verification of learners’ data by District and Provincial officials,,"The PED has achieved 98% of the set target for the quarter under review. The variance is -31.  The PED has provided a reason for the attainment of the set target. The outcome of the corrective action to be undertaken should be monitored.
",,,,,,,116
Basic Education,Education,North West,Programme 4:  Public Special School Education,Sub Programme 4.1,Quarterly,POI 4.6: Number of learners provided with sanitary towels,Non-Standardized,Average,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",2100,0,2100,0,2100,0,2100,"

1866

",2100,"466,5",,,,,The tender process for supply and deliver of sanitary towels is underway. Supply Chain Management envisage to conclude the processes 12 July 2024,"The department has identified 255 575 learners in quintile 1 to 3 and special school eligible to receive sanitary pads. However, 92 646 were targeted due to budget constraints. Therefore, the number of beneficiaries (for quintile 1 to 3) will be increased in order to curb under-performance of quarter 1 of the financial year 2024/2025",The indicator not a1 achieved to be included in Q1 Improvement plan,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 0% of the set target.  The variance is -2 100.   The PED has  provided a reason for the attainment of the set target for the quarter under review. The PED is advised to check the narrative under corrective action because this indicator is specific to Programme 4.  It is noted that the PED had problems on reporting on this indicator in the previous financial year.
",The tender process for supply and deliver of sanitary towels is underway. The evaluation report was reported to Bid Adjudication Committee on 27 September 2024. The panel of suppliers has been appointed.  Sourcing and delivery will be done before the end of November 2024,"The department has identified 255 575 learners in quintile 1 to 3 and special school eligible to receive sanitary pads. Therefore, the number of beneficiaries (for quintile 1 to 3) will be increased in order to curb under-performance of quarter 1 of the financial year 2024/2025"," The outcome for the 2nd  quarter of the 2024/25 financial year is  0% of the set target.  The variance is -2 100.  The PED has provided a reason for the attainment of the outcome for the quarter under review. The outcome on this strategic outcome indicator must be tracked for the reminder of the 2024/25 financial year.
",SCM has appointed a panel of 46 service providers for supply and delivery of Sanitary towels on a 36-month rotational based contract on the 24 October 2024,None,,"The PED has achieved 0% of the set target for the quarter under review. The variance is -2100.  The PED has provided a reason for the attainment of the set target. he PED has provided a reason for the attainment of the set target. The impact of the non-delivery of sanitary towels should be assessed for the three quarters. . In addition, will all the sanitary towels inclusive of those for the other quarters be delivered and paid for before the end of the 2024/25 financial year.
",Five special schools did not submit POE,District will make follow-up to encourage schools to submit outstanding POE.,,,,,116
Basic Education,Education,North West,Programme 4:  Public Special School Education,Sub Programme 4.2,Quarterly,POI 4.7: Number of Teachers with training on inclusion ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",0,,50,140,0,,100,15,150,155,,,,,,,," The PED is not reporting on this indicator for the quarter under review.
",52 teachers trained on Autism for DCAPS was prioritised to align with support programs from Curriculum section. 88 teachers were trained,Reviewing quarterly targets with districts and strategic planning," The outcome for the 2nd  quarter of the 2024/25 financial year is  280% of the set target.  The variance is 90 The PED has provided a reason for the attainment of the outcome for the quarter under review. 
",,,,,140 teachers were trained in quarter 2. Annual target of 150 is achieved. Training on Braille was conducted to address the urgent support needed.,Training plans to be implemented as per the quarterly targets.,Actual outputs to be reported and implemented as per the quarterly targets,"The PED has achieved -85%  of the set target for the quarter under review.   The variance is -85. The PED has provided a reason for the attainment  of the quarterly target. 
",,,116
Basic Education,Education,North West,Programme 4:  Public Special School Education,Sub-programme 4.3,Quarterly,POI 4.8: Number of events coordinated by school enrichment programme,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",1,1,2,2,1,,1,,5,0,,,,,None,None,,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target. 
",None,None,The PED is advised to insert an outcome for the strategic output indicator.,,,,,,,,"The PED is advised to insert the outcome for the quarter under review.
",Programme manager to populate progress. ,,116
Basic Education,Education,North West,Programme 4:  Public Special School Education,Sub-programme 4.3,Quarterly,POI 4.8: Number of events coordinated by school enrichment programme,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",1,1,2,,1,1,2,2,6,2,,,,,None,None,,,,,,None,None,,"The PED has achieved 100% of the set target for the quarter under review.
",None,None,,"The PED has achieved 100% of the set target for the quarter under review.
",,All Special schools embrace social cohesion programmes,116
Basic Education,Education,North West,Programme 5:  Early Childhood Development,Sub Programme 5.1,Annually,POI 5.1: Number of public schools that offer Grade R,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,1000,1000,1000,1000,,None,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 5:  Early Childhood Development,Sub Programme 5.2,Annually,POI 5.2: Number of registered ECD programmes,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 5:  Early Childhood Development,Sub Programme 5.2,Annually,POI 5.4: Number of practitioners trained on ECD NQF Level 4 and or  above,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Improved performance of practitioners,116
Basic Education,Education,North West,Programme 5:  Early Childhood Development,Sub Programme 5.2,Annually,POI 5.5: Number of practitioners trained on ECD NQF Level 4 and or  above,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,230,150,230,150,,There was overachievement of 67 in Quarter 2 given the additional 67 centres that met the criteria.,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 5:  Early Childhood Development,Sub Programme 5.4,Annually,POI 5.3: Number of children accessing registered ECD Programmes,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,80862,,80862,,,,,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 5:  Early Childhood Development,Sub Programme 5.4,Annually,POI 5.3: Number of Grade R schools provided with resources,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Improved quality of education offered in Grade R,116
Basic Education,Education,North West,Programme 5:  Early Childhood Development,Sub Programme 5.4,Annually,POI 5.4: Number of Grade R schools provided with resources,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,650,650,650,650,,None,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 5:  Early Childhood Development,Sub Programme 5.4,Quarterly,POI 5.2: Number of children accessing registered ECD Programmes,Non-Standardized,Max,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",0,0,0,,40000,46840,0,,40000,46840,,,,,,,,,,,,None,None,,"The PED has achieved 117% of the set target for the quarter under review. The variance is 6840.  The PED is advised to provide a reason for the attainment of the set target. 
",,,,,,Increase in the number of children accessing ECD Programmes.,116
Basic Education,Education,North West,Programme 5:  Early Childhood Development,Sub Programme 5.4,Quarterly,POI 5.3: Number of Grade R schools provided with resources,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,650,,650,,,,,,,,,,,,,,,,None,None,,"The PED has achieved an outcome against no set target.
",,Improved quality of education offered in Grade R,116
Basic Education,Education,North West,Programme 5:  Early Childhood Development,Sub Programme 5.4,Quarterly,POI 5.5: Number of registered ECD centres,Non-Standardized,Max,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",0,0,100,,100,100,217,150,417,150,,,,,,,,,,,,None,None,,"The PED has achieved 91% of the set target for the quarter under review. The variance is -9.  The PED has provided a reason for the attainment of the set target. 
",There was overachievement of  67 in Quarter 2 given the additional 67 centres that met the criteria,None,Actual outputs to be reported and implemented as per the quarterly target.,"The PED has achieved  69,12%  of the set target for the quarter under review.  The variance is -67.  The PED has provided a reason for the   attainment of the target for the quarter under review. 
",,Increase number of fully registered centres,116
Basic Education,Education,North West,Programme 5:  Early Childhood Development,Sub Programme 5.4,Quarterly,POI 5.6: Number of registered ECD centres,Non-Standardized,Average,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",0,,100,167,100,,217,,417,"41,75",,,,,,,," The PED is not reporting on this indicator for the quarter under review.
","The quarterly target was increased to 150 during re-tabling, however the signed approval has not been received as yet, therefore the unit is reporting on the previously approved APP  
The directorate received more applications for registration.
",None,,,,Managers are encouraged to report adequately  during phase 1 of reporting as per the Provincial and National Reporting guidelines. ,"The PED is advised to provide an actual output for the quarter under review.
",,,Programme to report actual output as targeted during first phase of reporting for oversight to give comments as per the National and Provincial reporting guidelines. ,"The PED is advised to insert the outcome for the quarter under review.
",Programme manager to provide progress during phase 3,,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.1,Annually,POI 6.12 Number of administration space where maintenance was completed.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,8,9,8,9,,None,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,POI  6.1: Number of public schools provided with water infrastructure,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,37,,37,,Reprioritised needs on the basis of pressures identified in the districts,None,,,,,,,,,,,,,,,,,,All public schools have access to water infrastructure. The target for the year is to be met or exceeded.,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,POI 6.1: Number of public schools provided with water infrastructure,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,40,37,40,37,,Reprioritised needs on the basis of pressures identified in the districts,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,POI 6.10: Number of schools provided with high security perimeter fencing,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,80,18,80,18,,Project stoppages by business forums.,Introduce appointment of social facilitator per district and increase installation teams to expedite progress.,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,POI 6.11: Number of full service schools upgraded,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,8,8,8,8,,None,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,POI 6.2: Number of public schools provided with electricity infrastructure,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,8,0,8,0,,N/A,N/A,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,POI 6.2: Number of public schools provided with electricity Infrastructure,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All public schools have access to water infrastructure. The target for the year is to be met or exceeded.,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,POI 6.3: Number of public schools supplied with sanitation facilities,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,40,17,40,17,,Projects on construction and not implemented affects overall performance.,Strengthen planning in ensuring that projects are completed before end of financial year.,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,POI 6.3: Number of public schools supplied with sanitation facilities,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All public schools have access to water infrastructure. The target for the year is to be met or exceeded.,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,POI 6.4: Number of schools built or provided with new or additional boarding facilities,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All public schools have access to water infrastructure. The target for the year is to be met or exceeded.,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,POI 6.5: Number of schools where scheduled maintenance projects were completed,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,POI 6.5: Number of schools where scheduled maintenance projects were completed,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All public schools have access to water infrastructure. The target for the year is to be met or exceeded.,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,POI 6.6: Number of additional classrooms provided in  existing public schools (includes new and replacement schools),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,270,124,270,124,,Reprioritised needs on the basis of pressures identified in the districts,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,POI 6.6: Number of additional classrooms provided in  existing public schools (includes new and replacement schools),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All public schools have access to water infrastructure. The target for the year is to be met or exceeded.,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,POI 6.7: Number of additional specialised rooms built in public schools (includes specialised rooms built in new and replacement schools).,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,22,17,22,17,,Reprioritised needs on the basis of pressures identified in the districts,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,POI 6.7: Number of additional specialised rooms built in public schools (includes specialised rooms built in new and replacement schools).,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All public schools have access to water infrastructure. The target for the year is to be met or exceeded.,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,POI 6.8: Number of new schools that have reached completion (includes replacement schools),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All public schools have access to water infrastructure. The target for the year is to be met or exceeded.,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,"POI 6.9: Number of new Grade R classrooms built or provided (includes those in new, existing and replacement schools).",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,35,16,35,16,,None,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.2,Annually,"POI 6.9: Number of new Grade R classrooms built or provided (includes those in new, existing and replacement schools).",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All public schools have access to water infrastructure. The target for the year is to be met or exceeded.,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.3,Annually,POI 6.14 Number of special schools where maintenance was completed.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 6:  Infrastructure Development,Sub Programme 6.4,Annually,POI 6.13 Number of ECD’s where maintenance was completed.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Job Creation,"The Social Protection, Community and Human Development cluster",,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 7: Examination and Education Related Services,Sub-Programme 7.4: External Examinations,Annually,POI 7.1: Percentage of learners who passed the National Senior Certificate (NSC) examination,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,87 %,87.5 %,87 %,87.5 %,,"Target exceeded by 0,5%",None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 7: Examination and Education Related Services,Sub-Programme 7.4: External Examinations,Annually,POI 7.10:  Percentage of learners in Grade 6 attaining  50% and  above in Mathematics,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,70 %,65 %,70 %,65 %,,"Gap in completion of ATP
Insufficient administration of formative assessment
Lack of in school monitoring

Recommendations from specialist on curriculum not implemented
","Tracking curriculum coverage and monitoring the administration of topic consolidation tasks

Monitoring the implementation of formative assessment will be done

Tracking curriculum coverage and monitoring the implementation of the implementation of topic consolidation tasks

Support visits to monitor implementation of recommendations on curriculum management
Support schools on mathematics enrichment programmes
Monitoring the implementation of Maths Fridays
Learners will be exposed to Olympiads questions that prepares them for level 5 – 7 performance Mentoring of underperforming schools
",,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 7: Examination and Education Related Services,Sub-Programme 7.4: External Examinations,Annually,POI 7.11: Percentage of learners in Grade 9 attaining 50% and above in Language,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,75 %,80.72 %,75 %,80.72 %,,None,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 7: Examination and Education Related Services,Sub-Programme 7.4: External Examinations,Annually,POI 7.12:  Percentage of learners in Grade 9 attaining 50%  and above in Mathematics,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,25 %,11.24 %,25 %,11.24 %,,"Gap in completion of ATP’s Poor mathematics foundational skills 
Learners not utilising Dial-a-tutor programme effectively
Teachers focusing more on FET classes and GET not given enough attention
","Tracking curriculum coverage and monitoring the administration of topic consolidation tasks
Intensive monitoring of curriculum implementation and coverage
Monitoring administration of informal assessment 
Administering common tasks
Effective utilisation of Dial-a-tutor programme
Support to underperforming schools
Mentoring of underperforming schools
",,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 7: Examination and Education Related Services,Sub-Programme 7.4: External Examinations,Annually,POI 7.2: Percentage of Grade 12 learners passing at the Bachelor Pass level,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,40 %,45.0 %,40 %,45.0 %,,"Target exceeded 
by 5",None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 7: Examination and Education Related Services,Sub-Programme 7.4: External Examinations,Annually,POI 7.3: Percentage of Grade 12 learners achieving 60% and above in Mathematics,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,27 %,16.6 %,27 %,16.6 %,,Content gap experienced by some educators resulting in them lacking confidence in training learners to answer challenging questions,Special camps will be conducted to facilitate content understanding.,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 7: Examination and Education Related Services,Sub-Programme 7.4: External Examinations,Annually,POI 7.4: Percentage of Grade 12 learners achieving 60% and above in Physical Sciences,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,27 %,13.0 %,27 %,13.0 %,,Content gap experienced by some educators resulting in them lacking confidence in training learners to answer challenging questions,"Special camps will be conducted to facilitate content understanding.
Dial a tutor will be used to offer learners focused attention
Extra materials are developed to assist learners
",,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 7: Examination and Education Related Services,Sub-Programme 7.4: External Examinations,Annually,POI 7.5: Number of secondary schools with National Senior Certificate (NSC) pass rate of 60% and above,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,404 %,439 %,404 %,439 %,,Target exceeded by 35 schools.,,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 7: Examination and Education Related Services,Sub-Programme 7.4: External Examinations,Annually,POI 7.6: Percentage of learners achieving subject passes towards a matric qualification through second chance Matric Programme (SCMP),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,10 %,57.50 %,10 %,57.50 %,,None,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 7: Examination and Education Related Services,Sub-Programme 7.4: External Examinations,Annually,POI 7.7:  Percentage of learners in Grade 3 attaining 50%  and above in Language  (SBA),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,88 %,90.60 %,88 %,90.60 %,,None,None,,,,,,,,,,,,,,,,,,,116
Basic Education,Education,North West,Programme 7: Examination and Education Related Services,Sub-Programme 7.4: External Examinations,Annually,POI 7.8:  Percentage of learners in Grade 3 attaining 50%  and  above in Mathematics (SBA),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,88 %,89.97 %,88 %,89.97 %,,None,None,,,,,,,,,,,,,,,,,,,116
