Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,National_Q2,National_Q3,National_Q4,UID
Environmental Affairs,Environmental Affairs,North West,Programme 4 Business Regulations anad Governance,Business Regulations and Governance,Quarterly,Percentage of liquor outlets compliant to legislative prescripts,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",80 %,83 %,80 %,82% %,80 %,82% %,80 %,82 %,80 %,83 %,82,Exceeded due to intensified inspections in view of the new provincial act.,None,,,More requests due to Thuntsa Lerole Programme and invitations from other stakeholders. ,None,,"Exceeded due to Thuntsa Lerole and invites by National Dtic and Dept's of labour
",None,,Exceeded due to intensified inspections in view of the new provincial act. ,None,Output not reported and reason for deviation not stated,"More request due to Thuntsa Lerole Programme, Operational latela molao and invitations from other stakeholders",None,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 4 Business Regulations and Governance,Business Regulations and Governance,Annually,Number of work opportunities created through Business Regulations sector public employment programmes,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,200,200,,,200,200,200,None,None,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Quarterly,Percentage of complete Atmospheric Emission Licenses (AELs) issued within legislated timeframes,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",100%,100%,100%,100%	,100%,	100%,100%,0%,100%,-,,,,,,None,None,,None,None,,4 AELs have been submitted to AHoD for approval. Awaiting sign off,Follow up will be made,,None,None,"The province is on target for Q1 and has achieved the target for the quarter 
","The province is on target for Q2 and has achieved the target for the quarter 
","The province is on target for Q3 and has achieved the target for the quarter 
",The province is below Q4 target ,98
Environmental Affairs,Environmental Affairs,North West,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Quarterly,Percentage of complete Environmental Impact Assessment (EIA) applications finalized within legislated timeframes,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",100%,100%,100%,100%	,100%,	100%,100%,100%,100%,-,,,,,,None,None,,None,None,,None,None,,None,None,"The province is on target for Q1 and has achieved the target for the quarter 
","The province is on target for Q2 and has achieved the target for the quarter 

","The province is on target for Q3 and has achieved the target for the quarter 
","The province is on target for Q4 and has achieved the annual target  
",98
Environmental Affairs,Environmental Affairs,North West,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Quarterly,Percentage of complete Waste License applications finalised within legislated time-frames,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",100%,100%,100%,100%	,100%,	100%,100%,NAR,100%,-,,,,,,None,None,,None,None,,None,None,,None,None,"The province is on target for Q1 and has achieved the target for the quarter 
","The province is on target for Q2 and has achieved the target for the quarter 
","The province is on target for Q3 and has achieved the target for the quarter 
","The province did not receive applications for the quarter under review. 

",98
Environmental Affairs,Environmental Affairs,North West,Programme 4: Environmental Quality Management,Sub-Programme 4.1: Impact Management,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 4: Environmental Quality Management,Sub-Programme 4.1: Impact Management,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 5:  Biodiversity Management,Programme 5:  Biodiversity Management,Annually,Number of Biodiversity Economy initiatives implemented,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2,0,2,0,,The targeted projects for Nietverdient and Tshwaane CPA could not be supported due to the approved grant from DALRRD not being allocated.,None,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 5:  Biodiversity Management,Programme 5:  Biodiversity Management,Annually,Number of conservation programmes implemented by NWPTB,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2,2,2,2,,None,None,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 5:  Biodiversity Management,Programme 5:  Biodiversity Management,Annually,Number of hectares under the conservation estate,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,102654,0,102654,0,,The submission for publication approval was submitted on 19 February 2025 and is still awaiting approval.,Follow ups will be made with MEC's office,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 5:  Biodiversity Management,Programme 5:  Biodiversity Management,Annually,Percentage of area of state managed protected areas assessed with a METT score above 67%,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,60 %,,60 %,,,,,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 5:  Biodiversity Management,Programme 5:  Biodiversity Management,Quarterly,Percentage of complete biodiversity management permits issued within legislated timeframes,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",80 %,90 %,80 %,87% %,80 %,84% %,80 %,84% %,80 %,90 %,,,,,,"Permits were issued within legislated time frame above target due the fact that additional permitting functions were shared amongst other officials to perform the permit function.
",None,,"Permits were issued within legislated time frame above target due the fact that additional permitting functions were shared amongst other officials to perform the permit function.
",None,,"Reinstatement of Interns in all Biodiversity Permitting vacant positions: Bojanala Intern contract extended, Proffessional Hunting and CITES Intern contract extended, Ngaka Modiri Molema ipermit office substituted by Intern.",None,,Permits were issued within legislated time frame above target due the fact that additional permitting functions were shared amongst other officials to perform the permit function.,None,"The province is above Q1 target and has achieved by exceeding the target for the quarter 
","The province is above Q2 target and has achieved by exceeding the target for the quarter 
",,"The province is on target for Q4 and has achieved the annual target  
",98
Environmental Affairs,Environmental Affairs,North West,Programme 5:  Biodiversity Management,Sub-Programme 5.1: Biodiversity and Protected Area Planning and Management,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 5:  Biodiversity Management,Sub-Programme 5.1: Biodiversity and Protected Area Planning and Management,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 5: Economic Planning,Economic Planning,Annually,Number of Economic Development strategies developed/ reviewed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,1,0,,,1,0,0,"Awaiting the finalization of the PGDSAwaiting the finalization of the PGDS
","To continue with the development of a strategy for possible inclusion in the PGDS

",,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 5: Economic Planning,Economic Planning,Annually,Number of work opportunities created through Economic Planning sector public employment programmes,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,40,0,,,40,0,0,"The work opportunities to be created is dependant on research studies to be undertaken
","Expedite the approval process  of the research proposal
",,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 5: Economic Planning,Economic Planning,Quarterly,Number of Economic Intelligence publications disseminated,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,4,1,4,None,None,,,None,None,,None,None,,None,None,,None,None,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 5: Economic Planning,Economic Planning,Quarterly,Number of partnerships established,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,0,1,1,1,1,1,0,4,2,4,,,,The department to develop and improvement plan with clear deadlines and responsibilities,None,None,,"None
","None
",,Unabled to conclude partnership agreement due to operational and national compliance issuesthat emerged during engagement with SANEDI,None,,The consultation still ongoing with the strategic key Partner.,Expedite consultation to conclude partnership,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 5: Economic Planning,Economic Planning,Quarterly,Number of research studies conducted with academic institutions,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,0,1,0,1,1,4,2,2,None,None,,,Unavailability key market intelligence report,Revise research framework,,The study has not been finilized due unavailable of primary participants,Review the sample of participants for finalization,,None,None,,None,None,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 6:	Environmental Empowerment Services  ,Programme 6:	Environmental Empowerment Services  ,Annually,Number of work opportunities created through environment sector public employment programmes,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,500,363,500,363,,Additional resources were allocated through the Taung Skull World Heritage Site programme,None,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 6:	Environmental Empowerment Services  ,Programme 6:	Environmental Empowerment Services  ,Quarterly,Number of environmental awareness activities conducted,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Economic Sectors, Employment and Infrastructure Development cluster",2,2,2,"             
             2",2,2,2,2,8,8,,,,,,"          
           None","
           None",,None,None,,None,None,,None,None,"The province is on target for Q1 and has achieved the target for the quarter 
","The province is on target for Q2 and has achieved the target for the quarter 
","The province is on target for Q3 and has achieved the target for the quarter 
","The province is on target for Q4 and has achieved the annual target  
",98
Environmental Affairs,Environmental Affairs,North West,Programme 6:	Environmental Empowerment Services  ,Programme 6:	Environmental Empowerment Services  ,Quarterly,Number of environmental capacity building activities conducted,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Economic Sectors, Employment and Infrastructure Development cluster",2,2,2,"             
             2",2,2,2,2,8,8,,,,,,"
           None","
          None",,None,None,,None,None,,None,None,"The province is on target for Q1 and has achieved the target for the quarter 
","The province is on target for Q2 and has achieved the target for the quarter 
","The province is on target for Q3 and has achieved the target for the quarter 
","The province is on target for Q4 and has achieved the annual target  
",98
Environmental Affairs,Environmental Affairs,North West,Programme 6:	Environmental Empowerment Services  ,Sub-Programme 6.1: Environmental Capacity Development and Support,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 6:	Environmental Empowerment Services  ,Sub-Programme 6.1: Environmental Capacity Development and Support,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 7: Tourism,Tourism,Annually,Number of Tourism Policies developed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,1,1,,,1,1,0,The process of approval is undergoing the internal approval process,"Resubmit SOP for approval
",,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 7: Tourism,Tourism,Annually,Number of work opportunities created through Tourism sector public employment programmes,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,100,100,,,100,100,100,"None
",None,,,,,,,,,,,,,,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 7: Tourism,Tourism,Quarterly,Number of  Tour Operators Skilled ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,15,17,15,16,0,0,30,33,33,None,None,,,Extra tour operators attended the training ,None,,1 more person attended due to demand,None,,None,None,,None,None,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 7: Tourism,Tourism,Quarterly,Number of Compliance tourist guiding inspections conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,4,4,4,None,None,,,None,None,,None,None,,None,None,,None,None,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 7: Tourism,Tourism,Quarterly,Number of Infrastructure development reports produced ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,4,4,4,None,None,,,None,None,,None,None,,None,None,,None,None,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 7: Tourism,Tourism,Quarterly,Number of monitoring tourism sector performance report and its impact across the Province ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,1,1,0,0,1,1,2,2,2,None,None,,,None,None,,To be achieved in the 4th quarter,None,,None,None,,None,None,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 7: Tourism,Tourism,Quarterly,Number of people in tourism industry trained on customer care ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,25,30,25,30,0,0,50,60,60,None,None,,,5 people who had not confirmed their availability attended ,None,,"More extra 5 people attended 
",None,,None,None,,None,None,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 7: Tourism,Tourism,Quarterly,Number of programmes implemented to support Women-Owned Tourism Products  ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,4,4,4,None,None,,,None,None,,None,None,,None,None,,None,None,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 7: Tourism,Tourism,Quarterly,Number of programmes undertaken to support Social Tourism ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,0,1,2,1,0,1,2,4,4,3,,None,,,the extra is to close off the quarter 1 which was not achieved,,,"Unavailability of students 
","To be achieved on the 4th quarter
",,1 extra achievement was because we could not perform in the 3rd quarter,None,,Due to exams learners could not be released,Rescheduled for 2nd quarter,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 7: Tourism,Tourism,Quarterly,Number of programmes undertaken to support Tourism Products.  ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,2,1,0,4,4,4,None,None,,,None,None,,"The Directorate collaborated with J B Marks Local Municipality to co deliver a capacity building programme for tourism products
",None,,None ,None,,None,None,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 7: Tourism,Tourism,Quarterly,Number of tourism establishments supported for grading   ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,20,23,30,16,30,58,80,97,97,None,None,,,3 extra establishments met the grading criteria,None,Output not reported,"Payment was delayed due to budget adjustment in Dedect
","Outstanding 14 establishments will be graded in the 4th quarter
",,Extra graded Establishments to account for under performance in Q3 ,None,,None,None,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 7: Tourism,Tourism,Quarterly,Number of tourism stakeholder engagements facilitated ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,1,1,0,0,1,1,2,2,2,None,None,,,None,None,,None,None,,None,None,,None,None,,,,,98
Environmental Affairs,Environmental Affairs,North West,Programme 7: Tourism,Tourism,Quarterly,Tourism Research studies conducted to support growth in North West tourism industry ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,0,1,1,1,1,2,2,2,None,None,,,Not planned for the 2nd quarter,None,,None,None,Output not reported and reason for deviation not stated,None,None,,None,None,,,,,98
