Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q2,OTP_Q3,National_Q1,National_Q2,National_Q3,National_Q4,UID
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.3. Financial Management Services,Quarterly,1.2.4.	Type of audit opinion achieved,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",Not Applicable,To be reported in second quarter,Unqualified Opinion without findings,Unqualified audit opinion with findings,Unqualified Opinion without findings,Unqualified audit opinion with findings,Review of interim AFS,"Unqualified audit
Opinion with findings
",Not achieved ,Unqualified Opinion without findings,-,,,,,,,target not met,Material findings on strategic operations and SCM,Developed an audit action plan to address the findings,Repeat audit paragraphs/findings on supply chain management and audit of predetermined objective impact the audit outcome.  ,Implement clean audit strategy and audit action plans to obtain a clean audit opinion.,"Repeat audit
paragraphs/findings
on supply chain
management and
audit of predetermined
objective impact the
audit outcome
",Implement clean audit strategy and audit action plans to obtain a clean audit opinion.,,,,,,,185
,Cooperative Governance,Limpopo,Programme 1.	Administration,Sub Programme 1.3. Financial Management Services,Quarterly,1.2.5.	Percentage of AG audit findings resolved.,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",0 %,0 %,25 %,17 %,50 %,90 %,100 %,100 %,Achieved ,100 %,100 %,,,,,,,target not met ,Findings that require investigations for consequence management commenced after audit ,Consequence management and condonation to be implemented,Improved rate of implementing mitigation measures to resolve findings. ,N/A,"N/A
",N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Annually,Default,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,3.2.2.	Number of reports on the implementation of Back to Basics action plans by municipalities,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,1,Achieved ,4,4,,,,,None ,N/A,target met ,N/A,N/A,None,N/A,NA,NA,,,,,,,185
,Cooperative Governance,Limpopo,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,"Number of municipalities monitored on the extent to which anti-corruption measures are implemented (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",27,27,27,27,27,27,27,27,Achieved ,27,108,,,,,None,N/A,target met ,N/A,N/A,None,N/A,NA,NA,,,,,,,185
,Cooperative Governance,Limpopo,Programme 2: Local Governance,Sub Programme 2.1: Municipal Administration,Quarterly,"Number of municipalities supported to comply with MSA Regulations on the appointment of senior managers (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",27,27,27,27,27,27,27,27,Achieved ,27,108,,,,,None ,N/A,target met ,N/A,N/A,None,N/A,NA,NA,,,,,,,185
,Cooperative Governance,Limpopo,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Annually,Default,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,3.2.4.	Number of municipalities supported with compilation of annual financial statements for submission to Office of the Auditor-General,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",0,0,27,27,27,27,0,,Not achieved ,27,27,,,,,N/A,N/A,target not met ,N/A,N/A,None,N/A,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,"Number of municipalities guided to comply with the MPRA (Linked to MTSF 2019 – 2024, Priority 1) (B2B Pillar 4)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",22,22,22,22,22,22,22,22,Achieved ,22,88,,,,,None,N/A,target met ,N/A,N/A,None,N/A,NA,NA,,,,,,,185
,Cooperative Governance,Limpopo,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,"Number of municipalities supported to reduce Unauthorized, Irregular, Wasteful and Fruitless expenditure (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",5,5,5,5,5,5,5,5,Achieved ,5,20,,,,,None ,N/A,target not met ,N/A,N/A,None,N/A,NA,NA,,,,,,,185
,Cooperative Governance,Limpopo,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Annually,Default,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,3.3.1.	Number of reports compiled on the functionality of 5 District IGR Structures,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government",1. Transform the public service for effective and efficient service delivery (2019-2024),"The Social Protection, Community and Human Development cluster",4,4,4,4,4,4,4,4,Achieved ,4,4,,,,,None,N/A,target not met ,N/A,N/A,None,N/A,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,Number of Municipalities monitored on the implementation of GBVF responsive programmes (Final M&E Plan for NSP on GBVF) (Pillar 2: Prevention and Restoration of Social Fabric),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,,0,,0,,Not achieved (no performance output reported),0,0,,,,,,,default ,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,"Number of municipalities supported to maintain functional ward committees (MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",22,22,22,22,22,22,22,22,Achieved,22,88,,,,,None,N/A,target not met ,N/A,N/A,None ,N/A,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,"Number of municipalities supported to promote participation in community based local governance processes (Priority 1: Capable, Ethical and Developmental State) (Priority 6 MTEF indicatory: Social Cohesion and Safer Communities)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,,0,,0,,Not achieved (no performance output reported),0,0,,,,,,,default,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,Number of municipalities supported to resolve community concerns,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",27,27,27,27,27,27,27,27,Achieved ,27,108,,,,,None,N/A,target not met ,N/A,N/A,None,N/A,N/A,N/A,,,,,,,185
,Cooperative Governance,Limpopo,Programme 2: Local Governance,Sub Programme 2.4:  Capacity Development,Annually,Default,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
,Cooperative Governance,Limpopo,Programme 2: Local Governance,Sub Programme 2.4:  Capacity Development,Quarterly,"Number of capacity building interventions conducted in municipalities (Linked to MTSF 2019 – 2024, Priority 1) (B2B Pillar 5)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,Achieved ,1,4,,,,,None,N/A,target met ,N/A,N/A,None ,N/A,N/A,N/A,,,,,,,185
