Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,DesiredPerformance,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,UID
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,MTSF 104: Percentage of learners with access to required maths and EFAL textbooks in Grades 6 and 9,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",Higher than target,,,,,,,70 %,80.42 %,70 %,80.42 %,80.42,"A sample study of 30 primary and 30 secondary schools was conducted, which reflected an overachievement.",N/A,The annual target of 70% has been exceeded (80.42%). The PDO notes the reason for deviation and corrective action is not required.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 103 Percentage of school principals rating the support services of Districts as being satisfactory,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,98 %,98 %,98 %,98 %,98,No deviation.,N/A,The annual target of 98% is achieved (98%). The PDO notes the reason for deviation and corrective action is not required in this instance.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 104: Percentage of SGBs that meet the minimum criteria in terms of governance functionality,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,70 %,96.2 %,70 %,96.2 %,96.2,"Greater emphasis was placed on the functionality of SGBs and the importance of compliance with processes, procedures and due dates during training and engagements with schools and SGBs.",N/A,The annual target of 70% has been exceeded (96.2%). The PDO notes the reason for deviation and corrective action is not required.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 106 Instances of teachers attending ICT integration training ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",Higher than target,,,,,,,4700,19338,4700,19338,19338,The target was not adjusted with the indicator title amendment. The performance output therefore exceeds the target. ,N/A,The annual target of 4700 is exceeded (19338). The PDO notes the reason for deviation and corrective action is not required in this instance.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 106: Number of teachers attending ICT integration training,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,4700,0,4700,0,0,The indicator title in the TID is not aligned to the indicator title in the performance table.,N/A,In-year change.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,"POI 107: Percentage of textbooks, ordered via the online system, delivered to public schools",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,100 %,100 %,,,100 %,100 %,100,No deviation,N/A,The annual target of 100% is achieved (100%). The PDO notes the reason for deviation and corrective action is not required in this instance.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 110: Percentage of schools displaying all selected indicators of basic school functionality,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,50 %,62.13 %,50 %,62.13 %,62.13,Overachievement due to the emphasis on the importance of addressing school functionality at circuit manager engagements.,N/A,The annual target of 50% has been exceeded (62.13%). The PDO notes the reason for deviation and corrective action is not required.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 111 Percentage of schools visited at least twice a year by district officials for monitoring and support purposes ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,100 %,100 %,100 %,100 %,100,No deviation.,N/A,The annual target of 100% is achieved (100%). The PDO notes the reason for deviation and corrective action is not required in this instance.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,POI 112 Percentage of public schools with a minimum set of required management documents,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,60 %,73.18 %,60 %,73.18 %,73.18,"Greater emphasis was placed on the functionality of SGBs and importance of compliance with processes, procedures and due dates during training and engagements with schools and SGBs.",N/A,The annual target of 60% has been exceeded (73.18%). The PDO notes the reason for deviation and corrective action is not required.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,SOI 103 Percentage of expenditure going towards non-personnel items,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,21.24 %,0 %,21.24 %,0 %,0,"Adjustment budget 2024 process, the amendments to personnel and non-personnel affected the planned target.","The target has been changed to 21,96.",In-year change,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Annually,SOI 103: Percentage of education expenditure going towards non-personnel items.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",On target ,,,,,,,21.96 %,22.61 %,21.96 %,22.61 %,22.61,Due to an increase in non-personnel expenditure.,N/A,The annual target of 21.96% has been exceeded (22.61%). The PDO notes the reason for deviation and corrective action is not required.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Quarterly,SOI 101 Number of public schools that use the South African School Administration and Management System (SA-SAMS) or any alternative electronic solution to provide data,Non-Standardized,Max,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,1542,1541,1542,1542,1542,1542,1542,1551,1542,1551,1551,More public schools were built through the Rapid School Build (RSB) programme,N/A,The annual target of 1542 has been achieved (1551). The PDO notes the reason for deviation and corrective action is not required.,,Dependent on the opening of schools. ,N/A,"The Q1 target of 1542 is not achieved (1541). The PDO notes the reason for deviation, however due to the partial achievement, the corrective action is required.","There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 99,9% of the set target. The variance is -1. The PED has provided a reason for the attainment of the outcome for the period under review.
",No deviation.,N/A,The Q2 target of 1542 is achieved (1542). The reason for deviation and corrective action not required.," The outcome for the 2nd quarter of the 2024/25 financial year is 100% of the set target. 
",No deviation,N/A,The Q3 target of 1542 achieved (1542). The reason for deviation and corrective action is not required.,"The PED has achieved 100% of the set target for the quarter under review. 
",More public schools were built through the Rapid School Build (RSB) programme.,N/A,"The Q4 target of 1542, exceeded (1551). The PDO notes the reason for deviation and corrective action not required in this instance.","The PED has achieved 100,5%  of the set target for the quarter under review.   The variance is 9, The PED has provided a reason for the   attainment of the target for the quarter under review.
",90
Basic Education,Education,Western Cape,Programme 1:  Administration,Programme 1:  Administration,Quarterly,SOI 102: Number of public schools that can be contacted electronically (e-mail) ,Non-Standardized,Max,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,1542,1541,1542,1542,1542,1542,1542,1551,1542,1551,1551,More public schools were built through the Rapid School Build (RSB) programme,N/A,The annual target of 1542 has been achieved (1551). The PDO notes the reason for deviation and corrective action is not required.,,Dependent on the opening of schools. ,N/A,"The Q1 target of 1542 is not achieved (1541). The PDO notes the reason for deviation, however due to the partial achievement, the corrective action is required.","There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 99,9% of the set target. The variance is -1.  The PED has provided a reason for the attainment of the outcome for the period under review.
",No deviation.,N/A,The Q2 target of 1542 is achieved (1542). The reason for deviation and corrective action not required.," The outcome for the 2nd quarter of the 2024/25 financial year is 100% of the set target. 
",No deviation,N/A,The Q3 target of 1542 achieved (1542). The reason for deviation and corrective action is not required.,"The PED has achieved 100% of the set target for the quarter under review. 
",More public schools were built through the Rapid School Build (RSB) programme.,N/A,"The Q4 target of 1542, exceeded (1551). The PDO notes the reason for deviation and corrective action not required in this instance.","The PED has achieved 100,5%  of the set target for the quarter under review.   The variance is 9, The PED has provided a reason for the   attainment of the target for the quarter under review.
",90
Basic Education,Education,Western Cape,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 204: Number of schools installed with Local Area Networks (LANs),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,32,32,32,32,32,No deviation.,N/A,The annual target of 32 is achieved (32). The PDO notes that the reason for deviation and corrective action is not required in this instance.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 205 Number of subject-specific computer lab refreshes provided ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,80,80,80,80,80,No deviation.,N/A,The annual target of 80 is achieved (80). The PDO notes that the reason for deviation and corrective action is not required in this instance.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 206 Number of technology-enabled classrooms (Smart classrooms) provided,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,1000,1657,1000,1657,1657,The non-achievement of performance targets in previous financial years resulted in a backlog which was ultimately completed during this financial year.,N/A,"The annual target of 1000 is exceeded (1657). The PDO notes the reason for deviation is corrective action is not required in this instance,",,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 208 Number of Grade 12 learners who offer at least one subject in the technical and agricultural subject fields,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,2750,2765,,,2750,2765,2765,More learners from the SNE sector offered at least one subject in the agricultural field.,N/A,"The annual target of 2750 is exceeded (2765). The PDO notes the reason for deviation is corrective action is not required in this instance,",,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 201 Number of schools provided with multi-media resources,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,90,275,90,275,275,The non-achievement of performance targets in previous financial years resulted in a backlog which was ultimately completed during this financial year.,N/A,"The annual target of 90 is exceeded (275). The PDO notes the reason for deviation is corrective action is not required in this instance,",,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 202 Number of learners in No-Fee public ordinary schools in line with the Amended National Norms and Standards for School Funding ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,741401,741938,741401,741938,741938,The opening of new schools in Q4 resulted in the slight increase in the number of learners in no-fee public ordinary schools.,N/A,"The annual target of 741 401 is exceeded (741 938). The PDO notes the reason for deviation is corrective action is not required in this instance,",,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 204 Percentage of learners in schools that are funded at a minimum level,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,100 %,100 %,100 %,100 %,100,No deviation,N/A,The annual target of 100% is achieved (100%). The PDO notes that the reason for deviation and corrective action is not required in this instance.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 205 Number of foundation phase teachers trained in reading methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,400,450,400,450,450,"The CTLI has expanded its CPD footprint as the Chief Directorate: CMTD consolidated all training into and via the CTLI, as the apex unit. This, together with programme enhancements, resulted in the targets for the year being surpassed.",N/A,"The annual target of 400 is exceeded (450). The PDO notes the reason for deviation is corrective action is not required in this instance,",,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 206 Number of foundation phase teachers trained in numeracy content and methodology ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,400,538,400,538,538,"The CTLI has expanded its CPD footprint as the Chief Directorate: CMTD consolidated all training into and via the CTLI, as the apex unit. This, together with programme enhancements, resulted in the targets for the year being surpassed.",N/A,"The annual target of 400 is exceeded (538). The PDO notes the reason for deviation is corrective action is not required in this instance,",,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 207 Number of teachers trained in mathematics content and methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,400,429,400,429,429,"The CTLI has expanded its CPD footprint as the Chief Directorate: CMTD consolidated all training into and via the CTLI, as the apex unit. This, together with programme enhancements, resulted in the targets for the year being surpassed.",N/A,"The annual target of 400 is exceeded (429). The PDO notes the reason for deviation is corrective action is not required in this instance,",,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 208 Number of teachers trained in language content and methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,400,421,400,421,421,"The CTLI has expanded its CPD footprint as the Chief Directorate: CMTD consolidated all training into and via the CTLI, as the apex unit. This, together with programme enhancements, resulted in the targets for the year being surpassed.",N/A,"The annual target of 400 is exceeded (421). The PDO notes the reason for deviation is corrective action is not required in this instance,",,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 3: Independent School Subsidies,Programme 3: Independent School Subsidies,Annually,POI 303: Number of learners benefiting at registered independent schools approved for and receiving subsidies,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,19500,0,19500,0,0,"Base year change (recategorisation) from 2013 to 2022 in school fees charged – five (5) schools did not qualify for subsidisation. 
A further two (2) schools closed, whilst one (1) school indicated that they no longer want to be subsidised. Another school no longer complied with the eligibility criteria of subsidisation. Hence, there is a drop in the number of learners benefitting from these subsidies.
",N/A,In-year change.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 3: Independent School Subsidies,Programme 3: Independent School Subsidies,Annually,POI 303: Number of learners benefitting at registered independent schools approved for and receiving subsidies,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",,,,,,,,18000,24260,18000,24260,24260,"During the reporting period the method for the subsidy calculations to schools was revised, whereby the allocations are now being determined by using the allocated budgets from two consecutive financial years. (i.e., to determine the subsidy allocation for the school year, from 1 January to 31 December)   This was done to be in compliance with paragraph 62(b) of the National Norms and Standards for School Funding, issued as per Government Gazette No 31496 of 8 October 2008.",N/A,The revised annual target of 18 000 is exceeded (24260). The PDO notes the reason for deviation and corrective action is not required in this instance.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 3: Independent School Subsidies,Programme 3: Independent School Subsidies,Annually,SOI 301: Number of registered independent schools receiving subsidies,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",On target,,,,,,,90,96,90,96,96,"During the reporting period the method for the subsidy calculations to schools was revised, whereby the allocations are now being determined by using the allocated budgets from two consecutive financial years. (i.e., to determine the subsidy allocation for the school year, from 1 January to 31 December)   This was done to be in compliance with paragraph 62(b) of the National Norms and Standards for School Funding, issued as per Government Gazette No 31496 of 8 October 2008.",N/A,The revised annual target of 90 is exceeded (96). The PDO notes the reason for deviation and corrective action is not required in this instance.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 3: Independent School Subsidies,Programme 3: Independent School Subsidies,Annually,SOI 301: Percentage of registered independent schools receiving subsidies,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,28 %,0 %,28 %,0 %,0,"To nullify the effects of a fluctuating denominator. 

The indicator title will change in the performance table and TID.
",N/A,In-year change,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 3: Independent School Subsidies,Programme 3: Independent School Subsidies,Annually,SOI 301: Percentage of registered independent schools receiving subsidies.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster","All qualifying independent schools to be subsidised. Subsidised independent schools must adhere to minimum standards for regulating independent
schools.",,,,,,,0 %,0 %,0 %,0 %,0,"The indicator title has been changed from ""percentage"" to ""number"".",N/A,In-year change (Title change),,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 3: Independent School Subsidies,Programme 3: Independent School Subsidies,Quarterly,POI 302: Percentage of registered independent schools visited for monitoring and support,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,12 %,10.6 %,20 %,"28,2 %",28 %,"39,56 %",36 %,51.5 %,36 %,0 %,51.5,Consistent with the aim to improve oversight and management of independent schools.,N/A,The annual target of 36% is exceeded (51.5). The PDO notes the reason for deviation and corrective action is not required in this instance.,,Due to human resource constraints. ,More registered independent schools will be visited during Q2.,The Q1 target of 12% not achieved (10.6%). The PDO notes the reason for deviation and corrective action.,"There is  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 88,3% of the set target.  The PED has provided a reason for the attainment of the outcome for the period under review.
",More schools were visited to compensate for the shortfall in Q1.,N/A,The Q2 target of 20% is exceeded (28.8%). The PDO notes the reason for deviation and corrective action not required.," The outcome for the 2nd quarter of the 2024/25 financial year is 141% of the set target.  The PED has provided a reason for the attainment of the outcome for the quarter under review. 
",Consistent with the aim to improve oversight and management of registered independent schools.,N/A,The Q3 target of 28% is exceeded (39.78%). The reason for deviation is noted and corrective action not required.,"The PED has achieved 142% of the set target for the quarter under review. The PED has provided a reason for the attainment of the set target. 
",Consistent with the aim to improve oversight and management of independent schools.,N/A,The Q4 target of 36% is exceeded (51.5%). The PDO notes the reason for deviation and corrective action not required in this instance.,"The PED has achieved 143,06%  of the set target for the quarter under review.    The PED has provided a reason for the   attainment of the target for the quarter under review.
",90
Basic Education,Education,Western Cape,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Annually,MTSF 402: Number of children in Grade R and  Grade 1 screened for developmental delays and/or disabilities,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",Higher than target,,,,,,,80000,52411,80000,52411,52411,"The screening programme reflects significant progress despite timing constraints in the 2024/25 financial year. While planning was completed in Q3 and implementation began in Q4, implementation reached nearly 90% of targeted schools. Strategic prioritisation of resources focused on learners requiring immediate attention. Of learners screened, 60% were identified as requiring further support. This indicates that educators and Learning Support Teachers (LSTs) effectively applied a targeted approach, prioritising learners with observable support needs rather than conducting universal screening.",N/A,"The annual target of 80 000 is not achieved (52 411). The PDO notes the reason for deviation, however due the under-performance, the corrective action is required in this instance.",,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Annually,MTSF 403: Number of special schools with access to electronic devices (including tablets),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",VIP 3: Empowering People,"The Social Protection, Community and Human Development cluster",Higher than target ,,,,,,,60,73,60,73,73,Assistive technology is provided to schools to assist learners with learning disabilities. ,N/A,The annual target of 60 is exceeded (73). The PDO notes the reason for deviation and corrective action is not required in this instance.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Annually,POI 401: Number of Learning Support teachers providing support to public ordinary schools,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,630,624,630,624,624,The target has not been achieved due to delays in appointments and conversions. ,A review and audit of all current permanent and contract posts to be done for each district to establish the specific contextual reasons or mitigating factors that contribute to the non-filling of all allocated posts.,The annual target of 630 is not achieved (624). The PDO notes the reason for deviation and corrective alike.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Annually,POI 402 Number of public ordinary schools supported by inclusive education outreach teams,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,128,180,128,180,180,Services were rendered to learners with barriers in mainstream which became part of the service area of all outreach teams.,N/A,The annual target of 128 is exceeded (180). The PDO notes the reason for deviation and corrective action is not required in this instance.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Annually,POI 403 : Number of Year 4 learners who offer at least one occupational subject as part of the School of Skills curricula,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,2040,2057,2040,2057,2057,"Additional learners placed during the course of the year
resulted in more year 4 learners.",N/A,The annual target of 2040 is exceeded (2057). The PDO notes the reason for deviation and corrective action is not required in this instance.,,,,,,,,,,,,,,,,,,90
Basic Education,Education,Western Cape,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Annually,SOI 401: Number of learners in public special schools,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improve education outcomes and opportunities for youth development ,"The Social Protection, Community and Human Development cluster",,,,,,,,20700,21131,20700,21131,21131,"There is a high demand for learner placement in special
schools.",N/A,The annual target of 20 700 is exceeded (21 131). The PDO notes the reason for deviation and corrective action is not required in this instance.,,,,,,,,,,,,,,,,,,90
