Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,UID
Justice and Constitutional Development,Judicial Inspectorate for Correctional Services ,National,Programme 3: Legal Services,Sub Programme: Complaints and Mandatory Reporting,Quarterly,Percentage of reported unnatural deaths in correctional facilities received and processed,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",100 %,0 %,The institution APP was only tabled in Parliament in September 2024,JICS will start reporting in the second quarter,100 %,100 %,n/a,n/a,100 %,"100%

36 unnatural deaths %",N/A,N/A,100 %,100% %,"None, target achieved","None, target achieved",100 %,100 %,,,,,Receive and process all unnatural deaths,287
Justice and Constitutional Development,Judicial Inspectorate for Correctional Services ,National,Programme 3: Legal Services,Sub Programme: Complaints and Mandatory Reporting,Quarterly,Percentage of reported natural deaths in correctional facilities received and processed,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",100 %,0 %,The institution APP was only tabled in Parliament in September 2024,JICS will start reporting in the second quarter,100 %,100 %,n/a,n/a,100 %,"100%

106 natural deaths recieved and processed %",N/A,N/A,100 %,100% %,"None, target achieved","None, target achieved",100 %,100 %,,,,,Receive and process all natural deaths,287
Justice and Constitutional Development,Judicial Inspectorate for Correctional Services ,National,Programme 3: Legal Services,Sub Programme: Inspections and Investigations,Quarterly,Number of correctional facilities inspected on the conditions and treatment of inmates,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",43,0,The institution APP was only tabled in Parliament in September 2024,JICS started reporting in the second quarter,43,44,The overachievement of the quarterly target was due carryover of one inspection from the previous quarter.,"To prevent similar occurrences in the future, we will implement a more robust planning and scheduling system to ensure that all inspections are completed within their designated quarters.",24,"100%

24/24 =100% 
for the 
quarter and 
86/150 = 
57,34% for 
the first two 
quarters 
(cumulative) ",N/A,N/A,40,40%,"None, target achieved",N/A,150,40,,,,,All targeted correctional facilities inspected,287
Justice and Constitutional Development,Judicial Inspectorate for Correctional Services ,National,Programme 3: Legal Services,Sub Programme: Inspections and Investigations,Quarterly,Percentage of investigations conducted within 90 days,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",70 %,0 %,The institution APP was only tabled in Parliament in September 2024,JICS started reporting in the second quarter,70 %,70 %,n/a,n/a,70 %,"73,33% %","11 investigation 
reports were 
received from 15 
that were 
conducted within 
90 days of issuing 
the mandate.  
11/15",N/A,70 %,70% %,"None, target achieved",N/A,70 %,70 %,,,,,Investigation of all instances where a mandate was issued,287
Justice and Constitutional Development,Judicial Inspectorate for Correctional Services ,National,Programme 4: Management Regions,Sub Programme: Operations,Quarterly,Percentage of ROCs received per annum,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",100 %,0 %,The institution APP was only tabled in Parliament in September 2024,JICS will start reporting in the second quarter,100 %,100 %,n/a,n/a,100 %,120.41% %,More ROC's recieved than anticipated,Targets to be reviewed in next financial cycle,100 %,100% %,"None, target achieved",N/A,100 %,100 %,,,,,"All ROCs must be submitted as per the performance standard by the ICCV

",287
Justice and Constitutional Development,Judicial Inspectorate for Correctional Services ,National,Programme 4: Management Regions,Sub Programme: Operations,Quarterly,Percentage of finalised complaints per annum,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",20 %,0 %,The institution APP was only tabled in Parliament in September 2024,JICS will start reporting in the second quarter,20 %,75 %,There was a misalignment between the targets and the team's potential output.,"Accurately assess the team's capacity, resource availability
and analyse this performance to inform future target setting.",10 %,79.31 %,More complaints recieved than anticipated,Targets to be reviewed in next financial cycle,20 %,20 %,"None, target achieved",N/A,70 %,20 %,,,,,"All complaints and requests be handled, and timely feedback provided to the inmates

",287
Justice and Constitutional Development,Judicial Inspectorate for Correctional Services ,National,Programme 4: Management Regions,Sub Programme: Operations,Quarterly,Number of VC meetings conducted per annum,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",37,0,The institution APP was only tabled in Parliament in September 2024,JICS will start reporting in the second quarter,37,37,n/a,n/a,37,37,N/A,N/A,37,37,"None, target achieved",N/A,148,37,,,,,Quarterly meetings to be conducted for each VC,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Annually,2.13.1 Audit opinions obtained,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,,Unqualified audit opinion obtained on Vote Account,,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Annually,2.8.1 Percentage of fruitless and wasteful expenditure eliminated,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,,100 %,,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Annually,2.9.1 Percentage of irregular expenditure reduced,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,,75 %,,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,1.1.1 Phases of Trust online services available on the DoJ&CD online portal by target date,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",Trust online application submission and management capability designed,Trust online application submission and management capability designed completed. ,-,-,Trust online application submission and management capability developed and tested,"Trust online application submission and management capability developed and tested
",,,Trust Online Application Submission and management capability completed and piloted,"Trust Online Application Submission and management capability completion and piloting in progress
",SITA delays on the part of ICMS development.,"SITA development and testing to be completed by 31 January 2025. Piloting and rollout will be during the month of February and March, respectively.",Phase 2 – Trust online solution with identified transacting capability rolled out by 31 March 2025,Trust online application submission and management capability completed and piloted. Phase 2 – Trust online solution with identified transacting capability rolled out by 31 March 2025,,,Phase 2 - Trust online solution with identified transacting capability rolled out by 31 March 2025,-,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,1.1.2 Phases of Guardian’s Fund online services available on the DoJ&CD online portal by target date,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster","Guardian’s Fund 
online solution designed",Guardian’s Fund online solution designed still in progress.,Delays in finalization of the inputs received from business.  Design gaps and misalignments which require more time to be rectified.,Plan weekly sessions with Business to align on the proposed solution for Guardian Fund Online solution.,"Guardian’s Fund 
online solution developed and tested","Guardian’s Fund online solution developed and tested.
",,,"Guardian’s Fund
 online solution completed and piloted","Guardian’s Fund online solution completion and piloting in progress
",Analysis & design delayed specifically the Amendments process. Delays in the implementation of SAP GFS due to the outstanding two functionalities i.e. AD integration and Biometric Verification (now completed).,Analysis & design for the Amendments process to be completed. Development and testing to be completed by 28 February 2025. Piloting and rollout during the month of March 2025. ,"Phase 1 – Guardian’
s Fund online application submission capability rolled out by 31 March 2025",Guardian’s Fund online solution completed and piloted. Phase 1 – Guardian’s Fund online application submission capability rolled out by 31 March 2025,,,Phase 1 – Guardian’s Fund online application submission capability rolled out by 31 March 2025,-,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,1.2.1 Number of courtrooms rolled-out with the Court Recording Audio-Visual Solution (CRAVS),Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,0,,,0,,,,0,"No planned target
",,,100,0,SITA Procurement delays. Further delays brought about by revising the procurement approach (RFI leading to RFP).,Continuously monitoring SITA procurement progress as per SITA’s project plan.,100,0,,,,,Roll out of CRAVS to all 100 identified courtrooms completed as planned,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,1.2.1 Number of courtrooms rolled-out with the CRAVS,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,0,-,-,0,"0

",,,313,"0
",SITA Procurement delays in finalising bid specifications. Further delays caused by revising the procurement approach (RFI leading to RFP),,626,,,,626,0,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,1.3.1 Number of Digitalised Administrative Solutions developed to implement the Modernisation and Digitilisation Strategy,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,0,-,-,1,"1

",,,2,"1
",There were initial software platform changes due to alignment with Microsoft EA licensing agreement.,"Fast tracking the implementations of the e-Leave solution on the new platform as follows:
Development and testing to be completed by 24 January 2025. Piloting and rollout during the month of February and March 2025. 

Fast tracking the implementations of the Invoice Tracking solution as follows:
Development and testing completed by 14 February 2025. Piloting and rollout during the month of February and March 2025
",3,1,Initial software platform changes due to alignment with Microsoft EA licensing agreement.,"Fast-tracking the finalization of the development, quality assurance testing as well as the integrations for the e-Leave solution and Invoice Tracking solution. The user acceptance testing will be conducted once all the above activities has been concluded.",3,1,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.1.1 Percentage of women occupying SMS and LP10 positions,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",50 %,52 %,-,-,50 %,"51

 %",,,50 %,"53
 %",,,50 %,52 %,,,50 %,52 %,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.10.1 Percentage of undisputed and valid invoices paid within 30 days from date of receipt,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",100 %,99 %,System issues BAS & JYP,"A central email address has been 
created for National and Provincial whereby all the invoices submitted in the department will be monitored from.

The branch has embarked on a process of implementing electronic invoice tracking system.
",100 %,"98

 %",System issues BAS & JYP,"A central email address has been created for National and Provincial whereby all the invoices submitted in the department will be monitored from.
The branch has embarked on a process of implementing electronic invoice tracking system.
",100 %,"98
 %",BAS & JYP System Issues,Embarked on the process of implementing an electronic invoice tracking system and it is on an implementation stage.,100 %,98 %,BAS & JYP System Issues.,"Embarked on the process of developing an electronic invoice tracking the solution, quality assurance as well as the integration with BAS, which is currently on 65% rate progress towards completion.",100 %,98 %,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.11.1 Percentage of discretionary procurement allocated to women,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",40 %,49 %,-,-,40 %,"49
 %",,,40 %,"50
 %",,,40 %,52 %,,,40 %,52 %,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.12.1 Percentage of discretionary procurement allocated to EMEs and QSEs,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",40 %,76 %,-,-,40 %,"77
 %",,,40 %,"78
 %",,,40 %,74 %,,,40 %,74 %,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.14.1 Number of specialised training programmes conducted by the Justice College,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",5,12,-,-,25,"44
",,,30,"61
",,,40,68,,,40,68,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.15.1 Records Digitalisation Strategy submitted to the Director-General for approval by target date,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",Consultations with branches on the digitalisation of departmental records,The General Minute (gm2024-008) was issued to all relevant stakeholders to obtain their inputs on the draft Records Management Strategy in July. ,The target was not met due to the fact that the General Minute was signed and issued after the end of the first quarter.,"Consultations still under
way",Draft Records Digitalisation Strategy developed,"The draft Records Management Strategy is still under consultation
",The misalignment of this indicator caused delays with the progress made on the Record Managing Strategy. The evidence provided could not be validated due to the misalignment of the phrasing of the output indicator,"To correct the misalignment, a submission was forwarded to the Strategy Unit on 23 August 2024 requesting an amendment of the APP target from Records Digitalisation Strategy to Records Management Strategy.  Consultations still underway",Consultation and finalisation of the Draft Records Digitalisation Strategy,"The draft Records Management Strategy was circulated on 05 July 2024.
 ","Target not achieved, due to the misalignment of the phrasing of the output indicator ",Re-alignment of the indicator on the revised APP,Records Digitalisation Strategy submitted to the Director-General for approval by 31 March 2025 ,,,,Records Digitalisation Strategy submitted to the Director-General approved by 31 March 2025,-,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.15.1 Records Management Strategy submitted to the Director-General for approval by target date ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",Consultations with branches on the digitalisation of departmental records,Consultations with branches underway,The target was not met due to the fact that the General Minute was signed and issued after the end of the first quarter.,Consultations with branches underway,Draft Records Digitalisation Strategy developed,,,,Consultation and finalisation of the Draft Records Management Strategy,"Consultation conducted and the draft Record Strategy completed
 ",,,Records Management Strategy submitted to the Director-General for approval by 31 March 2025 ,The Records Management Strategy has been approved by the DG on the 31 March 2025,,,Records Management Strategy submitted to the Director-General for approval by 31 March 2025,-,,,,,Records Management Strategy submitted for approval to the Director-General by 31 March 2025,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.16.1 Percentage of action plan activities for the Security Strategy implemented,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0 %,0 %,-,-,5 %,"25
 %",,,10 %,"38
 %",,,20 %,38 %,,,20 %,38 %,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.17.1 Framework on Entity Oversight submitted to the Director-General for approval by target date.,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","Draft Framework on Entity Oversight produced and presented to policy-making structures, i.e. the Management Committee (MANCO) and Executive Committee (EXCO)  ",First draft submitted to DDG: IDS and other officials for inputs and recommendations on 12 April 2024.,-,-,Framework on Entity Oversight approved by the Director-General on 30 September 2024,"0
",Consultations still in progress  ,,0,0,Target was not met due to the unavailability of resources ,Process underway to appoint official responsible to implement the indicator ,0,The Framework on Entity Oversight was submitted to the Director-General for approval by the 31 March 2025,,,Framework on Entity Oversight submitted to the Director-General for approval by 30 September 2025,-,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.17.1 Framework on Entity Oversight submitted to the Director-General for approval by target date.,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","Draft Framework on Entity Oversight produced and presented to policy-making structures, i.e. the Management Committee (MANCO) and Executive Committee (EXCO)  ",First draft submitted to DDG: IDS and other officials for inputs and recommendations on 12 April 2024.,-,-,Framework on Entity Oversight approved by the Director-General on 30 September 2024,,,,-,"No planned target
",,,Framework on Entity Oversight submitted to the Director-General for approval by 31 March 2025,The Framework on Entity Oversight was submitted to the Director-General for approval by the 31 March 2025,,,Framework on Entity Oversight submitted to the Director-General for approval by 31 March 2025,-,,,,,Approved Framework on Entity Oversight,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.2.1 Percentage of positions occupied by persons living with disability,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",2 %,2 %,-,-,2 %,"2
 %",,,2 %,"2
 %",,,2 %,2 %,,,2 %,2 %,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.3.1 Percentage of positions occupied by youth,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",20 %,22 %,-,-,20 %,"21
 %",,,20 %,"21
 %",,,20 %,20 %,,,20 %,20 %,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.4.1 Percentage of investigations on reported corruption cases finalised,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",21 %,38 %,-,-,41 %,"45
 %",,,61 %,"54
 %",Shortage in human capacity ,"Managers busy with fieldwork. 
DG has appointed a new senior manager who will be focusing on forensic investigations. Operational Request to advertise has been submitted to HR for the positions of 2x Deputy Director and 2x Forensic Auditors. 
",81 %,100 %,,,81 %,100 %,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.4.1 Percentage of investigations on reported corruption cases finalised within 90 days ,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",21 %,38 %,,,41 %,,,,61 %,"0
 %",Shortage in human capacity ,"Managers busy with fieldwork. 
DG has appointed a new senior manager who will be focusing on forensic investigations. Operational Request to advertise has been submitted to HR for the positions of 2x Deputy Director and 2x Forensic Auditors. 
",81 %,100 %,,,81 %,100 %,,,,,All investigations on reported corruption cases finalised within a prescribed period,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.5.1 Percentage of vacant posts,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",10 %,0.05 %,-,-,10 %,"0.1
 %",,,10 %,"0,1
 %",,,10 %,0.3 %,,,10 %,0 %,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.6.1 Percentage of disciplinary cases finalised within 90 days from the first day set down of the hearing,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",75 %,76 %,-,-,75 %,"84
 %",,,75 %,"78
 %",,,75 %,76 %,,,75 %,76 %,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.6.1 Percentage of disciplinary cases finalised within 90 days from the first day set down of the hearing,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",75 %,76 %,,,75 %,,,,75 %,"78
 %",,,75 %,76 %,,,75 %,76 %,,,,,All disciplinary cases finalised within 90 days from the first day of the set down of the hearing,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,2.7.1 Percentage of grievances resolved within 60 days from the date the grievance is lodged,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",80 %,82 %,-,-,80 %,"80
 %",,,80 %,"85
 %",,,80 %,82 %,,,80 %,82 %,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,3.1.1 Number of public education awareness sessions on justice services conducted,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",60,117,-,-,150,"319
",,,230,"441
",,,300,523,,,300,523,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 1 : Administration,Programme 1 : Administration,Quarterly,3.1.1 Number of public education awareness sessions on justice services conducted,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",27,35,-,-,54,"56
",,,82,"82
",,,110,147,,,110,147,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 2 : Court Administration,Programme 2 : Court Administration,Annually,4.13.1. Annual Report on the implementation of the Criminal Law (Sexual Offences and Related Matters) Amendment Act submitted to Parliament by target date,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,Annual Report on the implementation of the Criminal Law (Sexual Offences and Related Matters) Amendment Act submitted to Parliament by 30 September 2024,,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 2 : Court Administration,Programme 2 : Court Administration,Annually,4.3.2 Departmental Annual Report on the implementation of the Child Justice Act submitted to Parliament by target date,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,Annual Report on the implementation of the Child Justice Act submitted to Parliament by 30 September 2024,,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 2 : Court Administration,Programme 2 : Court Administration,Quarterly,4.1.1 Number of court facilities refurbished and upgraded through minor capital works.,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",0,0,,,0,0,,,0,"No planned target
",,,82,99,,,82,0,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 2 : Court Administration,Programme 2 : Court Administration,Quarterly,4.10.1 Percentage of decrees of divorce issued by the Registrar or Assistant Registrar within 14 working days of finalisation of the divorce,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",85 %,95 %,,,85 %,"96
 %",,,85 %,"95
 %",,,85 %,95 %,,,85 %,95 %,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 2 : Court Administration,Programme 2 : Court Administration,Quarterly,4.11.1 .1 Percentage of domestic violence protection orders served by the Clerk of the Court on the respondent not later than 24 hours from the time the order is received from the court by the Clerk of the Court,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",70 %,96 %,,,70 %,"97
 %",,,70 %,"98
 %",,,70 %,98 %,,,70 %,98 %,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 2 : Court Administration,Programme 2 : Court Administration,Quarterly,4.12.1 Traditional Courts assessment report submitted to the Director-General for approval by target date,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",Collation of data in all provinces ,Collation of data in provinces finalised,,,Draft Traditional Courts assessment report produced ,"Draft Traditional Courts assessment report produced
",,,-,The indicator was removed from the 2024/2025 APP. The achievement was dependent upon finalisation of regulations that are still in a draft form to operationalise the traditional court Act,The indicator was removed from the 2024/2025 APP. The achievement was dependent upon finalisation of regulations that are still in a draft form to operationalise the traditional court Act,The indicator was removed from the 2024/2025 APP., -,-,,,-,-,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 2 : Court Administration,Programme 2 : Court Administration,Quarterly,4.13.1 Number of sexual offences courts established,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0,,,,5,,,,10,16,,,15,19,,,15,19,,,,,Prevention of secondary traumatisation of complainants and witnesses in sexual offences cases.,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 2 : Court Administration,Programme 2 : Court Administration,Quarterly,4.14.1 Number of sexual offences courts designated,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,,,,5,0,"During the quarter under review, the target was not met. The memo for the designation of places of sitting were still in process. 
",,10,"14
",,,15,,,,15,14,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 2 : Court Administration,Programme 2 : Court Administration,Quarterly,4.2.1 Phases of Femicide Watch completed as required by Article 15 of the Presidential Summit Declaration against GBVF 2019 and National Strategic Plan on GBVF,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",Scoping document,Phase 7 scoping document has been finalised and approved,,,List of additional data metrics,"List of additional data metrics developed
",,,User acceptance testing certificate,Enhanced Case Outcome Messages in progress.  No User Acceptance Testing (UAT) can be conducted until the enhanced Case Outcome messages are deployed in the NPA and DoJ&CD production environment.,"Enhanced Case Outcome Messages not deployed yet. However, the NPA and DoJ&CD production environment are now stable and that no further code deployments will be made in Dec. As a result, the UAT will be conducted in Jan 2025.","UAT to be conducted in the fourth quarter.
",Phase 7: A Femicide Watch report adopted by stakeholders by 31 March 2025,Femicide Watch Reference Group considered the Femicide Watch data and adopted it together with the Phase 7 Femicide Watch Report on the 31 March 2025.,,,Phase 7: A Femicide Watch report adopted by stakeholders by 31 March 2025,-,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 2 : Court Administration,Programme 2 : Court Administration,Quarterly,4.3.1 Percentage of child justice preliminary inquiries finalised within 90 days after the date of first appearance,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",93 %,93 %,,,93 %,"93
 %",,,91 %,95 %,,,91 %,93 %,,,91 %,93 %,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 2 : Court Administration,Programme 2 : Court Administration,Quarterly,4.4.1 Percentage of NRSO clearance certificates issued within 10 days from the date of receipt of the compliant application,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",70 %,99.85 %,,,70 %,"99.74
 %",,,70 %,"98
 %",,,70 %,98 %,,,70 %,0 %,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 2 : Court Administration,Programme 2 : Court Administration,Quarterly,4.5.1 Number of courts compliant with the Minimum Service Standards for the Strategy on Reasonable Accommodations to Access Justice for Court Users with Disabilities,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,0,,,20,"30
",,,48,"51
",,,68,69,,,68,69,,,,,,287
Justice and Constitutional Development,Justice and Constitutional Development,National,Programme 2 : Court Administration,Programme 2 : Court Administration,Quarterly,4.6.1 Percentage of maintenance matters finalised within 90 days from the date of proper service of process,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",90 %,90 %,,,90 %,"89
 %","Capacity challenges relating to Maintenance Office and Investigators in some of the courts. 
Lack of capturing/updating of information. 
","Workshop to be held with the Maintenance Investigators and Officers on the KPI and Processes. 
Meeting to be held with the Chief Magistrates on Procedures followed by the Courts at Identified challenged Centres. 
 Continuous desktop analysis will be done to monitor unreturned cases and accuracy and continuous monitoring of performance at courts level.
",85 %,"89

 %",,,85 %,87 %,,,85 %,87 %,,,,,,287
