Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q1,National_Q2,National_Q3,National_Q4,UID
Public Works,Public Works,Limpopo,Programme 2: Infrastructure Operation,Sub Programme 2.2: Education and Infrastructure Management,Quarterly,Number of New Education construction projects completed,Standardized,Not  Applicable,Priority 7: A better Africa and the World,Transform public service for effective and efficient service delivery,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,0,0,0,18,18,18,18,18,None,None,,None,None,annual target ,None,None,cumulative target ,None,None ,target not achieved,None,None,target achieved,,,,,154
Public Works,Public Works,Limpopo,Programme 2: Infrastructure Operation,Sub Programme 2.4: District Coordination,Quarterly,Number of Contractors Participating in the National Contractor Development Programme (NCDP),Standardized,Max,Priority 2: Economic Transformation And Job Creation,4. Integrated and sustainable socio-economic infrastructure development (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",36,0,0,0,0,25 ,0,"

11",36,25,36,None,None,,Appointment of 36 learner contractors is at security clearance  stage,Continuous engagement with Risk Management Unit to speed up the process,target not met,None,None,cumulative target ,11 awaiting Nedbank vetting results,Continuous follow-ups with Nedbank to speed up the process of appointing the remaining Contractors.,target not achieved ,The security clearance of the 11 was finalized in the quarter under review.,"

None ",target achieved ,,,,,154
Public Works,Public Works,Limpopo,Programme 2: Infrastructure Operation,Sub Provincial 2.3: Provincial Department Infrastructure Management,Quarterly,Number of New Provincial Department  construction Projects completed,Standardized,Not  Applicable,Priority 7: A better Africa and the World,Transform public service for effective and efficient service delivery,"The Economic Sectors, Employment and Infrastructure Development cluster",1,0,1,0,3,"
2",1,"

4",6,6,6,none,None,,The department could not achieve due to challenges at project site caused by community disruption .Progress to date is 90%,Contractor has requested extension of time,target not met ,The Lebowakgomo Legislature Chamber OTP requested change of project scope and the stalling of the project implementation indefinitely,Request for  the extension of time,target not achieved ,1 Project was delayed due to Community unrest. ,Extension of time has been proposed. ,target not achieved ,"The over achievement in this quarter was due to projects that were delayed in the previous quarters,

1. Botshabelo Library 
2. Bakone TC
3. Tompi Seleka
4. Davhana TC",The department to make sure projects are completed as planned.,target achieved ,,,,,154
Public Works,Public Works,Limpopo,Programme 2: Infrastructure Operation,Sub Provincial 2.3: Provincial Department Infrastructure Management,Quarterly,Number of other Provincial Department Infrastructure designs ready for tender,Standardized,Not  Applicable,Priority 7: A better Africa and the World,Transform public service for effective and efficient service delivery,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,0,5,"
5",5,"
6


",10,11,12,the over achievement is due to additional project. ,None,,None,None,cumulative target ,None,None,cumulative target ,None,None,target achieved ,The over-achievement is due to  additional projects from OTP and COGHSTA (Ditlou Mantshidi and Premiers guest ,None,target not achieved (no actual output recorded),,,,,154
Public Works,Public Works,Limpopo,Programme 2: Infrastructure Operation,Sub Provincial 2.3: Provincial Department Infrastructure Management,Quarterly,Number of planned maintenance projects completed,Standardized,Not  Applicable,Priority 7: A better Africa and the World,Transform public service for effective and efficient service delivery,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,2,0,2,"
0",0,"
6",4,6,6,the department over achieved due to additional two fire maintenance energy efficiency projects from COGHSTA,None,,None,None,cumulative target ,Refurbishment of Grobersburg Project and Mokopane maintenance and installation of generators both reached validity during procurement stage.,The projects are re-advertised and will be completed in the fourth quarter.,target not achieved,The projects were re-advertised .,The projects are at construction stage,target not achieved ,"The over achievement in this quarter was due to projects that were delayed in the previous quarters.
1. Mpapuli TC
2. Rambuda TC
3. Masiya TC
4. Dikgale TC
5. Mudavula TC
6. Mogoshoa/ Dithlakaneng TC
",None,target achieved,,,,,154
Public Works,Public Works,Limpopo,Programme 2: Infrastructure Operations, Sub Programme 2.2: Education Infrastructure Management,Annually,Number of Education Infrastructure Programme implementation Plan (IPIP) for 2025-26 developed,Standardized,Not  Applicable,Priority 7: A better Africa and the World,Transform public service for effective and efficient service delivery,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,1,1,,,1,1,1,None,None,,,,,,,,,,,,,,,,,,154
Public Works,Public Works,Limpopo,Programme 2: Infrastructure Operations, Sub Programme 2.2: Education Infrastructure Management,Annually,Number of Education Service Delivery Agreement (SDA) for 2025-26 developed,Standardized,Not  Applicable,Priority 7: A better Africa and the World,Transform public service for effective and efficient service delivery,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,None,None,,,,,,,,,,,,,,,,,,154
Public Works,Public Works,Limpopo,Programme 2: Infrastructure Operations,Sub Programme2.1:Property and Facilities Management,Annually,Number of User Management plan (U-AMP) compiled in terms of GIAMA framework,Standardized,Not  Applicable,Priority 7: A better Africa and the World,Transform public service for effective and efficient service delivery,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,,,,,,,1,1,1,None,None,,,,,,,,,,,,,,,,,,154
Public Works,Public Works,Limpopo,Programme 2: Infrastructure Operations,Sub-Programme 2.3: Provincial Department Infrastructure Management,Annually,Number of client departments service delivery agreements (SDAs) for 2025-26 developed,Standardized,Not  Applicable,Priority 7: A better Africa and the World,Transform public service for effective and efficient service delivery,"The Economic Sectors, Employment and Infrastructure Development cluster",4,0,,,,,,,4,0,5,The target was erroneously planed for the first quarter instead of the 4th quarter,None,,,,,,,,,,,,,,,,,,154
Public Works,Public Works,Limpopo,Programme 2: Infrastructure Operations,Sub-Programme 2.3: Provincial Department Infrastructure Management,Annually,Number of Infrastructure Programme Implementation Plans (IPIP) for 2025-26 developed,Standardized,Not  Applicable,Priority 7: A better Africa and the World,Transform public service for effective and efficient service delivery,"The Economic Sectors, Employment and Infrastructure Development cluster",5,0,,,,,,,5,0,6,The target was erroneously planed for the first quarter instead of the 4th quarter .,None,,,,,,,,,,,,,,,,,,154
Public Works,Public Works,Limpopo,Programme 3: Expanded Public Works Programme,Sub Programme 3.2: Community Development,Quarterly,"Number of Work Opportunities Created by the Provincial  Department of Public Works, Roads and Infrastructure.",Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,4. Integrated and sustainable socio-economic infrastructure development (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",500,1 202,600,1 029,0,"

82",0,"

18",1 100,-,2 333,the department overachieved due to replacement of participants who left the programme,none,,The target was exceeded due to the extension of the contracts,None,target met ,The department over achieved due to The target was exceeded due to the extension of the contracts.,Ensure that our planning process and targets are aligned,target not achieved ,"The department overachieved due to 50 work opportunities that were omitted in Q2.

32 work opportunities are as a results of replacements during Q3",None,target not achieved ,"
Replacement of participants who left the programme.","

None",target not achieved ,,,,,154
Public Works,Public Works,Limpopo,Programme 3: Expanded Public Works Programme,Sub Programme 3.3: Innovation and Empowerment,Quarterly,Number of Beneficiary Empowerment Interventions,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,Transform public service for effective and efficient service delivery,"The Economic Sectors, Employment and Infrastructure Development cluster",2,2,0,None,0,"
0",0,"
No planned target",2,2,2,none,none,,None,None,target met ,None,None,cumulative target ,"
None","
None",target not achieved ,"
None","
None",target not achieved ,,,,,154
Public Works,Public Works,Limpopo,Programme 3: Expanded Public Works Programme,Sub Programme 3.4: Co-ordination and Compliance Monitoring,Quarterly,Number of Interventions Implemented to Support Public Bodies,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,Transform public service for effective and efficient service delivery,"The Economic Sectors, Employment and Infrastructure Development cluster",4,4,4,4,4,"

4",4,"

4",4,4,4,none,none,,None,None,target met ,None,None,target achieved,"
None","
None",target achieved ,"

None","

None",target achieved ,,,,,154
Public Works,Public Works,Limpopo,Programme 3: Expanded Public Works Programme,Sub Programme 3.4: Co-ordination and Compliance Monitoring,Quarterly,Number of Public Bodies reporting on EPWP targets within the province,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,Transform public service for effective and efficient service delivery,"The Economic Sectors, Employment and Infrastructure Development cluster",20,34,25,35,30,"
35",35,"
36",35,36,36,"During planning Waterberg District was not included amongst the implementing bodies that should report creation of work opportunities, however during quarter three the district reported on project which appeared in the EPWP reporting system.",none,,More public bodies that were not included to report in this quarter reported due to multi-year projects,None,target met ,The department over achieved due to strengthened coordination with  reporting bodies,None,target achieved,"Implementing bodies that were not initially scheduled to report did so due to robust and vigorous engagement, resulting in an over achievement f 35. ","
None",target achieved ,All municipalities and 9 Departments reported during this quarter. ,"
None",target achieved ,,,,,154
Public Works,Public Works,Limpopo,Programme 4: Roads Infrastructure,Sub Programme 2.1:Road Maintenance,Quarterly,Number of kilometres of gravel roads bladed.,Standardized,Not  Applicable,Priority 7: A better Africa and the World,4. Integrated and sustainable socio-economic infrastructure development (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",9 500,"14 586,60",10 000,"16 631,26

",9 500,"
12122,8",11 000,"
  12 307",40 000,-,"55 647,66",most gravel roads were damaged by heavy rains throughout the province and resources were channeled into repair of affected roads. ,None,,Target exceeded due to community demands.,None,target met ,More kilometers were bladed in response to service delivery requests.  ,None ,target achieved ,More kilometers than planned were achieved due to enhancement of gravel roads maintenance. ,None,target achieved ,"
Most gravel roads were damage by heavy rains throughout the Province and resources were channeled into repair of affected roads.  ","
None",target not achieved,,,,,154
Public Works,Public Works,Limpopo,Programme 4: Roads Infrastructure,Sub Programme 2.1:Road Maintenance,Quarterly,Number of kilometres of gravel roads re-gravelled.,Standardized,Not  Applicable,Priority 7: A better Africa and the World,4. Integrated and sustainable socio-economic infrastructure development (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",10,27,10,"46,20

",10,"
42,7",15,"
16,35",45,-,"132,25",most gravel roads were damaged by heavy rains throughout the province and resources were channeled into repair of affected roads. ,None,,Target exceeded due to community demands.,None,target met ,More kilometers were re gravelled in response to service delivery requests.  ,None ,target achieved,More kilometers than planned were achieved due to enhancement of gravel roads maintenance.,None,target achieved ,"
None","
None",target achieved ,,,,,154
