Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q3,National_Q4,UID
,"Sport, Arts and Culture",Mpumalanga,Programme 4: Sport and Recreation,Sub-Programme: School Sport ,Quarterly,Number of learners participating in school sport tournaments at a district level,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",4000,0,DSAC and DoE did not reach consensus on the implementation of substituting School Sport tournaments with School Sport Leagues program.,The National DSAC is addressing the matter with all relevant structures.,"Not achieved, reason for deviation provided.",4000,1583,"The Memorandum of Understanding on the Implementation of School Sport has been signed. Currently the departments are drafting an Implementation Framework that will allow full implementation of School Sport programme.
Only codes that were participating in National and International events were implemented.
",The implementation of the program will continue in the 3rd quarter. ,"Not achieved, reason for deviation and corrective action provided.",0,1471,The programme  only prioritised codes and age groups that are participated in  the National  School Sport Championships games in December  2024 while the DCSR and DOE are finalising the MOU for regular schools sport  partcicpation,The implementation of the program will continue in the 4th quarter. ,"No reporting required, however progress reported has been noted.",0,1208,The indicator was not achieved due to the reviewal of school sport roll out format by the National Department Sport Arts and Culture,The actual output will be reconciled in the Annual Report,8000,4262,4268,The indicator was not achieved due to the reviewal of school sport roll out format by the National Department Sport Arts and Culture,The actual output will be reconciled in the Annual Report,,,Achieved,128
,"Sport, Arts and Culture",Mpumalanga,Programme 4: Sport and Recreation,Sub-Programme: Sport,Annually,Number of high profile games supported to promote sport development,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,Not Applicable,,,,,,,,,,,1,1,,,,,,,,1,1,1,none,None,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 4: Sport and Recreation,Sub-Programme: Sport,Annually,Number of Provincial Sport Awards hosted to honor athletes who have great achievement in sport,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",,,,,,1,1,,,,,,,,,,,,,1,1,1,None,None,,,,128
,"Sport, Arts and Culture",Mpumalanga,Programme 4: Sport and Recreation,Sub-Programme: Sport,Quarterly,Number of bulk services phases for the High Altitude Training Center implemented,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",0,0,None,None,No reporting required for the quarter under review.,0,0,Targeted in the third quarter,None,No reporting required for the quarter under review.,"Phase 1:
Completion of 7ML reservoir construction","
Phase 1 of the 7ML reservoir construction is at 88%

Initiated upgrading of wastewater treatment plants that is recorded at 18% of the work
","Non-conformance issue
regarding the Reservoir
Roof Slab and column concrete strength.
",The concrete roof slap will re-constructed to achieve the required strength.,"Not achieved as the phase 1 is at 88% as opposed to 100%. The 
province to provide a clear reason for incomplete phase 1.","Phase 2:
Initiate of upgrading of waste water treatment plant",Upgrading of waste water treatment plant initiated and currently recorded at 35%.completion,None,None,"2 bulk services phases for the High Altitude Training Center implemented

Phase 1:
Completion of 7ML reservoir construction

Phase 2:
Initiate of upgrading of waste water treatment plant",-,"Phase 1 of the 7ML reservoir construction is not completed and  the projrct is recorded at 83% completion

Phase 2:  Upgrading of waste water treatment plant initiated and currently recorded at 35%.completion
","Phase 1:  Completion of 7ML reservoir construction is not achieved due to non-conformance issue regarding the reservoir roof slab and column concrete strength
The laboratory test results indicate that the reservoir roof slab has a strength of 19.7MPa, which is below the specified requirement of 25MPa
",The resident engineers are currently working closely with the contractor in assessing the implications of this matter and exploring potential remedial actions through the financial services institution responsible for the insurance of the scope of work done,,,Achieved,128
,"Sport, Arts and Culture",Mpumalanga,Programme 4: Sport and Recreation,Sub-Programme: Sport,Quarterly,Number of sport community based structures supported to advance sport programmes  and enhance tourism,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Social Cohesion and Safe communities,"The Social Protection, Community and Human Development cluster",3,2,The Department was not acknowledged on the note 13 (revenue) of Ilanga Boxing Promotion as the main sponsor in 2023/24 financial year.,Corrections were made and the structure will be supported in the second quarter,"Not achieved, reason for deviation provided.",4,1,"The delay by the structures in submitting all the required information within the required timelines. ( Loskop Marathon, Imizamo Yabagibeli Horse Riders and Bellas Athletic Club for the Makhonjwa Mountain Marathon)",The structures have been informed on their role in supporting the Department to achieve its target on this activity by the end of the 3rd quarter.,"Not achieved, reason for deviation and corrective action provided.",0,0,"Makhonjwa Mountain -Bellas Athletic Club, Imizamo yabagibeli(Horse Racing) and Nashua Loskop Marathon’s documents still in the process of signatures since they only became compliance in the last week of November 2024",The indicator will be achieved in the fourth quarter,No reporting required for the quarter under review.,0,3,The target overlaps from the previous quarters,The actual output will be reconciled in the Annual Report,7,6,7,none,none,,,Achieved,128
Transport,Transport,Mpumalanga,Programme 1: Administration,Sub-Programme 1.1: Office of the MEC,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 1: Administration,Sub-Programme 1.1: Office of the MEC,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 1: Administration,Sub-Programme 1.2: Management of the Department,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
Transport,Transport,Mpumalanga,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,128
