Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q1,National_Q2,National_Q4,National_Q3,DesiredPerformance,UID
Social Development,Social Development,Gauteng,Programme 3: Children and Families,Sub Programme 3.5: Child and Youth Care Centres,Quarterly,Percentage of children placed in Child and Youth Care Centres ,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",100 %,100 %,"Target: Achieved                 
Comment: 100% of all children in need of care and protection in CYCCs who were referred were provided with the service. In addition, non-compliance of CYCCs to the municipal bi-laws, administrative governance and financial management have led to the closure of CYCCs which results in an hindrance to service delivery. ",The Department will continue to facilitate access to Child Care and Protection Services.,Target achieved.,100 %,"
100 %","Target: Achieved                 
Comment: 100% of all children in need of care and protection in CYCCs who were referred were provided with the service. In addition, non-compliance of CYCCs to the municipal bi-laws, administrative governance and financial management have led to the closure of CYCCs which results in an hindrance to service delivery.
There are two CYCC that have closed down voluntarily.",The Department will continue to facilitate access to Child Care and Protection Services.,Target achieved.,100 %,"
100 %","Target: Achieved                 
Comment: 100% of all children in need of care and protection in CYCCs who were referred were provided with the service. In addition, non-compliance of CYCCs to the municipal bi-laws, administrative governance and financial management have led to the closure of some CYCCs which results in a hindrance to service delivery.           A media enquiry led to one CYCC being investigated.",The Department will continue to facilitate access to Child Care and Protection Services.,,100 %,"
100 %","Target: Achieved                 
Comment: 100% of all children in need of care and protection in CYCCs who were referred were provided with the service. In addition, non-compliance of CYCCs to the municipal bi-laws, administrative governance and financial management have led to the closure of some CYCCs which results in a hindrance to service delivery. A media enquiry led to one CYCC being investigated.",The Department will continue to facilitate access to Child Care and Protection Services.,Target  achieved ,100 %,100 %,100,"Target: Achieved                 
Comment: 100% of all children in need of care and protection in CYCCs who were referred were provided with the service. In addition, non-compliance of CYCCs to the municipal bi-laws, administrative governance and financial management have led to the closure of some CYCCs which results in an hindrance to service delivery.A media enquiry led to one CYCC being investigated.",The Department will continue to facilitate access to Child Care and Protection Services.,,Targeted output achieved.,,,,,76
Social Development,Social Development,Gauteng,Programme 3: Children and Families,Sub Programme 3.6:	Community-Based Care Services for children,Quarterly,Number of children reached through community-based prevention and early intervention programmes,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",21263,23242,"Target: Exceeded 
Performance is due to more beneficiaries accessing community-based services than anticipated. 
",The Department will continue to implement the programme.,,21263,"

28 877
","Target: Exceeded 
Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries.",The Department will continue to implement the programme.,,21263,"

28 504
","Target: Exceeded 
 Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries.","The Department will continue to implement the programme.
",,21263,"28559
","Target: Exceeded 
Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries.","The Department will continue to implement the programme.
",Target exceeded,21263,28877,28877,"Target: Exceeded 
Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries.",The Department will continue to implement the programme.,,Overachievement with reason for deviation and corrective action reported.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Reason for deviation and corrective action are noted with targeted output overachieved for this indicator.,Reason for deviation and corrective action are acknowledged although the targeted output is overachieved.,,76
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,Sub Programme 4.2:	Crime Prevention and support,Quarterly,Number of persons reached through social crime prevention programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",318166,1052076,"Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries.",The Department will continue to facilitate access to the programme.,,1255323,"
2 557 020
","Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries.","The Department will continue to facilitate access to the programme.
",,2050885,"
3 886 932"," Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries. Comment: : (additional Q1 roll over  performance  considered in Q2","The Department will continue to facilitate access to the programme.
",,2536312,"

5 029 777
","Target: Exceeded                                      
Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries. ",The Department will continue to facilitate access to the programme.,Target exceeded,2536312,12525805,5029777,Target: Exceeded Performance is due to the intensified Departmental efforts in implementing the programme including the use of a revised mode of service delivery which attracted an increased number of beneficiaries. ,The Department will continue to facilitate access to the programme .,,Targeted output is overachieved. Reason for deviation and corrective action are noted.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Reason for deviation and corrective action are noted with targeted output overachieved for this indicator.,Reason for deviation and corrective action are acknowledged although the targeted output is overachieved.,,76
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,Sub Programme 4.2:	Crime Prevention and support,Quarterly,Percentage of children in conflict with the law who accessed secure care centres,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",100 %,100 %,Target: Achieved                                                                        Comment: 100% of all children in conflict with the law referred by SAPS were assessed and met the criteria to be placed at secure care centres by courts.,The Department will continue to facilitate access to the programme.,Target achieved.,100 %,"
100 %",Target: Achieved                                                                        Comment: 100% of all children in conflict with the law referred by SAPS were assessed and met the criteria to be placed at secure care centres by courts.,The Department will continue to facilitate access to the programme.,Target achieved.,100 %,"
100 %",Target: Achieved                                                                        Comment: 100% of all children in conflict with the law referred by SAPS were assessed and met the criteria to be placed at secure care centres by courts.,The Department will continue to facilitate access to the programme,Target achieved. ,100 %,"

100 %",Target: Achieved                                                                        Comment: 100% of all children in conflict with the law referred by SAPS were assessed and met the criteria to be placed at secure care centres by courts.,The Department will continue to facilitate access to the programme.,Target  achieved ,100 %,100 %,100,Target: Achieved                                                                        Comment: 100% of all children in conflict with the law referred by SAPS were assessed and met the criteria to be placed at secure care centres by courts.,The Department will continue to facilitate access to the programme .,,Targeted output is achieved.,,,,,76
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,Sub Programme 4.2:	Crime Prevention and support,Quarterly,Percentage of persons in conflict with the law who completed diversion programmes ,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",100 %,100 %,"Target: Achieved
Comment: 100% of all children in the diversion programme were provided with the service",The Department will continue to facilitate access to the programme.,Target achieved.,100 %,100 %,"Target: Achieved
Comment: 100% of all children in the diversion programme were provided with the service.",The Department will continue to facilitate access to the programme.,Target achieved.,100 %,"
100 %","Target: Achieved
Comment: 100% of all children in the diversion programme were provided with the service.",The Department will continue to facilitate access to the programme,Target achieved. ,100 %,"

100 %","Target: Achieved
Comment: 100% of all children in the diversion programme were provided with the service.",The Department will continue to facilitate access to the programme.,Target  achieved ,100 %,100 %,100,"Target: Achieved
Comment: 100% of all children in the diversion programme were provided with the service.",The Department will continue to facilitate access to the programme .,,Targeted output is achieved.,,,,,76
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,Number of beneficiaries reached through programme of no violence against children and women including 365 days of activism,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",676972,549753,"Target: Not Achieved
Performance is due to fewer beneficiaries  accessing the programme  than anticipated. Efforts to realise the targets within the quarter could not be concluded.", The Department has developed a catch-up plan to improve the performance in the subsequent quarters.,Target not achieved.,1397793,"

2 527 582
","Target: Exceeded
Performance is due to intensified Departmental efforts in the implementation of the programme including the use of revised mode of service delivery which attracted an increased number of beneficiaries.",The Department will continue to facilitate access to the programme.,,2783686,"


3 549 971
","Target: Exceeded
Performance is due to intensified Departmental efforts in the implementation of the programme including the use of revised mode of service delivery which attracted an increased number of beneficiaries. ",The Department will continue to facilitate access to the programme.,,3200659,"


4 380 629
","Target: Exceeded
Performance is due to intensified Departmental efforts in the implementation of the programme including the use of revised mode of service delivery which attracted an increased number of beneficiaries. ","The Department will continue to facilitate access to the programme.
",Target exceeded,3200659,4380629,1179970,"Target: Exceeded
Performance is due to intensified Departmental efforts in the implementation of the programme including the use of revised mode of service delivery which attracted an increased number of beneficiaries. ",The Department will continue to facilitate access to the programme,,,,,,,76
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,Number of LGBTQIA+ beneficiaries receiving psycho-social support service,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",323,263,Target: Not Achieved                                                               Performance is due to less beneficiaries accessing the programme than anticipated.,The Department will continue to facilitate access to the programme.,"Target not achieved.
The department is requested to align the indicator to the 2024/25 APP by correcting ""service"" with ""services.""",288,"
478
",Target: Exceeded                                                        Performance is due to more beneficiaries accessing the programme than anticipated.,The Department will continue to facilitate access to the programme.,Target not achieved.,289,"

473",Target: Exceeded                                                        Performance is due to the intensified departmental efforts in implementing the programme.,The Department will continue to facilitate access to the programme.,,288,"
323
",Target: Exceeded                                                        Performance is due to more beneficiaries accessing the programme than anticipated.,The Department will continue to facilitate access to the programme.,Target exceeded,1188,1537,1537,Target: Exceeded                                                        Performance is due to more beneficiaries accessing the programme than anticipated,The Department will continue to facilitate access to the programme.,,,,,,,76
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,Number of men reached through the empowerment programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",15538,33102,"Target: Exceeded                                                                               Performance is due to intensified Departmental efforts in the implementation of the programme , including the use of a revised mode of service delivery, which attracted an increased number of beneficiaries.",The Department will continue to facilitate access to the programme .,,109838,"
152 606
","Target: Exceeded                                                                               Performance is due to intensified Departmental efforts in the implementation of the programme, including the use of a revised mode of service delivery, which attracted an increased number of beneficiaries.","The Department will continue to facilitate access to the programme.
",,16537,"
56 745
","Target: Exceeded                                                                               Performance is due to intensified Departmental efforts in the implementation of the programme , including the use of a revised mode of service delivery, which attracted an increased number of beneficiaries.",The Department will continue to facilitate access to the programme .,,15537,"
35 281
","Target: Exceeded                                                                               Performance is due to intensified Departmental efforts in the implementation of the programme, including the use of a revised mode of service delivery, which attracted an increased number of beneficiaries.","The Department will continue to facilitate access to the programme.
",Target exceeded,157450,277734,277734,"Target: Exceeded                                                                               Performance is due to intensified Departmental efforts in the implementation of the programme , including the use of a revised mode of service delivery, which attracted an increased number of beneficiaries.",The Department will continue to facilitate access to the programme .,,,,,,,76
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,Number of victims of crime and violence accessing support services,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",14582,7257,"Target: Not Achieved
Performance is due to fewer beneficiaries accessing the programme as efforts to realise the target within the quarter could not be concluded pending finalisation of Service Level Agreements (SLAs).","The Department has since finalised signing of SLAs and developed a catch-up plan to improve the performance in the subsequent quarters
",Target not achieved.,29046,"
19 002
","Target: Not Achieved
Performance is due to non-compliant NPOs and some of these NPOs provided victim friendly services. ",The Department will continue to provide capacity-building to NPOs to meet compliance requirements for funding.,Target not achieved.,41526,"

30 264
","Target: Not Achieved
Performance is due to non-compliant NPOs providing victim friendly services. Furthermore, the service is demand driven.
",The Department will continue to provide capacity-building to NPOs to meet compliance requirements for funding. Furthermore the Department will continue to market the service through awareness campaigns ,"Target not achieved. The RoD and Corrective Action is the same as in Q2, but the target remains underachieved.  ",54530,"

44 074
","Target: Not Achieved
Performance is due to non-compliant NPOs that were not funded to provide victim friendly services. Furthermore, the service is demand driven.","The Department will continue to provide capacity-building to NPOs to meet compliance requirements for funding. Furthermore, the Department will continue to market the service through awareness campaigns.",Target not achieved ,54530,100597,44621,"Target: Not Achieved
Performance is due to non-compliant NPOs that were not funded to provide victim friendly services. 
Furthermore the service is demand driven 
",The Department will continue to provide capacity-building to NPOs to meet compliance requirements for funding. Furthermore the Department will continue to market the service through awareness campaigns ,,Underachievement with reasons for deviation and corrective action reported.,Underachievement with reason for deviation and corrective action is noted for this indicator.,Reason for deviation and corrective action are noted with targeted output underachieved for this indicator.,Reason for deviation and corrective action are acknowledged although the targeted output is underachieved.,,76
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,Number of victims of GBV and crime who accessed sheltering services,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",523,206,"Target: Not Achieved.
Performance is due to fewer beneficiaries  accessing the programme  as efforts to realise the target within the quarter could not be concluded pending finalisation of Service Level Agreements (SLAs).","The Department has since finalised signing of SLAs and developed a catch-up plan to improve the performance in the subsequent quarters.
",Target not achieved.,524,"
341
","Target: Not Achieved
Performance is due to two Shelters that were not funded due to non-compliance and One shelter de-registered. 
Comment: 100% of Victims of GBV who were referred to shelters were admitted.",The Department will continue to support non-compliant shelters to acquire the required documents from Municipality. The affected Corridors will identify compliant shelters.,Target not achieved.,526,"

373","Target: Not achieved 
Performance is due to shelters that were not funded due to non-compliance and one shelter  was de-registered. 
Comment: 100% of Victims of GBV who were referred to shelters were admitted.
",The Department will continue to support non-compliant shelters to acquire the required documents from Municipality. ,"Target not achieved. The RoD and Corrective Action is the same as in Q2, but the target remains underachieved.   ",525,"

370
","Target: Not achieved 
Performance is due to shelters that were not funded due to non-compliance and one shelter was suspended. 
Comment: 100% of Victims of GBV who were referred to shelters were admitted.


",The Department will continue to support non-compliant shelters to acquire the required documents from Municipality. ,Target not achieved ,2098,1290,1290,"Target: Not achieved 
Performance is due to shelters that were not funded due to non-compliance and one shelter  was suspended. 
Comment: 100% of Victims of GBV who were referred to shelters were admitted.
","The Department will continue to support non-compliant shelters to acquire the required documents from Municipality. 
Department is in the process of operationalising properties donated by Department of Public Works.",,Underachievement with reason for deviation and corrective action reported.,Underachievement with reason for deviation and corrective action is noted for this indicator.,Reason for deviation and corrective action are noted with targeted output underachieved for this indicator.,Reason for deviation and corrective action are acknowledged although the targeted output is underachieved.,,76
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,Percentage of funded VEP service centres,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",100 %,100 %,"Target: Achieved 
Comment: 100% of all submitted and compliant business plans of NPOs were funded. 

",The Department will continue to provide capacity-building to NPOs to meet compliance requirements for funding.,Target achieved.,100 %,"
100 %","Target: Achieved 
Comment: 100% of all submitted and compliant business plans of NPOs were funded. ",The Department will continue to provide capacity-building to NPOs to meet compliance requirements for funding.,Target achieved.,100 %,"
100 %","Target: Achieved 
Comment: 100% of all submitted and compliant business plans of NPOs were funded. ",The Department will continue to provide capacity-building to NPOs to meet compliance requirements for funding.,Target achieved. ,100 %,"
100 %","Target: Achieved 
Comment: 100% of all submitted and compliant business plans of NPOs were funded. ",The Department will continue to provide capacity-building to NPOs to meet compliance requirements for funding.,Target  achieved ,100 %,100 %,100,"Target: Achieved 
Comment: 100% of all submitted and compliant business plans of NPOs were funded. 
",The Department will continue to provide capacity-building to NPOs to meet compliance requirements for funding.,,Targeted output is achieved.,,,,,76
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,Sub Programme 4.3:	Victim empowerment,Quarterly,Percentage of human trafficking victims who accessed social services,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",100 %,100 %,"Target: Achieved 
Comment: All victims of human trafficking who needed services accessed the service.  ",The Department will continue to facilitate access to the programme.,Target achieved.,100 %,"
100 %","Target: Achieved   
Comment: All victims of human trafficking who needed services accessed the service.                                                         ",The Department will continue to facilitate access to the programme.,Target achieved.,100 %,"

100 %","Target: Achieved   
Comment: All victims of human trafficking who needed services accessed the service.    ",The Department will continue to facilitate access to the programme.,Target achieved. ,100 %,"

100 %","Target: Achieved   
Comment: All victims of human trafficking who needed services accessed the service.                                              ","The Department will continue to facilitate access to the programme.
",Target  achieved ,100 %,400 %,100,"Target: Achieved   
Comment: All victims of human trafficking who needed services accessed the service.                                              ",The Department will continue to facilitate access to the programme .,,Targeted output is achieved.,,,,,76
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Number of beneficiaries reached through Ke-Moja drug prevention programme,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",383284,128611,"Target: Not Achieved
Performance is due to fewer beneficiaries accessing the programme as efforts to realise the target within the quarter could not be concluded pending finalisation of Service Level Agreements (SLAs).
","The Department will intensify community mobilization in line with the catch-up plan.
",Target not achieved.,762727,"
573 540
","Target: Not achieved
Performance is due to delays in funding that led to fewer beneficiaries",The Department will continue to facilitate access to the programme.,Target not achieved.,1033770,"

1 103 170
","Target: Exceeded
Performance is due to intensified departmental efforts to implement the programme including the use of technological platforms which attracted an increased number of participants.
","The Department will continue to facilitate access to the programme.
",,1425745,"

1 669 831
","Target: Exceeded
Performance is due to intensified departmental efforts to implement the programme including the use of technological platforms which attracted an increased number of participants.",The Department will continue to facilitate access to the programme.,Target exceeded,1425745,1669831,1669831,"Target: Exceeded
Performance is due to intensified departmental efforts to implement the programme including the use of technological platforms which attracted an increased number of participants.",The Department will continue to facilitate access to the programme.,,,,,,,76
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Number of beneficiaries reached through substance  abuse call and walk-in centres,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",0,0,New indicator. Not targeted ,New indicator. Not targeted ,,0,,,,,8610,"

1081
",Target: Not achieved                                                                                                        Performance is due to fewer calls received at the call centre and few cases of SUD reported or referred ,The department will continue to advertise the service.,Target not achieved. Revised indicator noted.,17220,"

5 419
",Target: Not Achieved                                                                                                        Performance is due to fewer calls received at the call centre and few cases of SUD reported and referred.,Department will continue with outreach and community-based activations to market available services.,Target not achieved ,17220,5419,5419,Target: Not  Achieved                                                                                                        Performance is due to fewer calls received at the call centre and few cases of SUD reported and referred.,Department will continue with outreach and community based activations to market available services.,,,,,,Higher performance is desired ,76
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Number of people reached through substance abuse prevention programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",924568,608587,"Target: Not Achieved.
Performance is due to fewer beneficiaries accessing the programme than anticipated. Efforts to realise the target within the quarter could not be concluded pending finalisation of Service Level Agreements (SLAs).
","The Department has since finalised signing of SLAs and will intensify community mobilization in line with the catch-up plan.
",Target not achieved.,2516042,"
3 385 759
","Target: Exceeded
Performance is due to intensified departmental efforts to implement the programme including the use of technological platforms which attracted an increased number of participants.",The Department will continue to facilitate access to the programme.,,3793829,"

5 204 146
","Target: Exceeded
Performance is due to intensified departmental efforts to implement the programme including the use of technological platforms which attracted an increased number of participants.","The Department will continue to facilitate access to the programme.
",,4736786,"

6 738 213
","Target: Exceeded
Performance is due to intensified departmental efforts to implement the programme including the use of technological platforms which attracted an increased number of participants.",The Department will continue to facilitate access to the programme.,Target exceeded,4736786,6738213,6738213,"Target: Exceeded
Performance is due to intensified departmental efforts to implement the programme including the use of technological platforms which attracted an increased number of participants.",The Department will continue to facilitate access to the programme,,Targeted output is underachieved with reason for deviation and corrective action reported.,Overachievement with reason for deviation and corrective action is noted for this indicator.,Reason for deviation and corrective action are noted with targeted output overachieved for this indicator.,Reason for deviation and corrective action are acknowledged although the targeted output is overachieved.,,76
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Number of recovering service users participating in aftercare programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",7276,1631,"Target: Not Achieved.
Performance is due to fewer beneficiaries accessing the programme than anticipated. Efforts to realise the targets within the quarter could not be concluded pending finalisation of Service Level Agreements.","The Department has since finalised signing of SLAs and will continue to facilitate access to aftercare support services and capacitate Departmental officials to render after care services. 
",Target not achieved. ,7275,"

4 712
","Target: Not Achieved
Performance is due to delays in funding that led to fewer beneficiaries completing primary treatment programmes.
This service is also provided by Departmental officials.
Comment: Service depend on service users' willingness to participate in aftercare programme.",The Department has since finalised signing of SLAs and will continue to facilitate access to aftercare support services and capacitate Departmental officials to render after care services.,Target not achieved.,7275,"

5 662
","Target: Not Achieved
Performance is due to service users discharging themselves before completing treatment programmes.
Comment: Service depend on service users willingness to participate in aftercare programme",The Department will strengthen aftercare services and explore creative means  that will encourage participation in aftercare programmes. ,"Target not achieved. The Corrective Action is the same from Q1 and Q2, but the target remains underachieved.  ",7271,"

5 477
","Target: Not Achieved
Performance is due to service users discharging themselves before completing treatment programmes.
Comment: Service depend on service users' willingness to participate in aftercare programme.",The Department will strengthen aftercare services and explore creative means that will encourage participation in aftercare programmes. ,Target not achieved ,29097,17482,17482,"Target: Not Achieved
Performance is due to service users discharging themselves before completing treatment programmes.
Comment: Service depend on service users willingness to participate in after care programme",The Department will strengthen aftercare services and explore creative means  that will encourage participation in aftercare programmes.,,,,,,,76
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Number of service users admitted at registered and funded Halfway Houses,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",220,58,"Target: Not Achieved
Performance is due to fewer service users admitted at Halfway Houses due to suspension of funding to two Halfway houses that were non-compliant to funding requirements","The Department anticipate a state run facility to improve performance and access to Halfway house.
",Target not achieved. ,220,"

141
","Target: Not Achieved                                                                                                        Performance is due to non-funding of two Halfway houses.
Comment: The bed capacity in two Halfway Houses is 144.",Department is exploring partnerships with other stakeholders to increase bed capacity.,Target not achieved.,219,"

147","Target: Not  Achieved                                                                                                        Performance is due to non funding of two Halfway houses due to on-going investigations
Comment: The bed capacity in two Halfway Houses is 144.",Department is exploring partnerships with other stakeholders to increase bed capacity.,"Target not achieved. The RoD the same as in Q2, whilst the Corrective Action is the same from Q1, but the target remains underachieved.  ",220,"

223

",Target: Exceeded                                                                                                      All recovering service users that were referred to Halfway Houses were admitted.,"Department will continue to implement Halfway House programme.
",Target not achieved ,879,569,569,Target: Not Achieved          Performance is due to limited number of funded beds at Halfway Houses.,,,,,,,,76
Social Development,Social Development,Gauteng,Programme 4:  Restorative Services,"Sub Programme 4.4:	Substance Abuse, Prevention and Rehabilitation",Quarterly,Number of service users who accessed substance use disorder (SUD) treatment services,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Safety, Social Cohesion and Food Security","The Social Protection, Community and Human Development cluster",13042,1810,"Target: Not Achieved
Performance is due to fewer service users accessing the programme as the efforts to realise the targets within the quarter could not be concluded pending finalisation of Service Level Agreements. ","Department has finalised funding process for substance use disorder (SUD) treatment centres and will expand partnership with private treatment centres and facilitate re-re-registration of DR F&F towards improving performance and access to services.
",Target not achieved. ,26150,"
11 369
","Target: Not Achieved
Performance is due to fewer funded inpatient treatment beds available and two community base services not funded 
Comment: 606 inpatient beds discontinued due to on-going investigations.
One community base service suspended due to financial mismanagement and One community base service is due to delayed funding.",Department is exploring partnerships with other stakeholders to increase bed capacity and conclude on funding of affected CBS.,Target not achieved.,36308,"

19 523
","Target: Not Achieved
Performance is due to fewer funded inpatient treatment beds available and two community base services not funded 
Comment: 606 inpatient beds discontinued due to on-going investigations.
One community base service suspended due to financial mismanagement and One community base service is due to delayed funding.
","Department is exploring partnerships with other stakeholders to increase bed capacity and conclude on funding of affected CBS.
  ","Target not achieved. The RoD and Corrective Action is the same as in Q2, but the target remains underachieved.  ",46630,"

31 084
","Target: Not Achieved
Performance is due to fewer funded inpatient treatment beds available and one community-based service not funded due to mismanagement of funds. The most common substance of abuse (Nyaope and Crystal Meth) requires inpatient treatment interventions for better outcomes.","The Department will continue to explore options of increasing inpatient treatment centres. 
Furthermore, service users will be motivated to utilise community based and outpatient treatment services. More day clinics and walk-in centres will be established.
  ","Target not achieved, most of the interventions related programme were underachieved however significant progress is noted. Dept to ensure that remedial actions are noted as provided in the corrective actions since substance abuse is the priority of the province  ",46630,31084,31084,"Target: Not Achieved
Performance is due to fewer funded inpatient treatment beds available and one community based service not funded due to mismanagement of funds. The most common substance of abuse (Nyaope and Crystal Meth) requires inpatient treatment interventions for better outcomes.
","The Department will continue to explore options of increasing inpatient treatment centres. 
Furtheremore service users will be motivated to utilise community based and outpatient treatment services. More day clinics and walk-in centres will be established.",,Underachievement is noted with reasons for deviation and corrective action in place.,Underachievement with reason for deviation and corrective action is noted for this indicator.,Underachievement with reason for deviation and corrective action are noted for this indicator.,Reason for deviation and corrective action are acknowledged although the targeted output is underachieved.,,76
