Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q1,OTP_Q2,OTP_Q3,OTP_Q4,National_Q2,UID
Health,Health,Limpopo,Programme 1: Administration,Programme 1: Administration,Annually,1.1 Audit opinion of Provincial DoH,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",,,,,,,Unqualified audit opinion,Unqualified audit opinion,Unqualified audit opinion,Unqualified audit opinion,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 1: Administration,Programme 1: Administration,Annually,Audit opinion of Provincial DoH,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,1.2 Percentage compliance to payment of suppliers within 30 days,Standardized,Max,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,100 %,100% %,100 %,99.99% %,100 %,99.96 %  %,100 %,100 %,,,,,None ,sustain ,none ,sustain ,One (1) invoice out of 19132 invoices received was paid late due to negligence. ,Corrective measures have been taken against the responsible officials,Eight (8) invoices out of 21834 were paid late due to negligence,Corrective measures have been taken against the responsible officials.,,,,,,191
Health,Health,Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,1.3 Percentage completeness of asset register,Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",100 %,97 %,100 %,100% %,100 %,94% %,100 %,94% %,100 %,97 %,,,,,"72 Assets captured in the Assets Data Forms but not yet captured in the Fixed Assets Register.
Mis-classification journals not yet processed.
",Extra resources will be delegated to help the team with data capturing and preparations of journals.,none ,sustain ,Annual leaves during the festive season had an impact on the process of reconciliation.,Work extra hours daily to ensure that we recover lost time and complete the remaining work,"Slow progress on the following processes: 
1. Assets verification, barcoding
2. Distribution of assets at year end to Institutions.	Work extra hours to complete the remaining work.

",Put extra hours during the week in order to complete the work,,,,,,191
Health,Health,Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,1.4 Revenue collected,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",53400000,56.5,40900000,R53.9m,47000000,580700000,79100000,R52.9m,220600000,0,,,,,Implementation of collection measures from funded patients,Sustain,"Improved collection measures on patient fees, medical records and parking fees.",Sustain,"Improved collection measures implemented on patient fees, medical records and parking fees.",Sustain,Delays in payment of claims by the Road Accident Fund,Regular Engagement and reconciliation of lodged claims,,,,,,191
Health,Health,Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,0,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 1: Administration,Sub-Programme 1: Office of the MEC,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 1: Administration,Sub-Programme 1: Office of the MEC,Quarterly,deafult,Not Applicable,Average,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Annually,1.1 Patient experience of care satisfaction rate ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,82 %,,,,,,82 %,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Annually,1.1 Patient experience of care satisfaction rate (PHC),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",5. Accelerate social change and improve quality of life of Limpopo’s citizens (2019-2024),"The Social Protection, Community and Human Development cluster",,,82 %,86 %,,,,,82 %,86 %,,"Surveyed priorities achieved by 4/5 districts:  
-Availability of medicine  
-Patient Waiting time 
- Values and Attitudes
- Patient safety
- Waiting time
",Sustain,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Annually,1.5 Maternal Mortality in facility  ratio,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,113,104.8,113,104.8,,Conducted maternal death file assessments to identify gaps and remedial intervention to strengthen clinical governance for maternal health in all facilities,Sustain,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Annually,1.7 Neonatal death in facility rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,12,,12,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Annually,1.9 TB Rifampicin resistant/Multidrug – Resistant lost to follow-up rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,0 %,7.3 %,0 %,7.3 %,,Tracing of treatment interrupters and linking them back to care,Sustain,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Annually,3.1 Ideal clinic status obtained rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",5. Accelerate social change and improve quality of life of Limpopo’s citizens (2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,30 %,60.7 %,30 %,60.7 %,,Development and implementation of the facility quality improvement plans.,Sustain,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Malaria case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Maternal Mortality in facility (Ratio - Per 100 000 live births),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Annually,Patient Experience of Care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.1 HIV positive 15-24 years (excl. ANC) rate ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",1.8 %,0.9 %,1.8 %,"0.97%
(1012/104 513)

 %",1.8 %,"1.0%
(825/ 82 011)
 %",1.8 %,"1.1%
(768/70213)
 %",1.8 %,0 %,,,,,"Collaboration
with NGOs
to target and
empower
this age
group with
HIV
prevention
and
interventions
in non-health
settings.
",Sustain,"Collaborated 
with NGOs 
to target and 
empower 
this age 
group with 
HIV 
prevention 
and 
interventions 
in non-health 
settings. 
",Sustain,"Collaborated 
with Non-Governmental Organisations 
to target and 
empower 
this age 
group with 
HIV 
prevention 
and 
interventions 
in non-health 
settings. 
",Sustain,Collaborated with institutions of higher learning to target and empower this age group with HIV prevention and interventions in non-health settings,Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.1 IUCD uptake – Intra Uterine Contraceptive Device,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",550,386,550,649,550,885,550,685,2200,685,,,,,Staff skill gap on inserting and removing IUCD,Capacitate healthcare workers on inserting and removing IUCD,Uptake increased due to improved capacity of clinicians on IUCD insertion skills ,Sustain,"Improved skills and marketing of long-acting contraceptives

Training and Practical of Intra Uterine Contraceptive Device (IUCD) insertion conducted for professional nurses.
",Sustain,"Improved skills and marketing of long-acting contraceptives.
",Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.1 Malaria case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",1 %,0.51 %,1 %,"0.84%
(1/119)
 %",1 %,"0%
(0/183 )
 %",1 %,"0.4%
(1/253)
 %",1 %,0 %,,,,,"Continuous health promotion at community level, to conscientize individuals about malaria’s signs and symptoms ",Sustain,In-facility case management training for health care professionals conducted ,Sustain,Early health care seeking behavior by communities and adherence to malaria treatment guidelines,Sustain ,Early health care seeking behaviour by communities and adherence to malaria treatment guidelines ,Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.1 Malaria case fatality rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,"0.4%
(1/253)
 %",,0 %,,,,,,,,,,,Early health care seeking behaviour by communities and adherence to malaria treatment guidelines ,Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.10 Child under 5 years severe acute malnutrition case fatality rate ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",7.3 %,12.7 %,7.3 %,"8.9%
(19 /213)

 %",7.3 %,"7.3%
(21/286)
 %",7.3 %,"14%
(53/379)
 %",7.3 %,0 %,,,,,Late presentation of malnutrition cases due to missed opportunities for growth monitoring by healthcare workers at PHC level ,"Conduct training on early identification, growth monitoring, and plotting.",Late presentation of malnutrition cases due to missed opportunities for growth monitoring by healthcare workers at PHC level ,"Conduct training on early identification, growth monitoring, and plotting
Management of malnutrition at PHC level  
",None ,Sustain,"Late
presentation of
malnutrition
cases due to
missed
opportunities for
growth
monitoring by
healthcare
workers at PHC
level
","Conduct training on
accurate growth monitoring techniques, and proper chart plotting to enhance nutritional status surveillance
",,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.10 TB Pre-XDR treatment success rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",50 %,0 %,60 %,"50%
           (1/2)
 %",60 %,"100%
(3/3)
 %",60 %,"66.7%
(2/3)
 %",60 %,0 %,,,,,Death rate due to various complications affected performance ,"Intensify TB screening in HIV patient for early TB diagnosis and management 

Intensify TB Preventive Therapy (TPT) initiation amongst the HIV positive clients 
",None ,sustain ,Tracing of treatment interrupters and  linking them back to care,Sustain,"Implementation of the DOT strategy

Tracing of treatment interrupters and linking them back to care. 
",Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.11 Death under 5 years against live birth rate ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",1.5 %,2.1 %,1.5 %,"1.8%
(470 /26 037)

 %",1.5 %,"2.2%
(511/
23 240)
 %",1.5 %,"1.9%
(498/26106)
 %",1.5 %,0 %,,,,,"Late antenatal booking which leads to delayed  diagnosis of high risks conditions 


Late presentation of malnutrition cases due to missed opportunities for growth monitoring by healthcare workers at PHC level


","Health education on early antenatal booking to identify high risk conditions that can lead to prematurity 
Conduct training on early identification, growth monitoring, and plotting
","Late antenatal booking, which leads to delayed diagnosis of high-risk conditions 


The mortality is driven by early neonatal death as a complication of preterm labour and intrapartum asphyxia leading to HIE (Hypoxic Ischaemic Encephalopathy).
 ","To conduct Health education on early antenatal booking to identify high-risk conditions that can lead to mortality
Monitor the implementation of intrapartum care, capacity building on ESMOE and Mentoring of clinicians 
",The mortality is driven by early neonatal death (64;6%) as a complication of preterm labour and intrapartum asphyxia leading to HIE(Hypoxic Ischaemic Encephalopathy ).,To implement intervention to reduce neonatal mortality focussing on improving antenatal  care and management of prematurity ,The mortality is driven by early neonatal death (65.8%) as a complication of late ANC bookings and presentation  ,"To conduct health awareness on early ANC booking through community radio slots, household visits by CHWs, and use of multisectoral drives by other stakeholders within District AIDS Council Health education 
on early 
healthcare 
seeking 
behaviour for 
prompt 
diagnosis and 
treatment
",,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.11 TB Pre-XDR loss to follow up rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",10 %,0 %,10 %,"0%
(0/2)
 %",10 %,"0%
(0/3)
 %",10 %,"0%
(0/3)
 %",10 %,0 %,,,,,Death rate due to various complications affected performance ,"Intensify TB screening in HIV patient for early TB diagnosis and management 

Intensify TB Preventive Therapy (TPT) initiation amongst the HIV positive clients 
",Tracking and tracing of Pre-XDR TB lost to follow up clients,suatin,Tracing of treatment interrupters and linking them back to care,Sustain,Tracing of treatment interrupters and linking them back to care,Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.12 Infant PCR test positive around 6 months rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",0.7 %,0.36 %,0.7 %,"0.3%
(6 /2234)
 %",0.7 %,"0.5%
(12/2396)
 %",0.7 %,"0.36%
(8/2209)
 %",0.7 %,0 %,,,,,Initiation of HIV-positive pregnant women on ART ,Sustain,"Initiation of HIV-positive pregnant women, high risk HIV negative pregnant and breastfeeding mothers on ART and PrEp (Pre-Exposure Prophylaxis) ",Sustain,Initiation of HIV-positive pregnant women on ART and initiation of High HIV negative ,Sustain,Initiation of HIV-positive pregnant women on ART and initiation of High HIV negative pregnant women on PrEP,Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.13 HIV test positive around 18 months rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",0.7 %,0.16 %,0.7 %,"0.1%
(18 /13 199)
 %",0.7 %,"0.23%
(30/12 822)
 %",0.7 %,"0.16%
(20/12 597)
 %",0.7 %,0 %,,,,,Initiation of HIV-positive pregnant women on ART ,Sustain,"Initiation of HIV-positive pregnant women, high risk HIV negative pregnant and breastfeeding mothers on ART and PrEp (Pre-Exposure Prophylaxis)",Sustain,Initiation of HIV-positive pregnant women on ART and initiation of High HIV negative pregnant women on PrEP.,Sustain,Initiation of HIV-positive pregnant women on ART and initiation of High HIV negative pregnant women on PrEP ,Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.14 Immunisation under 1 year coverage ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",75 %,75.7 %,75 %,"75.6%
(95503.0434/126 410)

 %",75 %,"78.8%
(99633.0978/126410)
 
 %",75 %,"82%
(103708.6667/126410)
 %",75 %,0 %,,,,,Availability of vaccines,Sustain ,Data Cleaning conducted on Expanded Programme on Immunization (EPI) data,Sustain,Data cleaning conducted by PHC facilities. ,Sustain,Availability of vaccines,Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.15 Measles 2nd dose 1 year coverage,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",87 %,82.6 %,87 %,"79.2%
(99232.3913/125 289)
 %",87 %,"81.8%
(102533.2609/125289)
 %",87 %,"80.5%
(100845.4444)
 %",87 %,0 %,,,,,Inadequate data capturing and verification ,To conduct verification of mobile clinic vaccination data  ,A high loss to follow-up of children coming for 2nd dose of measles,Implement a catch-up vaccination campaign in quarter 3 targeting areas with low coverage and hard-to-reach populations (farms and informal settlements),A low under 5years PHC Headcount in December (161 892) as  compared to an annual average of 200 723. ,To conduct targeted catch -up campaigns in areas with high dropout ,Children drop out of care between the first measles dose at 6 months and the second dose at 12 months.,Community vaccination catch-up drive in May 2025,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.16 Cervical cancer screening coverage,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",9 %,24.3 %,9 %,23.8% %,9 %,23.9 % %,9 %,22.7% %,9 %,0 %,,,,,Intensified Health education on the importance of pap smear screening in women ,sustain,Uptake increased due to improved capacity of clinicians on pap-smear collection skills.,sustain,Improved skills on Cervical Cancer Screening and target recruitment of clients for the service,Sustain,Health education on the importance of pap smear screening in women,Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.2 Delivery 10 to 14 years in facility,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",125,81,125,78,125,71,125,83,500,83,,,,,"Collaborated  with other stakeholders NGOs, Partners & Department of Education, Department of Social Development on sexual reproductive and prevention of teenage pregnancy",sustain,Multi sectorial collaboration on sexual reproductive and prevention of teenage pregnancy.,sustain,Awareness creation through multi-sectoral platform of District Aids ,Sustatin,Awareness creation through multi-sectoral platform of District Aids Council and consistently reporting of potential child abuse cases through Form 22,Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.2	ART adult remain in care rate  (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",95 %,74.5 %,95 %,"85.4%
(4615/5403)
 %",95 %,"87.4%
(4828/5523)
 %",95 %,"88.6%
(4841/5457)
 %",95 %,0 %,,,,,Inconsistent management of missed appointments lists resulted in the loss to follow up of patients ,"Apply consequence management for managers failing to manage the line lists 

Develop and monitor implementation of monthly live tracking tool

Enhanced Adherence Counselling (EAC) of clients on ART. 
","Misalignment of the captured Transfer Out dates and the last ART visit dates in TIER.Net 

Migration of patients between facilities contributed to Loss of follow-up (LTF) 
","Conduct data clean-up to align the Transfer out dates with the last ART visit dates.
. 
Monitor tracing of all the LTF clients and newly diagnosed HIV patients through the Lab-Tracks and HPRS systems.

Monitor the implementation of a monthly live tracking tool.
",Migration of patients between facilities contributed to Loss of follow -up (LTF) ,Continue monitoring of all the LTF clients and new diagnosed HIV patients through the lab track and Health Patient Registration System ,Migration of patients between facilities contributed to Loss of follow -up (LTF) ,Continue monitoring of all the LTF clients and new diagnosed HIV patients through the lab track and Health Patient Registration System ,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.3 Antenatal 1st visit before 20 weeks rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",68 %,62.5 %,68 %,"65.4%
(16964/ 25 925)

 %",68 %,"65.4%
(16 380/ 25 029)
 %",68 %,"65.2%

(17 457/26 795)
 %",68 %,0 %,,,,,Inadequate knowledge on the importance of early ANC booking and/or cultural beliefs on concealment of pregnancy.,"Implement a Health campaign focusing on the importance of early ANC bookings 

Conduct a mini survey on factors contributing to late ANC bookings
",Women not being aware of their pregnancy and cultural and religious beliefs and Services not being provided during 1st attempt visit.,"Implement a health campaign focusing on the importance of early ANC booking and targeting the identified cultural and health beliefs.


Early detection of pregnancy through community-based pregnancy screening by CHWs
","Concealment of pregnancy by younger teenagers and older women.

Societal pressures such as  fear of family rejection, social stigma, religious expectations and educational disruption concerns

Delay in ANC booking after the 1st pregnancy test results at PHC. 
","To continue with health awareness on early ANC booking through community radio slots, household visits by CHWs, and use of multisectoral drives by other stakeholders within District AIDS Council




Monitor the implementation of the memo regarding universal pregnancy test of childbearing age women and if positive, book for ANC 
","Concealment of pregnancy by younger teenagers and older women. 




Societal pressures such as fear of family rejection, social stigma, religious expectations and educational disruption concerns
","To continue with health awareness on early ANC booking through community radio station and social media platforms 

Use of multisectoral drives by other stakeholders within District AIDS Council.
",,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.3 ART child remain in care rate (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",95 %,87.6 %,95 %,"90.8% 
(168/185)
 %",95 %,"95.6%
(130/136)
 %",95 %,"97.2%
(140/144)
 %",95 %,0 %,,,,,Inconsistent management of missed appointment lists resulted in the loss of follow-up of patients ,"Apply consequence management for managers failing to manage the line lists at all levels.

Develop and monitor implementation of monthly live tracking tool

Enhanced Adherence Counselling (EAC) of clients on ART. 
","The loss to follow-up and death rate affected the performance.

Migration of patients between facilities contributed to Lost to follow-up (LTF) 
","Continue implementation of Multidisciplinary review of virally unsuppressed   and Loss to follow up children and linking them back to care

Track all the LTF clients through the Lab-Tracks and HPRS systems
",Implementation of Multidisciplinary review of Loss to follow up children and linking them back to care,Sustain,Implementation of Multidisciplinary review of Loss to follow up children and linking them back to care,Sustain,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.4 ART Adult viral load suppressed rate (Below 50)  (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",95 %,73.5 %,95 %,"76.2% 
(3050/4002)
 %",95 %,"77.7%
(3332/4287)
 %",95 %,"79.3%
(3484/4391)
 %",95 %,0 %,,,,,Treatment interruptions amongst patients who started treatment,"Monitor the implementation of Enhanced Adherence Counselling (EAC) as per the guideline

Conduct detailed assessment to identity root causes and develop targeted intervention  in collaboration with  partners 
","Treatment interruptions amongst patients who started treatment

The Tier.Net system does not report on the latest Viral load results post-adherence counselling of virally unsuppressed patients. It will only recognise the 1st viral load result captured on the system.
","Monitor the implementation of Enhanced Adherence Counselling (EAC) as per the guideline

The Tier.net error in programming challenge is escalated to the NDOH HAST Director on the 17 October 2024. Follow-up with NDOH on the plans and timeline to resolve the challenge.
","HIV status non-disclosure and alcohol abuse which lead to increased risk-taking behaviour, compromised medication adherence, and potential transmission of HIV as per file review conducted in Vhembe district on the virally unsuppressed clients ","Conduct facility based individualised multidisciplinary team case management. for virally unsuppressed clients 

Collaboration with multi-sectoral stakeholders  on facilitate disclosure and prevention of alcohol abuse programs 
","Non-disclosure of HIV status, alcohol misuse, and geographic mobility which significantly compromise medication compliance and therapeutic outcomes","Collaboration with multi-sectoral stakeholders on facilitate disclosure and prevention of alcohol abuse programs

Conduct facility based individualised multidisciplinary team case management for adult virally unsuppressed clients
",,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.4 Mother postnatal visit within 6 days rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",97 %,97.9 %,97 %,"97.6%
(25 451/ 26 078)

 %",97 %,"96.5%
(22 595/ 23 403)
 %",97 %,92.9% (24264/26131) %,97 %,0 %,,,,,Data verification of the indicator at hospitals,Sustain,"Awareness of Health Care Workers on data collection

Data verification of the indicator at hospitals 
",sustain,"Missed return dates by postpartum caesarean section mothers who were discharged early after 48 hours in hospitals.

Missed the opportunity to do post-natal care ","Monitor adherence to District Circular 1 of 2025 that restricts early discharge of high-risk postpartum mothers and post caesarean section mothers 

All lodger mothers are to
receive postnatal care and be recorded ",Missed return dates by postpartum caesarean section mothers who were discharged within 48 hours in hospitals,Monitor adherence maternal health standards,,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.5 ART child - viral load suppressed rate (Below 50) (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",95 %,3.8 %,95 %,"50.6%
(79/156)
 %",95 %,"71.3%
(87/122)
 %",95 %,"71.9%
(97/135)
 %",95 %,0 %,,,,,Treatment interruptions amongst patients who started treatment,"Monitor the implementation of Enhanced Adherence Counselling (EAC) as per the guideline

Conduct detailed assessment to identity root causes and develop targeted intervention  in collaboration with  partners 
","Treatment interruptions amongst patients who started treatment, psychosocial reasons such as non-disclosure and treatment underdosing 
 
The Tier.Net system does not report on the latest Viral load results post-adherence counselling of virally unsuppressed patients. It will only recognise the 1st  viral load result captured on the system.





","Continue implementation of Multidisciplinary review of virally unsuppressed   and Loss to follow up children and linking them back to care

Monitor the implementation of Enhanced Adherence Counselling (EAC) as per the guideline.


The Tier.net error in the programming challenge was escalated to the NDOH HAST Director on 17 October 2024. Follow up with NDOH on the plans and timeline to resolve the challenge.
","Non-disclosure of HIV status by caregivers and parents



Inconsistent implementation of adopt a child strategy  

","Continue the implementation of a Multidisciplinary review of unsuppressed viral load children and linking them back to care
Monitor implementation of the disclosure guidance 

Monitor the implementation of the adopt a child strategy and apply consequences for non-complying facilities 
","Missed ART dosages by Care givers resulting in poor adherence to treatment.

Child neglect by Care givers.
","Treatment Direct Observed Treatment by CHWs.


Provide counselling to the care givers and refer to social workers for the implementation of Children’s Act 38 of 2005 to protect and promote the rights of children
",,,,,,191
Health,Health,Limpopo,Programme 2: District Health Services,Programme 2: District Health Services,Quarterly,1.6 All DS-TB client LTF rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",7.5 %,6.8 %,7.5 %,"5.6%
(128/2299)
 %",7.5 %,"1.8%
(43/2392)
 %",7.5 %,"5% 
(141/2638)
 %",7.5 %,0 %,,,,,"Tracing of TB
treatment
interrupters
",sustain ,"Intensified tracking and tracing of the TB lost to follow up according to the Tier.Net line lists
shared monthly with districts and progress monitoring through monthly meetings.
",Sustain,"Tracing of treatment interrupters and  linking them back to care

Facility file audits, data verification, validation and clean up 
",Sustain,"Tracing of treatment interrupters and linking them back to care. 

Implementation of the DOT strategy
",Sustain,,,,,,191
