Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,UID
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 6: Environmental Programmes,Programme 6: Environmental Programmes,Quarterly,Percentage of wildfires suppressed,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,90%,"100% (230/230)

Implementation of wildfire suppression aims at enhancing sustainability and protection of life, livelihoods, ecosystem services and natural processes through integrated fire management 
","All fires reported were suppressed to prevent any fatality
",Not applicable,90%,"100% (1 371/1 371)
",All reported fires were fully suppressed to prevent any fatality,N/A,90%,"100% (1 689/1 689)
",All fires reported were suppressed to prevent any fatality,N/A,90%,100% (1 769/1 769),All fires fully suppressed to prevent any fatality,N/A,90% wildfires suppressed,-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 7: Chemicals and Waste Management,Programme 7: Chemicals and Waste Management,Annually,Default,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,,,,,,,,100,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 7: Chemicals and Waste Management,Programme 7: Chemicals and Waste Management,Annually,Percentage decrease of HCFC consumption,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,HCFC consumption reduced by 60% (3 084.12 tonnes),158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 7: Chemicals and Waste Management,Programme 7: Chemicals and Waste Management,Quarterly,Industrial Persistent Organic Pollutants Amendment Regulations developed,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,No milestone,Industrial Persistent Organic Pollutants Amendment Regulations report drafted in April 2024,Not applicable,Not applicable,"Draft inventory for 3 Industrial
Persistent Organic Pollutants
developed","Inception report developed in September 2024 
",Delays in signing Service Level Agreement with service provider due to changes in timeframes of project,"Service provider’s  scope to address trends of import and export of 3 Industrial Persistent Organic Pollutants and inventory is scheduled for  December 2024

Draft inventory will be discussed at Q3 Multistakeholder Committee on Chemicals Management in November 2024 and final Inventory Report submitted at end of December 2024
","Comments and responses
report compiled","Comments and responses report compiled in November 2024
",N/A,N/A,"Draft Industrial Persistent
Organic Pollutants
Amendment Regulations
developed",Draft Industrial Persistent Organic Pollutants Amendment Regulations developed in March 2025,N/A,N/A,"Draft Industrial Persistent
Organic Pollutants
Amendment Regulations
developed",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 7: Chemicals and Waste Management,Programme 7: Chemicals and Waste Management,Quarterly,Number of municipal cleaning campaigns conducted,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,7,"7:

Rand City Local Municipality in April 2024
Greytown Local Municipality in April 2024
Msunduzi Local Municipality in May 2024
Rusternburg Local Municipality in May 2024
City of Tshwane in May 2024
City of Ekurhuleni in June 2024
City of Johannesburg in June 2024

Addresses most common problems identified in South Africa (littering and illegal dumping). Included educational awareness to communities and focused on reducing illegal dumping hotspots whilst assisting municipalities on sustainable waste management planning",Not applicable,Not applicable,15,15,N/A,N/A,22,22,N/A,N/A,29,"29:
1.	Rand City Local Municipality in April 2024
2.	Greytown Local Municipality in April 2024
3.	Msunduzi Local Municipality in May 2024
4.	Rustenburg Local Municipality in May 2024
5.	City of Tshwane in May 2024
6.	City of Ekurhuleni in June 2024
7.	City of Johannesburg in June 2024
8.	Lepelle -Nkumpi Local Municipality in July 2024
9.	Nelson Mandela Bay Metropolitan Municipality in July 2024
10.	Ga-Segonyana Local Municipality in July 2024
11.	Joe Morolong Local Municipality in July 2024
12.	Ga Magara Local Municipality in July 2024
13.	Mkhambathinl Local Municipality in August 2024
14.	Naledi Local Municipality in September 2024
15.	Mamusa Local Municipality in September 2024
16.	Ubuhlebezwe Local Municipality in October 2024
17.	Ethekwini Metropolitan Municiaplity in November 2024
18.	Magareng Local Municipality in November 2024
19.	Phokwane Local Municipality in November 2024
20.	Dikgatlong Local Municipality in November 2024
21.	Sol Plaatjie Local Municipality in November 2024
22.	Greater Kokstad Local Municipality in November 2024
23.	Bushbuckridge Local Municipality in January 2025
24.	Mandeni Local Municipality in February 2025
25.	Kai Garib Local Municipality in February 2025 
26.	Dr JS Moroka Local Municipality in February 2025
27.	Dawid Kruiper Local Municipality in February 2025
28.	Msinga Local Municipality in March 2025
29.	Thembisile Hani Local Municipality in March 2025 
",N/A,N/A,"29 municipal cleaning
campaigns conducted",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 7: Chemicals and Waste Management,Programme 7: Chemicals and Waste Management,Quarterly,Number of municipalities supported on waste diversion interventions,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,2,"2:

Ekurhuleni Municipality in May 2024
Ethekwini Municipality in  June 2024

Support provided to municipalities to address skills gap within sector
",Not applicable,Not applicable,4,4,N/A, N/A,6,"6:

Ekurhuleni Municipality in May 2024
Ethekwini Municipality  in June 2024
City of Tshwane Municipality in August 2024
City of Johannesburg Municipality in September 2024
Ga-Segonyane Local Municipality in November 2024
 Namakwa  Local Municipality in December 2024
",N/A,N/A,8,"8: 

1.	Ekurhuleni Municipality in May 2024
2.	Ethekwini Municipality in June 2024
3.	City of Tshwane Municipality in August 2024
4.	City of Johannesburg Municipality in September 2024
5.	Ga-Segonyane Local Municipality in November 2024
6.	Namakwa Local Municipality in December 2024
7.	Makana Local Municipality in March 2025
8.	Namakwa District Municipality in March 2025
",N/A,N/A,"8 municipalities supported on
waste diversion interventions",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 7: Chemicals and Waste Management,Programme 7: Chemicals and Waste Management,Quarterly,Number of Section 29 Tyre IndWMP committees established,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"Section 29 Tyre IndWMP
Industrial Advisory
Committee established","Nomination letters of Industrial Advisory Committee members circulated in April 2024

Section 29 Tyre IndWMP facilitate development of efficient, equitable and competitive waste tyre processing value chain through collaborating in creation of local markets for waste tyre products and increasing access to international markets
","Only 9 members acknowledged nomination letters  
","Minister approved extension to establish an Industry Advisory Committee in terms of Industry Waste Tyre Management Plan by additional 60 days (20 July 2024)
",No Milestone,Section 29 Tyre Industrial Waste Management Plan Industrial Advisory Committee established in July 2024 and Inaugural meeting of Industry Advisory Committee held in August 2024,N/A,N/A,No Milestone,Draft Standard Operating Procedure for Industry Advisory Committee developed in October 2024,N/A,N/A,"Section 29 Tyre IndWMP
Incentive Evaluation
Committee established",Section 29 Tyre IndWMP Incentive Evaluation Committee established in March 2025,N/A,N/A,"2 Section 29 Tyre IndWMP
committees established",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 7: Chemicals and Waste Management,Programme 7: Chemicals and Waste Management,Quarterly,Number of tonnages for waste tyres processed,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,11 250 tonnages,"13 521.88 tonnages 

Waste tyres processed for different uses as part of diversion of waste tyres from landfill sites to protect natural environment ","1 new secondary industry registration and increase in processed volumes by cement kilns
",Not applicable,22 500 tonnages,23 848 tonnages,"Registration of new secondary industry participants
and increased volume by cement kilns
",N/A,33 750 tonnages,"42 320 tonnages 
",Registration of new secondary industry  participants and increase in processed volumes by cement kilns and crumbing,N/A,45 000 tonnages,"56 153,32 tonnages","Company invested in more capital machinery resulting in increased processing capacity, therefore ordering more tyres",N/A,"45 000 tonnages for waste
tyres processed",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 7: Chemicals and Waste Management,Programme 7: Chemicals and Waste Management,Quarterly,Percentage decrease of HCFC consumption,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"HCFC consumption
reduced by 60%
(3 084.12 tonnes)","HCFC consumption reduced by 96.87% (4 979.6978 tonnes)

To ensure South Africa complies with relevant international chemicals management protocols by reducing consumption of HCFC’s to mitigate its negative impacts on humans and on natural environment 
","There were less imports on HCFC
",Not applicable,"HCFC consumption
reduced by 60%
(3 084.12 tonnes)","HCFC consumption reduced by 96,87 % (4 979.6978 tonnes)

",HCFC reduction well managed due to less quantities of HCFC were imported during period under review,N/A,"HCFC consumption
reduced by 60%
(3 084.12 tonnes)",Target reviewed,N/A,N/A,"HCFC consumption
reduced by 60%
(3 084.12 tonnes)",Target reviewed,N/A,N/A,"HCFC consumption
reduced by 60%
(3 084.12 tonnes)",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 8: Forestry Management,Programme 8: Forestry Management,Quarterly,Number of hectares of Temporary Unplanted areas planted,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,No milestone,KwaZulu-Natal: 3.60 ha,Not applicable,Not applicable,No milestone,"No milestone for the period under review

54,33 ha:

• KwaZulu-Natal: 3,60 ha
• Mpumalanga: 50,73 ha",None,N/A,900 ha,"198,71 ha:

Eastern Cape: 19,10 ha
KwaZulu-Natal: 122,69 ha
Mpumalanga: 56,92 ha
","Finalisation of Terms of Reference for procuring seedlings took longer than anticipated resulting in delays in procurement of seedlings
","Catch up to be done in quarter 4, procurement of seedlings in progress",1 800 ha,"1 060,12 ha 

•	Eastern Cape: 561,67 ha
•	KwaZulu-Natal: 320,91 ha 
•	Limpopo: 35,64 ha
•	Mpumalanga: 141,9 ha 
",Unavailability of quantity of seedlings required due to short notice,Seedlings will be readily available for planting in 2025/2026 Financial Year. Progress on planting will be monitored through implementation of Annual Operational Plan,"1 800 ha of
Temporary
Unplanted Areas
planted",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 8: Forestry Management,Programme 8: Forestry Management,Quarterly,Number of hectares under silvicultural practice,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,200 ha,"546.15 ha:

Eastern Cape: 223.73 ha
KwaZulu-Natal: 297.44 ha 
Limpopo 24.98 ha 


Practice of silviculture include pruning and thinning lower branches to reduce humidity within tree canopy, removing underbrush (weed control) and burning infected trees","Silvicultural activities prioritised with intention to focus on planting from Q3
",Not applicable,850 ha,"2 693,3 ha:

Eastern Cape: 1 573,77 ha
KwaZulu-Natal: 921,65 ha
Mpumalanga: 156,80 ha
Limpopo: 41,08 ha
",Silvicultural activities prioritised with intention to focus on planting from Q3,N/A,1 500 ha,"3 583,14 ha

Eastern Cape: 2 105,04 ha
KwaZulu-Natal: 1 163,48 ha
Limpopo: 273,54 ha
Mpumalanga: 41,08 ha
",Implementation of biological assets audit action plan which addresses maintenance of plantations and silvicultural practices prioritised with intention to focus on planting during planting season,N/A,2 100 ha,"3 784,44 ha

•	Eastern Cape: 2 110,44 ha
•	KwaZulu-Natal: 1 311,20 ha
•	Limpopo: 321,72 ha
•	Mpumalanga: 41,08 ha 
",Biological assets audit action plan which addresses maintenance of plantations and prioritised with intention to focus on planting during planting season,N/A,"2 100 ha under
silvicultural practice",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 8: Forestry Management,Programme 8: Forestry Management,Quarterly,Number of plantations transferred to communities,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"Investigations on Community
Forestry Agreement
offers conducted","Investigations on Community Forestry Agreement offers conducted in April 2024

Transfer of plantations will advance transformation goals of forestry sector and ensure that Department repositioned as regulator instead of active commercial participant in sector
",Not applicable,Not applicable,No milestone,"No milestone for the period under reveiw

3 Community Forestry Agreements negotiations conducted at Mtamo (Amapondomise ase ntshonalanga), Sulenkama and Bencuti communities in July and August 2024

4 Community Forestry Agreement consultations conducted at Taleni, Mazizini (Gwadana) Burnshill, and Nqabara communities in July and  August 2024   
 ",None,N/A,"8 negotiations with Traditional
Councils conducted","8 negotiations with Traditional Councils conducted from October – December 2024
",N/A,N/A,8,"8:

1.	Bencuti plantation, Eastern Cape 
2.	Dwabe plantation, Eastern Cape 
3.	Julukuqu plantation, Eastern Cape 
4.	Mpeko plantation, Eastern Cape 
5.	Mtamo plantation, Eastern Cape 
6.	Ngunduza plantation, Eastern Cape  
7.	Sapompolo plantation, Eastern Cape  
8.	Sulenkama plantation, Eastern Cape 
",N/A,N/A,"8 plantations
transferred to
communities",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 8: Forestry Management,Programme 8: Forestry Management,Quarterly,Number of trees planted outside forest footprint,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,No milestone,"2024/25 National Greening Plan approved in June 2024 

Number of trees planted: 26 415

•	Eastern Cape: 1 528
•	Free State: 2 736
•	Gauteng: 6 154
•	Limpopo: 3 408
•	Mpumalanga: 1 887 
•	Northern Cape: 2 225
•	Western Cape: 8 477

Mitigate environmental threats by providing oxygen, improving air quality and absorbing harmful gases from atmosphere 
",Not applicable,Not applicable,50 000,"80 118:

Eastern Cape – 5 779
Free State- 6 359
Gauteng – 11 026
KwaZulu-Natal – 6 449 
Limpopo – 9 252 
Mpumalanga – 3 297 
Northern Cape – 6 666 
North West – 12 651
Western Cape – 18 639
","Availability of trees earlier than expected, favourable climatic conditions for type of trees to grow, site-specific planting and additional trees planted to commemorate National Arbor Month Campaign",N/A,100 000,"153 469:

Eastern Cape: 12 428 
Free State: 23 853
Gauteng: 15 990 
KwaZulu-Natal: 11 244 
Limpopo: 13 768
Mpumalanga: 4 193 
Northern Cape: 18 584
North West: 24 675
Western Cape: 28 734 
",Additional trees planted as part of revamping Ten Million Trees Programme,N/A,150 000,"176 659:

•	Eastern Cape – 16 429 
•	Free State – 23 853
•	Gauteng – 18 933 
•	KwaZulu-Natal – 16 122 
•	Limpopo – 17 312
•	Mpumalanga – 7 779
•	Northern Cape – 19 732 
•	North-West – 24 987
•	Western Cape – 31 512 
",Availability of trees earlier than expected as well as favourable climatic conditions. Additional trees planted to commemorate National Arbor Month Campaign and Ten Million Trees Programme,N/A,"150 000 trees planted
outside forest
footprint",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 9: Fisheries Management,Programme 9: Fisheries Management,Quarterly,Aquaculture Development Bill submitted for approval,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,N/A,,,,N/A,,,,Aquaculture Development Bill submitted to the Office of the Chief State Law Advisor for final certification,"Aquaculture Development Bill submitted to the Office of the Chief State Law Advisor for final certification in October 2024
",N/A,N/A,Aquaculture Development Bill submitted to Cabinet for recommendation to Parliament,Aquaculture Development Bill submitted to Cabinet for recommendation to Parliament in March 2025,N/A,N/A,Aquaculture Development Bill submitted to Cabinet for recommendation to Parliament,-,,,,,Aquaculture Development Bill submitted to Cabinet for recommendation to Parliament,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 9: Fisheries Management,Programme 9: Fisheries Management,Quarterly,Aquaculture Development Bill submitted to Parliament,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"Economic Sectors, Investment,
Employment and Infrastructure
Development Directors-General
Cluster consulted on the
Aquaculture Development Bill","Analysis of comments received from public consultation ongoing

Aims to promote development of sector to ensure meaningful contribution to country’s priorities such as food and nutrition security, economic growth and job creation while addressing historical imbalances in accessing aquaculture opportunities

","Responding to comments received from public consultations took longer than anticipated due to large volume of comments received
","Consultations at relevant intergovernmental fora scheduled for Q2
","Aquaculture Development
Bill submitted to Cabinet for
recommendation to Parliament","Draft Aquaculture Development Bill incorporating public comments finalised in September 2024
","Department received high volume of comments which took longer than allocated time to consider
",Bill will be submitted to Cabinet by March 2025,"Aquaculture Development Bill
submitted to Parliament for
approval",Target reviewed,N/A,N/A,No milestone,Target reviewed,N/A,N/A,"Aquaculture Development
Bill submitted to
Parliament for approval",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 9: Fisheries Management,Programme 9: Fisheries Management,Quarterly,"Number of inspections conducted in 6 priority fisheries (hake, abalone, rock lobster, line fish, squid and pelagic)",Not Applicable,Not  Applicable,Not Applicable,Not Applicable,1 400,"2 090

To ensure compliance and enforcement by rights and permit holders in terms of Marine Living Resources Act and its regulations",More inspections conducted as a results of more work opportunities created through Working for Fisheries Programme,Not applicable,2 500,"2 916
",More inspections conducted as a results of more work opportunities created through Working for Fisheries Programme,N/A,4 000,"4 076
",More inspections conducted as a result of more work opportunities created through Working for Fisheries Programme,N/A,5 500,5 967,Additional number of officials from Working for Fisheries Programme,N/A,"5 500 inspections
conducted in 6 priority
fisheries (hake, abalone,
rock lobster, line fish,
squid and pelagic)",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 9: Fisheries Management,Programme 9: Fisheries Management,Quarterly,Number of small-scale fisheries sector local co-management structures established,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"Approved terms of reference for
appointment of service provider","Draft terms of reference for appointment of service provider revised in June 2024 to reconsider other aspects relating to co-management structures

Objective for government and small-scale fishing communities to share responsibility and authority for management of a marine resource by that community  
","Terms of reference not approved as scope of work needed to be reduced based on complexities of each province. Scope of work to start with Eastern Cape as pilot

",Terms of reference revised in June 2024  and to be approved in July 2024. Focus of co-management structure implementation will be in Eastern Cape,"Signed service-level agreement
for establishment of local comanagement
structures","Terms of reference for appointment of service provider to undertake work approved in August 2024
","Procurement process at bid evaluation stage due legal opinion required before proceeding

",Obtaining legal opinion on way forward by November 2024,15,"Terms of Reference for one region in Western Cape submitted in December 2024 for consideration
",Procurement process for bid cancelled after legal opinion received,Bid to be re-advertised in January 2025 per region,15,Request for Quotation advertised in February 2025,Procurement process for bid cancelled following legal opinion,Request for Quotation advertised in February 2025 and evaluations will be conducted in 2025/2026 Financial Year,"30 small-scale fisheries
sector local comanagement
structures
established",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 9: Fisheries Management,Programme 9: Fisheries Management,Quarterly,"Number of verifications of right holders conducted (hake, abalone, rock lobster, line fish, squid and pelagic)",Not Applicable,Not  Applicable,Not Applicable,Not Applicable,72,"119

To ensure compliance and enforcement by rights and permit holders in terms of Marine Living Resources Act and its regulations
",More right holders verified due to suspicious activities,Not applicable,145,199,More right holders verified due to suspicious activities,N/A,217,535,More right holders in abalone sector verified due to suspicious activities,,290,626,"More infringements identified, leading to more verifications of right holders",N/A,"290 verifications of right
holders conducted (hake,
abalone, rock lobster, line
fish, squid and pelagic)",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 9: Fisheries Management,Programme 9: Fisheries Management,Quarterly,Percentage of Annual Action Plan for identified Consultative Advisory Forum recommendations implemented,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"100% Q1 deliverables of the
identified Consultative Advisory
Forum recommendations 2024/25
Action Plan implemented","3 feet plan for implementation of Consultative Advisory Forum recommendations approved in May 2024

Objective to ensure implementation of identified Consultative Advisory Forum recommendations namely: Basket of species of small-scale fishing sector enhanced, aquaculture opportunities and enablers identified for small-scale fisheries sector, support to small-scale fishing sector in improving participation in value chain
","Human resource constraints due to vacancy
","
Human resources assigned for coordination of Consultative Advisory Forum reporting in Q2

","100% Q2 deliverables of the
identified Consultative Advisory
Forum recommendations 2024/25
Action Plan implemented","100% (2/2) Q2 deliverables of the identified Consultative Advisory Forum recommendations 2024/25 Action Plan implemented
",None,N/A,"100% Q3 deliverables of the
identified Consultative Advisory
Forum recommendations 2024/25
Action Plan implemented",Target removed from the 2024-25 APP,N/A,N/A,"100% Q4 deliverables of the
identified Consultative Advisory
Forum recommendations 2024/25
Action Plan implemented",Target removed from the 2024/25 APP,N/A,N/A,"100% 2024/25 Action
Plan for identified
Consultative Advisory
Forum recommendations
implemented",-,,,,,,158
Environmental Affairs,"Environment, Forestry and Fisheries",National,Programme 9: Fisheries Management,Programme 9: Fisheries Management,Quarterly,Percentage of National Freshwater (Inland) Wild Capture Fisheries action plan implemented,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,"100% Q1 deliverables of the
National Freshwater (Inland) Wild
Capture Fisheries 2024/25 action
plan implemented","75% (3/4) Q1 deliverables of the National Freshwater (Inland) Wild Capture Fisheries 2024/25 action plan implemented

Deliverables included consultation with provincial departments and visit to waterbodies
","Appointment of service provider on hold pending finalisation of potential funding from Food and Agricultural Organization (FAO) of the United Nations
","Appointment of service provider will resume once feedback obtained from FAO
","100% Q2 deliverables of the
National Freshwater (Inland) Wild
Capture Fisheries 2024/25 action
plan implemented","75% (3/4) Q2 key deliverables of the National Freshwater (Inland) Wild Capture Fisheries 2024/25 action plan implemented
",Appointment of service provider to undertake legislative review process placed on hold pending finalisation of potential funding from Food and Agricultural Organization of the United Nations ,Request for mid-term review submitted in October 2024 to remove target from Annual Performance Plan,"100% Q3 deliverables of the
National Freshwater (Inland) Wild
Capture Fisheries 2024/25 action
plan implemented",Target removed from the 2024-25 APP,N/A,N/A,"100% Q4 deliverables of the
National Freshwater (Inland) Wild
Capture Fisheries 2024/25 action
plan implemented",Target removed from the 2024/25 APP,N/A,N/A,"100% National Freshwater
(Inland) Wild Capture
Fisheries 2024/25 action
plan implemented",-,,,,,,158
Government Communication and Information System,Government Communication and Information System,National,Administration,Subprogramme 1.1: Human Capital and Corporate Support,Quarterly,Percentage of SMS members enrolled for Executive Management and Leadership Support courses,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","Develop a Training Plan that is
inclusive of Executive Management
and Leadership Support courses","The training plan inclusive of Executive Management and Leadership Support courses was discussed in the Transformation and Skills Development Committee, held on 29 April 2024 and in the MANCO meeting held on 07 June 2024",No deviation,None,"Training Plan
approved",Training Plan approved on 10 July 2024,N/A,N/A,No target,No target,,,"5% of SMS members enrolled
for Executive Management and
Leadership Support courses",67% (30 of 45) SMS members were enrolled for different executive management and leadership courses as follows: (a) Five SMS Members were enrolled for the Executive Development Programme with the NSG. (b) Six SMS Members were enrolled for EDP: Additional Modules with the NSG. (c) Four SMS Members were enrolled for General and People Management with Peakford Management Consultants. (d) Thirteen SMS Members were enrolled for Effective Management with GIBS. (e) Two SMS Members attended Advanced Public Relations Writing,An increase in the training budget during the year resulted in more officials being trained,N/A,"5% of SMS members
enrolled for Executive
Management and Leadership
Support courses",-,,,,,,158
Government Communication and Information System,Government Communication and Information System,National,Administration,Subprogramme 1.1: Human Capital and Corporate Support,Quarterly,Percentage of untrained MMS members enrolled for the Management Development Programme,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","Develop a Training Plan that
is inclusive of Management
Development Programmes for MMS
members","The training plan inclusive of Management Development Programmes for MMS members was discussed in the Transformation and Skills Development Committee held on 29 April 2024, was routed to MANCO and discussed in the meeting held on 07 June 2024",No deviation,None,"Training Plan
approved",Training Plan approved on 10 July 2024,N/A,N/A,No target,No target,,,"5% of untrained MMS members
enrolled for Management
Development Programme",23% (07 of 31) MMS Members enrolled and attended Advanced Management Development Programme in the 2024/2025 financial year,An increase in the training budget during the year resulted in more officials being trained,N/A,"5% of MMS members
enrolled for the Management
Development Programme",-,,,,,,158
Government Communication and Information System,Government Communication and Information System,National,Administration,Subprogramme 1.2: Government Information Technology Officer,Quarterly,Percentage of digitisation strategic projects implemented,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","Documentation of
digitisation strategic
projects","Documentation of digitisation strategic projects was done, and the digital strategy was sent via email for round robin for approval. The list of GITO Digital Strategic projects was also developed.",No deviation,None,"10% of digitisation
strategic projects
implemented",11% (2 of 18) of digitisation strategic projects implemented (electronic Document Submission and Barnowl),Target exceeded by 1% due to the calculation of the actual performance against the target,N/A,"5% of digitisation
strategic projects
implemented",Completed one digitisation strategic project: DR Reconfiguration and Testing. 1 of 18 =5% digitisation strategic projects implemented  ,N/A,N/A,"5% of digitisation
strategic projects
implemented",One planned project was not implemented,Three ad-hoc projects were requested by business units and implemented. This meant that the scheduled project was put in abeyance to accommodate business needs,The project which was planned for Q4 will be carried over to the new financial year,"20% of digitisation
strategic projects
implemented",-,,,,,,158
Government Communication and Information System,Government Communication and Information System,National,Administration,Subprogramme 1.2: Government Information Technology Officer,Quarterly,Percentage of IT infrastructure availability (Disaster Risk Reduction),Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","95% Information IT
infrastructure availability","The SLA target was over achieved by 2%, making it 97,51% for Q1 ","Average availability for April 2024 for all sites was 99.93% and average reachability for all sites for April was 99.24%. Average availability for May 2024 for all sites was 99.70% and average reachability was 99.43% Average availability for June 2024 for all sites was 99.17% and average reachability for all sites was 98.23% Average reachability for the quarter was 98,96% and average availability for all sites for the quarter was 99.6% Total average availability and reachability for the quarter was 95,28% . Internet availability - April was 99.92%, May was 100% and June was less than 95% (actual percentage to be confirmed once SITA report is received). There was a lot of downtime and intermittent connectivity in June due to attacks on the gov.za site. Internet availability for the quarter is 97,97% Mainframe availability- April was 99.86% , May was 100% and June was 98% due to interrupted internet services. Mainframe availability for the quarter is 99,28%",None,"95% Information IT
infrastructure availability",The SLA target of 95% was achieved,N/A,N/A,"95% Information IT
infrastructure availability",The 95% target for Infrastructure and Systems availability was achieved.,N/A,N/A,"95% Information IT
infrastructure availability","The SLA target of 95% was achieved, at 96.04%.","The SLA was over achieved by 1,04%. The over achievement is due to robust infrastructure, proactive monitoring and maintenance, efficient incident response, and a well-defined SLA with realistic targets",N/A,"95% Information IT
infrastructure availability",-,,,,,,158
Government Communication and Information System,Government Communication and Information System,National,Administration,Subprogramme 1.3: CFO,Annually,Unqualified audit with no material findings,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,"Unqualified audit with no
material findings",2023-24 Unaudited AFS were tabled at Audit Committee on 27 May 2024 and submitted to AGSA and National Treasury on 31 May 2024. Documents relating to RFIs 1 to 84 were submitted to AGSA. Management response was provided to AGSA. Communication of Finding 01 of 2023-24. Management responses were provided to Internal Audit findings,,,"Unqualified audit with no
material findings",,,No deviation,None,,,158
Government Communication and Information System,Government Communication and Information System,National,Administration,Subprogramme 1.3: Chief Financial Officer,Quarterly,Percentage of budget spent on designated groups and/or locations,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster","10% internal budget
spent on designated
groups and/or locations",35% internal budget spent on designated groups and/or locations ,The heightened activity of Q1 was marked by prioritisation of spending on designated groups leading to overachievement of the target,None,"15% internal budget spent
on designated groups and/
or locations","R36 482 million (30, 6% of total procurement spending) was spent on designated groups. Women: R18 089 million; Youth: R7 913 million; Township: R5 485 million; Rural: R4,697 million; PwD: R298 007",All RFQs above R30 000 and RFBs had compulsory RDP goals,N/A,"20% internal budget
spent on designated
groups and/or locations","Spending on designated groups (women, youth, PwD), rural and township economy amounts to R65,261 million as at 31 December 2024 (38% of total spending - R171,734 million).  ",Target is exceeded by 18% due to enforcement of the targeted procurement on all RFQs (R30 000 to R1 million) and RFBs (above R1 million) advertised. ,N/A,"25% internal budget
spent on designated
groups and/or locations","GCIS spent 38.7% (R89.304 million) on designated groups (women, youth, PwD) and the rural/township economy. Women: R57.244 million; Youth: R17.877 million; PwD: R486 957; Rural: R2.467 million; Township: R11.229 million",All RFBs (R1 million and above) and RFQs (R30 000 up to R1 million) were advertised with RDP goals that are in line with GCIS SCM policy on designated groups and/or locations,N/A,"25% budget spent on
designated groups and/or
locations",-,,,,,,158
