Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,National_Q4,OTP_Q1,OTP_Q2,OTP_Q3,UID
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.3:	Institutional capacity building and support for NPOs,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.3:	Institutional capacity building and support for NPOs,Quarterly,Number of NPOs capacitated,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",238,317,253,734,263,321,233,"482
",987,1854,,,,,,Achieved. Additional NPOs were trained on financial management.,,Overachievement reported.,"Roadshows conducted with SARS, NDA, DSD to address issues of compliance to both funded and non-funded NPOs.
Over-achievement was due to the unplanned capacity building sessionin Sasolburg.
",,Overperformance is noted for this indicator however reasons for deviation should have been included.,"Overachievement a result of the training of Early Childhood Development training conduct in collaboration with Department of Education in Fezile Dabi. 
",,"Performance is noted for this indicator.



","Overachievement was a direct result  of the Capacity Building Partnership with Phambano Technology Development Centre in the Metro and two Districts. 
Overachievement was a direct result  of the Capacity Building Partnership with Phambano Technology Development Centre in the Metro and two Districts. 


",,Reason for deviation should have been included for this overachieved indicator.,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of cooperatives linked to economic opportunities,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",8,13,7,60,3,11,2,19,20,103,,,,,,Achieved.,,"Underachievement reported for this indicator, reason for deviation should have been provided.","Thabo Mofutsanyana linked 56 Cooperatives.
",,Overachievement is noted for this indicator however reasons for deviation should have been included.,"The over achievement is as a result of the Automotive Training focusing on Youth Cooperatives conducted in partnership with DESTEA in Xhariep. 
",,Performance is noted for this indicator but reason for deviation should have been specified for such a huge difference.,"Additional cooperatives were funded in response to proposal received after the Call for proposals

",,The same comment as above applies.,Please provide reason for deviation and corrective action,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of households accessing food through DSD food security programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",45,54,80,103,165,267,218,"339
",218,339,,,,,,Achieved.,,The same comment as above applies. ,Achieved,,Overperformance is noted for this indicator however reason for deviation should have been included.,"Poverty Eradication Day commemoration activities conducted in collaboration with Department of Agriculture where households were given food parcels and gardening equipment led to the overachievement. 
",,Performance is noted for this indicator but reason for deviation should have been specified for such a huge difference.,"Overachievement is a result of the funding of food gardening Cooperatives and Youth Development Structures.

",,This is an overachievement and reason for deviation should have been reported for this indicator.,Please provide reason for deviation and corrective action,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of people accessing food through DSD feeding programmes (centre based),Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",18573,18600,18573,19000,18573,20373,18573,"20822
",18573,20822,,,,,,Achieved.,,"Targeted output is overachieved, however reason for deviation should have been provided for such a huge difference.",Achieved,,Targeted output is achieved for this indicator.,Achieved,,"Performance is noted for this indicator. 
",Target Achieved,,This is an overachievement and reason for deviation should have been reported for this indicator.,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.4:	Poverty Alleviation and Sustainable Livelihoods,Quarterly,Number of people benefitting from poverty reduction initiatives,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",285,291,315,324,345,377,421,"427
",421,427,,,,,,Achieved.,,"Targeted output is underachieved, reason for deviation should have been provided. ",Achieved,,Overperformance is noted for this indicator however reason for deviation should have been included.,Achieved,,"Performance is noted for this indicator with reason for deviation in place.

",Target Achieved,,,Please provide reason for deviation and corrective action,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Quarterly,Number of Community Based Plans developed,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",0,0,5,3,9,7,12,12,12,12,,,,,,Not planned for the quarter,,"Zero performance is recorded for this indicator, reason for deviation should have been provided to shed more light.",Operations were reprioritized to focus on the monitoring of EPWP compliance (Ministerial Determination)  in partnership with Department of Employment and Labour.,3rd Quarter target has been reviewed to include the under performance and the target will be reached.,Underachievement is noted for this indicator.,"Effort was placed on ensuring that NPOs and cooperatives timeously submit applications for funding after second call for proposals.  11 Youth and 8 Women Development NPOs/Cooperatives were approved for funding.
","Process for development of Community Based plans will be conducted during fourth quarter.
",Underachievement is noted for this indicator with reason for deviation in place.,Target Achieved,,Targeted output is achieved for this indicator.,Please provide reason for deviation and corrective action,,Provide Corrective action,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Quarterly,Number of households profiled,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",300,306,700,1418,1200,2203,2000,"2694
",2000,2694,,,,,,Achieved,,"Targeted output is overachieved, reason for deviation should have been provided for this.","Households profiling targeting  CNDC beneficiaries was conducted in 7 towns of Lejweleputswa.
",,Overperformance is noted for this indicator however reason for deviation should have been included.,"More Households were profiled as part of the Molo Makhelwane Campaign, the build up activities for the World Poverty Eradication day commemoration as well as the profiling of farming areas in Fezile Dabi. 
",,Performance is noted for this indicator but reason for deviation should have been specified for such a huge difference.,"Additional households were profiled as part of the Molo Makhelwane Campaign.
",,This is an overachievement and reason for deviation should have been reported for this indicator.,Please provide reason for deviation and corrective action,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.6:	Youth development,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.6:	Youth development,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.6:	Youth development,Quarterly,Number of Youth Development Structures supported,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",15,15,15,20,15,23,15,20,15,20,,,,,,Achieved,,Underachievement is reported for this indicator however reason for deviation should have been provided.,,,Underachievement is noted for this indicator.,"More Youth Structures approached the department for assistance in response to the Calls for Proposal that focused on Youth and Women Organisations. 
",,Underachievement is noted with reason for deviation in place.,"Additional Youth Structures were funded.  
",,This is an overachievement and reason for deviation should have been reported for this indicator.,Please provide reason for deviation and corrective action,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.6:	Youth development,Quarterly,Number of Youth participating in Skills Development Programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",190,245,130,371,85,163,95,"271
",500,1050,,,,,,Achieved,,Targeted output is overachieved.," In Odendaalsrus youth were skilled by NYDA on job preparedness and CV writing. Partnership with Nedbank on financial literacy skills was conducted in the following Towns: Bothaville, Bultfontein, Allanridge and Theunissen.",,Overperformance is noted for this indicator however reason for deviation should have been included.,"More young people were reached as a result of the Job Readiness training conducted in partnership with NDA in Lejweleputswa District. 
",,Performance is noted for this indicator but reason for deviation should have been specified for such a huge difference.,"More Young People were reached as a result of partnerships with Stakeholders such as NDA, SEDA, GCSA etc during the Youth Indaba and the Youth Empowerment programme
",,This is an overachievement and reason for deviation should have been reported for this indicator.,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.6:	Youth development,Quarterly,Number of Youth participating in Youth Mobilization Programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",500,636,205,603,280,596,255,"713
",1240,2548,,,,,,Achieved,,Overachievement reported for this indicator.,,,Overperformance is noted for this indicator however reason for deviation should have been included.,"More Young people were reached as part of the Molo Makhelwane Launch Build up activities in Ward 21 (Qwaqwa), leading to the overachievement. 
",,Performance is noted for this indicator but reason for deviation should have been specified for such a huge difference.,"Mobilisation was intensified in  preparation for the Youth Indaba (Thaba Nchu) and Youth Empowerment programme.
",,This is an overachievement and reason for deviation should have been reported for this indicator.,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.7:	Women development,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.7:	Women development,Quarterly,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.7:	Women development,Quarterly,Number of women empowerment initiatives supported,Standardized,Max,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",8,10,15,29,15,18,15,17,15,29,,,,,,Achieved.,,,,,,"Achieved. Additional Women Development initiatives were funded
",,,"Additional Women Owned Cooperatives and NPOs were funded.
",,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.7:	Women development,Quarterly,Number of women participating in empowerment programmes,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",140,203,530,1201,730,"
1499",800,"1997
",800,1997,,,,,,Achieved.,,Overachievement reported however reason for deviation should have been provided.,"Women's month was celebrated: 
Lejweleputswa Men's Forum addressing GBV while Reproductive Health Institute Wits did screening services of Mammogram and Pap Smear. In Hennenman women living with disabilities were given information  on their rights. In Wesselsbron women were empowered on budgeting and costs skills by African Response Company. 
",,Overachievement is noted for this indicator however reason for deviation should have been included.,"Achieved. Additional Women Development initiatives were funded.
",,Overachievement is noted for this indicator.,Additional women were funded and reached,,This is an overachievement and reason for deviation should have been reported for this indicator.,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.8:	Population Policy Promotion,Annually,Default,Standardized,Not  Applicable,All people in South Africa are and feel safe,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.8:	Population Policy Promotion,Quarterly,Default,Standardized,Not  Applicable,Quality Basic Education,-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.8:	Population Policy Promotion,Quarterly,Number of demographic profile projects completed,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",0,0,0,0,0,0,5,5,5,5,,,,,,Not planned,,,Not planned,,,Not targeted,,,Achieved,,The same comment as above applies.,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.8:	Population Policy Promotion,Quarterly,"Number of Population Advocacy, Information, Education and Communication (IEC) activities implemented",Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",2,2,2,3,2,2,1,1,7,8,,,,,,Achieved,,Targeted output is achieved.,"On Mandela day (July 18th) Department conducted intergenerational dialogue on Adolescent Sexual Reproductive Health (ASRH) and Rights in Phase 10, Bloemfontein. During Women's month (August), department collaborated with SAPS, Community Safety for awareness campaign on GBV and Femicide. The second event was women talk session in Cornelia, Fezile Dabi.",,Overachievement is noted for this indicator with reason for deviation in place.,Achieved,,Targeted output achieved.,One Intergenerational dialogue was conducted in Bloemfontein on the 21 February 2025,,Targeted output is achieved for this indicator.,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.8:	Population Policy Promotion,Quarterly,Number of population capacity development sessions conducted,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",1,0,1,2,1,1,1,1,4,4,,,,,,"Due to unavailability of the target group, the session was postponed to the 2nd quarter",,"Zero performance is recorded for this indicator, reason for deviation should have been provided to shed more light.",Over achieved due to previous quarter sessions postponed to second quarter.,,,Achieved,,Targeted output achieved.,"One capacity building session on Sexual Reproductive Health and Rights was conducted at Thaba Nchu, on 26 March 2025
",,Targeted output is achieved for this indicator.,Please provide reason for deviation and corrective action,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.8:	Population Policy Promotion,Quarterly,Number of Population Policy Monitoring and Evaluation Reports produced,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",0,0,0,0,0,0,1,1,1,1,,,,,,Not planned,,,Not planned,,,Not targeted,,,Evauation report causes and consequences of GBVF is completed,,Targeted output is achieved for this indicator.,,,,238
Social Development,Social Development,Free State,Programme 5: Development and Research,Sub Programme 5.8:	Population Policy Promotion,Quarterly,Number of research projects completed,Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Improved quality of life,"The Social Protection, Community and Human Development cluster",0,0,0,0,0,0,1,0,1,0,,,,,,Not planned,,,Not planned,,,Not targeted,,,Report is in progress and will be finalised by end of April,,Targeted output is achieved for this indicator.,,,,238
