Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q1,National_Q2,OTP_Q3,National_Q3,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,UID
Basic Education,Education,Limpopo,Programme 1:  Administration,Sub-Programme 1.6: Conditional Grants,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 201: Number of teachers trained in inclusion,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,700,700,700,700,,None,N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 202: Number   of schools provided with Grade 3 African Languages graded readers,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,120,120,120,120,,None,N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 203: Number of primary schools monitored on the implementation of the National Reading Plan,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,300,300,300,300,,None,N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 204: Number of teachers trained on ICT curriculum integration,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,1000,1000,1000,1000,,None,None,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 205: Number of teachers trained in coding and robotics/ Digital Technology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,250,250,250,250,,None,None,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 206: Number of focus schools offering technical vocational streams ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,15,10,15,10,,The consultative process leading to the designation of the aspiring Technical focus schools is underway.,To expedite consultation processes.,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 207: Number of Agricultural focus schools established,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,8,8,8,8,,None,None,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 208: Percentage of learners with access to required EFAL textbooks in Grades 6 & 9,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,60 %,66 %,60 %,66 %,,None,None ,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI  205: Number of foundation phase teachers trained in reading methodology,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,700,700,700,700,,None,None,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 201: Number of schools provided with multi-media resources,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,11,11,11,11,,None,N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 202: Number of learners in no fee public ordinary schools in line with the National Norms and Standards for School Funding,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,1695000,1653820,1695000,1653820,,The enrolment of learners is not static.,None,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 203: Number of Funza Lushaka bursary holders placed in schools within six months upon completion of studies or upon confirmation that the bursar has completed studies.,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,368,,368,,,N/A,-,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 204: Percentage of learners in schools that are funded at a minimum level,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,100 %,100 %,100 %,100 %,,None,None,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 206: Number of foundation phase teachers trained in numeracy content and methodology,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,700,700,700,700,,None,None,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 207: Number of teachers trained in mathematics content and methodology,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,2400,2400,2400,2400,,None ,N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 208: Number of teachers trained in language content and methodology,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",,,,,,,,,2400,2400,2400,2400,,None,N/A,,,,,,,,,,,,,,,,207
Basic Education,Education,Limpopo,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Quarterly,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,Default indicator,,,No comment,,,,,,0,,,,,,,,,,,,,,,,,,,207
