Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q1,National_Q2,OTP_Q3,National_Q3,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,UID
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.4: Financial Management,Quarterly,Percentage of procurement budget spent on persons with disabilities enterprises,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",1 %,0.02 %,Target not achieved,2 %,0.63 %,Target not achieved,2 %,0.05 %,2 %,0.00 %,7 %,,,,,,,,Target not met ,,No criteria/methodology for the invitation of RFQs for the targeted group,Develop criteria/methodology for the invitation of RFQs for the targeted group.  ,Non responsiveness to RFQs/B from the targeted group,Elevate matter to Provincial Treasury SCM Advisory Unit for interaction with targeted group,Non responsive market for the targeted group,Continuous engagement by LEDET to build & capacitate the targeted group,Not responsive to bids by targeted group,Dept. to continuously engage targeted group to build their capacity,Target not achieved,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.4: Financial Management,Quarterly,Percentage of procurement budget spent on women-owned enterprises ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",10 %,34.86 %,Target achieved,10 %,76.58 %,Target achieved,10 %,41.52 %,10 %,53.55 %,40 %,111.44 %,,,,,,,Target met,,"The nature of procurement transactions that took place for projects attracted more targeted women-owned enterprises

 

",None,The nature of procurement transactions that took place for projects attracted more targeted women-owned enterprises,None,Procured services were predominantly from women owned enterprises ,None,Services procured were predominantly from women owned enterprises,None,Target achieved,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.4: Financial Management,Quarterly,Percentage of procurement budget spent on youth-owned enterprises,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",5 %,6.71 %,Target achieved ,10 %,21.43 %,Target achieved,10 %,15.95 %,5 %,28.87 %,30 %,,,,,,,,Target met ,,The nature of procurement transactions that took place for projects attracted more targeted youth-owned enterprises,None,The nature of procurement transactions that took place for projects attracted more targeted youth-owned enterprises,None,Procured services were predominately from youth owned enterprises,None,Services procured were predominantly from youth-owned enterprises,None,Target achieved,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.4: Financial Management,Quarterly,Percentage of valid invoices paid within 30 days of receipt,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Transform the public service for effective and efficient service delivery (2019-2024),"Governance, State Capacity and Institutional Development cluster",100 %,99.9 %,Target not achieved,100 %,99.86 %,Target not achieved,100 %,100 %,100 %,100 %,100 %,,,,,,,,Target met,,One invoice missed the disbursement run due to  system unavailability ,The invoice to be included in the next disbursement run,"LOGIS System error 
and 
Human error","None

Improve Internal controls",None,None,None,None,Target achieved,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.5: Sector Skills Development and Training,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 1:  Administration ,Sub-Programme 1.5: Sector Skills Development and Training,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator ,,,Default indicator,,,,,,0,,,,,,,Default indicator ,,,,,,,,,,Default indicator,,207
Environmental Affairs,Environmental Affairs,Limpopo,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Annually,Number of climate change response interventions implemented,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,1,1,1,,None,None,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Annually,Number of environmental research projects completed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,1,1,1,,None,None,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Annually,Number of functional environmental information management systems maintained,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,1,1,1,,None,None,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Annually,Number of inter-governmental sector programmes implemented,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,1,1,1,,None,None,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Annually,Number of legislated tools developed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,1,1,1,,None,None,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,"Programme 2: Environmental Policy,  Planning and Coordination  ","Programme 2: Environmental Policy,  Planning and Coordination  ",Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator ,,,Default indicator,,,,,,0 %,,,,,,,Default indicator ,,,,,,,,,,Default indicator,,207
Environmental Affairs,Environmental Affairs,Limpopo,"Programme 2: Environmental Policy,  Planning and Coordination  ","Sub-Programme 2.1: Intergovernmental Coordination, Spatial and Development Planning",Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,"Programme 2: Environmental Policy,  Planning and Coordination  ","Sub-Programme 2.1: Intergovernmental Coordination, Spatial and Development Planning",Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator ,,,Default indicator,,,,,,0,,,,,,,Default indicator ,,,,,,,,,,Default indicator,,207
Environmental Affairs,Environmental Affairs,Limpopo,"Programme 2: Environmental Policy,  Planning and Coordination  ",Sub-Programme 2.2: Legislative Development,Annually,Default ,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,"Programme 2: Environmental Policy,  Planning and Coordination  ",Sub-Programme 2.2: Legislative Development,Quarterly,Default ,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator ,,,Default indicator,,,,,,0,,,,,,,Default indicator ,,,,,,,,,,"Default indicator
",,207
Environmental Affairs,Environmental Affairs,Limpopo,"Programme 2: Environmental Policy,  Planning and Coordination  ",Sub-Programme 2.3: Research and Development Support,Annually,Default ,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,"Programme 2: Environmental Policy,  Planning and Coordination  ",Sub-Programme 2.3: Research and Development Support,Quarterly,Default ,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator ,,,Default indicator,,,,,,0,,,,,,,Default indicator ,,,,,,,,,,Default indicator,,207
Environmental Affairs,Environmental Affairs,Limpopo,"Programme 2: Environmental Policy,  Planning and Coordination  ",Sub-Programme 2.4: Environmental Information Management,Annually,Default ,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,"Programme 2: Environmental Policy,  Planning and Coordination  ",Sub-Programme 2.4: Environmental Information Management,Quarterly,Default ,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator ,,,Default indicator,,,,,,0,,,,,,,Default indicator ,,,,,,,,,,Default indicator,,207
Environmental Affairs,Environmental Affairs,Limpopo,"Programme 2: Environmental Policy,  Planning and Coordination  ",Sub-Programme 2.5: Climate Change Management,Annually,Default ,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,"Programme 2: Environmental Policy,  Planning and Coordination  ",Sub-Programme 2.5: Climate Change Management,Annually,Number of climate change response interventions implemented,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,1,1,1,,None,None,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,"Programme 2: Environmental Policy,  Planning and Coordination  ",Sub-Programme 2.5: Climate Change Management,Quarterly,Default ,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator ,,,Default indicator,,,,,,0,,,,,,,Default indicator ,,,,,,,,,,Default indicator,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Quarterly,Number of administrative enforcement notices issued for non-compliance with environmental management legislation,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",10,12,Target achieved ,10,26,Target achieved,10,21,10,18,40,77,,,,,"The province is above Q1 target and has achieved by exceeding the target for the quarter 
","The province is above Q2 target and has achieved by exceeding the target for the quarter 
",Target met ,"The province is above Q3 target and has achieved by exceeding the target for the quarter 
",More compliance blitz conducted that resulted in more administrative enforcement actions issued.,None,The blitz conducted led to more administrative enforcement notices being issued. ,None,"Conducted Compliance and Enforcement Blitz Operations, which led to more administrative enforcement issued",None,Conducted Compliance and Enforcement Blitz Operations led to more administrative enforcement notices issued,None,Target achieved,"The province is above Q4 target and has achieved the annual target  
",207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Quarterly,Number of completed criminal investigations handed to the NPA for prosecution,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",1,3,Target not achieved ,2,3,Target achieved,1,2,1,2,5,10,,,,,"The province is above Q1 target and has achieved by exceeding the target for the quarter 
","The province is above Q2 target and has achieved by exceeding the target for the quarter 
",Target met ,"The province is above Q3 target and has achieved by exceeding the target for the quarter 
",Unpredictable as they depend on the nature and outcome of investigations conducted.,None,More collaborations with other law enforcement agencies led to success in finalizing registered cases.,None,More cases were still under investigation from the previous quarter,None,The cases were only finalized in this quarter,None,Target achieved,"The province is above Q4 target and has achieved the annual target  
",207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 3: Compliance and Enforcement,Programme 3: Compliance and Enforcement,Quarterly,Number of compliance inspections conducted,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",70,93,Target not achieved ,70,93,Target achieved,70,77,70,78,280,341,,,,,"The province is above Q1 target and has achieved by exceeding the target for the quarter 
","The province is above Q2 target and has achieved by exceeding the target for the quarter 
",Target met,"The province is above Q3 target and has achieved by exceeding the target for the quarter 
","The directorate received more complaints, which prompted that more compliance blitz be conducted in the quarter. ",None,More complaints received that prompted more compliance blitz to be conducted in the Waterberg and Capricorn Districts,None,Compliance and Enforcement Blitz Operations conducted that led to increased number of compliance inspections,None,Some issued administrative notices prompted more reactive compliance monitoring inspections.,None,Target achieved,"The province is above Q4 target and has achieved the annual target  
",207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 3: Compliance and Enforcement,Sub-Programme 3.1: Environmental quality management compliance and enforcement,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 3: Compliance and Enforcement,Sub-Programme 3.1: Environmental quality management compliance and enforcement,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator,,,Default indicator,,,,,,0,,,,,,,Default indicator ,,,,,,,,,,Default indicator,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Quarterly,Percentage of complete Atmospheric Emission Licenses (AELs) issued within legislated timeframes,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",100,Not applicable,Target achieved ,100,Not Applicable,"Not clear on the actual output. What does not applicable mean(  does it mean no license received, or the quarterly target of 100 not applicable ",100,Not Applicable,100,Not Applicable,100,-,,,,,"The province did not receive applications during quarter four.
","The province did not receive applications during quarter four.
",Need to report in terms of percentage,"The province did not receive applications during quarter four.
",There were no due AEL license applications for the quarter,None,None,None,None,None,None,None,Target  not achieved,"The province did not receive applications during quarter four. 

Kindly find a reminder to indicate if the department did not receive applications for the quarter under review as per the TID.   

",207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Quarterly,Percentage of complete Environmental Impact Assessment (EIA) applications finalized within legislated timeframes,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",100,100 (34 of 34),Target achieved ,100,100,Target achieved,100,"100% (51 of 51)
",100,100,100,-,,,,,"The province is on target for Q1 and has achieved the target for the quarter 
","The province is on target for Q2 and has achieved the target for the quarter 
",Target met,"The province is on target for Q3 and has achieved the target for the quarter 
",None,None,None,None,None,None,None,None,Target achieved,"The province is on target for Q4 and has achieved the annual target  
",207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Quarterly,Percentage of complete Waste License applications finalised within legislated time-frames,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",100,Not applicable,Target achieved ,100,Not Applicable,"Not clear on the actual output. What does not applicable mean(  does it mean no license received, or the quarterly target of 100 not applicable ",100,Not Applicable,100,100,100,-,,,,,"The province did not receive applications during quarter four.
","The province did not receive applications during quarter four.
",Need to report in terms of percentage,"The province did not receive applications during quarter four.
",There were no due Waste license applications for the quarter,None,None,None,None,None,None,None,Target achieved,"The province is on target for Q4 and has achieved the annual target  
",207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 4: Environmental Quality Management,Sub-Programme 4.1: Impact Management,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 4: Environmental Quality Management,Sub-Programme 4.1: Impact Management,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator ,,,Default indicator,,,,,,0,,,,,,,Default indicator ,,,,,,,,,,Default indicator,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 5:  Biodiversity Management,Programme 5:  Biodiversity Management,Annually,Number of Biodiversity Economy initiatives implemented,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,1,1,1,,None,None,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 5:  Biodiversity Management,Programme 5:  Biodiversity Management,Annually,Number of hectares under the conservation estate,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,2000,38563643,2000,38563643,,The total areas to be declared cannot be predetermined particularly by private land owners,None,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 5:  Biodiversity Management,Programme 5:  Biodiversity Management,Annually,Percentage of area of state managed protected areas assessed with a METT score above 67%,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1 %,3.2 %,1 %,3.2 %,,"The status of management effectiveness of the D’Nyala Nature Reserve was sustained to 67.1%, and covers 8000 hectares in extent",None,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 5:  Biodiversity Management,Programme 5:  Biodiversity Management,Quarterly,Percentage of complete biodiversity management permits issued within legislated timeframes,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,Target achieved ,100 %,100 %,Default indicator,100 %,"100% (3242 of 3242)

 %",100 %,100 %,100 %,200 %,,,,,"The province is on target for Q1 and has achieved the target for the quarter 

","The province is on target for Q2 and has achieved the target for the quarter 
",Target met ,"The province is on target for Q3 and has achieved the target for the quarter 
",None,None,None,None,None,None,None,None,Target achieved,"The province is on target for Q4 and has achieved the annual target  
",207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 5:  Biodiversity Management,Sub-Programme 5.1: Biodiversity and Protected Area Planning and Management,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 5:  Biodiversity Management,Sub-Programme 5.1: Biodiversity and Protected Area Planning and Management,Annually,Number of revenue enhancement projects developed,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,1,1,1,,None,None,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 5:  Biodiversity Management,Sub-Programme 5.1: Biodiversity and Protected Area Planning and Management,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator ,,,Default indicator,,,,,,0,,,,,,,Default indicator ,,,,,,,,,,Default indicator,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 6:	Environmental Empowerment Services  ,Programme 6:	Environmental Empowerment Services  ,Annually,Number of work opportunities created through environment sector public employment programmes,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,140,141,140,141,,Additional job created through infrastructure projects at Nylsvlei Nature Reserve,None,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 6:	Environmental Empowerment Services  ,Programme 6:	Environmental Empowerment Services  ,Quarterly,Number of environmental awareness activities conducted,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Economic Sectors, Employment and Infrastructure Development cluster",10,17,Target not achieved,10,19,Target achieved,10,25,10,30,40,91,,,,,"The province is above Q1 target and has achieved by exceeding the target for the quarter 
","The province is on target for Q2 and has achieved the target for the quarter 
",Target met ,"The province is above Q3 target and has achieved by exceeding the target for the quarter 
",There was demand career expo from schools,None,Due to adopt-a-ward programme and requests from the communities and traditional leaders.,None,Increased demand for environmental awareness from the regulated community,None,Increased demand for environmental awareness from the regulated community such as schools and Traditional authorities,None,Target achieved,"The province is above Q4 target and has achieved the annual target  
",207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 6:	Environmental Empowerment Services  ,Programme 6:	Environmental Empowerment Services  ,Quarterly,Number of environmental capacity building activities conducted,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Economic Sectors, Employment and Infrastructure Development cluster",5,5,Target achieved,10,10,Target achieved,10,13,5,7,30,35,,,,,"The province is on target for Q1 and has achieved the target for the quarter 
","The province is on target for Q2 and has achieved the target for the quarter 
",Target met ,"The province is above Q3 target and has achieved by exceeding the target for the quarter 
",None ,None,Increased demand for awareness activities from the communities.,None ,Increased demand for environmental capacity building from the regulated community,None,"Increased demand for environmental capacity building from the regulated community, that is, Traditional Authorities ",None,Target achieved,"The province is above Q4 target and has achieved the annual target  
",207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 6:	Environmental Empowerment Services  ,Sub-Programme 6.1: Environmental Capacity Development and Support,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 6:	Environmental Empowerment Services  ,Sub-Programme 6.1: Environmental Capacity Development and Support,Quarterly,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,Default indicator ,,,Default indicator,,,,,,0,,,,,,,Default indicator ,,,,,,,,,,Default indicator,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 7: Integrated Economic Development Services,"Sub-Programme 7.1: Economic Research, Planning and Coordination",Annually,Number of economic development research completed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,1,1,1,1,,None,None,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 7: Integrated Economic Development Services,"Sub-Programme 7.1: Economic Research, Planning and Coordination",Annually,SMME Strategy Reviewed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,SMME Strategy Reviewed,SMME Strategy Reviewed,SMME Strategy Reviewed,SMME Strategy Reviewed,,None,None,,,,,,,,,,,,,,,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 7: Integrated Economic Development Services,"Sub-Programme 7.1: Economic Research, Planning and Coordination",Quarterly,Number of Economic Development reports compiled on economic indicators,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,Target achieved,1,1,Default indicator,1,1,1,1,4,4,,,,,,,Target met ,,None,None,None,None,None,None,None,None,Default indicator,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 7: Integrated Economic Development Services,Sub-Programme 7.2: Enterprise Development and Economic Empowerment,Quarterly,Number of BBBEE compliance interventions implemented ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,No target set ,1,1,Target achieved,0,,1,4,2,5,,,,,,,No target set ,,None,None,None,None,,,Secured financial  resources enabled  implementation of   more interventions,None,Target achieved,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 7: Integrated Economic Development Services,Sub-Programme 7.2: Enterprise Development and Economic Empowerment,Quarterly,Number of LED interventions implemented in Municipalities,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,No target set ,1,1,Target achieved,0,,1,4,2,5,,,,,,,No target set ,,None,None,None,None,,,"Collaboration with sector departments, SALGA, and municipalities",None,Target achieved,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 7: Integrated Economic Development Services,Sub-Programme 7.2: Enterprise Development and Economic Empowerment,Quarterly,Number of local enterprises supported,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,No target set ,100,169,Target achieved,0,,100,233,200,402,,,,,,,No target set ,,None,None,Collaboration with other stakeholders,None,,,"Collaboration with sector departments, agencies, and private sector institutions",None,Target achieved,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 7: Integrated Economic Development Services,Sub-Programme 7.2: Enterprise Development and Economic Empowerment,Quarterly,Number of Red Tape Reduction interventions co-ordinated,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,No target set ,1,1,Target achieved,0,,1,1,2,2,,,,,,,No target set ,,None,None,None,None,,,None,None,Target achieved,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 7: Integrated Economic Development Services,Sub-Programme 7.3: Trade and Sector Development,Quarterly,Number of components of the National Exporter Development Program facilitated ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,Target achieved ,3,3,Target achieved,3,3,3,3,3,3,,,,,,,Target met ,,None,None,None,None,None,None,None,None,Target achieved,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 7: Integrated Economic Development Services,Sub-Programme 7.3: Trade and Sector Development,Quarterly,Number of manufacturing support programmes implemented ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,Target achieved,3,3,Target achieved,3,3,3,2,3,2,,,,,,,Target met ,,None,None,None,None,None,None,None,None,Target  not achieved,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 7: Integrated Economic Development Services,Sub-Programme 7.3: Trade and Sector Development,Quarterly,Number of programmes implemented to enhance local participation in the mining sector,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",2,2,Target achieved,2,2,Target achieved,2,2,2,2,2,2,,,,,,,Target met ,,None,None,None,None,None,None,None,None,Target achieved,,207
Environmental Affairs,Environmental Affairs,Limpopo,Programme 7: Integrated Economic Development Services,Sub-Programme 7.4: Business Regulation and Governance,Quarterly,Number of monitoring reports produced on implementation of LIBRA in Local Municipalities,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,8. Economic transformation and job creation through regional integration (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,Target achieved ,1,1,Target achieved,1,1,1,1,4,4,,,,,,,Target met ,,None,None,None,None,None,None,None,None,Target achieved,,207
