Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,DesiredPerformance,OTP_Q1,OTP_Q2,OTP_Q3,OTP_Q4,National_Q1,National_Q2,National_Q3,National_Q4,National_Summary,UID
,Cooperative Governance,Free State,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Quarterly,No. of outreach and empowerment programmes facilitated and participated in with regards to community development and empowerment.,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",1,1,0,0,1,1,0,0,2,0,2,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 5: House of Traditional Leaders,-Sub Programme 5.1: Administration of Houses of Traditional Leaders,Quarterly,No. of Provincial House activity reports submitted to the MEC	,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Good governance,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,1,4,1,4,None,None,,None,None,None,None,None,None,None,None,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 5: House of Traditional Leaders,Sub Programme 5.2: Committees and Local Houses of Traditional Leaders,Annually,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
,Cooperative Governance,Free State,Programme 5: House of Traditional Leaders,Sub Programme 5.2: Committees and Local Houses of Traditional Leaders,Quarterly,Default,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,Governance and Administration cluster,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Internal Audit,Annually, 1.1.10 Unqualified audit opinion,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",,,100 %,100 %,,,,,100 %,100 %,100,achieved,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Risk Management,Annually,1.1.11 % compliance with risk management,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,90 %,96 %,90 %,96 %,96,over achievement is due to risk management interventions in the sector,none ,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.1: Office of the MEC,Annually,Default ,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.1: Office of the MEC,Quarterly,Default ,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.2: Senior Management ,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.2: Senior Management ,Quarterly, 1.1.9 Number of socio-economic empowerment programmes for Men and moral regenerations implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",0,,2,2,2,2,4,4,8,4,8,"Achieved
",,,,,achieved,,"achieved


",,achieved,,,Not planned for the quarter.,Achieved,,Kindly ensure that mitigating measures are considered in future planning to avoid similar delays impacting overall target performance.,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.2: Senior Management ,Quarterly,1.1.1 Number of strategic documents produced,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",0,,0,,0,,2,2,2,2,2,"Achieved
",,,,,,,,,achieved,,,Not planned for the quarter.,Due in Q4,,Performance noted.,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.2: Senior Management ,Quarterly,1.1.2 Number of performance reports produced,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",0,,2,2,1,1,2,2,5,5,5,"Achieved
",,,,,Achieved,,achieved,,achieved,,,Not planned for the quarter.,Achieved,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.2: Senior Management ,Quarterly,1.1.3 Compliance with Service Delivery Improvement Plans,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,1,4,4,4,"Achieved
",,,achieved,,achieved,,achieved,,achieved,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.2: Senior Management ,Quarterly,1.1.5 Number of Socio-economic empowerment programmes and projects implemented by the department benefiting women,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",0,,5,0,5,3,5,5,15,8,8,,,,,,"Not achieved due to delays in submitted consolidated performance report
","Report to be submitted in the next quarter 
","Under achievement is due to only two projects reported targeting women
","Evidence from women and youth events still to be verified
",achieved,,,Not planned for the quarter.,"Quarter 2 output not captured, kindly rectify.",,Performance noted.,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.2: Senior Management ,Quarterly,1.1.6 Number of Socio-economic empowerment programmes and projects implemented by the department Benefiting Youth,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",0,,5,0,5,3,5,5,15,8,8,,,,,,"Not achieved due to delays in submitted consolidated performance report
","Report to be submitted in the next quarter 
","Under achievement is due to only two projects reported targeting youth
","Evidence from women and youth events still to be verified
",achieved,,,Not planned for the quarter.,"Quarter 2 output not captured, kindly rectify.",,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.2: Senior Management ,Quarterly,1.1.7 Number of Socio-economic empowerment programmes and projects implemented by the department benefiting persons with disabilities ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",0,,0,,2,2,1,1,3,3,3,"Achieved
",,,,,,,,,achieved,,,Not planned for the quarter.,Not planned for the quarter,Kindly provide the reason for deviation and corrective action.,The non-achievement has been acknowledged. Kindly ensure that the final verified report is submitted timeously for accurate performance assessment.,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.2: Senior Management ,Quarterly,1.1.8 Number of Socio-economic empowerment programmes and projects implemented by the department benefiting veterans,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",0,,0,,0,,5,2,5,2,2,,,,,,,,,,"Underachieved due to funding availability 
",,,Not planned for the quarter.,"Quarter 2 output not captured, kindly rectify.",,The non-achievement has been acknowledged. Kindly ensure that the final verified report is submitted timeously for accurate performance assessment.,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.2: Senior Management ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,,0,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Annually,1.1.13 Number of HOD financial disclosures submitted by EA to the Public Service Commission (31 May of every year). ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",,,1,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Annually,1.1.14 % of SMS financial disclosures submitted by HOD on time to the Public Service Commission (31 May of every year).,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",,,100,100,,,,,100,100,100,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Annually,1.1.15 Number of Reports by the EA within 30 days of referral by the PSC on action taken against conflict of interest in accordance with section 21 of the PSR 2016,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Annually,"1.1.16 % of employees (levels 1 – 12) in critical units (e.g. SCM, Finance, Ethics Officers) completed financial disclosures ",Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Annually,1.1.17 % of employees appointed and remunerated at level (11 – 12) or higher because of OSD or personal notches completed their financial disclosures,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Annually,1.1.18 % of programmes implementing the lifestyle audits framework,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Annually,1.1.19 % of ICT Network Infrastructure Upgraded,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Annually,1.1.4 Number of performance agreements reflecting transformation targets,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,29,29,29,29,29,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually, 1.1.12 % of valid invoices paid within 30 days upon receipt by the department,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,100 %,86 %,100 %,86 %,86,"the invoices were paid on time; however, the disbursements delayed due to  logis system schedule run",,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually,1.1.20 % of audit findings on assets management finalised,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,90 %,90 %,90 %,90 %,90,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually,"1.1.21 % of wasteful, fruitless and irregular expenditure finalised",Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,75 %,75 %,75 %,75 %,75,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.4: Financial Management,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.5: Communication Services  ,Annually,1.1.22 % Compliance with Communication Policy,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",,,,,,,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.5: Communication Services  ,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 1: Administration,Sub Programme 1.5: Communication Services  ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Quarterly,Number of agricultural infrastructure established,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",13,4,13,4,13,1,13,1,52,10,10,"Under achievement of reprioritisation of conditional grant 
",,,"Under achievement is due to very slow progress on procurement and appointment of construction contracts.
","To priorities a collective effort amongst sections involved in procurement of infrastructure contracts (Engineering Services, Districts, SCM, BSC, BEC, BAC).
",Under achievement is due to very slow progress on procurement and appointment of construction contracts for the non-farm infrastructure.,"Management is currently looking at other procurement strategies to Fasttrack the process.
","under achievement,
Delays in infrastructure projects implementation under programme 3
","To be fast-tracked in the in Q4

","Under achievement of reprioritization of conditional grant in Q4
","To be implemented next FY
",,Kindly provide reason for deviation and corrective action.,,,,Reason for deviation and the corrective action statement for the under achievement need to be explained,"Procurement challenges have been a significant hindrance to performance in the Free State for some time, including the last financial year. The province needs to urgently address this issue, as it is impacting service delivery ","Persistent underperformance in the province from Q1 to Q3, primarily due to procurement challenges, has significantly impacted overall progress and efficiency. The reported deviation has remained unchanged since the start of the financial year, with achievement at only 23% of the year-to-date target. Addressing these supply chain management (SCM) limitations is crucial to meeting the annual target.",The reason for deviation has to be provided for over- and under underperformance,The province needs to indicate as to what led to the grant reprioritasation,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Annually,Number of hectares of cultivated land under Conservation Agriculture practices,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,202,2,202,2,2,"Under achieved is due to funds transferred after the planting season
","to be accelerated in the new planting season
",,,,,,,,,,,,,,,,,,,The indicator significantly underperformed. The rationale for the deviation must be elaborated to specify the factors that resulted in the delayed transfer of funds.,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Quarterly,Number of green jobs created,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,50,0,152,0,84,275,286,275,275,"Under achieved due to late transfers of funds and lack of requirements needed from labour beneficiaries
",,,Indicator not planned,,"not achieved, awaiting appointment of the paymaster to pay stipends to the  jobholders.
","To FastTrack the appointment of the paymaster 
","Not achievement,
Delays in projects implementation 
 
","The achievements will be reported early on the next quarter
","Under achieved due to late transfers of funds and lack requirements needed from labour beneficiaries
","To be fast tracked next FY
",,Not planned for the quarter.,,,The Department indicates that the indicator was underachieved but the reported outputs suggest that the target was in fact overachieved. Kindly review and clarify this discrepancy to ensure accurate reporting.,none,"Procurement challenges have been a significant hindrance to performance in the Free State for some time, including the last financial year. The province needs to urgently address this issue, as it is impacting service delivery ","The reason for deviation is not clear, It is important to state what led to the late starting of projects in Q3. ",The reason for deviation has to be provided for over and under performance,The province should indicate the reason for the late transfer of funds,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Quarterly,Number of hectares of agricultural land rehabilitated,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,500,72,1000,0,1000,2569,2500,2641,2569,"Over achieved due to over-roll from previous FY for herbicides and eradication projects
",,,"Indicator not planned
",,"Under achieved due to delays in projects implementation
","To be fast tracked in the next quarter
","Not achievement,
Delays in projects implementation 
","To be fast-tracked in the in Q4
","Over achieved due to over-roll from previous FY for herbisides and eradication projects
",,,"Although over-achieved, what is the reason for the over-achievement and the implications thereof? ","Quarter 2 output not captured, kindly rectify.",,,Reason for variance and the corrective action for achievement of unplanned indicator need to be stated,"Performance against the indicator was not reported, and no POEs were provided during the oversight visit. Reasons for variances, whether underperformance or overperformance, should always be provided.","The reason for deviation is not clear, It is important to state what led to the late starting of projects in Q3. ",The reason for deviation has to be provided for over and under performance,The reason for deviation is noted ,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.3: Land Use Management,Annually,Number of agro-ecosystem management plans developed,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,None,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.3: Land Use Management,Quarterly,Number of farm management plans developed,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",8,6,12,20,8,9,12,25,40,60,60,"Over achieved due to demand driven from farmers and producers
",,,"Under achievement is due to the harvesting season, less applications were received from land users.
","Backlogs will be addressed in remaining quarters 
","More applications received from project coordinators and land users for the development of farm management plans.
",,,,"Over achieved due to demand driven from farmers and producers
",,,Kindly provide the reason for deviation and corrective action.,,"Although overachieved, please provide reasons for deviation.",,Reason for deviation and the corrective action statement for the under achievement need to be explained,20 compliant POEs were provided during the oversight visit.,,The reason for deviation has to be provided for over and under performance,corrective actions should also be provided for over overperformance,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.4: Disaster Risk Reduction,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.4: Disaster Risk Reduction,Quarterly,Number of awareness campaigns on disaster risk reduction conducted,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,4,4,4,,,,achieved,,,,,,,,,,Achieved,Achieved,,100% achievement is noted,Noted,100% achievement is noted,None,None,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.4: Disaster Risk Reduction,Quarterly,Number of surveys on uptake for early warning information conducted,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,4,4,4,,,,achieved,,,,,,,,,,Achieved,Achieved,Performance noted.,100% achievement is noted,"The survey conducted was not signed off by the farmer, leading to the rejection of the POE and resulting in zero performance, unless corrected before submission to the HOD",100% achievement is noted,None,None,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,3.1.3 Number of producers supported under Horticulture (P),Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,1,0,,2,0,1,12,3,12,12,"overachieved due to additional support from Marketing, Mechanisation, food security and project reprioritisation
",,,over achievement is due to Olyvenfontein project supported with irrigation system,,,,"Not achieved, however 2 producers supported with transfer payments, evidence to be verified
","The verified achievement will be reported in Q4 
","overachieved due to additional support from Marketing, Mechanisation, food security and project reprioritisation",,,Not planned for the quarter.,Not planned for the quarter ,Achieved,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,3.1.4 Number of producers supported under Poultry (P),Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,,0,0,1,7,1,7,8,"overachieved due to additional support from project reprioritisation and intervention for incomplete projects
",,,,,,,"Not achieved, however 2 producers supported with transfer payments, evidence to be verified

","The verified achievement will be reported in Q4 
",overachieved due to additional support from project reprioritisation and intervention for incomplete projects,,,Not planned for the quarter.,Not planned for the quarter ,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,3.1.5 Number of producers supported under Aquaculture (P),Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,,0,0,0,1,0,1,1,,,,,,,,,,achieved,,,,,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,3.1.6 Number of producers supported under Pastures (P),Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,,2,0,0,7,2,7,7,"overachieved due to additional support from red meat projects and projects reprioritisation
",,,,,,,"Not achieved, no transfer payments

","To be reported in Q4 

",overachieved due to additional support from red meat projects and projects reprioritisation,,,Not planned for the quarter.,Not planned for the quarter,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,3.1.7 Number of producers supported under Apiary (Bee Keeping) Commodity (P),Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,,0,0,1,3,1,3,3,"overachieved due to additional support from projects reprioritisation
",,,,,,,"Not achieved, however 1 producers supported with transfer payments, evidence to be verified

","The verified achievement will be reported in Q4 
",overachieved due to additional support from projects reprioritisation,,,Not planned for the quarter.,Not planned for the quarter,,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of producers supported in the Citrus Commodity,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,,0,,0,,0,0,0,,,,,,,,,,,,,Not planned for the quarter.,,,,None,No targets for the quarte under review,,None,None,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of producers supported in the Cotton Commodity,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,None,,,None,None,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of producers supported in the deciduous fruit Commodity,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,Not Applicable,0,0,0,,0,,1,1,1,1,1,,,,,,,,,,,,,,Not planned for the quarter,Not planned for the quarter.,,,,,,,270
"Agriculture, Forestry and Fisheries",Agriculture,Free State,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of producers supported in the Grain Commodity,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,,5,0,8,24,13,24,24,"overachieved due to additional support from Marketing, Mechanisation and project reprioritisation
",,,,,,,"Not achieved, however 23 producers supported with transfer payments, evidence to be verified

","The verified achievement will be reported in Q4 
","overachieved due to additional support from Marketing, Mechanisation and project reprioritisation",,,Not planned for the quarter.,Not planned for the quarter,,,None,No targets for the quarte under review,"The reasons for the deviation must clearly explain why the transfer payment resulted in overachievement. Ideally the projects planned for the quarter should have been aligned with the transfer payment the province expected to receive, was the payment more that what was expected? Why did the transfer payment result in over achievement ?",The reason for deviation has to be provided for over- and underperformance,None,270
