Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,National_Q4,OTP_Q4,OTP_Q1,OTP_Q2,UID
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Sub-Programme 1.5: Education Management Information System (EMIS),Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Sub-Programme 1.6: Conditional Grants,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 1:  Administration,Sub-Programme 1.6: Conditional Grants,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 2.1: Percentage of schools were allocated teaching posts are all filled,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,94 %,,94 %,,57,The target could not be met due to high staff turnover. ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 2.10: Number of schools provided with Grade 3 African Languages reading material ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,1000,,1000,,1895,provision of more schools to address backlog ,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 2.11: Number of primary schools using Grades 1-3 Lesson Plans for literacy in home language ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",1200,,,,,,,,1200,,200,Target was reduced to 200 due to limited funds ,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 2.14: Number of National Teaching Awards (NTA) administered in the Province,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,5,,5,,5,None ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 2.2: Percentage of sampled schools producing a minimum set of management documents ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,100 %,,100 %,,100,None ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 2.3: Percentage of sampled schools with functional school safety committees,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,87 %,,87 %,,87,None ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 2.5: Number of primary schools monitored for availability of the school's Reading Literacy Policy  ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,600,,600,,600,None ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 2.6: Percentage of SGBs in sampled schools that meet minimum criteria in terms of effectiveness every year,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,90 %,,90 %,,100,None ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 2.7: Number of schools piloting coding and robotics curriculum (implementation of coding and robotics curriculum),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,228,,228,,228,None ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,"POI 2.8: Percentage of learners provided with English First Additional Language (EFAL) and Mathematics textbooks in grades 3,6,9 and 12",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,100 %,,100 %,,100,None ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 2.9: Percentage of learners enrolled for grade R undertaking school readiness assessment ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,32 %,,,,32 %,,32,None ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 201:	Number of schools provided with multi-media resources,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,101,,101,,400,more schools provided due to budget reprioritisation ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 202:	Number of learners in no fee public ordinary schools in line with the National Norms and Standards for School Funding,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,1011727,,1011727,,1012760,more learners enrolled than anticipated ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 203: Number of foundation phase teachers trained in reading methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,1000,,1000,,1000,None ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 204: Number of foundation phase teachers trained in numeracy content and methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,1000,,1000,,1000,None ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 205: Number of teachers trained in Mathematics content and methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,1500,,1500,,1500,None ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 206: Number of teachers trained in Language content and methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",,,,,,,2300,,2300,,2300,None ,None ,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Quarterly,Default,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Quarterly,POI 2.12: Number of schools monitored and supported on QMS ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",300,300,300,204,50,39 ,250,46,900,589,300,due to competing programmes ,to prioritise Provincial programmes,,None ,None ,"There is no alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 100% of the set target.   
",Not all schools were monitored and supported due to competing programmes ,The activity is differed to the third quarter ," The outcome for the 2nd  quarter of the 2024/25 financial year is 68% of the set target.  The variance is -96.  The PED has provided a reason for the attainment of the outcome for the quarter under review. The PED is advised to plan for all activities so that deliverables can know by all officials. In addition, this will lead to them knowing when and how the priorities will be delivered.
",Priority was given to the monitoring of the NSC exams,The outstanding schools will be done in the fourth quarter ,"The PED has achieved 78% of the set target for the quarter under review. The variance is -11.  The PED has provided a reason for the attainment of the set target.. The PED is advised to track the outcome of the corrective action to be undertaken.
",The target was revised ,None ,"The PED has achieved 18,40%  of the set target for the quarter under review.   The variance is -204. The PED has provided a reason for the attainment of the quarterly target. 
","Ensure revised APP is attached, target was supposed to have been re-captured at the end of 3rd quarter as per re-vised APP",,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Quarterly,POI 2.13: Number of teachers supported through the training programmes delivered through the PTDIs and DTDCs,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",900,1100,900,1383,0,0,700,700,2500,3183,1000,the target was reduced due to financial constraints to 1000,none ,,More teachers attended the training than anticipated ,None ,"There is no  alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters  of the  2024/25 financial year. The outcome for the 1st quarter of the 2024/25 financial year is 122% of the set target. The variance is 200.   The PED has  provided a reason for the attainment of the set target for the quarter under review. 
",More teachers supported through training programmes through PTDIs and DTDCs due the backlog from the previous quarter ,None ," The outcome for the 2nd quarter of the 2024/25 financial year is 154% of the set target.  The variance is 483.  The PED has provided a reason for the attainment of the outcome for the quarter under review. 
",None ,None ,,None ,None ,"The PED has achieved 100% of the set target for the quarter under review.   
",,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Quarterly,POI 2.4: Number of quintile 1-3 schools benefiting from National School Nutrition Programme ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, skills and health","The Social Protection, Community and Human Development cluster",1533,1520,1533,1520,1533,1520,1533,1520,1533,6080,1520,closure/ merger of schools ,None ,,Closure  and merger of school ,None ,"There is no alignment between the targets in the e-QPR and the 2024/25 APP for all the quarters of the 2024/25 financial year.  This indicator is depicted as an annual indicator in the 2024/25 APP of the PED. The outcome for the 1st quarter of the 2024/25 financial year is 99,2% of the set target. The variance is -13.    The PED has provided a reason for the attainment of the set target for the quarter under review. 
",closure/merger of schools,None," The outcome for the 2nd  quarter of the 2024/25 financial year is 99% of the set target. The variance is -13. The PED has provided a reason for the attainment of the outcome for the quarter under review. 
",Merger and Closure of small and non-viable schools ,None ,"The PED has achieved 98,2% of the set target for the quarter under review. The variance is -13.  The PED has provided a reason for the attainment of the set target.. The PED is advised to track the impact of the rationalisation and whether the resources from the schools have been reallocated and if there are savings thereof.
",Closure /Merger of schools ,None ,"The PED has achieved 99,15%  of the set target for the quarter under review.  The variance is -13. The PED has provided a reason for the attainment  of the quarterly target. The PED is advised to track the impact of the rationalisation and whether the resources from the schools have been reallocated and if there are savings thereof.
",,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Sub-Programme 2.1: Public Primary Level,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
Basic Education,Education,Mpumalanga,Programme 2.	Public Ordinary School Education,Sub-Programme 2.1: Public Primary Level,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
