Function group;Econ2;Econ3;Financial year;Value
Peace and security;Payments for capital assets;Buildings and other fixed structures;2018;713467
Peace and security;Payments for capital assets;Buildings and other fixed structures;2019;574238
Peace and security;Payments for capital assets;Buildings and other fixed structures;2020;360359
Peace and security;Payments for capital assets;Buildings and other fixed structures;2021;814399
Peace and security;Payments for capital assets;Buildings and other fixed structures;2022;1042642
Peace and security;Payments for capital assets;Buildings and other fixed structures;2023;1120117
Peace and security;Payments for capital assets;Buildings and other fixed structures;2024;1109522
Peace and security;Transfers and subsidies;Non-profit institutions;2018;8326
Peace and security;Transfers and subsidies;Non-profit institutions;2019;8742
Peace and security;Transfers and subsidies;Non-profit institutions;2020;8995
Peace and security;Transfers and subsidies;Non-profit institutions;2021;9179
Peace and security;Transfers and subsidies;Non-profit institutions;2022;9354
Peace and security;Transfers and subsidies;Non-profit institutions;2023;9822
Peace and security;Transfers and subsidies;Non-profit institutions;2024;10313
Peace and security;Payments for financial assets;Payments for financial assets;2021;2330
Peace and security;Current payments;Goods and services;2018;3310327
Peace and security;Current payments;Goods and services;2019;3848284
Peace and security;Current payments;Goods and services;2020;2537209
Peace and security;Current payments;Goods and services;2021;4833728
Peace and security;Current payments;Goods and services;2022;2982457
Peace and security;Current payments;Goods and services;2023;3375014
Peace and security;Current payments;Goods and services;2024;3455092
Peace and security;Transfers and subsidies;Households;2018;18406
Peace and security;Transfers and subsidies;Households;2019;24077
Peace and security;Transfers and subsidies;Households;2020;25683
Peace and security;Transfers and subsidies;Households;2021;4105
Peace and security;Transfers and subsidies;Households;2022;24700
Peace and security;Transfers and subsidies;Households;2023;25184
Peace and security;Transfers and subsidies;Households;2024;25223
Peace and security;Payments for financial assets;Payments for financial assets;2018;4987
Peace and security;Payments for financial assets;Payments for financial assets;2019;5042
Peace and security;Payments for financial assets;Payments for financial assets;2020;10239
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2018;449403
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2019;357763
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2020;163210
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2021;166819
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2022;342108
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2023;350377
Peace and security;Transfers and subsidies;Departmental agencies and accounts;2024;366110
Peace and security;Payments for capital assets;Buildings and other fixed structures;2018;204823
Peace and security;Payments for capital assets;Buildings and other fixed structures;2019;174252
Peace and security;Payments for capital assets;Buildings and other fixed structures;2020;164106
Peace and security;Payments for capital assets;Machinery and equipment;2018;249014
Peace and security;Payments for capital assets;Machinery and equipment;2019;273876
Peace and security;Payments for capital assets;Machinery and equipment;2020;475970
Peace and security;Payments for capital assets;Machinery and equipment;2021;1050648
Peace and security;Payments for capital assets;Machinery and equipment;2022;589060
Peace and security;Payments for capital assets;Machinery and equipment;2023;397919
Peace and security;Payments for capital assets;Machinery and equipment;2024;187458
Peace and security;Payments for capital assets;Software and other intangible assets;2018;54344
Peace and security;Payments for capital assets;Software and other intangible assets;2019;126292
Peace and security;Payments for capital assets;Software and other intangible assets;2020;98765
Peace and security;Current payments;Compensation of employees;2018;4352347
Peace and security;Current payments;Compensation of employees;2019;4633859
Peace and security;Current payments;Compensation of employees;2020;4574343
Peace and security;Current payments;Compensation of employees;2021;4942488
Peace and security;Current payments;Compensation of employees;2022;5117595
Peace and security;Current payments;Compensation of employees;2023;5210202
Peace and security;Current payments;Compensation of employees;2024;5481937
Peace and security;Transfers and subsidies;Provinces and municipalities;2018;2543
Peace and security;Transfers and subsidies;Provinces and municipalities;2019;2320
Peace and security;Transfers and subsidies;Provinces and municipalities;2020;1926
Peace and security;Transfers and subsidies;Provinces and municipalities;2021;2214
Peace and security;Transfers and subsidies;Provinces and municipalities;2022;3043
Peace and security;Transfers and subsidies;Provinces and municipalities;2023;3104
Peace and security;Transfers and subsidies;Provinces and municipalities;2024;3166
Peace and security;Payments for capital assets;Specialised military assets;2018;27
Peace and security;Payments for capital assets;Specialised military assets;2021;1069
Peace and security;Payments for capital assets;Specialised military assets;2022;1096
Peace and security;Payments for capital assets;Specialised military assets;2023;1123
Peace and security;Payments for capital assets;Specialised military assets;2024;1310
Peace and security;Current payments;Interest and rent on land;2018;2007
Peace and security;Current payments;Interest and rent on land;2021;353
Peace and security;Payments for capital assets;Buildings and other fixed structures;2021;178594
Peace and security;Payments for capital assets;Buildings and other fixed structures;2022;610879
Peace and security;Payments for capital assets;Buildings and other fixed structures;2023;202000
Peace and security;Payments for capital assets;Buildings and other fixed structures;2024;302400
Peace and security;Payments for capital assets;Heritage assets;2018;9
Peace and security;Payments for capital assets;Software and other intangible assets;2021;29625
Peace and security;Payments for capital assets;Software and other intangible assets;2022;538
Peace and security;Payments for capital assets;Software and other intangible assets;2023;538
Peace and security;Payments for capital assets;Software and other intangible assets;2024;250
Peace and security;Payments for capital assets;Biological assets;2019;1036
Peace and security;Current payments;Interest and rent on land;2019;12
Peace and security;Transfers and subsidies;Non-profit institutions;2018;543
Peace and security;Payments for capital assets;Software and other intangible assets;2022;6418
Peace and security;Payments for capital assets;Software and other intangible assets;2023;6704
Peace and security;Payments for capital assets;Software and other intangible assets;2024;7005
Peace and security;Current payments;Interest and rent on land;2021;527
Peace and security;Current payments;Interest and rent on land;2022;564
Peace and security;Current payments;Interest and rent on land;2023;589
Peace and security;Current payments;Interest and rent on land;2024;615
Peace and security;Transfers and subsidies;Foreign governments and international organisations;2020;22209
Peace and security;Transfers and subsidies;Foreign governments and international organisations;2021;31469
Peace and security;Transfers and subsidies;Foreign governments and international organisations;2022;600
Peace and security;Transfers and subsidies;Foreign governments and international organisations;2023;600
Peace and security;Transfers and subsidies;Foreign governments and international organisations;2024;600
Peace and security;Payments for capital assets;Biological assets;2018;7026
Peace and security;Payments for capital assets;Biological assets;2021;7310
Peace and security;Payments for capital assets;Biological assets;2022;7581
Peace and security;Payments for capital assets;Biological assets;2023;7915
Peace and security;Payments for capital assets;Biological assets;2024;8270
Peace and security;Payments for capital assets;Software and other intangible assets;2019;7767
Peace and security;Transfers and subsidies;Non-profit institutions;2018;10160
Peace and security;Transfers and subsidies;Non-profit institutions;2019;13855
Peace and security;Transfers and subsidies;Non-profit institutions;2020;27865
Peace and security;Transfers and subsidies;Non-profit institutions;2021;42098
Peace and security;Transfers and subsidies;Non-profit institutions;2022;47759
Peace and security;Transfers and subsidies;Non-profit institutions;2023;46125
Peace and security;Transfers and subsidies;Non-profit institutions;2024;47250
Peace and security;Transfers and subsidies;Foreign governments and international organisations;2018;12809
Peace and security;Transfers and subsidies;Foreign governments and international organisations;2019;12956
Peace and security;Transfers and subsidies;Foreign governments and international organisations;2020;14498
Peace and security;Transfers and subsidies;Foreign governments and international organisations;2021;19915
Peace and security;Transfers and subsidies;Foreign governments and international organisations;2022;20655
Peace and security;Transfers and subsidies;Foreign governments and international organisations;2023;21565
Peace and security;Transfers and subsidies;Foreign governments and international organisations;2024;22533
Peace and security;Current payments;Interest and rent on land;2019;1
Peace and security;Current payments;Interest and rent on land;2020;7
Peace and security;Current payments;Interest and rent on land;2019;318
Peace and security;Current payments;Interest and rent on land;2020;1489
Peace and security;Payments for capital assets;Heritage assets;2019;98
Peace and security;Payments for capital assets;Heritage assets;2022;100
Peace and security;Payments for capital assets;Heritage assets;2023;100
Peace and security;Payments for capital assets;Heritage assets;2024;100
Peace and security;Transfers and subsidies;Public corporations and private enterprises;2021;23
Peace and security;Current payments;Interest and rent on land;2018;111
Peace and security;Current payments;Interest and rent on land;2021;165
Peace and security;Current payments;Interest and rent on land;2022;38
Peace and security;Transfers and subsidies;Higher education institutions;2019;2
Debt-service costs;Current payments;Interest and rent on land;2018;181849082
Debt-service costs;Current payments;Interest and rent on land;2019;204769350
Debt-service costs;Current payments;Interest and rent on land;2020;232595658
Debt-service costs;Current payments;Interest and rent on land;2021;268306232
Debt-service costs;Current payments;Interest and rent on land;2022;301806272
Debt-service costs;Current payments;Interest and rent on land;2023;334979182
Debt-service costs;Current payments;Interest and rent on land;2024;363514803
Contingency reserve;Contingency reserve;Contingency reserve;2022;10000000
Contingency reserve;Contingency reserve;Contingency reserve;2023;5000000
Contingency reserve;Contingency reserve;Contingency reserve;2024;5000000
Unallocated reserve;Unallocated reserve;Unallocated reserve;2023;25000000
Unallocated reserve;Unallocated reserve;Unallocated reserve;2024;30000000
