Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,DesiredPerformance,UID
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually,Number of advocacy platforms on social cohesion and nation building implemented,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,20,,,,-,-,,,,,,,,,,20 or >,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually,Number of artists placed in schools.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,340,318,340,,,"Noteworthy and for completeness of reporting 314 artist were placed in schools, 118 artists were supported with adequate evidence in Gauteng, Western Cape and Mpumalanga.”",,,,,,,,,,,,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually,"Number of films and documentaries supported telling stories of the history of liberation, cultural and heritage importance",Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,2,2,2,,,-,-,,,,,,,,,,,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually,Number of initiatives against gender-based violence and femicide supported. ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,2,2,2,,,-,-,,,,,,,,,,,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually,Number of projects through which target groups are supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,8,10,8,,,"Due to high number of applications received for funding, ten (10) NPOs were selected and funded within the annual allocations",-,,,,,,,,,,,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually,Number of Provincial Community Arts Development Programmes supported.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,9,9,9,,,-,-,,,,,,,,,,,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually,Number of reports produced by SACO,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,16,16,16,,,-,-,,,,,,,,,,,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually,Number of university students supported to study languages.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,140,187,140,,,"The additional 47 students have no bearing on the
allocated funds to nine
universities by DSAC. Awarding
of the bursary is at the
discretion of individual university
based on the cost of their
courses and language related
modules registered for. Some
universities are cheaper than
others.
",-,,,,,,,,,,,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly, Number of multi-year human language technology projects supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",0,0,0,-,2,2,6,6,8,0,,,,,,,-,-,-,-,-,-,,304
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly, Number of National Days’ celebrations held,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",2,2,2,2,1,1,1,1,6,6,,,,,,,-,-,-,-,-,-,,304
