Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q4,OTP_Q3,OTP_Q1,OTP_Q2,UID
,"Sport, Arts and Culture",North West,Programme 2: Cultural Affairs ,SUB PROGRAMME ARTS AND CULTURE ,Quarterly,Number of cultural and creative industries practitioners developed through capacity building programmes,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Social Protection, Community and Human Development cluster",170,342,Call for Funding from National Film and Video Foundation (NFVF) and National Arts Council (NAC) through Presidential Employment Stimulus Programme 05 (PESP 5) led to the overachievement,"	
This performance will be used as a benchmark for future planning.","Over-achieved, reason for deviation provided",170,173,More people showed interest in departmental capacity building programmes. ,The performance will be used as a benchmark for future planning. ,Achieved.,160,10,"The program redirected the funds for the Presidential Inauguration which affected the quarterly achievement, however the annual target is already achieved. ",The performance will be used as a benchmark for future planning. ,"Not achieved, reason for deviation and corrective action provided.",0,0,N/A,N/A,,500,525,525,More people showed interest in departmental capacity building programmes.,N/A,,,Department to develop Improvement plan for all the indicators that are not achieved in Q3 using the recommended template as stipulated in the Provincial Monitoring Reporting Guidelines. ,,,33
,"Sport, Arts and Culture",North West,Programme 2: Cultural Affairs ,SUB PROGRAMME ARTS AND CULTURE ,Quarterly,Number of events in the creative and cultural industry organised,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Social Protection, Community and Human Development cluster",20,26,Additional requests for partnerships were received from practitioners.,"	
This performance will be used as a benchmark for future planning.","Over-achieved, reason for deviation and corrective actions provided.",40,41,Opening of Cultural villages was not part of planned activities or operational plan they were pronouncement by the Hon. MEC. ,The performance will be used as a benchmark for future planning.,Achieved.,60,60,N/A,N/A,Achieved.,10,15,"Participation in interdepartmental events, postponement of events from Quarter 3 and collaboration with privately organised events led to over achievement.  ","The programme will incorporate interdepartmental events in its plans for the next financial year and going forth, including Thuntsa Lerole Programmes and to improve on stakeholder collaborations for future plans. ",Actual outputs to be reported and implemented as per the quarterly targets,130,142,144,Participation in interdepartmental events and collaboration with privately organised event led to overachievement,N/A,,Overachieved,,,,33
,"Sport, Arts and Culture",North West,Programme 2: Cultural Affairs ,SUB PROGRAMME ARTS AND CULTURE ,Quarterly,Number of structures in the creative and cultural industries supported,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Social Protection, Community and Human Development cluster",30,32,Additional two requests from New Dawn Media and Tebza Nice led to overachievement,"	
This performance will be used as a benchmark for future planning.","Over-achieved, reason for deviation and corrective actions provided",50,57,More structures were supported during the opening of Dinokana cultural village. ,The performance will be used as a benchmark for future planning.,Achieved.,50,50,N/A,N/A,Achieved.,20,34,Participation in interdepartmental events and requests from structures led to overachievement.,"The programme will incorporate interdepartmental events in its plans for the next financial year and going forth, including Thuntsa Lerole Programmes. ",,150,173,173,Participation in interdepartmental events and requests from structures led to overachievements,N/A,,Overachieved,,,,33
,"Sport, Arts and Culture",North West,Programme 2: Cultural Affairs ,Sub Programme Language Services ,Quarterly,Number of activities implemented to promote multilingualism,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Social Protection, Community and Human Development cluster",4,4,N/A,N/A,Achieved as planned.,10,10,N/A,N/A,Achieved.,7,8,DSAC (Terminology Coordination section) invited the province to be part of the Setswana consultative meeting for Indigenous plants and animals terminal Project.,  The performance will be used as a benchmark for future planning.,"Over-achieved, reason for deviation and corrective action provided.",4,5,Invitation to the Accelerated Service Delivery Programme in Monakato led to over achievement.,"The programme will incorporate interdepartmental / intergovernmental events in its plans for the next financial year and going forth, including Thuntsa Lerole Programmes.",,25,27,27,"(1) Invitation to Accelerated Service Delivery Programme in Monakato led to overachievement.
(2) DSAC (terminology coordination section) invited the province to be part of the Setswana consultative meeting for indigenous plants and animals terminal project
",N/A,,Overachieved,,,,33
,"Sport, Arts and Culture",North West,Programme 2: Cultural Affairs ,Sub Programme Language Services ,Quarterly,Number of South African Sign Language (SASL) workshops conducted to promote sign language,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Social Protection, Community and Human Development cluster",7,5,Late postponement  of the 02 SASL workshops from JB Marks local municipality and Rusternburg local municipality led to the underachievement. ,Municipalities to sign commitment letters to agree to the request from the department to implement the specified workshop with them.,"Not achieved, reason for deviation and corrective action provided.",7,9,02 SASL workshops  were conducted as part of the quarter 1 Recovery Plan/Improvement plan,The Performance will be used as a benchmark for future planning. ,"Achieved, reason for deviation and corrective action.",8,8,N/A,N/A,Achieved.,8,8,N/A,N/A,,30,30,30,N/A,N/A,,Achieved,,"Department to develop Improvement plan for indicators not achieved for Q1, with this indicator included. ",,33
,"Sport, Arts and Culture",North West,Programme 2: Cultural Affairs ,Sub Programme Museums and Heritage Services  ,Quarterly,Number of  historical days celebrated,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",4,4,N/A,N/A,Achieved as planned.,6,6,N/A,N/A,Achieved.,1,1,N/A,N/A,Achieved.,3,3,N/A,N/A,,14,14,14,N/A,N/A,,,,,,33
,"Sport, Arts and Culture",North West,Programme 2: Cultural Affairs ,Sub Programme Museums and Heritage Services  ,Quarterly,Number of museums educational initiatives implemented,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",5,5,N/A,N/A,Achieved as planned.,5,5,N/A,N/A,Achieved.,5,5,N/A,N/A,Achieved.,5,10,"Invitation from National Department of Higher education, request from Kanana Primary School, Klerksdorp Primary School and Military History Society and Hosting of Onkgopotse Tiro Pilgrimage during Quarter 4 led to overachievement.",The performance will be used as a benchmark for future planning.,,20,25,25,"Invitation from (1) National Department of Higher Education, 
(2) request from Kanana Primary School, (3) Klerksdorp Primary School, (4) Military History Society and  (5) Onkgopotse Tiro Pilgrimage
",N/A,,,,,,33
,"Sport, Arts and Culture",North West,Programme 3: Library and Archives Services ,Programme 3: Library and Archives Services ,Annually,Number of libraries established per year,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,1,,,,,1,2,Moshana and Kgakala libraries were not completed due to late advertisement of the tender.,N/A,,,,,,33
,"Sport, Arts and Culture",North West,Programme 3: Library and Archives Services ,Programme 3: Library and Archives Services ,Quarterly,Number of libraries established per year,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"The Social Protection, Community and Human Development cluster",1,0,Electricity connection delay by ESKOM at Madibe a Makgabana Modular Library.,Madibe a Makgabana project will be awarded practical completion once the electricity is connected by ESKOM connection is done. Work is in progress on site.,"Not achieved, reason for deviation provided.",2,1,Wolmaranstad and Dinokana Libraries are behind schedule.,Contractors have submitted a revised schedule for both Wolmaranstad and Dinokana Libraries.,"Not achieved, reason for deviation and corrective action provided.",0,1," Wolmaranstad Library was initially targeted to be completed in the second quarter, but completed in the third quarter due to revised project schedules.","Department to continue to put Contractors on terms as consequence management. 


","No reporting required, however progress reported has been noted.",2,1,Moshana and Kgakala libraries were not completed due to late advertisement of the tender.,Moshana and Kgakala libraries will be carried over  in 2025/2026.,Department to develop an improvement plan for indicators that were not achieved in Q4.,5,3,3,Moshana and Kgakala libraries were not completed due to late advertisement of the tender.,Moshana and Kgakala libraries will be carried over in 2025/2026. ,,Not achieved,,Indicator not achieved to be included in the Q1 Improvement plan on how the Department will fast-track the completing of the project. ,Department to develop the improvement plan for the indicator that was not achieved for Q2,33
,"Sport, Arts and Culture",North West,Programme 3: Library and Archives Services ,Programme 3: Library and Archives Services ,Quarterly,Number of public awareness programmes conducted about archival services,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",1,1,N/A,N/A,Achieved as planned.,1,1,N/A,N/A,Achieved.,2,2,N/A,N/A,Achieved.,1,1,N/A,N/A,,5,5,5,N/A,N/A,,Achieved,,,,33
