Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
Public Works,Public Works and Infrastructure,National,PROGRAMME 4: PROPERTY AND CONSTRUCTION INDUSTRY POLICY AND RESEARCH,PROGRAMME 4: PROPERTY AND CONSTRUCTION INDUSTRY POLICY AND RESEARCH,Quarterly, Infrastructure Development Act amendments submitted to  cabinet,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,Draft Infrastructure Development Amendment Bill developed ,"Draft Infrastructure Development Amendment Bill developed 
",N/A,N/A,Draft Infrastructure Development Amendment Bill gazetted for public consultation ,Draft Infrastructure Development Amendments Bill was not  Gazetted for public comment.,Delays in receiving technical inputs on the Draft Business Case from National Treasury,"Engagements with National Treasury were held on 16 September 2022 as part of the mid-year Cabinet Lekgotla outcomes, which included discussions on institutional arrangements in the public sector infrastructure management ecosystem. These discussions are envisaged to conlude in Q3, wherein a formal response from National Treasury on the Draft Business Case for the establishment of ISA as a Public Entity will be sought. 
",Stakeholder analysis and Public Consultation Report development,Stakeholder analysis and public consultation report was not developed.,"The draft  Infrastructure Development Amendments Bill has been updated in line with recommendations stemming from the consultations with the Presidency and National Treasury. Moreover, processes to fastrack the gazetting of the  draft Infrastructure Development Amendment Bill are underway. ",,Final draft Infrastructure Development Amendment Bill submitted to Cabinet for approval to introduce to Parliament ,"Final draft Infrastructure Development Amendment Bill was not submitted to Cabinet to introduce to Parliament.  However, the Business Case  for the establihsment of ISA and the Draft Bill were submiited to Ministers of Finance and Public Service and Administration for concurrence. ",Introduction of Infrastructure Development Amendment Bill to Parliament,-,Infrastructure Development Amendment Bill was not introduced to Parliament.,Delays experienced due to extended consultations with National Treasury on institutional arrangement regarding public infrastructure investment management ecosystem.,"Expediting consultations with Office of the State Law Adviser on both the Bill and Business Case, with the objective to submit the Bill to Minister for consideration in Q2 of 2023/24 financial year.  
",Infrastructure Development Amendment Bill was not introduced to Parliament.,Delays experienced due to extended consultations with National Treasury on institutional arrangements regarding public infrastructure investment management ecosystem.,"Delays experienced due to extended consultations with National Treasury on institutional arrangements regarding public infrastructure investment management ecosystem.
",153
Public Works,Public Works and Infrastructure,National,PROGRAMME 4: PROPERTY AND CONSTRUCTION INDUSTRY POLICY AND RESEARCH,PROGRAMME 4: PROPERTY AND CONSTRUCTION INDUSTRY POLICY AND RESEARCH,Quarterly, Number of integrated reports on the status of Strategic  Integrated Projects (SIPs) submitted,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,1,"1 integrated report on the status of Strategic Integrated Projects (SIPs)
",N/A,N/A,1,"1 integrated report on the status of Strategic Integrated Projects (SIPs) has been developed and submitted
",N/A,N/A,1,1 Integrated Report on the status of Strategic Integrated Projects (SIPs) has been developed and submitted,N/A,,1,1 Integrated report on the status of Strategic Projects (SIPs) has been developed and submitted,4,-,4,target achieved ,N/A,4,N/A,N/A,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 4: PROPERTY AND CONSTRUCTION INDUSTRY POLICY AND RESEARCH,PROGRAMME 4: PROPERTY AND CONSTRUCTION INDUSTRY POLICY AND RESEARCH,Quarterly,"Amendment of the Construction Industry Development Board Act, 2000 (Act 38 of               2000)",Not Applicable,Not  Applicable,Not Applicable,Not Applicable,Draft CIDB Amendment Bill gazetted,". 
Draft CIDB Amendment Bill not Gazetted. ",Legal Opinion received from the Office of the Chief State Law Advisor  (OCSLA) with issues to be clarified by the department to ensure that the Bill was legally sound & within Constitutional bounds resulted in delays in finalising the Draft CIDB Amendment Bill. ,The Draft CIDB Amendment Bill adresssing OCSLA  inputs has been developed and will be routed to Minister towards gazetting for public comments.,Consultations with key stakeholders ,"Consultations with key stakeholders not undertaken.
","CIDB Amendment Bill was not gazetted for public comment during quarter 1 2022/23. The Draft CIDB Amendment Bill was tabled at  the ESIEID Cluster to request fir it to be submitted to Cabinet to approve for public comment.  The OCSLA   further concerns received on 30 September 2022 on the Draft Bill to be addressed further following initial OCSLA comments received in May 2022. Matters raised need to be adressed before obtaining the preliminary certification that is required prior to gazetting for public comment. 
","Address concerns raised by OCSLA and submit Draft CIDB Amendment Bill to Cabinet for approval to gazette for public comment. 
",Draft CIDB Amendment Bill Revised,CIDB Amendment Bill not revised. ,"There were concerns raised by the OCSLA in September 2022. As such, the OCSLA opinion was considered and responded to. ",,CIDB Amendment Bill submitted to Minister,CIDB Amendment Bill  not submitted to Minister,CIDB Amendment Bill submitted to Minister,-,CIDB Amendment Bill NOT submitted to Minister.,"Two opinions were received from the OCSLA in May 2022 relating to refining of relevant clauses and November 2022 which had an adverse impact on the finalization of the Draft CIDB Amendment Bill, for further inputs on the Bill. The last opinion require further consultations with National Treasury and Department of Justice","Consultations with both National Treasury and Department of Justice were undertaken. Department of Justice provided writted input. National Trasury input is still outstanding. Once received, Draft Bill will be amended and submitted to OCSLA towards proviosion of certificate to enable submission to Minister towards Parliament for public process.",CIDB Amendment Bill NOT submitted to Minister.,Opinion received from OCSLA in Dec 2022 which required consultation with National Teasury (NT) and Department of Justice and Constitutional Development (DoJ&CD),"Consultations with NT and DoJ&CD, undertaken. Written responses provided will be submitted to OCSLA for certification towards submission to Minister to introduce to Cabinet for public comment.",153
Public Works,Public Works and Infrastructure,National,PROGRAMME 4: PROPERTY AND CONSTRUCTION INDUSTRY POLICY AND RESEARCH,PROGRAMME 4: PROPERTY AND CONSTRUCTION INDUSTRY POLICY AND RESEARCH,Quarterly,Infrastructure Development Act Regulations gazetted ,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,Draft IDA Regulation submitted to PICC Council for consideration," - IDA Regulations submitted for consideration at PICC                                                                                                              - Draft IDA Regulations gazetted for noting.
",Consultations at PICC were faster than anticipated resulting in gazette of the IDA Regulations during Quarter 1 and not Quarter 2 as planned.,N/A,Draft IDA Regulation gazetted," 
No activities undertaken during period under review. Draft IDA Regulations Gazetted during Q1. 
","
IDA Regulations were Gazetted on gazette No 46519 of 2 June 2022 for noting.
","  . 
None. Performance activities were achieved during Quarter 1.
",Operational manual for implementation,Process is pending the implementation of IDA Regulations.,Manual will be developed when IDA Regulations are implemented.,,-,N/A,Infrastructure Development Act Regulation gazetted,-,Infrastructure Development Act Regulations Gazetted,target achieved ,N/A,Infrastructure Development Act Regulations Gazetted,N/A,N/A,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 4: PROPERTY AND CONSTRUCTION INDUSTRY POLICY AND RESEARCH,PROGRAMME 4: PROPERTY AND CONSTRUCTION INDUSTRY POLICY AND RESEARCH,Quarterly,NIP 2050 Phase 2: Social and Distributed Infrastructure submitted to Cabinet ,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,NQT,N/A,N/A,Delete this indicator,,,,,,NQT,N/A,,,1 NIP 2050 Phase 2: Social and Distributed Infrastructure submitted to Cabinet,0,-,1,target achieved ,N/A,1,N/A,N/A,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 4: PROPERTY AND CONSTRUCTION INDUSTRY POLICY AND RESEARCH,PROGRAMME 4: PROPERTY AND CONSTRUCTION INDUSTRY POLICY AND RESEARCH,Quarterly,Public Works Bill submitted to Minister to introduce to  Parliament,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,-,N/A,N/A,N/A,Gazette Draft Public Works Bill for public comment.,"Public Works Bill not Gazetted for public comment.
","The legislative drafter still required certain aspects to be clarified prior to developing the Draft Public Works Bill. A workshop was has to solicit input from key stakeholders on 25 August 2022. Additional responses were engaged on internally and provided to the Legislative Drafter. 
","The first Draft Public Works Bill will be developed in the first month of Quarter 3 of 2022/23. It is anticipated that the Draft Public Works Bill will be gazetted before the end of Quarter 3 2022/23.
",-,NQT,N/A,,Public Works Bill introduced in Parliament,Gazetted Public Works Bill not submitted to Minister to introduce to Parliament,Public Works Bill gazetted,-,Public Works Bill not Gazetted,"Due to clarification provided by the OCSLA on the trajectory of the Draft Bill, there was trickle-down effect on delays in drafting the Bill.",Internal consultations being undertaken to ensure consensus on the trajectory of the Draft Public Works Bill,Public Works Bill not Gazetted,Draft public Works Bill was submitted to DPWI for further input,Internal consultation are being undertaken with Accounting Officer and Executive Authority to determine if trajectory is consistent with objective required ,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 5: PRESTIGE POLICY,PROGRAMME 5: PRESTIGE POLICY,Quarterly,Number of planned State events supported with movable structures,Not Applicable,Not  Applicable,"An efficient, competitive and responsive economic infrastructure network",Governance and Administration cluster,1,1,"End-user did not provide calendar list of events.
",N/A,2,,,,0,"4 Events supported with movable structures:
•MTBS -26 October 2022,
•Spanish visit –27 October,
•Special Cabinet Lekgotla-04 October 2022
•Special Sitting -13 December 2022.
","End-user did not provide calendar list of events
",,2,"3 State events supported with movable structures; SONA, Budget speech, Special sitting of NA",5,-,12,"7 Additional unplanned events 
",N/A,12,N/A,N/A,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 5: PRESTIGE POLICY,PROGRAMME 5: PRESTIGE POLICY,Quarterly,Percentage of movable assets provided within 120 working  days after approval by prestige clients,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,100 %,2 %,"Administrative processes involved in working with DCS; Moratorium on procurement.
",not provided ,100 %,,,,100 %,"100% request received Good Hope Chamber -Loose cushion for the bench at the podium received 04/11/2022..
 %",N/A,,100 %,0% %,100 %,0 %,100,N/A,N/A,100,No deliveries took place and no client requests received this quarter,,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 5: PRESTIGE POLICY,PROGRAMME 5: PRESTIGE POLICY,Quarterly,Percentage of provision of moveable assets from a  condition assessment register of moveable assets,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,20 %,20 %,N/A,N/A,20 %,,,,20 %,"20% -77 condition assessments conducted
 %",N/A,,20 %,20% %,80 %,0 %,0,"Changes to the procurement approach resulted in changes in the format and forms for procuring moveable assets. The caused a backlog which is being addressed with the new changes to improve and speed up procurement  
",,0,N/A,N/A,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 6: PMTE ADMINISTRATION,PROGRAMME 6: PMTE ADMINISTRATION,Quarterly,Percentage financial performance level,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",27 %,20 %,non filling of the prioritized vacant funded posts,fast tracking of filling of positions ,53 %,42% %,"Delays in filling of prioritised vacant funded postions

The major under spending is under capital assets as a results of delays on several projects. An under spending of R1,9 billiob is being projected.

","Fast-tracking of the filling of positions


The PMTE is looking at reprioritizing some of these unspent fund under  refurbishment  to areas of spending pressures such as replacement of redundant lifts.
",87 %,68% %,"70% of this R 2.1 billion budget was spent. 499 vacancies all funding will not be spent by the end of the financial year A straight line projection indicates a possible underspending of R 157 million based on current levels. 
","The PMTE will fast track the procurement process so that the committed budget is spent by end of the financial year.

",100 %,95% %,100 %,20 %,95,"95% of this R2.155 billion compensation of employees’ budget was spent. As at the end of March 2023, there were 510 vacant funded positions that were not been filled. The current under spending amount to R144 million.
Under goods and services, the underspending amounting to R423 million has been realised under Repair as delays have been experienced on several projects. A further underspending amounting to R83 million released under admin goods and services is mainly as a result of delays in procurement of services relating to projects such as Rectification of illegally Occupied Properties as well as Correction of Immovable Asset Register.

",,95,"95% of this R2.155 billion compensation of employees budget was spent. As at the end of Macrh 2023, there were 510 vacant funded positions that were not been filled. The current under spending amount to R144 million.

Under goods and services, the underspending amounting to R423 million has been realised under Repair as delays have been experienced on several projects. A further underspending amounting to R83 million released under admin goods and services is mainly as a result of delays in procurement of services relating to projects such as Rectification of illegally Occupied Properties as well as Correction of Immovable Asset Register.

","HR to fast-track the filling of vacant positions in 2023/24 financial to ensure that under spending remain within acceptable level.

The meetings will be convened with the affected branch/regions so that a way forward can be pursued in relation to addressing these underspending in 2023/24
",153
Public Works,Public Works and Infrastructure,National,PROGRAMME 7: REAL ESTATE INVESTMENT SERVICES,PROGRAMME 7: REAL ESTATE INVESTMENT SERVICES,Quarterly,Number of Approved CAMP submitted to NT ,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,0,0,"OPS Performance: The 2024/25 C-AMP Chapters of six (6) small user departments were completed by 30 June 2022. 
",,1,1,N/A,N/A,0,NQT,N/A,N/A,0,NQT,1,1,1,N/A,N/A,1,,,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 7: REAL ESTATE INVESTMENT SERVICES,PROGRAMME 7: REAL ESTATE INVESTMENT SERVICES,Quarterly,"Number of Government Precinct Development Plans  aligned to NSDF, IUDF and Smart City principles.",Not Applicable,Not  Applicable,Not Applicable,Not Applicable,0,0,"Ops performance
Processed  Ministerial approval submissions for 07 land parcels measuring 3,4069 hectares

",,0,Not Q2 target,N/A,N/A,0,NQT,N/A,N/A,1,"1 Government Precinct Development Plans Aligned to NSDF, IUDF and Smart City Principles (Polokwane)",1,0,1,N/A,N/A,1,N/A,,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 8 CONSTRUCTION PROJECT MANAGEMENT,PROGRAMME 8 CONSTRUCTION PROJECT MANAGEMENT,Quarterly,Number of design solutions completed for identified user departments,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",23,10,"Site was handed over late. (Mtha). Sketch Plan Meetings not being held.    Delays by clients to approve Sketch Plans documentation.   Delays in the procurement process due to the introduction of Circular No 185 of 2022
",,25,19,Project cancelled and project specification redrafted and as a result the Sketch Plan meeting had to be rescheduled.                                     Project cancelled and project specification redrafted as a result the Sketch Plan meeting  had to be rescheduled.                                           Client moving projects to Implementing Agents.                            Revisiting designs that were already concluded in 2020.                    Effects of Circular No 185 of 2022 that affected procucurement processes,,19,"'13 (Non-Cumulative) 68%
","There are projects designs for Durban and Mthatha Regional offices that were scheduled to be completed in the quarter under review (quarter 3), however the targets could not be achieved due to the delays relating to poor performing consultants and replacement through departmental professionals due to under capacity.

","Heads of Projects were instructed by the DDG to regularly conduct projects review meetings to monitor projects performance and progress for projects in planning phase. 

",18,3 (non-cumulative),85,29,87,"The Branch is using candidate engineers who work under supervision to assist with capacity problems.  
",N/A,87,Delays relating to poor performing consultants and replacement departmental professionals due to under capacity,Expedite sketchplan approvals,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 8 CONSTRUCTION PROJECT MANAGEMENT,PROGRAMME 8 CONSTRUCTION PROJECT MANAGEMENT,Quarterly,Number of infrastructure projects completed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",20,10,"Site was handed over late. (Mtha). Projects extended.     Project on hold due to irregularity on appointment of consultants. Plan is to cede the project to CDC, ceding submission is enroute to NBAC.   Contracts being terminated due to non-performance. 
",,43,19,"Cancellation of projects because of poor performance by the contractors.                                               Delays in the procurement process (Evaluation Stage).                                   Disruptions by the so called local business forums.                                     Delayed by contractor's Non-performance and SARS issues, and contractor is on penalties.                                                 Challenges regarding asbestos roof which required additional funding contributed in delaying the project. 
",,72,"15 (44 Cumulative) 61%
","Approval of funding by the client departments after awarding of projects also contribute to the delays in handing over sites for construction. 

","The challenge was brought to the attention of both UDM and PBA who are custodians of approval process to improve the situation
 
",125,17 (53 cumulative),125,19,95,"1. Approval of funding by the client departments after awarding of projects also contribute to the delays in handing over sites for construction.                            2. The contractor has requested Extension of time due to late finalization of IT installation and access to certain courts and offices by the client.                                   3. Extension of time due to sourcing of the replacement contract, inclement weather, inability of the client availing the working space for the contractor etc.                                                                 
","1. Speedy appointment of a rescue contractor.                         2. Speed up Site handovers.       3. Monitor projects that have been extended.                           4. Executing Units to develop a catch up plan.                               5. Speed up and conclude projects that are on evaluation phase.                                             6. Dealing with potential delays efficiently and effectively.                               7. Ramp up the monitoring of targets on monthly basis
",95,"Approval of funding by client departments after awarding of project also contribute to the delays in handing over sites for construction
",Speedy appointment of a rescue contractor,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 8 CONSTRUCTION PROJECT MANAGEMENT,PROGRAMME 8 CONSTRUCTION PROJECT MANAGEMENT,Quarterly,Number of infrastructure projects completed within approved budget,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",19,9,"Delays in completion of projects by contractors resulting in penalties. Delays of delivery of ordered materials.   Poor performance by contractor. Penalties was imposed.                     Projects suffering due to contractor's poor management of the site.                                                   Delays in the procurement process due to the introduction of Circular No 185 of 2022. 
",,40,19,"Cancellation of projects because of poor performance by the contractors.                                               Delays in the procurement process (Evaluation Stage).                                   Disruptions by the so called local business forums.                                     Delayed by contractor's Non-performance and SARS issues, and contractor is on penalties.                                                 Challenges regarding asbestos roof which required additional funding contributed in delaying the project. 
",,66,"'14 (42 Cumulative) 63%
","Frequent stoppage of projects by the local business forums contribute to projects budget over run (escalations and standing time) .
","Draft guideline is developed on how to deal with construction mafias and business forums

",125,12 (59 cumulative),125,19,95,"1. Approval of funding by the client departments after awarding of projects also contribute to the delays in handing over sites for construction.                             2. The contractor has requested Extension of time due to late finalization of IT installation and access to certain courts and offices by the client.             
","Dealing with potential delays effectively.
Active quality control plan in place.
Effective communication management among all stakeholders involved in implementing the project.
Effective time management on site.                                          Executing Units to develop a catch up plan
",95,Frequent stoppage of projects by the local contractors,Speedy appointment of a rescue contractor,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 8 CONSTRUCTION PROJECT MANAGEMENT,PROGRAMME 8 CONSTRUCTION PROJECT MANAGEMENT,Quarterly,Number of infrastructure sites handed over for construction,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",23,7,"Delays in the procurement process due to the introduction of Circular No 185 of 2022.                                      Delays in the apparoval of the Procurement Plan
",,23,19,"Delays in awarding projects.                     Delays in the evaluation of bids. Delays in the finalization of sketchplan approvals
",,21,"'12 (Non-Cumulative) 57%

","An under performance deviation was also encountered for projects that were scheduled to be handed over for construction due to the backlog relating to approvals of procurement strategies by the National Bid Adjudication (NBAC). 

","An intervention was sort from the Acting Director General to instruct members of NBAC to have extra ordinary sittings to address backlog of submissions.

",23,18 (23 non-cumulative),90,19,65,"1. Delays at SCM due to not responsive bidders                   2. Late approvals of Sketch Plans.                                          
","1. Speedy appointment of a rescue contractor.                         2. Speed up Site handovers.       3. Monitor projects that have been extended.                           4. Executing Units to develop a catch up plan.                               5. Speed up and conclude projects that are on evaluation phase.                                             6. Dealing with potential delays efficiently and effectively.                               7. Ramp up the monitoring of targets on monthly basis
",65,Delays at SCM due to non responsive bidders,Dealing with potential delays effectively,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 8 CONSTRUCTION PROJECT MANAGEMENT,PROGRAMME 8 CONSTRUCTION PROJECT MANAGEMENT,Quarterly,Number of projects completed within agreed construction period,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",13,6,"Delays in completion of projects by contractors resulting in penalties. Delays of delivery of ordered materials.    Poor performance by contractor. Penalties was imposed.                     Projects suffering due to contractor's poor management of the site
",,29,7,"Delays in completion of projects by contractors resulting in penalties. Delayed by contractor's Non-performance and SARS issues, a rescue contractor appointed and contractor is on penalties.                    Delays in the adjudication of extension of time applications. Challenges regarding asbestos roof which required additional funding contributed in delaying the project. 
",,47,"'12 (25 Cumulative) 53%

","Target not achieved due to slow performance and financial constraints of the contractors. The contractors were placed on mora to ensure that the projects are accounted in quarter 4. 

","Heads of Projects were instructed to regularly conduct projects review meetings to monitor projects performance.

",75,"
4 (28 cumulative)
",75,7,35,"1. Approval of funding by the client departments after awarding of projects also contribute to the delays in handing over sites for construction.                             2. The contractor has requested Extension of time due to late finalization of IT installation and access to certain courts and offices by the client.             
","Dealing with potential delays effectively.
Active quality control plan in place.
Effective communication management among all stakeholders involved in implementing the project.
Effective time management on site.                                          Executing Units to develop a catch up plan
",35,Approval of funding by client departments after awarding of project also contribute to the delays in handing over sites for construction,Active quality control plan in place,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,Quarterly,Ha released from the DPWI portfolio for development of  Infrastructure programs and socio economic objectives,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,0,0,N/A,,0,,,,0,"NQT
",N/A,,161 913 ,"120 989,2562 Hectares ",161 913 ,-,120 997.71  ,Insufficient requests and information received from DALRRD,,120 997.71  ,Insufficient requests and information received from DALRRD,DPWI in continuous engagements with the DALRRD.,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,Quarterly,Number of private leases reduced within the security cluster,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,1,not provided ,,0,,,,0,NQT,N/A,,3,6,3,3,5,Additional private leases ,N/A,5,not provided ,not provided ,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,Quarterly,Number of unutilised vacant state owned properties let out,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,6,not provided,,15,,,,60,"12 leases (20%)
 
","Delays in the signing of Lease Agreements
","Full Implementation of letting out circulars
",25,4 leases,70,0,35,"Initial guidelines developed were inadequate and had to be revised 
Guidelines to being implemented 
",,35,not provided ,Full Implementation of letting out circulars,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,Quarterly,Number of unutilized vacant state owned properties let out for GBV  purposes,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,0,0,N/A,,2,,,,5,"2 (One User agreement in Free State with two   2 properties) (40%)
","User agreements not signed timeously
",,3,0,10,0,20,Programme  prioritized more properties to let out  ,N/A,22,No NEW leases signed in Q4,"Follow up on DSD and GPDID to sign User agreements

Target needs to be amended to indicate that REMS ""makes properties available (for donation)"" not ""let out",153
Public Works,Public Works and Infrastructure,National,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,Quarterly,Percentage increase in revenue generation through letting of state owned properties,Non-Standardized,Not  Applicable,"An efficient, competitive and responsive economic infrastructure network","The Economic Sectors, Employment and Infrastructure Development cluster",0 %,18.3 %,not provided ,,2 %,,,,4 %,"8% (200%)
 %",,,2 %,29% increase  %,8 %,0 %,80,Leases concluded had a high value resulting in more revenue generated ,,80,not provided ,targets to be reviewed upon approval of letting out circulars,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,Quarterly,"Percentage leases awarded to companies with categories A,B and D of the approved Property Empowerment Policy",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0 %,0 %,N/A,,15 %,,,,0 %,NQT %,N/A,,20 %,100% (5 out of 5) %,35 %,0 %,75,"Concluded leases were  awarded to companies with categories A, B and D of approved",,75,Implementation of all of the aspects of the PMEP,N/A,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,Quarterly,Percentage leases let out to companies with BBBEE of a 4 and above,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0 %,0.03 %,not provided ,,10 %,,,,30 %,"17% (12 lease signed and 2 was for companies with BEE level 4 and above) 
 %","availability of BBBEE landlords in the rural provinces
",,10 %,0 %,50 %,0 %,12,"The companies that we contracted with such as Vodacom and MTN, did not have sufficient BBBEE credentials",,54,(majority of the leases signed are for communication Towers (location based),Full Implementation of letting out circulars,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,Quarterly,Percentage of new private leases signed with a maintenance plan,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",100 %,100 %,N/A,,100 %,,,,100 %,0 %,"Delays in the signing of Lease Agreements
","Timeous signing of Lease Agreements by Delegated Authorities
",100 %,100% %,100 %,0 %,100,N/A,N/A,100,N/A,N/A,153
Public Works,Public Works and Infrastructure,National,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,PROGRAMME 9: REAL ESTATE MANAGEMENT SERVICES,Quarterly,Savings realised on identified private leases,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,R45 252 497.48,not provided ,,R50 Million,,,,0,"NQT
",N/A,,R50 Million,R61 422 274.35,R100 Million,-,R165 149 993.35 million ,Month to month leases reduced significantly by 77% (571 to 132). This resulted in the savings realized.,,R165 149 993.35 million,not provided ,not provided ,153
