Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,UID
Public Works,Public Works,Gauteng,Programme 2: Public Works Infrastructure,Sub Programme 2.4: Construction,Quarterly,Number of upgrades and additions completed on GPG facilities,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",0,,3,2,0,,1,1,4,3,,,,,,,,"Thusanong slab 
During the first bid, the appointment of contractor was done.  However, the contract was terminated due to withdrawal from the process.  
Second bid failed due to bidders quoting 800% of the estimated cost

",Expedite sourcing of alternative quotations and recover in Q4   the financial year.   ,,,No deviation,Not applicable,,39
Public Works,Public Works,Gauteng,Programme 2: Public Works Infrastructure,Sub Programme 2.5: Maintenance,Quarterly,Number of condition assessments conducted on state-owned (a. buildings; b. facilities),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",2,2,122,2,2,2,2,2,128,8,,,,,No Deviation,Not Applicable,,The condition assessments were delayed due to late appointment of the PSPs.,Expedite Contracting process to enable the appointedPSPs to commence work,No Deviation,Not Applicable,No deviation,Not applicable,,39
Public Works,Public Works,Gauteng,Programme 2: Public Works Infrastructure,Sub Programme 2.5: Maintenance,Quarterly,Number of planned maintenance projects awarded,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",61,50,37,27,0,,0,0,98,77,,,,,"Non-achievement due to
Budgetary constraints
",Budget reprioritisation,A reason for deviation that talks to budgetary contraints may lead to audit queries,"Awaiting approval of statutory project list from DoH

There was a need to attend to emergencies at 75 Fox Street due to Department of Labour  notices","The Client to provide a directive on maintenance projects during the Bilateral meeting 

",,,No deviation,Not applicable,Unable to assess as preliminary report is not provided,39
Public Works,Public Works,Gauteng,Programme 2: Public Works Infrastructure,Sub Programme 2.5: Maintenance,Quarterly,Number of planned Maintenance Projects completed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",30,30,44,51,15,15,5,5,94,101,,,,,No Deviation,Not Applicable,,Overachievements was due additional request or demand for maintenance work.   ,Not applicable,No Deviation ,Not Applicable,No deviation,Not applicable,,39
Public Works,Public Works,Gauteng,Programme 2: Public Works Infrastructure,Sub Programme 2.6: Immovable Asset Management,Quarterly,Number of immovable assets transferred from the Immovable Asset Register (IAR),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,,0,,200,206,200,206,,,,,,,,,,,,More Immovable Assets were transferred which included Higher Education assets,Not applicable,,39
Public Works,Public Works,Gauteng,Programme 2: Public Works Infrastructure,Sub Programme 2.6: Immovable Asset Management,Quarterly,Number of immovable assets verified in the Immovable Asset Register (IAR),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",1290,1290,3290,3290,5290,5290,6256,6 272,6256,6272,,,,,No Deviation,Not Applicable,,No Deviation,Not applicable,No Deviation,Not Applicable,Over-achievement due to addition of assets that were not included in 2023/24 FY,Not applicable,,39
Public Works,Public Works,Gauteng,Programme 2: Public Works Infrastructure,Sub Programme 2.7: Facilities Operations,Quarterly,Number of Electro Mechs commissioned at health facilities,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",3,3,1,1,3,1,3,4,10,9,,,,,No Deviation,Not Applicable,,No deviation,Not applicable,"The reason for deviation is non-payment of invoices for work done by GDOH leading to contractor abandoning site

GDOH payment delays for Dunswart laundry, hence the service provider has no funds to fix the leak on the diesel tank",Continuous engagement with GDOH to expedite payments,Springs regional office was completed however it was not planned for the Quarter.,Not applicable,,39
Public Works,Public Works,Gauteng,Programme 3: Expanded Public Works Programme,Programme 3: Expanded Public Works Programme,Annually,deafult,Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,39
Public Works,Public Works,Gauteng,Programme 3: Expanded Public Works Programme,Programme 3: Expanded Public Works Programme,Quarterly,Number of Public Bodies reporting on EPWP targets in the province ,Standardized,Max,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,22,22,22,22,22,22,22,22,,,,,,,,No deviation,Not applicable,Not Applicable,,No deviation,Not applicable,,39
Public Works,Public Works,Gauteng,Programme 3: Expanded Public Works Programme,Programme 3: Expanded Public Works Programme,Quarterly,Number of work opportunities created by Provincial Public Works and Infrastructure,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,2500,2557,0,,0,2 527,2500,2527,,,,,,,,"High rate of attrition as participants are leaving for better opportunities.
Numbers above target to maintain numbers due to attrition
",Not applicable,,,"High rate of attrition as participants are leaving for better opportunities.
Numbers above target to maintain numbers due to attrition
",Not applicable,,39
Public Works,Public Works,Gauteng,Programme 3: Expanded Public Works Programme,Sub Programme 3.1: Programme Support,Annually,Number of beneficiaries participating in the Health Maintenance Programme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,1020,1086,,,1020,1086,,High rate of attrition as participants are leaving for better opportunities,Not Applicable,,,,,,,,,,,,39
Public Works,Public Works,Gauteng,Programme 3: Expanded Public Works Programme,Sub Programme 3.1: Programme Support,Annually,Number of beneficiaries participating in the Vacant Sites & Facilities EPWP Maintenance Programme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,1095,1124,,,1095,1124,,High rate of attrition as participants are leaving for better opportunities,Not Applicable,,,,,,,,,,,,39
Public Works,Public Works,Gauteng,Programme 3: Expanded Public Works Programme,Sub Programme 3.2: Community Development,Quarterly,Number of EPWP participants successfully completed skills development programmes,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,,0,,1200,1200,1200,1200,,,,,,,,,,,,No deviation,Not applicable,,39
