Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q3,OTP_Q2,DesiredPerformance,National_Q1,National_Q2,National_Q3,National_Q4,UID
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DOE Portfolio,Quarterly,Number of planned maintenance ( refurbished /renovated) completed ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,,0,N/A,N/A,N/A,3,2,"The under achievement of Fort Beaufort PS is due to late approval of Variation Orders and contractor suspended works
","Department has started the engagements with the contractor to go back to start the work. Variation orders have been approved and we will speed up the process of payments.
",0,-,N/A,N/A,,3,0,,,,,,,Highest performance  desired ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DOE Portfolio,Quarterly,Number of planned maintenance (refurbished/ renovated) completed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,,0,,,,6,,,,3,,,,,9,0,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DOE Portfolio,Quarterly,Number of state owned facilities adhering to access norms and standards for persons with disabilities ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,,1,1 ,N/A,N/A,4,4,N/A,N/A,7,7,N/A,N/A,,12,12,,,,,,,High performance is desired ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DOE Portfolio,Quarterly,Number of state-owned facilities adhering to access norms and standards for Persons with disabilities,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,,1,,,,4,,,,5,,,,,10,0,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DOH Portfolio,Annually,Ratio on utilisation of internal vs external professional services for DPWI/ Public Infrastructure projects,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,30/70,27/11,,,,30/70,27/11,,"76 projects were planned for the period under review. However, 30 projects were reported at the end of the financial year with 21 projects utilising internal and 9 external professionals.  A total of 46 projects, each involving minor renovations estimated at below R1 million, were assigned to internal professionals within the Department of Public Works and Infrastructure (DPWI). As these projects fall below the quotation threshold, they are not submitted to the Department's Bid Specification Committee for review. Consequently, no certificates are issued for these projects.
","Projects estimated at below R1 million will not be targeted under this indicator for the 2025/26 financial year.
",,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DOH Portfolio,Quarterly,Number of capital infrastructure projects under construction,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Economic Transformation and Job Creation,Not Applicable,18,16,2 x Projects - Delays experienced during adjudication as comprehensive commercial risk had to be done to avoid appointing incompetent contractors,"2 x Projects - Contractors have been now appointed, OHS plan is also under review. Handing over of is scheduled to take place in July. (Haytor Clinic, and Taylor Bequest Hospital, Water & Sanitation)",,1,,,,2,,,,1,,,,,22,0,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DOH Portfolio,Quarterly,Number of capital infrastructure projects under construction ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",17,,,,,4,5,"Three (3) projects planned for Q2 were achieved and one project- Lady Grey Hospital was not achieved as planned due to late approval of the OHS plan by the OHS agent.
However, Sir Henry Hospital was handed over by the Client which was unplanned for the period under review. ",N/A,2,3,"The overachievement is due to Pricedale Clinic which was supposed to start construction in the previous quarter. 
",N/A,11,0,Procurement processes took longer than anticipated. ,"Procurement by DPWI concluded and budget availability for the projects confirmed by Department of Health. The projects will be implemented in the 2025/26 financial year.
",,34,8,,,,,,,Highest performance desired ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DOH Portfolio,Quarterly,Number of infrastructure  designs ready for tender,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,,1,2 ,"Cebe Clinic was planned for Q3 and was fast tracked due to community pressure.
",N/A,22,8,"The under achievement is due to late renewal AutoCad licence
","The Department will speed up renewal of AutoCad Licence
",0,-,N/A,N/A,,23,10,,,,,,,Highest performance desired ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DOH Portfolio,Quarterly,number of infrastructure designs ready for tender ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,,1,,,,5,,,,2,,,,,8,0,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DOH Portfolio,Quarterly,Number of maintenance projects under construction  ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",20,,,,,0,N/A,N/A,20 Maintenance Projects under construction that were supposed to be reported in Q1 ,20,4,"The under achievement is due to delayed awards of 16 projects as a result of late payments and insufficient funding.
",The Department will request interim payment arrangement with DOH. The outstanding projects will commence in the next financial year,3,0,The under achievement is due to delayed awards as a result of late payments and insufficient funding.,"The Department has requested interim payment arrangement with DOH. The outstanding projects will commence during 2024/25 financial year.
",,43,0,,,,,,,Highest performance desired ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DOH Portfolio,Quarterly,Number of new construction projects completed ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,,0,,,,4,2,Mathubeni Clinic and Taylor Bequest Hospital projects were delayed due to late payments.,DPWI to engage the Department of Health for upfront payment,4,0,"The under achievement is due to contractors suspending the works between October 2024 and February 2025 due to non-payments.
",DPWI & DoH entered into an Interim Payment Agreement. Contractors were paid late February and in March 2025. Contractor had to re-establish and resume with the works. ,,8,2,,,,,,,Highest performance desired ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DOH Portfolio,Quarterly,Number of planned maintenance ( refurbished / renovated ) completed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Economic Transformation and Job Creation,Not Applicable,5,5,N/A,N/A,,7,,,,12,,,,16,,,,,40,5,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DOH Portfolio,Quarterly,Number of planned maintenance ( refurbished /renovated) completed ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",6,,,,,9,6 ,"Under achievement is due to late payment by client department affecting Jamestown, Burgersdorp, Aliwal North & Cloete Joubert Hospital.
","Contractor will be paid and project will be completed during the 3rd quarter (Jamestown, Burgersdorp & Aliwal North Hospital)
",5,5,N/A,N/A,4,1,"The under achievement is due to contractors suspending the works between October 2024 and February 2025 due to non-payments.
","The Department has requested an interim payment arrangement with DOH. The outstanding projects will commence during the 2025/26 financial year. 
",,24,12,,,,,,,Highest performance desired ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DOH Portfolio,Quarterly,Number of state owned facilities adhering to access norms and standards for persons with disabilities ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",5,,,,,0,,,,0,,,,15,1,"The under achievement is due to 14 projects that were affected by budgetary constraints and contractors suspended the works. 
","The Department entered into interim payment agreement with DOH. 
",,20,1,,,,,,,Highest performance desired ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DOH Portfolio,Quarterly,Number of state-owned facilities adhering to access norms and standards for people with disabilities,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Economic Transformation and Job Creation,Not Applicable,5,5,N/A,N/A,,8,,,,9,,,,10,,,,,32,5,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DPW & Other Portfolio,Annually,Ratio on utilisation of internal vs external professional services for DPWI/ Public Infrastructure projects,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health",Not Applicable,,,,,,,,,,,,,,30/70 ,68/05,,,,30/70 ,68/05,,"The Department planned to implement 38 projects, however only 28 projects managed to be under construction. 10 Projects could not be awarded due to issues of budget constraints as well as the procurement processes that took longer than anticipated.
Out of the 28 projects that were implemented only two (2) projects were implemented utilizing external professionals and 26 projects utilising internal professionals. 
","The Department will ring-fence the budget allocated for projects in order to full fill contractual obligations as stipulated in the contract. 
Supply Chain Management will consider exploring other contracting strategies to fast track the issue appointment of contractors.
",,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DPW & Other Portfolio,Annually,Ratio on utilisation of internal vs external professional services for DPWI/Public infrastructure projects,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,Highest performance desired ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DPW & Others Portfolio,Quarterly,Number of capital infrastructure projects under construction,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Education, Skills and Health",Not Applicable,16,16,N/A,N/A,,7,,,,6,,,,4,,,,,33,0,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DPW & Others Portfolio,Quarterly,Number of capital infrastructure projects under construction ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",13,,,,,9,8,"Mqhekezweni Traditional Council project was not implemented as planned due to extensive consultation that took place during the advertisement stages.
","Project is planned to commence in 3rd quarter (Mqhekezweni TC)
",8,2,"The under achievement is due to five (5) projects delayed on tender advertisement stage namely: Somerset East Museum, Humansdorp Service Office, Engcobo Service Service Office, Seymour Service Office and Mthatha Airport Fire Station and lastly, one (1) project namely Cofimvaba Depot was then allocated to In-House Construction Unit.
","Departmental SCM should tighten up controls and make sure that any tender that is going out, it has been quality assured.
",5,2,"1. Bathandwa Ndondo Water Tank, 2. Wilton Mkwayi upgrade and Renovations were both delayed due to budget constraints. 3. Lusikisiki King House Project, the client department requested DPWI to stop this project as they have not yet decided whether the new appointed King will use the same facility after the passing of the previous King.
","For the two (2) internally funded projects, DPWI will consider ring fencing of the infrastructure budget to avoid delays in handing over of projects and 

For the Lusikisiki King House project the Department is engaging the client department to finalise the sitting of the new King to resume the project

",,35,12,,,,,,,Highest performance desired ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DPW & Others Portfolio,Quarterly,Number of infrastructure designs ready for tender,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,,,,0,,,,4,3,"
The under achievement is due to the following projects:
House of Traditional Leaders had changed procurement strategy to be implemented by Construction In-house Unit from Buffalo City Municipality District.

","Collaborations between DPWI units need to be established before declarations of projects and compilation procurement strategies that are going to be used to carry out the projects.

",0,-,N/A,N/A,,4,3,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DPW & Others Portfolio,Quarterly,Number of maintenance projects under construction  ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,,0,,,,8,8,N/A,N/A,4,0,"Four projects were planned for maintenance but were put on hold due to budget constraints:
Solar Photovoltaic (PV) supply, 
Design, supply and installation of security shop front and Automated electronic at DPWI, 
Plumbing and Minor building repairs for DRDAR at Old Fish Research Station. 
Major repairs and renovations to 21 Karena Street Lorraine and 7 Hartely Street Parsons Hill in Nelson Mandela Metro
","The Department will ring fence budget allocated for construction projects so as to fulfil contractual obligations and to avoid contractors suspending works.
",,12,8,,,,,,,Highest performance desired ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DPW & Others Portfolio,Quarterly,Number of new construction projects completed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Education, Skills and Health",Not Applicable,0,,,,,2,,,,0,,,,1,,,,,3,0,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DPW & Others Portfolio,Quarterly,Number of new construction projects completed ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,,1,1,N/A,N/A,1,0,"The under achievement is due to budget constrain within DPWI which led to slow down the progress on Construction of  Makhanda Phase 3 and the project was granted extension of time.

","DPWI & Other will ring fence infrastructure budget so that it is not utilized for other things.
",1,0,Emaxesibeni Civil Works has been suspended due to non-payment.,"The Department will ring fence budget allocated for construction projects so as to fulfil contractual obligations and to avoid contractors suspending works.
",,3,1,,,,,,,Highest performance desired ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DPW & Others Portfolio,Quarterly,Number of planned maintenance ( refurbished /renovated) completed ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",2,,,,,2,1,The roof trusses for Old Ford House were not strong enough to accommodate solar panels which resulted to delays in completing the project,The contractor was granted extension to braced roof trusses ,2,2,N/A,N/A,8,2,"Six projects were under achieved due to various reasons which are as follows, Budget constraints (1. DRPW Houses -Prestige Portfolio, 2. Upgrade and Additions for DRDAR Ngqamakhwe, and 3. ECPL Solar). Termination of contractor (1. Butterworth Service Office, 2. Fencing to Prestige and 3. Mvumelwano Traditional Council.","The Department will ring-fence the infrastructure budget to avoid delays. Supply Chain Management will consider exploring other contracting strategies to fast track the issue appointment of contractors and the department must also consider blacklisting contractors that are under performing.
",,14,5,,,,,,,Highest performance desired ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DPW & Others Portfolio,Quarterly,Number of planned maintenance (refurbished / renovated) completed ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Economic Transformation and Job Creation,Not Applicable,2,2,N/A,N/A,,2,,,,5,,,,4,,,,,13,2,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DPW & Others Portfolio,Quarterly,Number of state owned facilities adhering to access norms and standards for persons with disabilities ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,,,,,0,1,The over achievement is due to additional ramps identified in the ECPL Chamber and these were completed in Q2.,,0,,,,6,5,"Lusikisiki Kings House could not be finalised. The Client Department requested DPWI to halt the project, as they could not decide where the new King will reside.
","The Department is engaging the client department to finalise the sitting of the new King to resume the project
",,9,6,,,,,,,Highest performance desired ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DPW & Others Portfolio,Quarterly,Number of state-owned facilities adhering to access norms and standards for standards for people with disabilities,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Economic Transformation and Job Creation,Not Applicable,2,2,N/A,N/A,,0,,,,0,,,,6,,,,,8,2,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,DPW & Others Portfolio,Quarterly,Ratio on utilisation of internal vs external professional services for DPWI/Public infrastructure projects,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,,0,,,,0,,,,90/10,68/05," The Department planned to implement 38 projects, however only 28 projects managed to be under construction. 10 Projects could not be awarded due to issues of budget constraints as well as the procurement processes that took longer than anticipated.
Out of the 28 projects that were implemented only two (2) projects were implemented utilizing external professionals and 26 projects utilising internal professionals. 
"," The Department will ring-fence the budget allocated for projects in order to full fill contractual obligations as stipulated in the contract. 
Supply Chain Management will consider exploring other contracting strategies to fast track the issue appointment of contractors.",,90/10,-,,,,,,,Highest performance desired ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Programme 2: Public Works Infrastructure,Annually,deafult,Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Programme 2: Public Works Infrastructure,Quarterly,Number of Facilities provided,Standardized,Max,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Programme 2: Public Works Infrastructure,Quarterly,Number of utilisation inspections conducted for office accommodation,Standardized,Max,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",15,,N/A,N/A,,25,,,,15,,,,20,,,,Kindly report on this target.,75,0,,,,,There is no report on this,There is no report under this indicator,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.1: Programme support,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.2: Planning,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.3: Design,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.4: Construction,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.5: Maintenance,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.6: Immovable Asset Management,Annually,% of leases concluded with Black Developers,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government",Not Applicable,,,,,,,,,,,,,,65 %,65 %,,,,65 %,65 %,,N/A,N/A,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.6: Immovable Asset Management,Annually,Number of Revenue Enhancement Strategy initiatives implemented,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government",Not Applicable,,,,,,,,,,,,,,3,4,,,,3,4,,N/A,N/A,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.6: Immovable Asset Management,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,0,,,,,0,,,,0,,,,0,,,,,0,0,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.6: Immovable Asset Management,Quarterly,Number of facilities provided,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government",Not Applicable,50,50,N/A,N/A,,80,,,,80,,,,40,,,,Please report on this target.,250,50,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.6: Immovable Asset Management,Quarterly,Number of facilities provided ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,,0,,,,0,,,,314,378,"Five (5) leases from the leased office accommodation have been terminated and some came to an end and were not renewed. User departments from those leases that were terminated were moved and consolidated into other leased office accommodation and state-owned facilities identified.
",N/A,,314,378,,,,,,,Accommodation provided to users for the intended purpose ( reaching the target more) ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.6: Immovable Asset Management,Quarterly,Number of revenue enhancement strategy initiatives implemented ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,,,,0,,,,0,,,,4,4,N/A,N/A,,4,4,,,,,,,Higher performance desired  ,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.6: Immovable Asset Management,Quarterly,Number of State Land surveyed,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government",Not Applicable,0,,,,,50,0,"The under achievement is due to the technical delays experienced by the Department that affected commencement of the project.  
",The Service Provider will be appointed within the month of October and a catch-up plan will be implemented. ,50,100,Overachievement is due to 50 land surveys that were outstanding in Q2,N/A,50,50,N/A,N/A,,150,150,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.7: Facilities Operations,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.7: Facilities Operations,Quarterly,Number of condition assessments conducted on state-owned buildings,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",50,50,N/A,N/A,,100,50,N/A,N/A,60,48,"The under achievement is due to non-availability of travelling budget at Sarah Baartman and NMB districts and not adequately signing of condition assessment reports.
","The Programme will facilitate allocation of travelling budget for the affected districts and sign all outstanding condition assessment reports
",90,106,The over achievement is due to the intervention to overcome the under achievement in the 3rd quarter,N/A,,300,254,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.7: Facilities Operations,Quarterly,Number of energy efficient DPWI buildings,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",10,10,N/A,N/A,,20,20,N/A ,N/A ,15,15,N/A,N/A,8,5,"The underachievement is as a result of double-counting the same facility for two different utilities (water & electricity).
","The Department will ensure that water and energy saved through water and energy initiatives are counted and reported as per the method of verification.
",,53,50,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.7: Facilities Operations,Quarterly,Number of facilities management initiatives implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",5,3,Still awaiting approval of Terms of Reference for CBM and Prestige Norms and Standard Framework ,The Chief Directorate will secure dates for tabling the statutory document to relevant committees  ,,5,4,"The underachievement is due to delays in the approval of Framework for prestige Norms and Standards on Prestige Management Service initiative.
","The Department will ensure the approval of the guidelines in the next quarter. 
",5,3,"The under achievement is due to the non-sitting of Policy Consultation Forum to present the Prestige Policy. The Occupational Health & Safety initiative was also underperformed due to incapacity within the Chief Directorate
","The Programme is waiting for the next available date and also cover the work not done on Occupational Health & Safety initiative

",5,5,N/A,N/A,,5,5,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.7: Facilities Operations,Quarterly,Number of utilisation inspections conducted for office accommodation,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State",Not Applicable,15,15,N/A,N/A ,,25,25,N/A,N/A,12,,,,20,20,N/A,N/A,,75,60,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Sub Programme 2.7: Facilities Operations,Quarterly,Number of utilisation inspections conducted for office accommodation ,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Transformation and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",15,,,,,25,25,N/A,N/A,15,15,N/A,N/A,20,,,,,75,0,,,,,,,Actual performance exceeding targeted performance is desirable,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Transversal Infrastructure Coordination,Annually,Level of adherence to endorsed Terms of Reference ( ToR) by DPWI convened Infrastructure governance structures,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,Level 3,Level 3,,,,Level 3,Level 3,,N/A,N/A,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 2: Public Works Infrastructure,Transversal Infrastructure Coordination,Annually,Level of Transversal Coordination Capability Maturity Assessment Score attained,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,Level 2,Level 2,,,,Level 2,Level 2,,N/A,N/A,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Programme 3: Expanded Public Works Programme,Annually,deafult,Standardized,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Programme 3: Expanded Public Works Programme,Quarterly,Number of Public Bodies reporting on EPWP targets in the province ,Standardized,Max,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",50,,,,,50,,,,50,,,,50,,,,,50,0,,,,,,,,,,,,295
Public Works,Public Works,Eastern Cape,Programme 3: Expanded Public Works Programme,Programme 3: Expanded Public Works Programme,Quarterly,Number of work opportunities created by Provincial Public Works and Infrastructure,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",1500,,,,,2000,,,,3500,,,,5000,,,,,5000,0,,,,,,,,,,,,295
