Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q3,National_Q3,OTP_Q4,National_Q2,UID
Health,Health,KwaZulu Natal,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,Death in facility under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",427,373,854,"667
",1282,977,1710,1 258,1710,1258,,,,,Factors contributing to reduced deaths were decreased extreme low birth weight admissions and better access to respiratory support and oxygen.,,,"Factors contributing to reduced deaths were, decreased extreme low birth weight admissions and better access to respiratory support and oxygen.",,,Decreased number of preterm admissions resulting in increased access to respiratory support and reduced healthcare associated infections.,,"Improved triage and case management, and increased access to respiratory support at District hospitals.",,,,,,125
Health,Health,KwaZulu Natal,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,Diarrhoea death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",12,14,24,"21
",36,31,48,43,48,43,,,,,Deaths were associated with late entry into the health service with advanced disease.,Strengthen regional level paediatric critical care services.,corrective action statement is noted.,Effective case management and compliance with clinical guidelines.,,,Compliance with clinical management guidelines. ,,Compliance with clinical management guidelines. ,,,,,,125
Health,Health,KwaZulu Natal,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,Patient Safety Incident (PSI) case closure rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",98.1 %,93.4 %,98.1 %,97.6 %,98.1 %,99.5 %,98.1 %,99.96 %,98.1 %,99.5 %,,,,,"Committees at RK Khan, Ladysmith, Fort Napier and Ekuhlengeni Hospitals not fully functional resulting in PSIs not being closed timeously. ",Affected Districts were engaged by the Provincial Office to support identified facilities. ,,Some PSI’s were still under investigation at the time of reporting.,Investigations to be concluded in the next quarter.,,Implementation of PSI guidelines.,,Implementation of PSI guidelines.,(The Department has met the revised APP target of 90.6%),,,,,125
Health,Health,KwaZulu Natal,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,Pneumonia death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",25,16,51,"28
",77,42,103,53,103,53,,,,,Reduction in deaths are associated with a functional referral system and increased access to respiratory support.,,,Reduction in deaths are associated with a functional referral system and increased access to respiratory support.,,,Reduction in deaths are associated with a functional referral system and increased access to respiratory support.,,Reduction in deaths are associated with a functional referral system and increased access to respiratory support.,(The Department has met the revised APP target of 95),,,,,125
Health,Health,KwaZulu Natal,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,Severe acute malnutrition (SAM) death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",12,12,25,"24
",36,30,49,45,49,45,,,,,No deviation,,,Implementation of training on inpatient management of SAM for health workers in paediatric wards.,,,Implementation of training on inpatient management of SAM for health workers in paediatric wards.,,"•	Training on inpatient management of SAM.  
•	Implementation of Mother-Baby Friendly Initiative (MBFI), Infant and young child feeding interventions to prevent SAM.
",,,,,,125
Health,Health,KwaZulu Natal,Programme 4: Provincial Hospital Services,Programme 4: Provincial Hospital Services,Quarterly,Severity assessment code (SAC) 1 incident reported within 24 hours rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Social Protection, Community and Human Development cluster",100.0 %,100 %,100.0 %,97.1 %,100.0 %,98.1 %,100.0 %,99.5 %,100.0 %,98.1 %,,,,,No deviation,,,Delayed identification of incorrectly classified PSI.,In-service training on PSI Guidelines.,,"Non-compliance with PSI guidelines with regards to timeous recording.

","On-site and virtual support and coaching provided by the District to facilities on PSI guideline implementation and corrections to the Ideal System.  

",Timeous recording is negatively impacted by network challenges.,"District to continue to monitor timing of reporting as per PSI Guidelines.

(The Department has met the revised APP target of 92.1%)",Corrective action statement is noted.,,,,125
Health,Health,KwaZulu Natal,Programme 5: Central and Tertiary Hospitals,Central and Tertiary Hospitals,Annually,Maternal deaths in facility,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",,,,,,,13,27,13,27,,Complex medical and surgical conditions contributed to maternal deaths.,Implementation of new national Maternal and perinatal care guidelines for improved case management and prompt referrals to  higher levels of care.,,,,,,,,,,,,,,,,125
Health,Health,KwaZulu Natal,Programme 5: Central and Tertiary Hospitals,Central and Tertiary Hospitals,Annually,Patient Experience of Care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",,,,,,,88.2 %,86.5 %,88.2 %,86.5 %,,"Clients expressed dissatisfaction with access to care, specifically the referral pathways. ","Quality improvement plans, training and strategies to focus on educating clients so that they are better informed.",,,,,,,,,,,,,,,,125
Health,Health,KwaZulu Natal,Programme 5: Central and Tertiary Hospitals,Central and Tertiary Hospitals,Quarterly,Cervical cancer screening ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",370,301,740,536,1110,803,1480,1 102,1480,1102,,,,,Poor marketing of cervical cancer screening at the community and facility level.,Conduct cervical cancer awareness campaigns.,,Limited marketing of cervical cancer screening at the community and facility level.,Conduct cervical cancer awareness campaigns.,,Marketing of cervical cancer screening at the community and facility level is a gradual process,Increase coverage of cervical cancer awareness campaigns within the available resources,"Some women may not be aware of the importance of cervical cancer screening or may not understand the benefits of human papillomaviruses (HPV) deoxyribonucleic acid (DNA) testing, leading to low uptake of screening services.",Public awareness campaigns to educate women on the importance of cervical cancer screening and the benefits of HPV DNA testing. Provide educational materials and counselling to women at healthcare facilities,Corrective action statement is noted.,,,,125
Health,Health,KwaZulu Natal,Programme 5: Central and Tertiary Hospitals,Central and Tertiary Hospitals,Quarterly,Death in facility under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",114,114,228,"212
",343,317,458,433,458,433,,,,,No deviation,,,Major factors contributing to reduced post neonatal deaths were earlier referrals and better access to respiratory support and oxygen at lower levels of care.,,,"Earlier referrals, better access to respiratory support and oxygen continue to lessen the number of deaths.",,"Earlier referrals, better access to respiratory support and oxygen continue to minimize the number of deaths.",,,,,,125
Health,Health,KwaZulu Natal,Programme 5: Central and Tertiary Hospitals,Central and Tertiary Hospitals,Quarterly,Diarrhoea death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",1,1,2,3,3,3,4,6,4,6,,,,,No deviation,,,Late entry into the health system with advanced disease.,"Maintain existing PHC programmes and oral rehydration corners in every clinic and CHC.
Strengthen early identification and referral.",,No deviation.,,Late presentation for treatment with advanced disease.,"•	Community awareness campaigns on the importance of early presentation to health facilities for treatment.
•	Maintain existing PHC programmes and oral rehydration corners in every clinic and CHC.
•	Strengthen early identification and referral.
",,,,,125
Health,Health,KwaZulu Natal,Programme 5: Central and Tertiary Hospitals,Central and Tertiary Hospitals,Quarterly,Patient Safety Incident (PSI) case closure rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",97.3 %,96.9 %,97.4 %,99.8 %,97.4 %,100.1 %,97.4 %,99.6 %,97.4 %,99.8 %,,,,,PSI committees not fully functional i.e. the committee was unaware of cases carried over from previous quarters. ,Facilities engaged to monitor PSI management on a monthly basis in order to identify challenges and address them timeously.,,Adherence to PSI guidelines.,,,"Compliance with guidelines, ensuring that carried over PSI’s are closed.",,Compliance with PSI guidelines.,(The Department has met the revised APP target of 91.6%),,,,,125
Health,Health,KwaZulu Natal,Programme 5: Central and Tertiary Hospitals,Central and Tertiary Hospitals,Quarterly,Pneumonia death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",7,7,16,12,25,16,34,20,34,20,,,,,No deviation,,,Reduction in deaths are associated with a functional referral system and increased access to respiratory support.,,,Improved access to respiratory support in regional and district hospitals contributed to the reduction in referrals to and deaths at these hospitals.,,Improved access to respiratory support in district and regional hospitals contributed to the reduction in referrals to and deaths at these hospitals.,(The Department has met the revised APP target of 36),,,,,125
Health,Health,KwaZulu Natal,Programme 5: Central and Tertiary Hospitals,Central and Tertiary Hospitals,Quarterly,Severe acute malnutrition (SAM) death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",1,2,3,6,5,8,8,11,8,11,,,,,"Complicated SAM death with co-morbidity.

","Continue with IMCI training for early case detection of illness in children, and referral to higher level of care as needed.",,"Complications due to cardiac conditions, cerebral palsy and late diagnosis of HIV.",IMCI training and inpatient management of SAM.,,"Patients not responding to treatment due to co-morbid conditions such as cardiac conditions, cerebral palsy and late diagnosis of HIV.","Continue with IMCI training for early case detection of illness in children, and referral to higher level of care as needed; and inpatient management of SAM.","Treatment failure due to co-morbid conditions such as cardiac conditions, cerebral palsy and late diagnosis of HIV.","Continue with IMCI training for early case detection of illness in children, and referral to higher level of care as needed; and inpatient management of SAM.",Corrective action statement is noted.,The reasons provided are not related to SAM?,,,125
Health,Health,KwaZulu Natal,Programme 5: Central and Tertiary Hospitals,Central and Tertiary Hospitals,Quarterly,Severity assessment code (SAC) 1 incident reported within 24 hours rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",100.0 %,96.9 %,100.0 %,95.7 %,100.0 %,98.6 %,100.0 %,95.6 %,100.0 %,98.6 %,,,,,Non-adherence to PSI guidelines.,Identified facility to be provided with in-service training to improve compliance with guidelines.,,Misunderstanding on the interpretation of PSI cases led to delays in reporting at Greys Hospital.,Training videos shared with the district Quality Assurance Coordinators  to facilitate training.,,Non-compliance at Inkosi Albert Luthuli Hospital on the implementation of PSI guidelines in relation to classification of incidents and reporting timelines.,District to conduct support visit to re-orientate the clinicians on reporting of SAC1 incidents.,Timeous recording is negatively impacted by network challenges.,"District to continue to monitor timing of reporting as per PSI Guidelines.

(The Department has met the revised APP target of 91.6%)",Corrective action statement is noted.,,,,125
Health,Health,KwaZulu Natal,Programme 6: Health Sciences and Training,Programme 6: Health Sciences and Training,Annually,Number of Bursaries awarded to first year nursing students,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",,,,,,,120,239,120,239,,The increased demand for General Nurses to be trained to meet the human resources needs of the Department.,,,,,,,,,,,,,,,,,125
Health,Health,KwaZulu Natal,Programme 6: Health Sciences and Training,Programme 6: Health Sciences and Training,Annually,Number of internal employees awarded bursaries,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",,,,,480,,,,480,,,,,,,,,,,,,,,,,,,,125
Health,Health,KwaZulu Natal,Programme 7: Health Care Support Services,Programme 7: Health Care Support Services,Quarterly,"Tracer Medicine Stock- Out Rate at facilities (hospitals, community health centres and clinics)",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",5 %,1.8 %,5 %,1.5 %,5 %,1.6 %,5 %,2.6 %,5 %,3.3 %,,,,,"•	Stock levels were closely monitored.
•	Improved follow-up on suppliers with overdue orders.
•	PPSD rationed the stock of products with supply constraints to ensure all facilities were covered.
•	Redistribution of stock to facilities with low stock levels.
",,,"•	Stock levels were closely monitored.
•	Improved follow-up on suppliers with overdue orders.
•	PPSD rationed the stock of products with supply constraints to ensure all facilities were covered.
•	Redistribution of stock to facilities with low stock levels.
",,,"•	Stock levels were closely monitored.
•	Improved follow-up on suppliers with overdue orders.
•	PPSD rationed the stock of products with supply constraints to ensure all facilities were covered.
",,"•	Stock levels were closely monitored.
•	Improved follow-up on suppliers with overdue orders.
•	PPSD rationed the stock of products with supply constraints to ensure all facilities were covered.
",,,,,,125
Health,Health,KwaZulu Natal,Programme 7: Health Care Support Services,Programme 7: Health Care Support Services,Quarterly,Tracer Medicine Stock- Out Rate at the Provincial Pharmaceutical Supply Depot (PPSD),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",5 %,0.4 %,5 %,1.3 %,5 %,1.3 %,5 %,3.9 %,5 %,1.7000000000000002 %,,,,,"Maintained the following control measures:
•	Follow up on suppliers with overdue orders.
•	Ration the stock of products with supply constraints to ensure all facilities were covered.
•	Prepared for transitioning into new contracts
",,,Continuously engaging with suppliers to limit supply disruptions. ,,,Continuous engagement with suppliers to limit supply disruptions. ,,Continuous engagement with suppliers to limit supply disruptions. ,,,,,,125
Health,Health,KwaZulu Natal,Programme 8: Health Facilities Management,Programme 8: Health Facilities Management,Quarterly,Number of Capital Infrastructure Projects completed,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",35,40,25,40,25,35,18,18,103,133,,,,,Projects were completed earlier than anticipated.,,,High number of completed projects is as a result of Department of Public Work (DOPW) roll-over projects which were targeted to be complete in the 2023/24 financial year.,,,High number of completed projects is as a result of Department of Public Work (DOPW) roll-over projects which were targeted to be complete in the 2023/24 financial year.,,No deviation.,(The Department has not met the revised APP target of 22),,,,,125
Health,Health,KwaZulu Natal,Programme 8: Health Facilities Management,Programme 8: Health Facilities Management,Quarterly,Percentage of preventative maintenance expenditure,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",48.0 %,39.2 %,48.0 %,43.5 %,48.0 %,42.3 %,48.0 %,2.4 %,48.0 %,0 %,,,,,Major breakdowns reported during the quarter resulting in over-expenditure in Category A and under-expenditure on preventative maintenance.,Institutions to service machinery and equipment regularly.,,Major breakdowns reported during the quarter resulting in over-expenditure in Category A and under-expenditure on preventative maintenance.,To service machinery and equipment regularly to reduce breakdowns.,,Major breakdowns reported during the quarter resulting in over-expenditure in Category A and under-expenditure on preventative maintenance.,To service machinery and equipment regularly to reduce breakdowns.,Major breakdowns reported during the quarter resulting in over-expenditure in Category A and under-expenditure on preventative maintenance.,"Institutions to service machinery and equipment regularly.

(The Department has not met the revised APP target of 32.0%)",Corrective action statement is noted.,,,,125
Human Settlements,Human Settlements,KwaZulu Natal,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Annually,1.1 % of Approved Human Resource plan implemented,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",100 %,87.5 %,,,,,,,100 %,87.5 %,,Seven HR Planning objectives have been achieved out of a total of eight that were identified on the HR Plan for 2020/2025.,"Due to budgetary constraints the Department is unable to finalize the reviewal and approval of the organisational structure, it will however, consider realignment of the organisational structure.",,,,,,,,,,,,,,,,125
Human Settlements,Human Settlements,KwaZulu Natal,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Annually,1.3 % implementation of the approved internal audit plan,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,,,,,,,100 %,100 %,,Target has been achieved,None Required,,,,,,,,,,,,,,,,125
Human Settlements,Human Settlements,KwaZulu Natal,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Annually,1.5 % implementation of the approved audit improvement plan,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",100 %,0 %,,,,,,,100 %,0 %,,Not targeted for the current quarter,None Required,,,,,,,,,,,,,,,,125
Human Settlements,Human Settlements,KwaZulu Natal,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Annually,1.6 Annual performance information management report submitted,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",1,1,,,,,,,1,1,,Target has been achieved,None Required,,,,,,,,,,,,,,,,125
Human Settlements,Human Settlements,KwaZulu Natal,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Annually,1.8 % of the Organizational Functionality Assessment improvement plan implemented,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",,,,,,,25,25,25,25,,Target achieved,None Required,,,,,,,,,,,,,,,,125
Human Settlements,Human Settlements,KwaZulu Natal,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Quarterly,1.2 Number of ICT Governance framework performance reports submitted,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,1,1,1,4,4,,,,,Target has been achieved,None Required,,Target has been achieved,None Required,N/A,Target has been achieved,None Required,Target achieved,None Required,N/A,,,,125
Human Settlements,Human Settlements,KwaZulu Natal,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Quarterly,1.4 % of invoices paid within 30 days of receipt,Non-Standardized,Average,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",100 %,91.3 %,100 %,75.99 %,100 %,86.45 %,100 %,95.94 %,100 %,0 %,,,,,Invoices could not be processed as funding allocated had been exhausted and Debtor system payments could not be interfaced on BAS timeously.,Strict monitoring of budget as per approved business plan. Matter was communicated with National Human Settlements.,,Most invoices could not be paid as the Department was awaiting a tranche from National to be used to disburse claims since some invoices could not be processed as funding allocated had been exhausted.,A meeting with the service providers was held in June 2024 to stress the importance of ensuring that their claims are in line with the cash flows as per business plan. Projects to be monitored strictly to ensure that the spending is in line with the approved business plan.,N/A,1) Most invoices could not be paid as the Department is awaiting a tranche from National to be used to disburse claims and some invoices could not be processed as funds allocated had been exhausted.,"1) The Service Providers IA's Project Staff and Municipalities have been engaged on the constraints experienced by the Department mainly as a result of budget which necessitates the reduction in the number of units and serviced sites. 
2) The IA's have ben encouraged not to start new works until all unpaid invoices have been paid. 
3) Projects to be monitored stringently to ensure that the spending is in line with the approved business plan.",1. Invoices could not be processed as funding allocated to the project in the financial year had been exhausted.                                                                                                       2. Incorrect supporting documents were attached to the payment and there was a delay in returning claim with correct supporting documents.                                                                                                                         3. The payment run that was scheduled for the 24th of December 2024 did not take place due to BAS technical error.                                                                                                                                                                                                                                                                      4. Delays were due to the closure of offices for festive season.  ,1. Project to be monitored stringently to ensure that the spending is in line with the approved business plan.                                                                                                                        2. Non- compliance letters were issued to responsible officials.                                                                                                                                                                                                                                                         3. Provincial Treasury has since resolve the issue.  ,Noted.,,,,125
Human Settlements,Human Settlements,KwaZulu Natal,Programme 1: Administration,Sub-programme 1.2: Corporate Services,Quarterly,1.7 % of the approved Procurement Plan implemented,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",10 %,14 %,40 %,14 %,40 %,20 %,10 %,4 %,100 %,52 %,,,,,Target exceeded because the target is an estimate the department always strives to achieve more to expedite service delivery processes., The improvement emanates from various engagement with end users sections to submit procurement request in time and it is now yielding benefit in our goals to achieve 100% implementation of Procurement Plan.,,Due to financial constraints projects have been put on hold. ,"Future target setting will be reviewed.
",N/A,Under-performance is due to financial constraints and cost cutting measures. Projects have been put on hold.,End users have been requested to indicate which projects should be cancelled due to budget constraints and the Procurement Plan will be amended accordingly.,Due to cost cutting measures awards could not be finalised.,"The Procurement plan was amended and all items that were not achievable are allowed to be removed from plan.  Therefore, there were 98 items remaining.  Therefore, SCM achieved 96% for the 2024-2025 Procurement Plan.",Noted.,,,,125
Human Settlements,Human Settlements,KwaZulu Natal,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.1: Administration ,Quarterly,2.15 Number of individuals provided with human settlements consumer education,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",1000,1129,1000,1034,1500,1589,1500,2243,5000,5995,,,,,"Target exceeded because more than expected number of individuals (406) attended a consumer education workshop in Jozini on 06/06/2024.
",There is really no way of stopping individuals from attending a Consumer Education workshop. Perhaps the Department will look at the option of reducing the number of Consumer Education Workshops. ,,Target exceeded due to the high demand for consumer education.,"Department to manage the demand for consumer education.
",N/A,During this reporting period the demand for Human Settlements consumer education was higher.,Adjustments in the number of Human Settlements consumer education workshops have been made for Quarter 4 in order to cater for the over-achievement in the previous quarters as well as the cost cutting measures.,The attendance for consumer education was higher than expected resulting in the target being exceeded.,None Required,Noted,,,,125
Human Settlements,Human Settlements,KwaZulu Natal,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Annually,2.10 Number of farm residents housing assistance projects in planning phase,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",,,,,,,6,6,6,6,,Target achieved,Future target setting will be reviewed.,,,,,,,,,,,,,,,,125
Human Settlements,Human Settlements,KwaZulu Natal,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Annually,2.11 Number of informal settlements upgrade plans completed,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",,,,,,,1,1,1,1,,Target achieved,None Required,,,,,,,,,,,,,,,,125
Human Settlements,Human Settlements,KwaZulu Natal,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Annually,2.4 Approved multi-year housing development plan reviewed annually,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",,,,,,,1,1,1,1,,Target achieved,None Required,,,,,,,,,,,,,,,,125
Human Settlements,Human Settlements,KwaZulu Natal,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Annually,2.7 Number of catalytic projects in planning phase,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",,,,,,,3,3,3,3,,Target achieved,None Required,,,,,,,,,,,,,,,,125
Human Settlements,Human Settlements,KwaZulu Natal,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Annually,2.9 Number of farm residents housing assistance projects at pre-feasibility stage,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",,,,,,,1,1,1,1,,Target achieved,None Required,,,,,,,,,,,,,,,,125
Human Settlements,Human Settlements,KwaZulu Natal,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Annually,Number of UISP projects in phase 2 (planning),Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",,,,,,,83,83,83,83,,Target achieved,None Required,,,,,,,,,,,,,,,,125
Human Settlements,Human Settlements,KwaZulu Natal,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Quarterly,2.12 Number of ISUP projects in phase 1 (pre-feasibility),Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",4,2,3,7,4,1,4,2,15,12,,,,,Projects are awaiting approvals of TEC recommendations. ,"Continuous follow ups are being made on outstanding approvals.
",,Target has been exceeded because TEC recommendations received approval and some of the 1st Quarter referred back submissions were resolved by the respective Planners.,Future target setting will be reviewed.,The department is advised to revise the reason for deviation. (First sentence).,Target was  exceeded by 4 projects  In the previous quarter which resulted in under performance in the current quarter..,Future target setting will be reviewed.,Due to the Budget cuts no new Project applications were submitted for TEC approval.,Future target setting will be reviewed.,Noted.,,,,125
Human Settlements,Human Settlements,KwaZulu Natal,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Quarterly,2.14 Number of ISUP projects in phase 2 (planning) projects completed,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",0,0,1,2,0,0,2,1,3,3,,,,,Not targeted for the current quarter,None Required,,Target was exceeded due to the additional close out report for Quarter 1 was finalized in Quarter 2.,Future target setting will be reviewed.,N/A,Not targeted for in the current quarter,None Required,Annual target has been achieved.,Future target setting to be reviewed.,N/A,,Please provide the reason for deviation.,,125
Human Settlements,Human Settlements,KwaZulu Natal,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Quarterly,2.5 Number of municipalities provided with technical support ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",10,16,10,22,10,10,13,21,43,69,,,,,"Ad hoc Meetings were held at the request of the Community to provide a report on project progress, delays and challenges. These issues could not  wait for the normal scheduled meetings.",Future target setting on this indicator will be reviewed.,,Target has been exceeded due to the additional technical support meetings took place in Quarter 2.,"Future target setting will be reviewed.

",The department is advised to revise the reason for deviation. (First sentence).,Target has been achieved.,"None Required
",Additional technical support was provided for the respective Municipalities in order to enhance the engagement process.,Future target setting to be reviewed.,N/A.,,Please provide the reason for deviation.,,125
Human Settlements,Human Settlements,KwaZulu Natal,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Quarterly,2.6 Number of human settlement development projects approved for planning (stage1),Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Human Settlement and sustainable livelihood  ,"Governance, State Capacity and Institutional Development cluster",6,6,4,6,5,1,5,3,20,16,,,,,Target has been achieved ,None Required,,Target has been exceeded because TEC recommendations received approval and some of the 1st Quarter referred back submissions were resolved by the respective Planners.,"Future target setting will be reviewed.
",The department is advised to revise the reason for deviation. (First sentence).,"Due to the Budget cuts that was implemented in Quarter 3 of 2024.25, requests for New Projects had to be limited which resulted in the reported under-performance.",Future target setting will be reviewed.,Due to the Budget cuts no new Project applications were submitted for TEC approval.,Future target setting will be reviewed.,Noted.,,,,125
