Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q3,National_Q3,OTP_Q4,National_Q2,UID
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"District Health Services (PHC, CHC and District Hospitals)",Quarterly,Patient Safety Incident (PSI) case closure rate –District Health Services,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",97.9 %,85 %,97.8 %,89.9 %,97.9 %,97.2 %,97.8 %,97.7 %,97.8 %,97.2 %,,,,,Non-adherence to PSI Guidelines i.e. the committee did not convene as required.,Implementation of a quality improvement strategy to ensure the timeous closure of PSIs.,corrective action statement is noted.,Some PSI’s were still under investigation at the time of reporting.,Investigations to be concluded in the next quarter.,,"Contributing factors include vacant Quality Assurance (QA) Co-ordinator posts, unsustainable PSI Committees, and poor supervision of PHC facilities. ","•	Provincial QA to undertake technical support visits. 
•	Districts to continue with weekly monitoring, review strategies  and  conduct support visits to poor performing facilities.
","Vacant Quality Assurance (QA) Co-ordinator posts, and network challenges impact negatively on PSI management.  
","•	Districts to continue with weekly monitoring, review strategies to mitigate risk factors and conduct support visits.
•	Provincial QA to undertake technical support visits.

(Department has met the revised APP target of 90.8%.)
",Corrective action statement is noted.,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,"District Health Services (PHC, CHC and District Hospitals)",Quarterly,Severity assessment code (SAC) 1 incident reported within 24 hours rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",100.0 %,92.9 %,100.0 %,94.1 %,100.0 %,93.7 %,100.0 %,94.0 %,100.0 %,95 %,,,,,Non-adherence to PSI guidelines.,Identified Districts to be provided with in-service training to improve compliance with guidelines.,corrective action statement is noted.,Delayed identification of incorrectly classified PSIs.,In-service training on PSI Guidelines.,Corrective action statement is noted.,Non-compliance to PSI  guidelines.,"Implementation of the matron hand-over SOP and the PSI Guidelines.

","Vacant Quality Assurance (QA) Co-ordinator posts, and network challenges impact negatively on PSI management.  ","Districts to continue with weekly monitoring, review strategies to mitigate risk factors and conduct support visits.

(The Department has met the revised APP target of 90.6%)",Corrective action statement is noted.,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,HIV/TB and Sexually Transmitted Infections (HAST),Annually,All DS -TB Deaths,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",,,,,,,2840,2940,2840,2940,,Late presentation among co-infected patients continues to contribute to high mortality.,"•	Mentoring of district health teams to institutionalize clinical and mortality audits, effectively analyse findings, plan and implement strategies to bridge the gaps giving priority to EThekwini district. 
•	Implementation of TB preventive treatment shorter regimens to all eligible co-infected patients and contacts.
•	Social mobilization campaigns to emphasize identification of symptoms, early diagnosis, and adherence to both TB and ART treatment.                           
",,,,,,,,,,,,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,HIV/TB and Sexually Transmitted Infections (HAST),Annually,ART client remain on ART end of month – sum,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",,,,,,,1677836,1568784,1677836,1568784,,Retention in care remains the main problem as loss to follow up is still high.,"•	Implementation of data for action/verification for improving retention. 
•	Scale up welcome back as per MOI and men's health strategy. 
•	Decanting of eligible men and children to support retention of these sub populations. 
•	Regional trainings on community ART were conducted with District Health Services, Health Systems Trust to revitalise mobile clinics and outreach services on improving access (a total of 152 Mobile, HTA and Outreach teams)
",,,,,,,,,,,,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,HIV/TB and Sexually Transmitted Infections (HAST),Annually,ART death rate (6 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",,,,,,,1.0 %,1.7 %,1.0 %,1.7 %,,TB/HIV integration is not optimally implemented resulting in delayed and late diagnosis of TB due to low suspicion index.,"•	Monitor mentorship plan and adherence support through retention and viral load suppression indicators at Early warning indicator workshop. 
•	Support implementation of quality Improvement plans (QIPs) on mortality.  
",,,,,,,,,,,,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,HIV/TB and Sexually Transmitted Infections (HAST),Quarterly,All DS-TB client LTF rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",9.0 %,8.2 %,9.0 %,7.1 %,9.0 %,6.9 %,9.0 %,6.8 %,9.0 %,7.1 %,,,,,Improved follow-up on patients who missed appointments and linkage of patients to outreach teams.,,,Improved follow-up on patients who missed appointments and linkage of patients to outreach teams.,,,Improved follow-up on patients who missed appointments and linkage of patients to outreach teams.,,"Improved adherence to treatment, consistent actioning of missed appointment lists, and ongoing data clean-up efforts.",,,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,HIV/TB and Sexually Transmitted Infections (HAST),Quarterly,All DS-TB client treatment success rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",72.1 %,75.2 %,72.1 %,75.8 %,72.1 %,75.8 %,72.1 %,75.5 %,72.1 %,75.7 %,,,,,Improved linkage of patients down referred from hospital.,,positive variance is noted.,Improved linkage of patients down referred from hospital.,,Positive variance is noted.,Improved linkage of patients down referred from hospital.,,Consistent improvement in linkage to care.,(The Department met the revised APP target of 72.0%),Positive variance is noted.,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,HIV/TB and Sexually Transmitted Infections (HAST),Quarterly,ART adult remain in care rate [12 months],Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",71.0 %,73.4 %,73.0 %,68.4 %,74.0 %,68.0 %,75.0 %,67.8 %,75.0 %,68.4 %,,,,,"Implementation of:
•	patient adherence counselling highlighting adherence planning. 
•	data for action as a retention strategy.

",,,High loss to follow-up among men.,Increased number (116) of Men's health  facilities to improve support for men and adherence to treatment.,,Retention in care remains the main challenge as loss to follow up is still high.,"•	Scale up welcome back as per MOI and men's health strategy. 
•	Decanting of eligible men and children to support retention on these sub populations. 
•	Regional trainings on community ART were conducted to support Community ART.
",Retention in care remains the main challenge as loss to follow up is still high.,"•	Decanting of eligible men and children to support retention. 
•	Implementation of community ART in all districts.
",Corrective action statement is noted.,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,HIV/TB and Sexually Transmitted Infections (HAST),Quarterly,ART adult viral load suppressed rate - below 50 (12 months),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",95.0 %,81.8 %,95.0 %,82.6 %,95.0 %,83 %,95.0 %,82.7 %,95.0 %,82.6 %,,,,,Low level viremia remains the problem against viral undetectable targets.,"•	Intensify Viral load literacy for communities through Undetectable Equals Untransmittable campaign, ensuring patients understand the benefits of viral suppression. 
•	Implementation of Differentiated Models of Care, so clients have treatment collection options that are convenient to them.
",,Low level viremia remains the problem against viral undetectable targets.,"•	Intensify Viral load literacy for communities through Undetectable Equals Untransmittable campaign, ensuring patients understand the benefits of viral suppression. 
•	Implementation of Differentiated Models of Care, so clients have treatment collection options that are convenient to them.
",,Poor adherence due to a combination of factors such as insufficient treatment literacy and sub-optimal implementation of adherence planning.,"•	Adherence planning. 
•	Implementation of Undetectable Equals Untransmittable (U = U) in collaboration with Civil Society to foster treatment literacy. 
•	U=U training was conducted by National Department of Health (NDOH) with a total of 70 health care workers and Civil Society members.
•	Supporting viral load literacy in communities through psychosocial support (facility and in community).
",Poor adherence by patients to their treatment plan.,Implementation of Undetectable Equals Untransmittable (U = U) in collaboration with Civil Society to foster treatment literacy. ,Corrective action statement is noted.,,,,125
Health,Health,KwaZulu Natal,Programme 2: District Health Services,HIV/TB and Sexually Transmitted Infections (HAST),Quarterly,ART child remain in care rate [12 months],Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Basic Services,"The Social Protection, Community and Human Development cluster",77.0 %,83.6 %,78.0 %,79.8 %,79.0 %,80.7 %,80.0 %,80.3 %,80.0 %,80.7 %,,,,,Implementation of focused interventions on child HIV care.,,,Implementation of focused interventions on child HIV care.,,,Implementation of the “Know Your Child” and Matrix of Intervention (MOI) strategies.,,Implementation of the “Know Your Child” and Matrix of Intervention (MOI) strategies.,,Positive variance is noted.,,,,125
