Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Summary,OTP_Summary,National_Q1,National_Q2,National_Q3,National_Q4,UID
,Cooperative Governance,Northern Cape,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,"Number of municipalities supported to promote participation in community based local governance processes (Priority 1: Capable, Ethical and Developmental State) (Priority 6 MTEF indicatory: Social Cohesion and Safer Communities)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,26,26,0,0,26,25,26,25,25,Kai-Garib LM could not be supported due to service delivery issues within municipal area,,,,,No planned target for the quarter,,,YTD performance is at 100%,,,Year to date performance is at 100%,Non-compliance letter not issued to Kai-Garib,,Annual target achieved.  100% by the end of the 4th quarter.,,,,,,,82
,Cooperative Governance,Northern Cape,Programme 2: Local Governance,Sub Programme 2.3:  Public Participation,Quarterly,Number of municipalities supported to resolve community concerns,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",5,5,8,8,8,8,5,5,26,26,26,,,,,,Target for the quarter achieved.,,,YTD performance is at 100%,,,Year to date performance is at 100%,,,Annual target achieved.  100% by the end of the 4th quarter.,,,,,,,82
,Cooperative Governance,Northern Cape,Programme 2: Local Governance,Sub Programme 2.4:  Capacity Development,Quarterly,"Number of capacity building interventions conducted in municipalities (Linked to MTSF 2019 – 2024, Priority 1) (B2B Pillar 5)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",2,19,3,18,2,13,3,14,10,64,64,Due to the capacity needs and the shortage of skills in municipalities the training initiatives improve on the challenges. As the MSR requires staff to be fit for purpose the municipality are striving to capacitate their staff to have a level of understanding and in preparation for formal learning.  ,None,,"The Provincial Capacity Building Strategy for 2024/2025 was formulated for implementation. 
The sub-unit is responsible for the co-ordination of training in the province. Thus, capacity building initiatives were conducted in municipalities to strengthen the skills of municipal officials. ",None - the Department has no control over the number of capacity building interventions arranged by local municipalities.,Target for the quarter exceeded and reasons for this has been provided.,"The Municipal Staff Regulations (MSR) requires all the municipal staff to become fit for purpose. Thus, the municipalities must apply at LGSETA for discretionary grant through their Works Skills Plan to capacitate officials to be able to meet the requires of their functions per the job descriptions.  The grant funding of LGSETA is allocated within a financial year and according to the Work Skills Plans of municipalities the implementation of their training needs must be address within that specific financial year. 

Hence, it put pressure on sector departments to capacitate officials to become fit for purpose and for the funding to be utilised to improved service delivery at municipal level.   This led to the over achievement of the Capacity Building indicator for Quarter 2.  
",None,Reasons for deviation to explain the overachievement is required. ,"The shortages of skills in municipalities are of great concern, especially in terms of the Municipal Staff Regulations (MSR) to be implemented.  Municipalities have requested training at the Technical IGR meeting on the 03 February 2024 and 03 November 2024 respectively. Hence we deemed it necessary to conduct the workshop for functionaries to understand what is required from CoGTA be able to report on the MSR Readiness Tool.",None,"Year to date performance is at 714%, reflecting a huge over achievement in relation to the planned targets.  Reasons foe deviation have been provided consistently over the quarters.  ",Due to the capacity needs and the shortage of skills in municipalities the training initiatives improve on the challenges. As the MSR requires staff to be fit for purpose the municipality are striving to capacitate their staff to have a level of understanding and in preparation for formal learning.  ,None,"Target over achieved with performance at the end of the 4th quarter at 650%.

Planning for this indicator to be considered",,,,,,,82
,Cooperative Governance,Northern Cape,Programme 2: Local Governance,"Sub Programme 2.5: Municipal Performance Monitoring, Reporting and Evaluation",Annually,"Number of Section 47 Reports compiled as prescribed by the MSA (Linked to MTSF 2019 – 2024, Priority 1) (B2B Pillar 5)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,82
,Cooperative Governance,Northern Cape,Programme 2: Local Governance,"Sub Programme 2.5: Municipal Performance Monitoring, Reporting and Evaluation",Quarterly,"Number of municipalities supported to institutionalize the performance management system (PMS) (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",7,7,8,8,8,8,8,8,31,31,31,,,,,,Target for the quarter achieved.,,,YTD performance is at 100%,,,Year to date performance is at 100%,,,Annual target achieved.  100% by the end of the 4th quarter.,,,,,,,82
,Cooperative Governance,Northern Cape,Programme 3: Development and Planning,Sub Programme 3.1.	Spatial Planning,Annually,"Number of Districts/ Metros monitored on the implementation One Plans (MTSF 2019 – 2024, Priority 5: Spatial integration, human settlements and local government)",Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,Governance and Administration cluster,,,,,,,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,82
,Cooperative Governance,Northern Cape,Programme 3: Development and Planning,Sub Programme 3.3.	Local Economic Development (LED),Quarterly,"Number of work opportunities reported through Community Work Programme (CWP) (MTSF 2019-2024, Priority 2)",Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",21000,18292,21000,18468,21000,18506,21000,18 514,21000,18514,18514,"COGTA issued directive ending the CWP Participants aged 55 years and older by 31 January 2025 (Circular no. 13 of 2024) (Annexture B) however COGTA issued another directive that “The retraction of circular 13 of 2024 and replacement with Circular 1 of 2025”. (Annexure C). This meant that the Department was looking at various options to deal with the current financial challenges, and by virtue of that, all participants who were affected by the Circular 13 of 2024 were allowed to return to work on Thursday, the 06th February 2025. 

In light of the above, our target of 21000 participants was down scaled to 16471 participants.
",None,,DCOG national instructed  the Provincial Implementing CWP staff not to load any new recruits on the CWP  MIS system. This has resulted in the target not being met. We have requested DCOG to provide a formal letter indicating the drop in targets. ,As a province we have raised  the matter and national indicated that through  the smart partnership programs DCOG will try to eliminate the target deficit within the financial year.,Target for the quarter not realised.  The remedial measures to be managed in order to ensure that the annual  target is achieved. ,"DCOG national instructed the Provincial Implementing CWP staff not to load any new recruits on the CWP  MIS system. This has resulted in the target not being met. We have requested DCOG to provide a formal letter indicating the drop in targets, which we have received.",The letter indicating the change in target has been received. ,Performance for quarters 1 and 2 have been affected by national directives relating to the CWP.  The revised target to be provided by the department.,"DCOG national instructed the Provincial Implementing CWP staff not to load any new recruits on the CWP  MIS system. This has resulted in the target not being met. We have requested DCOG to provide a formal letter indicating the drop in targets, which we have received","The CWP target was downscaled from 21000 to 16471 by National COGTA and the accumulated no. of participants for this quarter is 18506,  but the figure still needs to be corrected  on the Annual Operational  Plan.",The planned output has been reprioritised from 21000 to 16471.  ,"COGTA issued directive ending the CWP Participants aged 55 years and older by 31 January 2025 (Circular no. 13 of 2024) (Annexture B) however COGTA issued another directive that “The retraction of circular 13 of 2024 and replacement with Circular 1 of 2025”. ( Annexture C). This meant that the Department was looking at various options to deal with the current financial challenges and by virtue of that all participants that were affected by the Circular 13 of 2024 were allowed to return to work on Thursday the 06th February 2025. 

In the light of the above our target of 21000 participants was down scaled to 16471 participants
",,"Performance as at the end of the 4th quarter is 87,83%",,,,,,,82
,Cooperative Governance,Northern Cape,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Annually,Number of Districts monitored on the spending of National grants,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,82
,Cooperative Governance,Northern Cape,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,Number of municipalities monitored on the implementation of indigent policies (Sub-outcome 1) (B2B Pillar 2),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",5,5,8,8,8,8,5,5,26,26,26,,,,,,Target for the quarter achieved.,,,YTD performance is at 100%,,,Year to date performance is at 100%,,,,,,,,,,82
,Cooperative Governance,Northern Cape,Programme 3: Development and Planning,Sub Programme 3.4:	Municipal Infrastructure,Quarterly,"Number of municipalities monitored on the implementation of infrastructure delivery programmes (Outcome 9, Sub-outcome 1) (B2B Pillar 5)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",5,5,8,8,8,8,5,5,26,26,26,,,,,,Target for the quarter achieved.,,,YTD performance is at 100%,,,Year to date performance is at 100%,,,,,,,,,,82
