Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q1,National_Q3,National_Q2,DesiredPerformance,UID
Health,Health,Free State,Programme 4: Provincial Hospital Services,Sub-Programme: General (Regional) Hospitals,Quarterly,Patient safety incident case closure rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",90 %,97.37 %,90 %,82 %,90 %,"
114 %",90 %,96 %,90 %,0 %,,,,,Target achieved.,,,"Target not achieved. 
Non-adherence to Clinical Governance meetings",Appoint committee members with relevant terms of reference.,,Target achieved. ,Overperformance was caused by cases of previous quarters which were closed late.,,Target achieved,,Reasons for the over-achievement? ,,,,,256
Health,Health,Free State,Programme 4: Provincial Hospital Services,Sub-Programme: General (Regional) Hospitals,Quarterly,Pneumonia death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",3,11,3,8,3,11,3,7,12,7,,,,,"Target not achieved. 
•	Boitumelo RH contributed to high number of Pneumonia deaths under 5 years.
•	Late presentation to health facilities.	
","•	Boitumelo RH to establish Paediatric corner.
•	Ensure all Pneumonia diagnosed patients are screened for TB.
•	Educate mothers and guardians on early danger signs of Childhood illnesses.
•	Strengthen implantation of IMCI Guidelines",,"Target achieved. 
pneumonia cases were limited and were under control.
The annual target for 2024/25 is 48 as per APP  2024/ 25 and the quarterly target is 12. ",Continue with the implementation of strategies of intervention.,is the desired performance in this regard not that of an output below the target?,"•	Late referrals
•	Congenital infections.
•	Shortage of Pediatrician and nursing staff
•	Out-reach services to only one District hospital.
Possible serious bacterial infection not considered at A&E
•	Inadequate septic workup in the ward

•	Appropriate antibiotics not prescribed at A&E
•	Late referrals
•	Congenital infections.
•	Shortage of Paediatrician and nursing staff
•	Out-reach services to only one District hospital
•	Possible serious bacterial infection not considered at A&E
•	Inadequate septic workup in the ward

•	Appropriate antibiotics not prescribed at A&E
","•	Out reaches to District Hospitals. 
•	Adhered to triage guidelines. 
•	Implement ETAT guidelines. 
•	Strengthen out-reach services to all District Hospitals.
•	Appoint Pediatricians and Nursing staff.
•	Implement clinical guidelines




",,"Target achieved.
The correct provincial target in the APP is 12 per quarter. The target is achieved against the set target of 12.",,,,,,,256
Health,Health,Free State,Programme 4: Provincial Hospital Services,Sub-Programme: General (Regional) Hospitals,Quarterly,Severe acute malnutrition (SAM) death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",8,11,8,4,8,13,8,6 ,32,6,,,,,Target achieved.,-,,Target achieved. ,,,"Target not achieved.
•	Out reaches to District hospitals. 
•	Adherered to EML and dietetics guidelines. 
","•	Health education on danger signs and childhood illnesses. 
•	Educate communities on dangers of mixing Herbal medicines and pharmaceutical regimens.  
•	Dieticians to conduct outreaches and follow ups on discharged patients. 
•	Implementation of Emergency Triage Assessment and Treatment (ETAT)
•	Linkage of SAM cases with CHWs on discharge
•	Implementation of IPC Principle.",,Target achieved.,,,,,,,256
Health,Health,Free State,Programme 4: Provincial Hospital Services,Sub-Programme: General (Regional) Hospitals,Quarterly,Severe acute malnutrition (SAM) death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",12,,12,4,12,3,12,7,48,7,,,,,,,,Target achieved. ,,,Target achieved.,,,Target achieved.,,,,,,,256
Health,Health,Free State,Programme 4: Provincial Hospital Services,Sub-Programme: General (Regional) Hospitals,Quarterly,Severe assessment code 1 incident reported within 24 hours rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",87.5 %,100 %,87.5 %,100 %,87.5 %,"
100
 %",87.5 %,92 %,87.5 %,92 %,,,,,Target achieved.,,,Target achieved. ,,,Target achieved. ,,,Target achieved.,,Reasons for the over-achievement? ,,,,,256
Health,Health,Free State,Programme 4: Provincial Hospital Services,Sub-Programme: Specialised Psychiatric Hospital Services,Annually,Ideal hospital status obtained rate,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,100 %,0 %,100 %,0 %,,"Target not achieved. 
Framework for assessment of psychiatric hospitals has not yet been finalised.

",Technical working team appointed to develop assessment tool suitable for specialised hospital.,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 4: Provincial Hospital Services,Sub-Programme: Specialised Psychiatric Hospital Services,Annually,Patient Experience of Care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,80 %,80 %,80 %,80 %,,Target achieved,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 4: Provincial Hospital Services,Sub-Programme: Specialised Psychiatric Hospital Services,Annually,Percentage of hospitals implementing quality improvement programme,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,100 %,100 %,100 %,100 %,,Target achieved,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 4: Provincial Hospital Services,Sub-Programme: Specialised Psychiatric Hospital Services,Annually,Percentage of hospitals with functional hospital boards,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,100 %,100 %,100 %,100 %,,Target achieved,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 4: Provincial Hospital Services,Sub-Programme: Specialised Psychiatric Hospital Services,Quarterly,Inpatient bed utilisation rate,Non-Standardized,Max,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",87 %,85.2 %,87 %,86 %,87 %,"84.5
 %",87 %,82.4 %,87 %,0 %,,,,,"Target not achieved. 
•	High activity around separations.
•	Released number of patients.	



","•	Continue to discuss in Clinical Governance
•	Create more beds 

",,"Target not achieved. 
Bed capacity increased due to 9 MHUs decanted to licensed NGOs.","Q1 Action Plan progress report: 
•	Indicator discussed in the clinical governance discussions.
•	9 Mental Health Care Users transferred out to licensed NGO’s on the last week of September 2024 – Increasing separations and beds capacity.
Q2 Action Plan: 
Close monitoring of bed occupancy",,"Target not achieved.
•	Intensify therapeutic rehabilitation programs

","Continuous monitoring of hospital beds.

",,"Target not achieved. 
Separation is 481 against 204 admissions.	
","Progress on implementation of Q3 action plan:
Monitored bed utilisation in the facility during Q4. 

Q4 Action Plan:
Increase Hospital bed capacity. ",,,,,,256
Health,Health,Free State,Programme 4: Provincial Hospital Services,Sub-Programme: Specialised Psychiatric Hospital Services,Quarterly,Morbidity and mortality review rate,Standardized,Max,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,100 %,100 %,"
100 %",100 %,100 %,100 %,100 %,,,,,Target achieved.,-,,Target achieved.,,,"Target achieved. 
",,,Target achieved,,,,,,,256
Health,Health,Free State,Programme 4: Provincial Hospital Services,Sub-Programme: Specialised Psychiatric Hospital Services,Quarterly,Patient Safety Incident case closure rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",100 %,76 %,100 %,82 %,100 %,"
94 %",100 %,94 %,100 %,94 %,,,,,"Target not achieved. 
•	The incident that happened post Clinical governance meeting- will be discussed in July.
•	Some recommendations not yet implemented; hence cases cannot be closed.
",•	The Facility to move meetings to the 1st week each Month so that rescheduling can take place in the same month.,,"Target not achieved. 
Target not reached because incidents are still within the 60 working days (target) which falls within the 3rd quarter",To finalise the open cases on time.,,"Target not achieved. 
Compliance to Clinical Governance meetings.",Strengthen reporting of incidents according to the set timeframes.,,"Target not achieved. 
One PSI closed after 60 days due its severity of the case and need for further enquiries. 
",,What is the corrective action?,,,,,256
Health,Health,Free State,Programme 4: Provincial Hospital Services,Sub-Programme: Specialised Psychiatric Hospital Services,Quarterly,Severe assessment code 1incident reported within 24 hours rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",80 %,88.9 %,80 %,100 %,80 %,"
100 %",80 %,100 %,80 %,0 %,,,,,Target achieved.,-,,Target achieved.,,,"Target achieved. 
Some of Q2 cases were closed late and have caused over-achievement.",,,Target achieved ,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Central Hospital Services,Annually,Ideal hospital status obtained rate,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,100 %,100 %,100 %,100 %,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Central Hospital Services,Annually,Maternal deaths in facility,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,4,1,4,1,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Central Hospital Services,Annually,Patient Experience of Care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,80 %,82 %,80 %,82 %,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Central Hospital Services,Annually,Percentage of hospitals implementing Quality Improvement Programme,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,100 %,100 %,100 %,100 %,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Central Hospital Services,Annually,Percentage of hospitals with functional hospital boards,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,100 %,100 %,100 %,100 %,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Central Hospital Services,Quarterly,Cervical cancer screening ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",20,22,40,28,40,0,20,,120,0,,,,,Target achieved.	,-,Reasons for the deviation in exceeding the target?,"Target not achieved.
NHLS essential services were not fully received due to the cyber attacks in their systems.","To convene a meeting with NHLS management to explore manual systems.
",what is the reason for the deviation?,Target achieved.,,,,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Central Hospital Services,Quarterly,Death in facility under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",35,28,35,31,35,27,35,39,140,39,,,,,Target achieved.	,-,,Target achieved. ,,,Target achieved. ,Maintain performance.,,Target not achieved.,,What is the reason for the deviation?,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Central Hospital Services,Quarterly,Diarrhoea death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",0,0,0,0,0,0,0,0,0,0,,,,,Target achieved.,-,,Target achieved. ,,,Target achieved. ,,,Target achieved.,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Central Hospital Services,Quarterly,Morbidity and mortality review rate,Non-Standardized,Max,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,100 %,100 %,67 %,100 %,89 %,100 %,100 %,,,,,Target achieved.	,-,,Target achieved. ,,,"Target not achieved. 
Forensic mortuary closed, no reports for them. HOD on leave since December was a downscaled month for services.
",Reminders send to departments that did not send the reports.,,"•	Closure of forensic mortuary has affected the reporting rate.
•	Plastic and reconstructive department did not submit report.","Progress on implementation of Q3 action plan:
The forensic mortuary is still closed, however reminders were sent to hospital departments that did not send reports.

Q4 Action Plan:
Ensure that responsible managers are available for M&M meetings monthly.",,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Central Hospital Services,Quarterly,Patient safety incident case closure rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",100 %,88.6 %,100 %,97 %,100 %,100 %,100 %,78 %,100 %,0 %,,,,,"Target not achieved. 
•	No meeting held.
•	Delay of submission of RCA	","•	Incident will be held in July.
•	Investigators to be trained on submission of report ASAP
",,"Target not achieved. 
•	Late submission of RCA reports from doctors.
•	Non-attendance to PSI meetings.
•	Access to Ideal System and reporting remains a problem.","•	RCA submission within 7 days of reporting a case.
•	Escalation of non-submission of reports to the Clinical Governance committee.
•	Forms for all new users and those who needs passwords reset have been submitted to Information Management Unit.",,Target achieved. ,,,"Target not achieved.
Incidents related to infrastructural issues could not be closed due to financial constraints.
","•	Roadshow on PSI and CCS Action Plan in Q1.
•	Training on EWS by OHSC in Q1.
",,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Central Hospital Services,Quarterly,Pneumonia death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",0,0,0,0,0,0,0,0,0,0,,,,,Target achieved.,-,,Target achieved. ,,,Target achieved. ,,,Target achieved.,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Central Hospital Services,Quarterly,Severe Acute malnutrition (SAM) death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",0,0,0,0,0,0,0,0,0,0,,,,,Target achieved.,-,,Target achieved. ,,,Target achieved. ,,,Target achieved.,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Central Hospital Services,Quarterly,Severity assessment code 1 incident reported within 24 hours rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",86.7 %,100 %,86.7 %,100 %,86.7 %,100 %,86.7 %,100 %,86.7 %,100 %,,,,,Target achieved.,-,,Target achieved.,,,Target achieved. ,,,Target achieved.,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Provincial Tertiary Hospital Services,Annually,Ideal hospital status obtained rate,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,0 %,0 %,0 %,0 %,,Target achieved,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Provincial Tertiary Hospital Services,Annually,Maternal deaths in facility,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,7,2,7,2,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Provincial Tertiary Hospital Services,Annually,Patient Experience of Care satisfaction rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,80 %,66 %,80 %,66 %,,"Target not achieved 

",,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Provincial Tertiary Hospital Services,Annually,Percentage of hospitals implementing Quality Improvement Programme,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,100 %,100 %,100 %,100 %,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Provincial Tertiary Hospital Services,Annually,Percentage of hospitals with functional hospital boards,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,100 %,100 %,100 %,100 %,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Provincial Tertiary Hospital Services,Quarterly,Cervical cancer screening,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",20,108,40,84,40,82,20,0,120,0,,,,,Target achieved.,-,,Target achieved.,,,Target achieved.,Maintain performance.,,"Target not achieved.
•	The tests conducted were diagnostic tests and could not be classified as screening.
•	Missed opportunities of provider-initiated screening of eligible patients in the facilities. ","•	Improve screening tests in gynae clinic.
•	Promote provider-initiated screening in the service areas.",,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Provincial Tertiary Hospital Services,Quarterly,Death in facility under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",34,52,34,31,34,30,33,35,135,35,,,,,"Target not achieved. 
A high rate of the under 5 deaths are neonates who died from prematurity-related complications. ","•	Minimise / reduce overcrowding in Neonatal High Care Unit.
•	Staffing according to nurse -patient ratios to reduce infection.
•	Offer genetic counselling to mothers of babies who died from congenital abnormalities in preparation for the next pregnancy.",,Target achieved.,,,Target achieved. ,Maintain performance.,,"Target not achieved.
115 of the deaths are neonatal deaths due to prematurity related complications: (infection, congenital abnormalities and preterm multi organ failure) . 
","•	Reduce overcrowding of neonatal unit.
•	Enhance Infection control measures.
•	Strengthen Primary health care for identification of high-risk pregnancies.",,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Provincial Tertiary Hospital Services,Quarterly,Diarrhoea death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",1,0,1,1,1,0,1,0,4,0,,,,,Target achieved.,-,,Target achieved.,,,Target achieved. ,Maintain performance.,,Target achieved.,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Provincial Tertiary Hospital Services,Quarterly,Morbidity and mortality review rate,Non-Standardized,Max,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",100 %,100 %,100 %,67 %,100 %,100 %,100 %,100 %,100 %,100 %,,,,,Target achieved.,-,,"Target not achieved. 
Reshuffling of facility leadership.",Leadership stabilized.,,Target achieved.,Maintain performance.,,Target achieved.,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Provincial Tertiary Hospital Services,Quarterly,Patient Safety Incident case closure rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",90 %,44.4 %,90 %,95 %,90 %,56 %,90 %,103 %,90 %,0 %,,,,,"Target not achieved. 
Not yet discussed in Clinical Governance meeting, due to no proper monitoring of PSCI cases at facility.	",QA to monitor patient’s closure rate while  for customer care officer (Recruitment underway at shortlisting stage).,,"Target achieved.
Clinical governance meetings were conducted and challenges addressed.",Continue monitoring implementation of strategies.,what is the reason for the deviation?,"•	The delay in capturing is caused by incomplete written incident report which cause delay in capturing into the system.

•	Cost centre or Operational Manager not taking responsibility in closing the case.
","•	Scheduling plan to re-train the managers and staff on the importance and purpose of completing the written form and capturing into the system in time.

•	The incidence to be discussed in the complaints committee by the cost centre or operational Manager and close after the RCA is done.
",,Target achieved.,,Reasons for the over-achievement? ,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Provincial Tertiary Hospital Services,Quarterly,Pneumonia death under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",1,1,1,1,1,1,1,0,4,0,,,,,Target achieved.,-,,Target achieved.,,,Target achieved.,Maintain performance.,,Target achieved.,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Provincial Tertiary Hospital Services,Quarterly,Severe acute malnutrition (SAM) death under under 5 years,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",2,0,2,3,2,0,2,1,8,1,,,,,Target achieved.,-,,"Target not achieved.
Delayed referral identified during Root cause analysis (RCA).",Continue proper management of childhood illnesses,,Target achieved. ,Maintain performance.,,Target achieved.,,,,,,,256
Health,Health,Free State,Programme 5: Central Hospital Services,Sub-Programme: Provincial Tertiary Hospital Services,Quarterly,Severity assessment code (SAC) 1 incident reported within 24 hours rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",80 %,64.3 %,80 %,64 %,80 %,74 %,80 %,95 %,80 %,0 %,,,,,"Target not achieved. 
Cases not yet discussed in Clinical Governance meeting, due to many conflicting activities
	 
",Will be discussed in next meeting,,"Target not achieved. 
Delay to report cases in the Ideal System.",Managers to report cases timeously in the system.,,"•	The delay in capturing is caused by incomplete written incident report which cause delay in capturing into the system.

•	Cost centre or Operational Manager not taking responsibility in closing the case.
","•	Scheduling plan to re-train the managers and staff on the importance and purpose of completing the written form and capturing into the system in time.

•	The incidence to be discussed in the complaints committee by the cost centre or operational Manager and close after the RCA is done.
",,Target achieved.,"PProgress on implementation of Q3 action plan:
There is an improvement since Q3. Schedule for Clinical Governance meeting available.


Q4 Action Plan: Roadshow on PSI and CCS Action Plan in Q1
Training on EWS by OHSC in Q1.
",,,,,,256
Health,Health,Free State,Programme 6: Health Sciences and Training,Sub-Programme: EMS Training Colleges,Annually,Percentage of EMC Higher Certificate students completing in minimum time,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,23.5 %,52.6 %,23.5 %,52.6 %,,"A total of 19 EMC Higher Certificate students were enrolled for the first time and 10 completed all modules on minimum time
Improved students support services and implementation of reports and feedback from HPCSA Board and Moderators contributed to the performance on this program. The students enrolled on the program were also committed, matured and experienced.
",Target exceeded,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 6: Health Sciences and Training,Sub-programme: Nurse Training Colleges,Annually,Number of graduating nurse students in the 1-year higher certificate in nursing programme,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,110,124,110,124,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 6: Health Sciences and Training,Sub-programme: Nurse Training Colleges,Annually,Number of graduating nurse students in the 3-year diploma  general nursing programme,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,119,126,119,126,,Target achieved.,,,,,,,,,,,,,,,,,,,256
Health,Health,Free State,Programme 6: Health Sciences and Training,Sub-Programme: Primary Health Care Training,Quarterly,Number of CHW trained on Basic Life support,Non-Standardized,Max,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",0,0,200,258,150,106,150,193,500,258,,,,,Target achieved.,-,,"Target achieved. 
Over-performance due to:
-	Catch up for Lejweleputswa District
TM & Fezile Dabi included HCW from Hospitals.",not applicable.,,"Target not achieved. 
Training planned for MM was postponed as participants could not attend due to staff shortage at the facilities caused by expired contracts for COVID-19 contract nurses.","44 HCW from MM not trained in the 3rd quarter will be trained in the 4th quarter during the 2 weeks BLS training planned for MM as follows: 3-7 February 2025 and 11-14 February 2025
Contract workers will assume duty in January 2025, this will reduce the pressure on staff shortage
",,"Target achieved
Additional sessions were held in: 
-	Fezile Dabi and Lejweleputswa Hospital personnel.

","Progress on implementation of Q3 action plan:
-	Two weeks sessions planned for Mangaung were held in the 4th quarter as planned this contributed to reaching the annual target for this indicator
Q4 Action Plan:
-	Target achieved

",,,,,,256
Health,Health,Free State,Programme 6: Health Sciences and Training,Sub-Programme: Primary Health Care Training,Quarterly,Number of doctors and nurses reskilled on ESMOE,Non-Standardized,Max,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",0,0,100,174,75,134,75,49,250,174,,,,,Target achieved.,-,,"Target achieved. 
Over performance due to high demand for the training and availability of participants.",not applicable,,Target achieved due to improved planning.,,,"Target achieved. 
•	Majority of the participants were trained during quarter 2 and 3
",,49/75 in line with the indicator is an under-achievement...please double check and correct,,,,,256
Health,Health,Free State,Programme 6: Health Sciences and Training,Sub-Programme: Primary Health Care Training,Quarterly,Number of midwives trained on BANC plus,Non-Standardized,Max,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",50,19,50,78,50,61,50,11,200,78,,,,,"Target not achieved. 
Trainings scheduled for Lejweleputswa and Fezile Dabi, on 16th – 17th April 2024 and 10th – 14th June 2024 , respectively, did not take place due to unavailability of participants. ","Catch up plan for Q2:
•	Lejweleputswa training is scheduled for 27th – 28th August 2024.
•	Fezile Dabi training is scheduled for 4th – 5th September 2024.",,"Target achieved. 
Lejweleputswa & Fezile Dabi training which were postponed in the first quarter took place",not applicable,,Target approved due to improved planning.,-,,"Target not achieved.
•	The plan for 4th quarter was to train 50 midwives in Thabo Mofutsanyana district. 
•	Unavailability of participants due to service delivery demands affected the plan, only 11 participants attended the session.
 

",TM will be prioritized in the 2025/2026 financial year to catch up on the 4th quarter performance,,,,,,256
Health,Health,Free State,Programme 6: Health Sciences and Training,Sub-Programme: Primary Health Care Training,Quarterly,Number of nurses trained on NIMART,Non-Standardized,Max,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",0,0,30,20,50,0,20,25,100,25,,,,,Target achieved.,-,,"Target not achieved. 
10 Nurses who were mentored to initiate and manage ART could not be certified as their contracts expired. ",Continue to monitor the mentoring. ,,"Target not achieved. 
Participants could not be available for mentoring due to staff shortage at the facilities caused by expired COVID-19 contracts.  
","Q2 Progress on action plan:
The plan was to review the 4th Quarter target, which was done.
Q3 Action Plan:
The 4th quarter target is increased from 20 to 60 to cover 2nd & 3rd Quarter performance. 
Mentors were interviewed during the 3rd quarter and should assume duty within the 4th Quarter
Contract workers will assume duty in January 2025, this will reduce the pressure on staff shortage.",,"Target achieved.
•	
","Progress on implementation of Q3 action plan:
The 4th quarter target was increased from 20 to 60 to cover 2nd & 3rd Quarter performance, however, could not be reached due to: 
•	Unavailability of targeted participants due to service demands and resignations especially community service nurses and covid contract workers appointed permanently and reallocated to other facilities
•	Mentors did not assume duty in the 4th quarter as planned 
Q4 Action Plan:
•	Re-training of clinical mentors scheduled for May 2025.
•	The newly appointed clinical mentors will be trained through clinical mentoring to improve their skills.
•	

",,,,,,256
Health,Health,Free State,Programme 6: Health Sciences and Training,Sub-Programme: Training Other,Annually,Number of managers trained on leadership and management programmes,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Improved quality of life,"The Social Protection, Community and Human Development cluster",,,,,,,60,40,60,40,,Target not achieved due to non-approval to continue with training of nursing managers through Stellenbosch University ,Continue with management and development programs through NSG,,,,,,,,,,,,,,,,,,256
