administration_type;government_institution;project_slug;sector;project_name;project_description;gps_code;nature_of_investment;infrastructure_type;current_project_stage;sip_category;project_value_rands;br_featured;featured;financial_year;budget_phase;amount_rands
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;520000;;TRUE;2025;MTEF;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;520000;;TRUE;2026;MTEF;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;520000;;TRUE;2027;MTEF;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;271000;;TRUE;2021;Audited Outcome;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;271000;;TRUE;2022;Audited Outcome;271000
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;271000;;TRUE;2023;Audited Outcome;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;271000;;TRUE;2024;Adjusted Appropriation;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;271000;;TRUE;2025;MTEF;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;271000;;TRUE;2026;MTEF;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;271000;;TRUE;2027;MTEF;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;146000;;TRUE;2021;Audited Outcome;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;146000;;TRUE;2022;Audited Outcome;146000
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;146000;;TRUE;2023;Audited Outcome;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;146000;;TRUE;2024;Adjusted Appropriation;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;146000;;TRUE;2025;MTEF;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;146000;;TRUE;2026;MTEF;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;146000;;TRUE;2027;MTEF;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;145000;;TRUE;2021;Audited Outcome;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;145000;;TRUE;2022;Audited Outcome;145000
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;145000;;TRUE;2023;Audited Outcome;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;145000;;TRUE;2024;Adjusted Appropriation;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;145000;;TRUE;2025;MTEF;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;145000;;TRUE;2026;MTEF;0
National;Civilian Secretariat for the Police Service;civilian_secretariat_for_the_police_service_office_accommodation_upgrade_and_additions;Justice, Crime Prevention and Security;Office Accommodation Upgrade and Additions;Office Accommodation;Latitude: -25.7485629. Longitude: 28.1931615;Upgrading and additions;Buildings;Final Completion;Not related to SIPs;145000;;TRUE;2027;MTEF;0
National;Cooperative Governance;cooperative_governance_cwp_wendy_house_constructions;Urban Development And Infrastructure;CWP Wendy House constructions;CWP Wendy House constructions;Unspecified;Rehabilitation and refurbishment;Wendy Houses;Other - Packaged Ongoing Project;SIP 11: Agri-logistics and rural infrastructure;8121000;;TRUE;2021;Audited Outcome;7437000
National;Cooperative Governance;cooperative_governance_cwp_wendy_house_constructions;Urban Development And Infrastructure;CWP Wendy House constructions;CWP Wendy House constructions;Unspecified;Rehabilitation and refurbishment;Wendy Houses;Other - Packaged Ongoing Project;SIP 11: Agri-logistics and rural infrastructure;8121000;;TRUE;2022;Audited Outcome;684000
National;Cooperative Governance;cooperative_governance_cwp_wendy_house_constructions;Urban Development And Infrastructure;CWP Wendy House constructions;CWP Wendy House constructions;Unspecified;Rehabilitation and refurbishment;Wendy Houses;Other - Packaged Ongoing Project;SIP 11: Agri-logistics and rural infrastructure;8121000;;TRUE;2023;Audited Outcome;0
National;Cooperative Governance;cooperative_governance_cwp_wendy_house_constructions;Urban Development And Infrastructure;CWP Wendy House constructions;CWP Wendy House constructions;Unspecified;Rehabilitation and refurbishment;Wendy Houses;Other - Packaged Ongoing Project;SIP 11: Agri-logistics and rural infrastructure;8121000;;TRUE;2024;Adjusted Appropriation;0
National;Cooperative Governance;cooperative_governance_cwp_wendy_house_constructions;Urban Development And Infrastructure;CWP Wendy House constructions;CWP Wendy House constructions;Unspecified;Rehabilitation and refurbishment;Wendy Houses;Other - Packaged Ongoing Project;SIP 11: Agri-logistics and rural infrastructure;8121000;;TRUE;2025;MTEF;0
National;Cooperative Governance;cooperative_governance_cwp_wendy_house_constructions;Urban Development And Infrastructure;CWP Wendy House constructions;CWP Wendy House constructions;Unspecified;Rehabilitation and refurbishment;Wendy Houses;Other - Packaged Ongoing Project;SIP 11: Agri-logistics and rural infrastructure;8121000;;TRUE;2026;MTEF;0
National;Cooperative Governance;cooperative_governance_cwp_wendy_house_constructions;Urban Development And Infrastructure;CWP Wendy House constructions;CWP Wendy House constructions;Unspecified;Rehabilitation and refurbishment;Wendy Houses;Other - Packaged Ongoing Project;SIP 11: Agri-logistics and rural infrastructure;8121000;;TRUE;2027;MTEF;0
