Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Business Cycle Indicators,Quarterly,"8.12 Number of releases on liquidations and insolvencies published, within two months after the reference month: 12 monthly releases on liquidations and insolvencies published as scheduled",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,3,3,3,3,3,3,12,12,12,,,12,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Business Cycle Indicators,Quarterly,"8.13 Number of releases on civil cases for debt published, within two months after the reference month: 12 monthly releases on civil cases for debt published as scheduled",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,3,3,3,3,3,3,12,12,12,,,12,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Business Cycle Indicators,Quarterly,"8.14 Number of releases on food and beverages published, within two months after the reference month: 12 monthly releases on food and beverages published as scheduled",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,3,3,3,3,3,3,12,12,12,,,12,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Business Cycle Indicators,Quarterly,"8.15 Number of releases on tourist accommodation published, within two months after the reference month: 12 monthly releases on tourist accommodation published as scheduled",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,3,3,3,3,3,3,12,12,12,Published 2 releases later than scheduled due to data challenges,,12,March release was published in June later than  scheduled due to skills constraints,,July 2022 release published later than scheduled due to data challenges,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Business Cycle Indicators,Quarterly,"8.2 Number of releases on manufacturing: production and sales published, within two months after the reference month: 12 monthly releases on manufacturing: production and sales published as scheduled",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,3,3,3,3,3,3,12,12,12,,,12,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Business Cycle Indicators,Quarterly,"8.3 Number of releases on manufacturing: utilisation of production capacity by large enterprises published, within one quarter after the reference month: 4 quarterly releases on manufacturing: utilisation of production capacity by large enterprises publis",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,4,4,4,,,4,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Business Cycle Indicators,Quarterly,"8.4 Number of releases on electricity generated and available for distribution publis12 monthly releases on electricity generated and available for distribution published as scheduledhed, within two months after the reference month: ",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,3,3,3,3,3,3,12,12,12,,,12,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Business Cycle Indicators,Quarterly,"8.5 Number of releases on selected building statistics of the private sector as reported by local government institutions published, within two months after the reference month: 12 monthly releases on selected building statistics of the private sector as ",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,3,3,3,3,3,3,12,12,12,,,12,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Business Cycle Indicators,Quarterly,"8.8 Number of releases on retail trade sales published, within two months after the reference month: 12 monthly releases on retail trade sales published as scheduled",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,3,3,3,3,3,3,12,12,12,,,12,,,,,,,,,246
Statistics South Africa,Statistics South Africa,National,Programme 2: Economic Statistics,Business Cycle Indicators,Quarterly,"8.9 Number of releases on motor trade sales published, within two months after the reference month: 12 monthly releases on motor trade sales published as scheduled",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",3,,3,3,3,3,3,3,12,9,12,,,12,,,,,,,,,246
