Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
Transport,Transport,North West,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Quarterly,Number of routes subsidised,Standardized,Max,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",787,767,787,767,787,747,787,777,787,777,777,"Revise the target to 777, approve the revised operational schedule.",,,Phumatra transport contract was terminated after the operator didn’t implement improvement plans agreed with the Department. The operator was using 2 buses instead of 18 buses as required by the contract.,The approval to appoint a replacement operator has been approved by the Head of Department. The engagement with the replacement operator is underway.,"	
Phumatra transport contract was terminated after the operator didn’t implement improvement plans agreed with the Department. The operator was using 2 buses instead of 18 buses as required by the contract
","	
The Department has signed an SLA with a new operator","The variance between the approved and validated 
routes is 40.
The (20) discrepancies related to rates and escalations on the SLA were found during invoice submission for Dr RSM operations and had to be reviewed.  
The other 20 routes are as a result of the monitoring process of reviewing and confirming routes  based on the initial timetable versus current operations.
","Finalise the discussion of the base month and the 
rates with the SMF and the operator.


Revised approved routes as per the report of the SMF.
","Eight routes which were previously classified as scholar routes under DR RSM operations and are no longer operated. 
Two routes which were operated in Bojanala East reduced due to combination of routes. 
","Revise the target to 777, approve the revised operational schedule.",44
Transport,Transport,North West,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Quarterly,Number of schools subsidised with learner transport,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",358,271,358,270,358,205,358,286,358,286,271,During the quarter under review 87 schools form B could not be submitted for validations due to kilometres discrepancies as per the SLA,"The Department has realised that reliance on scholar transport operators to submit Form B’s to support the performance on the number of schools receiving scholar transport service pose a challenge when some operators do not submit their claims on time as result affect the Department’s ability to provide the require portfolio on evidence on time. In this regard the Department will received the required Form B’s directly from the school on monthly basis.

",,"
During the quarter under  review 87 schools form B's could not be submitted for validations  due to kilometers discrepancies as per the SLA.",The Department is currently conducting verification of the queried kilometers,"	
Form Bs for 88 schools is a result of non submission of claims by appointed operators for those schools. appointed operators for those shools",The Department has agreed with all operators that claims must be submitted on monthly basis within 7 days after month end or closing of schools. This will assist the monitoring of claims and form Bs.," 	The submission of Form B’s is dependent 
on the operators submitting their claims on month basis. During the quarter under review 153 form B’s were submitted for validation due to the following reasons:

•	19 schools form B were submitted due replacement of operators due to non-compliance and poor service provision. 
•	29 schools were included on the benefiting schools by DOE but the schools are not provided with learner as yet.
•	105 due to non-submission of claims.
"," 	
Request for approval for 
replacement operators in the 4th quarter.


Review the list of benefiting school in the 4th quarter to ensure that all benefiting schools are properly concluded.
The SLA to be reviewed in the next finalisation year to include punitive measures for non- submission of invoices on time. Furthermore, the means of verification will be reviewed to allow the Department to have control over the performance POE.
","An underachievement of 72 is due to 19 schools awaiting approval in order for operators to claim, 29 schools are included in submission but not serviced and 24 not claims have not been submitted. ","19 school’s submissions approved, addendums and appointment letters to be issued to affected operators,

29 schools will be replaced by schools that were not included on the approved list but were receiving learner transport service.

Operators reminded to submit Form B`s for 24 schools.

Moving forward, the department will collect Form B`s direct from the school through coordination of Department of Education. 
",44
Transport,Transport,North West,Programme 3: Transport Operations ,Sub-Programme 3.3: Operator Licences and Permits,Annually,default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,44
Transport,Transport,North West,Programme 3: Transport Operations ,Sub-Programme 3.3: Operator Licences and Permits,Quarterly,Number of Provincial Regulating Entity (PRE) hearings conducted,Standardized,Not  Applicable,Not Applicable,-,Not Applicable,12,9,12,15,12,12,12,9,48,45,45,"PRE hearings could not be conducted, only three members were still in good standing, the rest their terms of the office had expired therefore they could not form a quorum to adjudicate",,,"The 
individual contracts of the four (4) PRE members expired on the 31st March 2024 and we experienced some delays regarding the approval of the submission (including concurrence) in respect of the extension of their contract. The approved submission was only received by the Directorate around May 2024 for implementation. The contracts of the abovementioned members were finally extended for a period of six (6) months starting from the date of approval of the submission (i.e 7th May 2024) and the Directorate HRM had to finalise the process of appointing the members formally and in line with the prescripts which also took some time. ","The sittings are planned to take place during the 2nd Quarter to recover the shortfall of the 3 PRE sittings,"," 	
	
The over-achievement relates to the 3 sittings that were not conducted during Q1",None,None,None,"PRE hearings could not be conducted, only three members were still in good standing, the rest their terms of the office had expired therefore they could not form a quorum to adjudicate",Proper planning will be done to ensure that there is adequate budget for accommodation for PRE members.,44
Transport,Transport,North West,Programme 3: Transport Operations ,Sub-Programme 3.4: Transport Safety and Compliance,Quarterly,Number of road safety awareness interventions conducted,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Fighting Crime,"Governance, State Capacity and Institutional Development cluster",3,3,3,3,3,3,3,3,3,3,3,None,None,,None,None,None,None,3,None,None,None,44
Transport,Transport,North West,Programme 3: Transport Operations ,Sub-Programme 3.4: Transport Safety and Compliance,Quarterly,Number of schools involved in road safety education,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Fighting Crime,"Governance, State Capacity and Institutional Development cluster",150,150,178,178,0,0,173,173,501,173,501,None,None,,None,None,None,None,None,None,None,None,44
Transport,Transport,North West,Programme 3: Transport Operations ,Sub-Programme 3.4: Transport Systems,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,44
Transport,Transport,North West,Programme 3: Transport Operations ,Sub-Programme 3.4: Transport Systems,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,44
Transport,Transport,North West,Programme 3: Transport Operations ,Sub-Programme 3.5: Infrastructure Operations,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,44
Transport,Transport,North West,Programme 3: Transport Operations ,Sub-Programme 3.5: Infrastructure Operations,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,44
