Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,National_Q2,UID
Human Settlements,Human Settlements,Eastern Cape,"Programme 2: Housing Needs, Research and Planning",Capacity Building and Municipal Support,Quarterly,Number of municipalities supported on Human Settlements programs,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",4,4,None,None,It is always advisable to name the ones that you have achieved,6,7,Over performance was due Kouga that was identified as a special request during the service month. ,None,,7,7,None,None,,3,0,Under performance was due to unavailability of funds,The budget will be sourced to cover up for the ground loss during the quarter one and two of 2025/26 financial year,,20,18,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,"Programme 2: Housing Needs, Research and Planning",Capacity Building and Municipal Support,Quarterly,Number of municipalities supported towards fully functioning National Housing Needs Register,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",2,6,"Over performance was due to four municipalities namely Dr AB Xuma, KSD, Umzimvubu and Great Kei local municipalities that were not planned however they requested training to be conducted during the first quarter",None,Great,5,8,"Over performance was due to the following municipalities that were not planned for the quarter: Sakhisizwe, Winnie Madikizela and Kouga",None,,4,4,None,None,,2,2,None,None,,13,20,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,"Programme 2: Housing Needs, Research and Planning",Human Settlements Delivery Planning,Annually,Number of integrated implementation programmes for priority development areas completed per year,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,2,2,,,,2,2,,None,None,,,85
Human Settlements,Human Settlements,Eastern Cape,"Programme 2: Housing Needs, Research and Planning",Human Settlements Delivery Planning,Quarterly,deafult,Not Applicable,Not  Applicable,Not Applicable, Social Cohesion and Safe Communities,Not Applicable,,,,,,,,,,,,,,,,,0,None,None,,,0,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,"Programme 2: Housing Needs, Research and Planning",Human Settlements Delivery Planning,Quarterly,Percentage of investment of the total Human Settlements allocations in PDAs(revised),Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",0 %,,,,,3 %,9.63 %,Over performance was due to accelerating delivery by the contractors through framework agreement,None,Consider increasing your annual target.,2 %,0 %,Under performance was due to reconciliations that must be between departmental grants,Target was already achieved in the previous quarters,"It should be shown in the reasons for deviation column that this indicator has been achieved already. Otherwise, if you show it as underachieved in this quarter then you must provide reasons for underachieving",3 %,3 %,None,None,,8 %,0 %,,,,,The output is noted however not verified by National,85
Human Settlements,Human Settlements,Eastern Cape,"Programme 2: Housing Needs, Research and Planning",Human Settlements Research and Policy Development,Annually,Number of dissemination reports developed,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,2,2,,,,2,2,,None,None,,,85
Human Settlements,Human Settlements,Eastern Cape,"Programme 2: Housing Needs, Research and Planning",Human Settlements Research and Policy Development,Annually,Number of Human Settlements policies developed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Spatial Integration, Human Settlements and Local Government","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,1,1,,,,1,1,,None,None,,,85
Human Settlements,Human Settlements,Eastern Cape,"Programme 2: Housing Needs, Research and Planning",Human Settlements Research and Policy Development,Annually,Number of human settlements research reports developed,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,2,2,,,,2,2,,None,None,,,85
Human Settlements,Human Settlements,Eastern Cape,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.1: Administration ,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.2: Policy,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Quarterly,Number of integrated implementation programmes for priority development areas completed per year,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,0,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Quarterly,Percentage of investment of the total Human Settlements allocation in PDAs,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",0 %,,,,,3 %,,,,,2 %,,,,"There is a target for Q3 but no actual output has been recorded, please provide reasons for this",3 %,,,,Please provide reasons for deviation and corrective measures,8 %,0 %,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.3: Planning,Quarterly,Percentage of land acquired during 2014-2019 within the PDA’s rezoned ,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,0 %,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,"Programme 2: Housing Needs, Research and Planning",Sub-programme 2.4: Research,Quarterly,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.1 HUMAN SETTLEMENTS FACILITATION PROGRAMME,Annually,Number of SMME contractors provided with training towards sustainable business enterprise,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",85,27,,,,,,,,,,,,,,,,,,,85,27,,Over performance was due to the increased demand from external stakeholders and timely response through engagements with strategic partners to conduct trainings.,None,,,85
Human Settlements,Human Settlements,Eastern Cape,Programme 3: Housing Development,3.1 HUMAN SETTLEMENTS FACILITATION PROGRAMME,Quarterly,Number of community engagements facilitated,Non-Standardized,Max,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",3,6,"Over performance was due to the increase in contractor appointments in Alfred Nzo due to sourcing from the panel of contractors. This necessitated community engagements in preparation for the implementation of the projects

",None,,5,0,None,None,,5,None,None,None,,2,0,None,None,Provide reasons for deviation and corrective measures,15,6,,,,,,85
