Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,DesiredPerformance,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,OTP_Q1,UID
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,MTSF 209: Annual Catalogue of digital materials ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All schools are provided with a catalogue of digital content and access to a content portal ,,,,,,,Published Provincial catalogue on Digital Material,"Annual 
Provincial catalogue on Digital Material Published
",Published Provincial catalogue on Digital Material,"Annual 
Provincial catalogue on Digital Material Published
",,Achieved,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 201: Number of SSIP residential camps,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",Improved learner performance in underperforming and fully functional and well-resourced secondary schools. ,,,,,,,60,115,60,115,,"Achieved:
The Department offered additional SSIP camps in response to the needs of learners in technical schools as well as in underperforming schools. This was made possible through the re-prioritisation of funds.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 202: Number of learners in SSIP camps,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",Improved learner performance in underperforming and fully functional and well-resourced secondary schools.,,,,,,,15000,21524,15000,21524,,"Achieved:
Additional
 learners were targeted in SSIP camps in response to the needs of learners in technical schools as well as in underperforming and Section 58B schools. This was made possible through the re-prioritisation of funds.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 203: Number of learners with access to the National School Nutrition Programme,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",Learners from no-fee paying schools and identified fee-paying schools provided with a nutritious meal on a daily basis while at school,,,,,,,1665349,1730356,1665349,1730356,,"Achieved:
The 
increase in learner numbers is as a result of the increased enrolment in existing qualifying schools as well as the inclusion of new qualifying schools.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 204: Number of learners eligible to benefit from learner transport,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",Learner transport to be provided to all qualifying learners who walk over 5 kilometres to the nearest school.,,,,,,,220000,228877,220000,228877,,"Achieved:

Additional learners were transported due to the initial increased enrolment of deserving learners meeting the criteria on existing and new routes.
",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 204: Number of learners eligible to benefit from learner transport,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",,,,,,,,210915,000,210915,000,,See achievement below,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,POI 205: Number of Public Ordinary Schools declared as No Fee Schools,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All learners to benefit from No Fee Schools Policy.,,,,,,,1395,1404,1395,1404,,"Achieved:
Seven (7) schools 
were declared as no fee as a net effect of school closures, mergers, conversions and new classifications. In addition, 20 Schools of Specialisation have retained their no-fee status as their planned reclassification as Special Schools was deferred.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 201: Number of schools provided with multimedia resources,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All schools to be provided with multimedia resources. On or above target.,,,,,,,270,270,270,270,,Achieved,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 202: Number of learners in no-fee public ordinary schools in line with the National Norms and Standards for School Funding,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",The target of learners attending no-fee schools should be met or exceeded.,,,,,,,1581250,1584428,1581250,1584428,,"Achieved:
The increase in learner numbers is as a result of increased enrolment in qualifying new and newly declared No-Fee schools. 
",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 203: Percentage of learners in schools funded at a minimum level.,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All learners to be funded in line with the minimum per learner allocation as published in the amended National Norms and Standards for School Funding.,,,,,,,100 %,100 %,100 %,100 %,,Achieved,Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 204: Number of Foundation Phase teachers trained in reading methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","All teachers in the Foundation Phases to be trained in Reading methodology. 
The target for the year is to be met or exceeded.",,,,,,,2500,2605,2500,2605,,"Achieved:
Based on school performance reviews, additional educators were targeted to improve and upskill their knowledge content as part of general training and to support improved learner performance in the foundation phase.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 205: Number of Foundation Phase teachers trained in numeracy content and methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","All teachers in the Foundation Phases to be trained in numeracy content and methodology. 
The target for the year is to be met or exceeded.",,,,,,,3000,3709,3000,3709,,"Achieved:
Based on school performance reviews, additional educators were targeted to improve and upskill their knowledge content as part of general training and to support improved learner performance in the foundation phase.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 206: Number of teachers trained in Mathematics content and methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","All teachers to be trained in Mathematics content and methodology.
The target for the year is to be met or exceeded.",,,,,,,2400,2487,2400,2487,,"Achieved:

Based on school performance reviews, additional educators were targeted to improve and upskill their knowledge content as part of general training and to support improved learner performance in the GET and FET phase.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 2.	Public Ordinary School Education,Programme 2.	Public Ordinary School Education,Annually,SOI 207: Number of teachers trained in language content and methodology,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","All teachers to be trained in language content and methodology.
The target for the year is to be met or exceeded.",,,,,,,1500,1706,1500,1706,,"Achieved:
Based on school performance reviews, additional educators were targeted to improve and upskill their knowledge content as part of general training and to support improved learner performance in the GET and FET phase.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 3: Independent School Subsidies,Programme 3: Independent School Subsidies,Annually, SOI: 302 Number of learners subsidised at registered independent Schools,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",Qualifying learners at Independent Schools are subsidised.,,,,,,,130238,145101,130238,145101,,"Achieved:
Additional schools qualified for subsidies in-year as they met the requirements for subsidies and had to be subsidised. This  resulted in an increase in the number of learners in registered independent schools.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 3: Independent School Subsidies,Programme 3: Independent School Subsidies,Annually,SOI 301: Percentage of registered independent schools receiving Subsidies,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster","All qualifying independent schools to be subsidised. Subsidised independent schools must adhere to minimum standards for regulating independent schools.
",,,,,,,24.5 %,27.79 %,24.5 %,27.79 %,,"Achieved:
Additional schools qualified in-year, met the requirements for subsidy and were subsidised. ",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Annually,MTSF 401: Number of special schools with access to electronic devices (including tablets),Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All special schools using electronic devices and digital content to support learners with special needs realise their full potential.,,,,,,,75,109,75,109,,"Achieved:
The Department increased the number of schools with access to electronic devices, including tablets, to strengthen teaching and learning using ICT in Special Schools.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Annually,MTSF 402: Number of children in Grade R and Grade 1 screened for developmental delays and/or disabilities,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",All learners assessed for placement in appropriate learning programmes to address their development needs.,,,,,,,160500,163300,160500,163300,,"Achieved:
Additional learners participated in the screening exercise and increased the possibility for such learners to receive early support to address barriers to learning and development.",Nil,,,,,,,,,,,,,,,,,,125
Basic Education,Education,Gauteng,Programme 4:  Public Special School Education,Programme 4:  Public Special School Education,Annually,MTSF 403: Number of learners with disabilities enrolled in formal education programmes,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",Learners diagnosed with mild to severe disabilities can access appropriate educational and developmental programmes in LSEN schools.,,,,,,,40350,43900,40350,43900,,"Achieved:
Additional learning spaces were created to accommodate more learners with disabilities from the waiting lists in Special Schools thereby increasing the number of such learners in formal education programmes. ",Nil,,,,,,,,,,,,,,,,,,125
