Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q3,OTP_Q2,National_Q1,DesiredPerformance,UID
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.1.3 HIV Test positive around 18 months rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",1.2 %,0.4 %,Target achieved.,,1.2 %,0.3 %,1.2 %,0.3 %,Target achieved.,,1.2 %,0.5 %,Target achieved.,,1.2 %,0 %,,,,,,Target achieved.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.2.1 ART client naïve start ART during month – sum ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",12708,10169,"Target not achieved due to a year-on-year decline of HIV positivity yield. Less people tested HIV positive (11,114) compared to the set target. This translates to 91% treatment initiation rate.","•	Conduct HAST PHC Roadshows, Hospital updates and strengthen Operation Phuthuma Implementation",12708,10 209,12708,9002,"Target not achieved due to 
•	Lower number of HIV test positive at 10 333.
•	persistent under-reporting especially from hospitals.
•	1 032 facilities (including mobiles) with art initiation gaps
","Strengthen districts support  through technical support visits, trainings and workshops.",12708,10455,"Target achieved.
A total of 10 455 clients were initiated on ART out of 10 560 diagnosed HIV positive in quarter four (4), which is below the planned ART initiation target of 12 708. However, the number started on treatment translates to a 99% ART initiation rate.
","•	Drive the implementation of plans developed in line with the 1.1Million ART Gap campaign. The 1.1Million ART Gap campaign is a national strategy that aims at improving linkage to ART which will improve this indicator.
•	Bolster the functionality of the Care, Treatment, Support and NCDs Technical Working Group under Operation Phuthuma to boost the performance of this indicator.
",50832,39835,,,,,In Which quarter will you be embarking on roadshows? ,Target not met due to number tested HIV positive (22 431) is lower than the number planned ART initiation. Majority of cases not initiated on ART are reported from hospitals.,Follow up and support hospitals to remedial the ART initiation gaps.,,How is this follow going to assist in the achievement of this indicator? ,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.2.2 ART adult remain in care rate [12 months],Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",72 %,67.1 %,Target not achieved due to high lost to follow up rate of 30.2%.,,72 %,67 %,72 %,67 %,Target not achieved due to high loss to follow up at 30.3%,"Strengthen districts support through technical support visits, trainings and workshops.",72 %,65.3 %,"Target not achieved due to a high number of clients lost to follow-up, with a total of 1 001 reported within this cohort",Drive the implementation of plans developed in line with the 1.1Million ART Gap campaign to improve patient retention in care. The 1.1Million ART Gap campaign is a national strategy that aims at improving linkage to ART which will improve this indicator.,72 %,0 %,,,,,"How are you planning remedy the situation of non-achievement in the following quarters, any new strategies?",Target not met due to high loss to follow up rate of 31.8%.,Strengthen Operation Phuthuma implementation of patient recall activities.,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.2.3 ART child remain in care rate [12 months],Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",77 %,77.2 %,Target achieved. ,,77 %,80.6 %,77 %,76.9 %,Target achieved.,,77 %,80.5 %,Target achieved.,,77 %,0 %,,,,,,Target achieved.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.2.7 ART Adult viral load suppressed rate (below 50) [12 months],Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",92 %,84.9 %,Target not met. NHLS system issue affected viral load suppression.,"•	Conduct HAST PHC Roadshows, Hospital updates and strengthen Operation Phuthuma Implementation",92 %,85.4 %,92 %,,,The indicator target has been changed after the re-tabling of the APP.,92 %,,,The indicator was amended in August.,92 %,0 %,,,,,When?,Indicator amended.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.2.7 ART Adult viral load suppressed rate (below 50) [12 months],Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health",Not Applicable,88 %,84.9 %,Target not met. NHLS system issue affected viral load suppression,"•	Conduct HAST PHC Roadshows, Hospital updates and strengthen Operation Phuthuma Implementation",88 %,85.4 %,88 %,85.5 %,Target achieved within methodological consideration of 5% margin of error,,88 %,82.1 %,"Target not achieved. The number of clients reported as lost to follow-up suggests that some clients on ART demonstrate inconsistent adherence to treatment, which results in poor viral load outcomes.

This inconsistency in treatment adherence, as evidenced by high loss to follow-up, reflects the behaviour of some clients on ART and is further demonstrated by suboptimal viral load suppression rates.
",,88 %,,,,,,,Target achieved within methodological consideration of 5% margin of error.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.2.8 ART Child viral load suppressed rate (below 50) [12 months],Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",65 %,58.3 %,Target not met.  NHLS system issue affected viral load suppression.,"•	Conduct HAST PHC Roadshows, Hospital updates and strengthen Operation Phuthuma Implementation",65 %,62.7 %,65 %,,,The indicator target has been changed after the re-tabling of the APP.,65 %,,,The indicator was amended in August.,65 %,0 %,,,,,When?,Indicator amended.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.2.8 ART Child viral load suppressed rate (below 50) [12 months],Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health",Not Applicable,60 %,58.3 %,Target not met.  NHLS system issue affected viral load suppressio," •	Conduct HAST PHC Roadshows, Hospital updates and strengthen Operation Phuthuma ",60 %,62.7 %,60 %,54.2 %,"Target not achieved. Some patients with VL<50 is captured as if the viral load is 50 giving a skewed pictured that they are unsuppressed, thereby reducing the VL suppressed rate.","Strengthen districts support through technical support visits, trainings and workshops.",60 %,55.9 %,"The target was not met. Children depend on adults to ensure proper medication adherence; however, it appears that a significant number of adults are encountering difficulties in fulfilling this responsibility. This issue underscores the necessity for enhanced support and guidance to ensure that both children and adults can effectively manage medication.","•	Strengthen the implementation of the School Holiday plans to ensure growth monitoring of children for dose adjustment.
•	Rollout Child Disclosure Guidelines to empower clinicians to support caregivers of children ling with HIV to improve treatment adherence. This should improve viral load suppression in children.
",60 %,,,,,,,Target achieved within methodological consideration of 5% margin of error.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.2.9 TB/HIV co-infected client on ART rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",95 %,94.2 %,Target achieved within methodological consideration of 5% margin of error.,,95 %,95.3 %,95 %,95.2 %,Target achieved.,,95 %,95.5 %,Target achieved.,,95 %,0 %,,,,,,Target achieved.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.3.1 TB test 5 years and older using Nucleic Acid Amplification Test,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",87860,80137,Target not achieved.  Contributing factor is that there are facilities that have people that are eligible for TB NAAT but are not recorded.,"•	The districts are urged to audit data and reconcile any noted errors. They are also requested to embark on testing all people eligible for TB NAAT, including those with TB symptoms and key populations irrespective of TB screening, thus strengthening the Targeted Universal TB Test. They are urged to improve recording and data capturing. Performance is monitored monthly,
•	 and districts are engaged regarding their performance.
",87860,79 447,87960,93980,"Target was overachieved due to the following reasons:
•	Monthly reviews are conducted with the districts, including partners supporting TB.  
•	Contact tracers conduct household visits and test the contacts (key population).  
•	People living with HIV with unsuppressed viral load (key population), were retried from Tier.net and tested for TB.
•	Capacity building was conducted by districts.
",,87860,89613,Target achieved.,,351440,343177,,,,,,"Target not achieved.  
Facilities not fully implementing TB Universal Test and Treat (TUTT).  
",Facilitate a virtual session with facilities to revive TB Universal Test and Treat.,,When / which quarter will you be having this virtual session?,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.3.10 All DS – TB client death rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",5 %,6.9 %,Target not achieved.  The deaths occurred are trauma related and maternal.  ,"•	The districts are requested to conduct death audits to find the exact reasons for deaths.
•	The screening of pregnant women for TB to minimize maternal deaths.  
",5 %,6.4 %,5 %,6 %,Target not achieved. Late presentation and TBHIV co-infection are cited as the cause of death. ,"•	Monthly reviews will be continued by the districts.
•	Districts must continue conducting death audits to determine the causes of deaths.
•	Intensify awareness campaigns in identified hotspots  with high death rate.
•	Enforce monthly monitoring by the districts to find missing patients.
",5 %,5.3 %,"Target not achieved.
Contributing factors include comorbidities such as diabetes, asthma, and hypertension, as well as patients defaulting on ART.
","•	Encourage prompt action on missed appointment and outstanding outcome line lists. 
•	Enforce the updating of patient outcomes immediately after completion of the 6-month treatment period. 
•	Conduct monthly reviews with the districts.
",5 %,0 %,,,,,How were the districts requested to do this? Is there a formal correspondence speaking specifically about these indicators and what you have requested? What is the time frame for the request?,Target not achieved.  Contributing district include Alfred Nzo which reflects highest death rate in all the local municipalities.  Patients present late and end up dying in hospital (particularly Madzikane Hospital) these patients are a mixture of TB-HIV co-infected as well as HIV negative patients. DS-TB patients no longer require hospitalization unless they present late already complicated.,Facilities to conduct mortality audits.,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.3.2 DS – TB treatment start 5 years and older rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",95 %,93.2 %,Target achieved within methodological consideration of 5% margin of error.,,95 %,92.8 %,95 %,91.9 %,Target achieved within methodological consideration of 5% margin of error within 95% confidence interval.,,95 %,92.7 %,Target achieved within methodological consideration of 5% margin of error.,,95 %,0 %,,,,,,Target achieved within methodological consideration of 5% margin of error.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.3.4 All DS -TB client treatment success rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",78 %,72.3 %,"Target not achieved.   
Facilities still have patients not evaluated.
","•	The districts are urged to implement line lists (appointments, early and missed) to minimize the loss to follow-up. At the end of the treatment duration, they are requested to record and capture the outcome of each patient and follow up with the patients they transfer to other facilities.",78 %,73.8 %,78 %,74.7 %,Target achieved within methodological consideration of 5% margin of error within 95%  confidence interval .,,78 %,75.2 %,Target achieved within methodological consideration of 5% margin of error.,,78 %,0 %,,,,,,Target not achieved due to data integrity issues caused by misalignment between TIER.Net (NIDS2020) and DHIS (NIDS2023) reflecting inconsistencies.,Programme awaiting NDoH to release the promised new system aligned to the current NIDS to replace TIER.Net,,Please write the abbreviations in full,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.3.5 TB Rifampicin resistant/Multidrug - Resistant treatment success rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",60 %,71 %,"Target overachieved. 
The TB control programme conducted DR TB programme reviews with the districts and supporting partners. Facilities conducting clinical audits.
",•	The districts are encouraged to continue conducting the quarterly performance reviews and clinical audits by the MDR TB facilities.,60 %,67 %,60 %,68 %,The target achieved due to   utilization of 9 hired vehicles for outreach services and conducting quarterly performance reviews.,,60 %,65 %,"The target was exceeded. As part of our efforts, the TB Control Unit deployed outreach vehicles to trace individuals lost to follow-up. Quarterly MDR-TB performance reviews were conducted in collaboration with the decentralized sites and Acuity Innovations, the Buffalo City Metro (BCM) District partner. Furthermore, an MDR-TB workshop was facilitated for the Raymond Mhlaba decentralized sites at Victoria Hospital.",,60 %,65 %,,,,,,"Target overachieved. In collaboration with the District Supporting Partner (DSP), the programme revived quarterly reviews for AURUM-supported districts (NMBM, Sarah Baartman, and Joe Gqabi) in May and September 2024.",,,"Great work, collaborations are highly encouraged",,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.3.6 TB Rifampicin resistant/Multidrug - Resistant lost to follow-up rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",15 %,12 %,"Target overachieved.
The TB control programme conducted DR TB programme reviews with the districts and supporting partners. Facilities conducting clinical audits.
",•	The districts are encouraged to continue conducting the quarterly performance reviews and clinical audits by the MDR TB facilities,15 %,16 %,15 %,,,The indicator target sign has been changed to less than 15% after the re-tabling of the APP,15 %,,,The indicator was amended in August.,15 %,0 %,,,,,,Indicator amended.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.3.6 TB Rifampicin resistant/Multidrug - Resistant lost to follow-up rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health",Not Applicable,15 %,12 %,"Target overachieved.
The TB control programme conducted ",•	The districts are encouraged to continue conducting the quarterly performance,15 %,16 %,15 %,13 %,Target achieved,,15 %,8 %,"The target was exceeded. As part of our efforts, the TB Control Unit deployed outreach vehicles to trace individuals lost to follow-up. Quarterly MDR-TB performance reviews were conducted in collaboration with the decentralized sites and Acuity Innovations, the BCM District partner. Furthermore, an MDR-TB workshop was facilitated for the Raymond Mhlaba decentralized sites at Victoria Hospital.",,15 %,8 %,,,,,,Target achieved.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.3.7 TB Pre-XDR treatment success rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",59 %,68 %,"Target overachieved 
The TB control programme conducted DR TB programme reviews with the districts and supporting partners. Facilities conducting clinical audits.
","
•	The districts are encouraged to continue conducting the quarterly performance reviews and clinical audits by the MDR TB facilities",59 %,64 %,59 %,51 %,"Target not achieved.  Contributory factor is the high lost to follow up in three (3) districts.
•	Amathole: 33% (1/3), 
•	BCM: 40% (3/10)
•	C. Hani: 50% (1/2)
","•	Monthly reviews are continued to highlight use of line list (patients without outcomes).
•	Monitor the districts monthly to ensure that all the patients who have completed treatment are given the outcomes.
•	The districts are encouraged to continue educating patients on TB and adherence to treatment.
•	Work with partners to trace missed appointments.
",59 %,54 %,"The target was not achieved, primarily due to a high lost-to-follow-up rate of 33% (2 out of 6 patients) at Sarah Baartman District. Despite efforts by facility management to trace these patients, they declined to return to the hospital for continued treatment.","•	Encourage prompt action on missed appointment and link those with the outreach team.
•	Encourage the decentralised sites with assistance of the district supporting partner to conduct mortality audits.
•	Continue with the DR TB quarterly performance review.
",59 %,51 %,,,,,,"Target overachieved. In collaboration with the District Supporting Partner (DSP), the programme revived quarterly reviews for AURUM-supported districts (NMBM, Sarah Baartman, and Joe Gqabi) in May and September 2024.",,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.3.8 TB Pre-XDR loss to follow up rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",12 %,14 %,"Target not achieved. 
Affected by the high lost to follow up at BCM 18% (2 patients have been unsuccessfully; traced), NMM 17% (3 patients have been unsuccessfully traced).
",•	The districts are requested to work with the district supporting partners and outreach team to trace and track the lost to follow up.,12 %,6 %,12 %,,,The indicator target has been changed after the re-tabling of the APP.,12 %,,,The indicator was amended in August.,12 %,0 %,,,,,Please show how this is going to be done,Indicator amended.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.3.8 TB Pre-XDR loss to follow up rate,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health",Not Applicable,15 %,14 %,"Target not achieved. 
Affected by the high lost to follow up a",•	The districts are requested to work with the district ,15 %,6 %,15 %,18 %,"Target not achieved.  Contributory factor is the high lost to follow up in three (3) districts.
•	Amathole: 33% (1/3), 
•	BCM: 40% (3/10)
•	C. Hani: 50% (1/2)
","•	Monthly reviews are continued to highlight use of line list (patients without outcomes).
•	Monitor the districts monthly to ensure that all the patients who have completed treatment are given the outcomes.
•	The districts are encouraged to continue educating patients on TB and adherence to treatment.
•	Work with partners to trace missed appointments.
",15 %,15 %,Target achieved.,,15 %,15 %,,,,,,Target achieved.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,3.3.9 All DS – TB client lost to follow – up rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",12 %,14.3 %,"Target not achieved. The contributing factor is the patients that are not given the outcomes, and the system regards them as the lost to follow up.","•	Districts are strongly encouraged to procure ""Early and Late Missed Appointment lists on a weekly basis to prevent Loss to Follow-Up (LTFU) and effectively trace and re-engage patients in care.  This exercise will be monitored on monthly basis by the provincial mangers monthly.
•	The province will monitor the lost to follow up by requesting the list of patients with outstanding outcomes on monthly basis and encourage districts, including partners to facilitate that the lists are actioned.   
",12 %,13.6 %,12 %,13.8 %,Target not achieved.  Data issues and failure to reach the patients in their households are cited as the contributing factor.,"Conduct Monthly reviews to highlight use of line list (patients without outcomes). 
•	.
•	The districts will intensify  tracing missed appointments and put them back on treatment (telephonically, walk or drive to households). Partners tracers and DoH CHWs to continue tracing.
•	Districts to identify hotspot  and implement outreach services.
",12 %,13.1 %,"Target not achieved.  Some patients are not given the outcomes, which negatively impacts the results.  ","•	In-service training will be conducted to encourage early identification of comorbidities and prompt initiation of treatment. 
•	An integrated approach will be enforced. 
•	Mortality audits will be monitored and conducted by the districts.
",12 %,0 %,,,,,,Target not achieved due to data integrity issues caused by misalignment between TIER.Net (NIDS2020) and DHIS (NIDS2023) reflecting inconsistencies.,Programme awaiting NDoH to release the promised new system aligned to the current NIDS to replace TIER.Net,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.6-HIV & AIDS, STIs & TB control ",Quarterly,4.6.1 Malaria deaths reported ,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",0,0,Target achieved.,,0,0,0,0,Target achieved. ,,0,0,Target achieved.,,0,0,,,,,,Target achieved.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.7: Maternal, Child and Women's Health and Nutrition (MCWH&N)",Quarterly,1.1.1 IUCD Uptake (*IUCD - Intra Uterine Contraceptive Device),Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",500,1427,"Target overachieved.
OR Tambo had the highest number (500) of IUCDSs inserted, compared to other districts. This is due to in-service trainings conducted in OR Tambo facilities.  The district also included the IUCD indicator on Operation Phuthuma tool for its close monitoring.
",,500,1611,500,1552,"Target overachieved. 
The performance is attributed to in-service trainings conducted.  The IUCD indicator has been included in the Operation Phuthuma tool for close monitoring.
",,500,1419,"Target overachieved.
The performance is attributed to in-service trainings conducted in OR Tambo.  The IUCD indicator has been included in Operation Phuthuma tool for close monitoring.
",,2000,6009,,,,,,"Target overachieved. 
OR Tambo had the highest number (573) of IUCDSs inserted. This is due to in-service trainings conducted.  The IUCD indicator has been included in Operation Phuthuma tool for close monitoring.
",,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.7: Maternal, Child and Women's Health and Nutrition (MCWH&N)",Quarterly,1.1.2 Antenatal 1st visit before 20 weeks rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",66 %,64.1 %,Target achieved within the 5% margin of error.,,66 %,65.3 %,66 %,65.7 %,Target achieved.,,66 %,64.7 %,Target achieved within 5% margin of error.,,66 %,0 %,,,,,,Target achieved within 5% margin of error.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.7: Maternal, Child and Women's Health and Nutrition (MCWH&N)",Quarterly,1.1.3 Antenatal client  start on ART rate,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",95 %,97.6 %,Target achieved.,,95 %,98.1 %,95 %,96.2 %,Target achieved.,,95 %,93.5 %,Target achieved within 5% margin of error.,,95 %,0 %,,,,,,Target achieved.,,,,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.7: Maternal, Child and Women's Health and Nutrition (MCWH&N)",Quarterly,1.1.4 Delivery in 10 – 14 years in facility,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",83,94,"Target not achieved.
The number of deliveries between the age of 10 and 14 years were reduced from 113 in Q1 23/24 to 94 in Q1 24/25. There are however higher number were observed in Joe Gqabi(20), OR Tambo(18), BCM(17) and NMB(14),despite inter-sectoral collaborative efforts with the Department of Education and Social Development, Intergrated School Health Programme(ISHP) interventions and NGO’s. This indicator is more affected by socio-behavioural factors as there are no biomedical activities on sexual reproductive health guidelines targeting the age category. There is no legibility criteria covered on sexual reproductive health guidelines and not covered in the denominator for couple year protection.
","•	Strengthen and monitor implementation of Sexual Reproductive Health and Rights guidelines.
•	Increase number of functional youth zones to promote friendly and conducive environment for younger people.
•	Strengthen working relations between the Integrated School Health Programme (ISHP), clinics and schools in an effort to strengthen sexual reproductive health in schools.
•	Include sexual reproductive health services in health services provided at health posts in hard-to-reach areas.
•	Utilise mobile clinics in rendering sexual reproductive health and rights in the rural communities.
•	Collaborate with other departments and partners to participate in Learner Attainment programme.
",84,135,84,74,Target achieved.,,84,89,Target achieved within 5% margin of error.,,335,392,,,,,By when? Have you done anything towards the implementation of your new strategy yet?,"Target not achieved.
Most cases are reported in OR Tambo (39) followed by BCM (19), Amathole (17).
This age group is not covered by sexual reproductive health guidelines hence the greater need for the collaboration with other stakeholders to address socio-behavioural factors contributing to the high numbers.
","•	Strengthen and monitor implementation of Sexual Reproductive Health and Rights guidelines.
•	Increase number of functional youth zones to promote friendly and conducive environment for younger people.
•	Strengthen working relations between the Integrated School Health Programme (ISHP), clinics and schools in an effort to strengthen sexual reproductive health in schools.
•	Include sexual reproductive health services in health services provided at health posts in hard to reach areas.
•	Utilise mobile clinics in rendering sexual reproductive health and rights in the rural communities.
•	Collaborate with other departments and partners to participate in Learner Attainment programme.
",,What is the timeline for the planned collaboration with other stakeholders and therefore the implementation of the corrective measures? Please indicate,,,222
Health,Health,Eastern Cape,Programme 2: District Health Services,"Sub-Programme 2.7: Maternal, Child and Women's Health and Nutrition (MCWH&N)",Quarterly,1.1.5 Maternal mortality in facility ratio - Per 100 000 live births,Standardized,Min,"Priority 3: Education, Skills And Health","Education, Skills and Health","The Social Protection, Community and Human Development cluster",120,9,Target achieved.,"•	Capacitate midwives and doctors on Essential Steps in Management of Obstetric Emergencies.
•	Ensure availability of emergency budget to procure critical consumables and medicines.
•	Resuscitation of dedicated ambulance for maternal, child and neonatal healthcare services.
•	Review in-transit ESMOE training with EMS.
•	Strengthen the use of Perinatal Problem Identification Programme (PPIP) to identify the causes of deaths and avoidable factors and develop Quality Improvement Plans
•	Identify maternity waiting beds for all mothers from hard-to-reach areas from term also collaborate with community leaders and other stakeholders.
•	Continuous mentoring of junior personnel in management of pregnant women, labour and delivery.
•	Implementation of pregnancy screening circular (1 of 2020).
•	Link all pregnant mothers to WBPHCOTs and trace pregnant mothers who miss their appointments.
•	Integration of services with other programmes within the department that is HAST, ACSM, NCD, Health promotion and partners.",120,134.5,120,122,Target achieved with methodological considerations within 5% margin of error within 95% conficence interval.,,120,139.4,"Target not achieved.

Three (3) districts did not achieve the target i.e. OR Tambo (255.4/100
000) Alfred Nzo (163.9/100 000) NMB (133.4/100 000) Chris Hani (130.4/100 000) Leading causes of maternal deaths are maternal HIV and TB, Obstetric haemorrhage, complications of hypertensive disorders in pregnancy.
","•	Capacitate midwives and doctors on Essential Steps in Management of Obstetric Emergencies.
•	Conduct training of all clinicians on Basic Antenatal Care Plus, High Risk ANC 
•	Disseminate and train nurses and doctors on 2024 Integrated Maternal and Perinatal Care Guidelines
•	Ensure availability of emergency budget to procure critical consumables and medicines.
•	Resuscitate the availability of dedicated ambulance for maternal, child and neonatal healthcare services.
•	Review in-transit ESMOE training with EMS.
•	Monitor the use of Perinatal Problem Identification Programme (PPIP) to identify the causes of deaths and avoidable factors and develop Quality Improvement Plans
•	Identify maternity waiting beds for all mothers from hard-to-reach areas from term also collaborate with community leaders and other stakeholders.
•	Continuous mentoring of junior personnel in management of pregnant women, labour and delivery.
•	Implementation of pregnancy screening circular (1 of 2020).
•	Link all pregnant mothers to WBPHCOTs and trace pregnant mothers who miss their appointments.
•	Integration of services with other programmes within the department that is HAST, ACSM, NCD, Health promotion and partners.
",120,9,,,,,,Target not achieved.,,,,,,222
