Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,National_Q4,UID
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.6: School Sport,Quarterly,Number of schools participating in the School Sport Programme,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",285,3,15,454,0,,0,,300,457,457,More schools registered for participation in the programme ,No corrective measure required. More schools should register to participate.,,Higher ,Regular Participation Guidelines not yet finalized. DSAC & DBE still working on document. This led to delay in the implementation,National Joint Task Team to finalise the document before the end of July. Agreement has been reached with DBE to start with limited implementation of the programme (Football u15),,The quarter 1 target was not achieved due to delays in finalising essential policy documents that govern cooperation between DoE and DSAC nationally. The over achievement was to address the first quarter under achievement. ,A new Memorandum of Agreement has been signed between the national ministers of Education and Sport Arts & Culture. This will make it easier for cooperation between the 2 departments in order to implement the School Sport Programme.,,,,No reporting required for the quarter under review.,,,No reporting required for the quarter under review.,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.6: School Sport,Quarterly,Number of schools provided with equipment and/ or attire,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",50,0,80,60,0,36,0,34,130,130,130,,,,,Work to rule strike by SADTU at the beginning of the financial year delayed the submission of needs analysis forms from schools which had a knock-on effect on the procurement process.,Needs analysis forms have been submitted and procurement processes were at an advanced stage at the time of reporting. The hand-over and delivery will take place in the 2nd quarter. ,"Not achieved, reason for deviation provided.",Equipment and/or attire for 20 schools could not be delivered during the second quarter due to delays from service provider. The service provider delivered sport equipment on 23 September. Schools were already closed hence delivery could only take place at schools where the principals were still available.,Delivery of sport equipment and attire for the remaining schools commenced once schools reopened on 01 October 2024.,,The service provider did not deliver all equipment in quarter 2 as planned. ,Service provider is in the process of delivering the remaining attire and equipment and the annual target will be achieved in the 4th quarter.,"No reporting required for the quarter under review, however progress reported is noted.",34 schools were provided with equipment and attire in the 4th quarter to address the shortfall of quarter 2.,No corrective measure required. The annual target is achieved.,"No reporting required, the achievement was corrective action for Q2",164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.6: School Sport,Quarterly,Number of Sport Ambassadors programmes Supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",3,3,3,1,0,,0,2,6,6,6,,,,,,,Achieved as planned.,Changes to the activity plans at district level led to a congested calendar and the Sport Ambassador Programmes had to be postponed.,Better planning and coordination between DoE and SACR through joint planning sessions will assist in reducing programme clashes and congestion.,,,,No reporting required for the quarter under review., Two (2) Ambassador programmes were supported in the 4th quarter to address the shortfall of the 3rd quarter. ,No corrective measure required. The annual target is achieved.,"No reporting required, the achievement was corrective action for Q3.",164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.7: Sport (Academies),Quarterly,Number of athlete development programmes supported,Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",5,3,5,5,5,5,5,5,5,5,5,,,,,Delay in finalising the agreements affected the transfer of funds.,The agreements has been signed and the targets  will be achieved in the upcoming quarters,"Not achieved, reason for deviation provided.",,,,,,Achieved as planned.,,,Achieved as planned.,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.7: Sport (Academies),Quarterly,Number of people trained to deliver the sport academy programme,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",60,0,90,92,90,195,60,77,300,364,364,There was a need for more people to be trained on accredited courses.,No corrective measure required. No overspending on the annual budget occurred.,,,Delay in finalising the agreements affected the transfer of funds.,The agreements has been signed and the targets  will be achieved in the upcoming quarters,"Not achieved, reason for deviation provided.","Two more participants registered for the planned workshop. 
",Two more participants were allowed to address the under achievement of the first quarter. ,,More participants were allowed to address the under achievement of the first quarter.,No corrective measure required.,"Overachieved, reason for deviation is provided.",There was a need for more people to be trained on accredited courses. ,No corrective measure required.  No overspending on the annual budget occurred. ,Not Achieved reason for deviation and corrective actions provided.,164
,"Sport, Arts and Culture",Free State,Programme 4: Sport and Recreation,Sub-programme 4.7: Sport (Academies),Quarterly,Number of sport academies supported,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",4,3,4,4,4,4,4,4,4,4,4,,,,,Delay in finalising the agreements affected the transfer of funds.,The agreements has been signed and the targets  will be achieved in the upcoming quarters,"Not achieved, reason for deviation provided.",.,,,,,Achieved as planned.,,,Achieved as planned,164
Transport,Transport,Free State,Fleet Trading Management Entity,FTME,Quarterly,Number of disposals finalized ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,Not Applicable,1,0,1,1,1,"
2
",1,2,4,2,5,An additional disposal was made to resolve the backlog created by having no disposals during the 2023/24 financial year.,,,,The appointment of an external auctioneer was not finalised at the date of the report,"An 
auctioneer will be appointed to facilitate the auctions.
Time frame:
Within the next quarter",,,,,"An additional auction was held for the underperformance in Quarter 1.
",,,An additional auction was to help generate cash flows.,,,164
Transport,Transport,Free State,Fleet Trading Management Entity,FTME,Quarterly,Number of visits to merchants for inspections and quality assurance of work. ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,Not Applicable,60,61,65,65,40,"

43",66,66,231,66,235,Additional visits were performed to ensure that the time spent at different regions was optimised effectively.,,,,"An additional visit was performed to ensure that the time spent at different regions was optimised effectively.
",,,,,,Additional visits were performed to ensure that the time spent at different regions was optimised effectively.,,,,,,164
Transport,Transport,Free State,Fleet Trading Management Entity,FTME,Quarterly,Percentage of vehicles ordered to replace withdrawn vehicles. ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,Not Applicable,0 %,0 %,100 %,100% %,0 %,,100 %,100 %,100 %,0 %,100,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Fleet Trading Management Entity,FTME,Quarterly,Percentage spent on 'HDI' merchants for out-of-warranty repairs and maintenance expenditure. ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,Not Applicable,80 %,73.5 %,80 %,62.96 %,80 %,"

73%
 %",80 %,71 %,80 %,0 %,71,"Certain vehicles and RBE equipment required repairs of a specialised nature (For example; VIP vehicles are repaired by the OEM’s – Original Equipment Manufacturer).
",,,,Certain RBE equipment required repairs of a specialized nature,"Identify more merchants that can provide such specialised services.
Time Frame:
Within the next quarter",,Certain RBE equipment required repairs of a specialised nature.,"Identify more merchants that can provide such specialised services.

Time frame: 
Within the next quarter.
",,"The targets were met by GMT. However, the deviation was caused by RBE suppliers that were predominantly non-HDI.
","Identify more merchants that can provide such specialized services. 

",,Certain vehicles and RBE equipment required repairs of a specialised nature (For example; VIP vehicles are repaired by the OEM’s – Original Equipment Manufacturer).,Identify more merchants that can provide such specialised services.,,164
Transport,Transport,Free State,Fleet Trading Management Entity,FTME,Quarterly,Turn-around time on vehicle repairs within standard range.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,Not Applicable,100 %,77.9 %,100 %,95.2 %,100 %,"
91.22% %",100 %,90.3 %,100 %,0 %,92.5,"Challenges with lead times on parts availability on both mechanical and bodywork.
",Discussions to be held with merchants to plan for lead times,,,"Challenges with lead times on parts availability on both mechanical and bodywork.
","Discussions to be held with merchants to plan for lead times.
",,Challenges with lead times on parts availability on both mechanical and bodywork.,"Discussions to be held with merchants to plan for lead times

Time frame: 
Within the next quarter.
",,Challenges with lead times on parts availability on both mechanical and bodywork.," Discussions to be held with merchants to plan for lead times 


",,Challenges with lead times on parts availability on both mechanical and bodywork.,Discussions to be held with merchants to plan for lead times,,164
Transport,Transport,Free State,Programme 1: Administration,Internal Audit,Quarterly,Number of Audits conducted.,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",4,4,3,3,2,"
2
",5,5,14,5,5,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 1: Administration,Risk Management ,Quarterly,Number of risk assessment conducted. ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",17,17,18,18,16,"
16",10,10,61,10,61,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 1: Administration,Risk Management ,Quarterly,Number of Security and Risk (Fraud and Corruption) awareness campaigns conducted.,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Justice, Crime Prevention and Security cluster",2,2,2,2,2,"
2",2,2,8,2,2,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Quarterly,Number of media briefings conducted to media houses.,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,Not Applicable,1,0,1,2,2,"
2",1,1,5,1,5,,,,,"The Media briefing was deferred to the second quarter in  order to facilitate reconstituted activities standard with the Departmental transition.
","Two media briefings are planned in retrospective for the 2nd quarter.
Time frame:
30 September 2024",,"The additional media briefing was to recover the previous quarter’s deferred media briefing to the 2nd  Quarter.
",,,,,,,,,164
Transport,Transport,Free State,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Quarterly,Number of officials who attended development courses.,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Education, innovation and skills development","Governance, State Capacity and Institutional Development cluster",0,0,300,73,0,,200,471,500,471,544,"There was a need to train more officials in accordance with the recovery plan to correct Q2 under-achievement, thereby leading to the training of 271 employees in Q4. Employees on SL3 – SL5 were trained on Customer Relations Management and Compulsory Induction Programme. SMS members were trained on Performance Management and Development System.
",,,,,,,"The Department relies on the Free State Training and Development Institute (FSTDI) for the sourcing of service providers in the Province. The process takes longer and thus resulted in delays and the under achievement ofthe Quarter 2 planned target.
","Submission to out-source different trainings outside of FSTDI has been approved and the Department will be able to achieve quarter 3 and 4 targets.


Time frame: 31 March 2025
",,,,,"There was a need to train more officials in accordance with the recovery plan to correct Q2 under-achievement, thereby leading to the training of 271 employees in Q4. Employees on SL3 – SL5 were trained on Customer Relations Management and Compulsory Induction Programme. SMS members were trained on Performance Management and Development System.",,,164
Transport,Transport,Free State,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Quarterly,number of publications to market the services of the Department.,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",1,1,1,1,1,"
1",1,1,4,1,4,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 1: Administration,Sub-Programme 1.3: Corporate Support  ,Quarterly,Number of updates on the Departmental website.,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",12,12,12,12,12,"
12",12,12,48,12,48,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 1: Administration,Sub-Programme 1.4: Departmental Strategy,Quarterly,Number of institutional performance reports submitted to oversight bodies ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Good governance,"Governance, State Capacity and Institutional Development cluster",1,1,2,2,1,"

1",1,1,5,1,5,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 2: Transport Infrastructure,Sub-Programme 2.2: Infrastructure Planning,Annually,Number of consolidated infrastructure plans developed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 2: Transport Infrastructure,Sub-Programme 2.2: Infrastructure Planning,Annually,Number of kilometers of gravel roads visually assessed as per the applicable TMH Manual,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,10300,6602.64,10300,6602.64,6602.64,"-	The project was accelerated in the 2023/24 financial year. By implication, some of the quantities that had been planned for 2024/25 had also been consumed in the 2023/24 financial year, therefore resulting in a projected over-achievement, prompting the retabling of the targets of the 2023/24 financial year. The retabled target was achieved, but in actual fact represents an over-achievement for the financial year.
-	The contractual balance was meant to be achieved in the 2024/25 FY
-	The Department could only extend the contractual quantities in line with the available budget for 2024/25 and therefore resulted in an under-achievement in the 2024/25 financial year.
","A new contractor will be procured to maintain compliance to DoRA.
",,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 2: Transport Infrastructure,Sub-Programme 2.2: Infrastructure Planning,Annually,Number of kilometres of surfaced roads visually assessed as per the applicable Technical Methods for Highways (TMH) manual,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,6078,4210.81,6078,4210.81,4210.81,"-	The project was accelerated in the 2023/24 financial year. By implication, some of the quantities that had been planned for 2024/25 had also been consumed in the 2023/24 financial year, therefore resulting in a projected over-achievement, prompting the retabling of the targets of the 2023/24 financial year. The retabled target was achieved, but in actual fact represents an over-achievement for the financial year.
-	The contractual balance was meant to be achieved in the 2024/25 FY
-	The Department could only extend the contractual quantities in line with the available budget for 2024/25 and therefore resulted in an under-achievement in the 2024/25 financial year.
","A new contractor will be procured to maintain compliance to DoRA.
",,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 2: Transport Infrastructure,Sub-Programme 2.4: Construction,Annually,Number of kilometres of gravel roads upgraded to surfaced roads using refurbishment funds,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,26,6,26,6,6,"-	Delay in receiving construction permits and also flooding experienced during the last quarter. Prioritised ongoing projects in order to be completed earlier. Funds were directed to well performing projects in an effort to avoid roll-overs, despite the difference in classification
-	(Zastron – Sterkspruit, Senekal – Rosendal and Rosendal – Ficksburg)
","Thaba Nchu Transport Routes will be completed in the next financial year
 
",,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 2: Transport Infrastructure,Sub-Programme 2.4: Construction,Annually,Number of kilometres of gravel roads upgraded to surfaced roads.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,9.88,0,9.88,0,0,"-	Unrest was experienced during the process of sourcing labour for the TRP Access Roads projects where service providers were appointed in December and site establishment completed early in February 2025.
-	Flooding and extreme rains were also largely experienced during the last quarter of the financial year and no completed work could be reported, even though some of the earth works, subbase and base works had already been completed
","Access Roads will be completed in the next financial year 
",,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 2: Transport Infrastructure,Sub-Programme 2.5: Maintenance,Annually,Number of contractors participating in the National Contractor Development Programme (NCDP).,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 2: Transport Infrastructure,Sub-Programme 2.5: Maintenance,Quarterly,Number of contractors participating in the National Contractor Development Programme (NCDP),Standardized,Average,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,,0,"

0
",0,0,0,0,0,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 2: Transport Infrastructure,Sub-Programme 2.5: Maintenance,Quarterly,Number of kilometres of gravel roads bladed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",10000,5954.46,10000,5446,10000,"
6 236",10000,7518,40000,11400.46,25154.46,"Contract subjected to litigation, funds were redirected towards accelerated and well performing projects.
 (Zastron – Sterkspruit, Koffiefontein – Luckhoff, Senekal – Rosendal and Rosendal – Ficksburg
",Specification will be properly aligned to CIDB legislation ,,,"Due to the conditions of our roads, emphasis was put on correcting drainage and maintaining the road reserve through heavy blading. This resulted in achieving 5 km per day instead of the required 9 km per day.  ","Continuous engagements to fast-track repairs to plant
Time frame: Sept 2024 
",,Under achievement is attributed to unavailability of graders and high operator turnover due to retirement.,"purchase of new graders and recruitment of grader operators
Time frame: Third Quarter 
",,"No contract in place for regravelling, funds prioritised towards accelerated projects 
",Production will increase once service providers are appointed ,,"Contract subjected to litigation, funds were redirected towards accelerated and well performing projects.
 (Zastron – Sterkspruit, Koffiefontein – Luckhoff, Senekal – Rosendal and Rosendal – Ficksburg
","Specification will be properly aligned to CIDB legislation 
",,164
Transport,Transport,Free State,Programme 2: Transport Infrastructure,Sub-Programme 2.5: Maintenance,Quarterly,Number of kilometres of gravel roads re-graveled,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,40.38,30,2,20,"
5",30,16,80,42.38,63.38,"Contract subjected to litigation, funds were redirected towards accelerated and well performing projects.
(Zastron – Sterkspruit, Koffiefontein – Luckhoff, Senekal – Rosendal and Rosendal – Ficksburg
",Specification will be properly aligned to CIDB legislation during the procurement process of a new panel of service providers,,,"Due to the undrivable conditions of the roads, it was deemed necessary to commence with re-gravelling programme",,,"40.38 km achieved in the first quarter, the remaining target will be achieved in third and fourth quarter.","The remaining 37,6km will be completed before the end of the financial year 
Time frame: March 2025
",,"No contract in place for regravelling, funds prioritised towards accelerated projects 
",Production will increase once service providers are appointed ,,"Contract subjected to litigation, funds were redirected towards accelerated and well performing projects.
(Zastron – Sterkspruit, Koffiefontein – Luckhoff, Senekal – Rosendal and Rosendal – Ficksburg
","Specification will be properly aligned to CIDB legislation during the procurement process of a new panel of service providers 
",,164
Transport,Transport,Free State,Programme 2: Transport Infrastructure,Sub-Programme 2.5: Maintenance,Quarterly,Number of square metres of blacktop patching,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",73950,123694.28,46250,141951.28,84250,"
255 532.91",46250,173106.94,250700,265645.56,694285.41,"Due to the intervention of the Pothole Eradication Programme, ongoing special maintenance projects, the reseal and fog spray programme and the reprioritisation of internal teams to address complaints
",,,,"Over achievement is as result of performance of   pothole eradication programme (CUT) as well the need to attend to deteriorating conditions of the provincial paved road network.
",,,Over achievement is as result of deteriorating condition of the provincial network,,,"Due to the intervention of the Pothole Eradication Programme, ongoing special maintenance projects, the reseal and fog spray programme and the reprioritization of internal teams to address complaints on roads such as the Warden – Vrede road.
",,,"Due to the intervention of the Pothole Eradication Programme, ongoing special maintenance projects, the reseal and fog spray programme and the reprioritisation of internal teams to address complaints.",,,164
Transport,Transport,Free State,Programme 2: Transport Infrastructure,Sub-Programme 2.5: Maintenance,Quarterly,Number of square metres of surfaced roads rehabilitated,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",375000,424570,525000,628550,375000,"
1 456 298",225000,723076,1500000,3232494,3232494,"In an effort to prevent roll-overs on projects that displayed challenges, funds were directed to well performing projects 
(Zastron – Sterkspruit, Koffiefontein – Luckhoff, Senekal – Rosendal and Rosendal – Ficksburg )
",,,,"Acceleration on ongoing projects such as Luckhoff -Havenga Bridge, Lindley- Petrus Steyn and Senekal- Lindley to complete these activities before temperature decreases drastically on prepared section of the road.
",,,"Acceleration on ongoing projects such as Luckhoff -Havenga Bridge, Lindley- Petrus Steyn and Senekal- Lindley",,,"Funds were directed to well performing projects in order to expedite the works before the festive season (Zastron – Sterkspruit, Koffiefontein – Luckhoff, Senekal – Rosendal and Rosendal – Ficksburg One delayed project also only started reporting in Q3 (Qwaqwa Roads)
",,,"In an effort to prevent roll-overs on projects that displayed challenges, funds were directed to well performing projects 
(Zastron – Sterkspruit, Koffiefontein – Luckhoff, Senekal – Rosendal and Rosendal – Ficksburg )
",,,164
Transport,Transport,Free State,Programme 2: Transport Infrastructure,Sub-Programme 2.5: Maintenance,Quarterly,Number of square metres of surfaced roads rehabilitated using refurbishment funds. ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",40000,0,52000,0,52000,"

94 478.74",52000,0,196000,0,94478.74,"Contractor suspended works, funds prioritised towards accelerated projects, despite classification
",Consultant to be appointed ,,,"Although significant progress has been realised on the Sasolburg - Heilbron project, work stoppages due to labour unrest relating to labour rates as well as delays in obtaining mining permits hampered progress to fully achieve the target.
"," Finalise of SCM processes to implement project

Time frame: Sep 2024
",,"Preparatory work for seal is ongoing, due to the nature of the work to be completed, the service provider prefers to complete the entire 196 000 m2 / 26,5 km instead of 7km before commencing with seal related activities for cost effectiveness ","The entire 26,5 km layer works will be completed and ready for seal the third quarter 

Time frame: Third Quarter
",,Production was increased to compensate for under-achievement in previous quarters,,,"Contractor suspended works, funds prioritised towards accelerated projects, despite classification","Consultant to be appointed 

",,164
Transport,Transport,Free State,Programme 2: Transport Infrastructure,Sub-Programme 2.5: Maintenance,Quarterly,Number of square metres of surfaced roads resealed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",316160,0,0,44000,0,"
46 555",100000,182136.96,416160,90555,272691.96,"Due to low temperatures and the products used  for reseal, works could not be done. However, preparatory works such as pothole patching and shoulder repair for this activity has been concluded
",,,,Due temperatures below 200  and the products used  for reseal works could not be done,"Reseal works to be maximised in quarters 3 and 4 during warmer seasons

",,The programme commenced late and only 6km could be completed before the end of the quarter.,"Fastrack and accelerate implementation 
Time frame: Third Quarter",,Reseal works were performed on certain sections where special maintenance was not required due to the condition of the section (Sasolburg – Koppies),,,Reseal works concluded under the Reseal and Fog Spray programme,,,164
Transport,Transport,Free State,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Annually,Number of public transport subsidy provided in the province. ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,3,3,3,3,3,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Annually,Number of routes subsidised.  ,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Inclusive economic growth and sustainable job creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,234,234,234,234,234,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 3: Transport Operations ,Sub-Programme 3.2: Public Transport Services ,Quarterly,Monitoring of contractual compliance of SMF (Supervisory Monitoring Firm) conducted. ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Good governance,"Governance, State Capacity and Institutional Development cluster",3,3,3,3,3,"

3
",3,3,12,3,12,NA,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 3: Transport Operations ,Sub-Programme 3.3: Operator Licences and Permits,Quarterly,Number of Provincial Regulating Entity (PRE) hearings conducted,Standardized,Not  Applicable,Not Applicable,-,Not Applicable,9,9,9,9,9,"
9",9,1,36,28,28,"1. Four of the remaining six board members were absorbed in employment which left board with only two functional members,affecting quorum.
2.NLTA No 5 of 2009 Section 23 is still running concurrently with FSPTA act 4 of 2005 
3. A transitional adjudication entity submission has been drafted awaiting its approval, this submission is inclusive of treasury department hence the delay and is for ten months
4.A process plan has been produced that will allow the MEC for CSRT to establish a PRE fully for 2025/2026 going forward

","High bread PRE submission that will be for ten months already done.
2. MEC gazette intention to amend and review the FSPTA act 4 2005 and submit to legislature with public comments
3. MEC Declaring PRE in FS
4 Appointment of PRE in accordance with section 23 of NLTA No 5

",,,,,,,,,,,,The Board term has ended and the delay in the approval of PRE transitional committee is still to be finalised. ,submission involving CSRT and Treasury is been finalised and is in circulation .,,164
Transport,Transport,Free State,Programme 3: Transport Operations ,Sub-Programme 3.3: Operator Licences and Permits,Quarterly,Number of training sessions held (Public Transport Operators).,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Build social cohesion  ,Not Applicable,9,9,9,9,9,"
9",9,9,36,9,36,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 3: Transport Operations ,Sub-Programme 3.3: Operator Licences and Permits,Quarterly,Number of visits conducted to meter taxi association to monitor compliance.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Build social cohesion  ,Not Applicable,1,1,1,1,1,"

1",1,1,4,1,4,,,,,,,,,,,,,,,,,164
Transport,Transport,Free State,Programme 3: Transport Operations ,Sub-Programme 3.3: Operator Licences and Permits,Quarterly,Number of visits conducted to scholar transport associations to monitor compliance.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Build social cohesion  ,Not Applicable,18,19,18,18,18,"

18",18,18,72,18,73,"An over achievement is a result of the revival of previous dormant associations which has played a pivotal role in the process. To ensure uniformity in measurement of compliance, all associations were monitored for compliance over the same duration.
",Operating and Licensing Board (OLB) will implement the following corrective measures: (1) Prioritize reassessment of the outstanding three Taxi Associations as soon as their executive structures are stabilized,,,"An over achievement is a result of the revival of previous dormant associations which has played a pivotal role in the process. To ensure uniformity in measurement of compliance, all associations were monitored for compliance over the same duration. ",,,,,,,,,,,,164
Transport,Transport,Free State,Programme 3: Transport Operations ,Sub-Programme 3.3: Operator Licences and Permits,Quarterly,Number of visits conducted to taxi associations to monitor compliance.,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Build social cohesion  ,Not Applicable,46,47,46,45,46,"

46",46,43,184,43,181,"During Quarter 4, The deviation was due to extraordinary internal challenges within three associations. Welkom United Taxi Association faced leadership instability after the suspension of its Chairperson and Secretary, leaving the association at risk of non-compliance. Two associations in the Fezile Dabi District experienced serious executive committee disputes, rendering assessments impractical. Additionally, preparations for the 2025 industry-wide elections caused administrative disruptions, as many associations held early AGMs in November and December 2024. Despite these challenges, a 98.37% compliance achievement was realized, and outstanding assessments will be prioritized once leadership issues are resolved.
",Operating and Licensing Board (OLB) will implement the following corrective measures: (1) Prioritize reassessment of the outstanding three Taxi Associations as soon as their executive structures are stabilized; (2) Implement a standing contingency plan to conduct rapid assessments within a 60-day window once associations regain operational stability; These measures aim to recover the outstanding assessments early in the next quarter and maintain full oversight over association governance readiness.,,,"An over achievement is a result of the revival of previous dormant associations which has played a pivotal role in the process. To ensure uniformity in measurement of compliance, all associations were monitored for compliance over the same duration. 
",,,"Greater Transport Taxi Association, Executive Committee disbanded in the 2nd Quarter   ",,,,,,Two associations in Fezile Dabi did not honour the invitation to attend the compliance meeting   and WUTA did not meet the requirements for compliance  monitoring ,,,164
