Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,National_Q4,UID
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.3: Heritage Resource Services,Quarterly,Number of awareness campaigns conducted,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,0,2,,2,See indicator no 4 below for the revised target.,1,,6,0,0,See below indicator no. 4 for the revised annual target.,,,, The reason for non achieving this indicator is because PGNC transfer payment was delayed due to administrative processes and there was no funds to organise and print marketing materials for the awareness campaign.,The target will be achieved in the 2nd quarter.,Achieved as planned.,See indicator no 4 below for the revised target.,,revised ,,,Revised as per APP.,See indicator no 4 below for the revised target.,,The indicator was revised.,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.3: Heritage Resource Services,Quarterly,Number of awareness campaigns conducted,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,0,1,1,1,1,1,2,4,4,4,,,,Higher,The reason for non achieving this indicator is because PGNC transfer payment was delayed due to administrative processes and there was no funds to organise and print marketing materials for the awareness campaign.,The target will be achieved in the 2nd quarter.,,,,Achieved as achieved,,,Achieved as planned.,One (1) more awareness campaign was conducted to address the under achievement in the 1st quarter. ,No corrective measures required. The annual target has been fully achieved.,Not Achieved reason for deviation and corrective action provided.,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.3: Heritage Resource Services,Quarterly,Number of permit applications processed,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",7,9,7,13,4,11,7,7,25,40,40, More than planned number of applications were received during the financial year under review. , The indicator is demand driven therefore no corrective measure required. ,,,The Heritage Unit received more permits applications than it was anticipated hence there is an over-achievement on this indicator,,"Over-achieved, reason provided.",Heritage Services received more application than anticipated,"The target is demand driven therefore no corrective measure required.
","Achieved, reason for deviation provided.",Heritage Services received more application than anticipated.,The target is demand driven therefore no corrective measure required.,"Overachieved, reason for deviation and corrective action provided.",,,Not Achieved reason for deviation and corrective action provided ,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.3: Heritage Resource Services,Quarterly,Number of provincial social cohesion summits hosted,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,1,0,0,1,1,0,0,2,2,2,,,,,,,Achieved as planned.,,,No reporting required for the quarter under review.,,,"Not achieved, no reason for deviation and corrective action provided.",,,No reporting required for the quarter under review.,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.4: Language Services,Quarterly,Number of FSPG departments and public entities monitored for the implementation of the Use of Free State Official Languages Act,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,1,1,1,1,1,1,1,4,4,4,,,,,,,Achieved as planned.,,,Achieved as planned ,,,Achieved as planned.,,,Achieved as planned.,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.4: Language Services,Quarterly,Number of language coordinating structures supported,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,1,1,,1,"The indicator was revised to measure the ""Number of language structures supported""	See indicator no 5 below.",1,,1,1,0,"The indicator was revised to measure the ""Number of language structures supported"" See indicator no 5 below.",,,,,,Achieved as planned.,See indicator no 5 below for the revised target.,,revised ,,,Revised as per APP.,"The indicator was revised to measure the ""Number of language structures supported"" See indicator no 5 below.",,The indicator was revised.,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.4: Language Services,Quarterly,Number of language structures supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,1,1,1,1,1,1,1,1,1,1,"The indicator was revised to measure the ""Number of language structures supported"". ",,,On target,,,,,,Achieved as planned,,,Achieved as planned.,,,Achieved as planned.,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.4: Language Services,Quarterly,Number of practitioners benefiting from capacity building opportunities,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",30,30,50,50,45,45,20,20,145,145,145,,,,,,,Achieved as planned.,,,Achieved as planned,,,Achieved as planned.,,,Achieved as planned.,164
,"Sport, Arts and Culture",Free State,Programme 2: Cultural Affairs ,Sub-programme 2.4: Language Services,Quarterly,Number of terminology collaboration sessions held,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Build social cohesion  ,"The Social Protection, Community and Human Development cluster",1,1,2,2,2,2,0,0,5,5,5,,,,,,,Achieved as planned.,,,Achieved.as planned ,,,Achieved as planned.,,,No Reporting Required for the quarter under review.,164
,"Sport, Arts and Culture",Free State,Programme 3: Library and Archives Services ,Programme 3: Library and Archives Services ,Annually,Number of libraries established per year,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,164
