Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,OTP_Q2,UID
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Programme 1: Administration,Annually,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Test 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,Default,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,Test 1,,,,,,,,,,,,,,,,,,,,,-,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of capacity building programmes implemented,Non-Standardized,Max,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",2,2,None,None,Achieved as planned.,2,2,None,None,2,2,None,None,Achieved,Achieved as planned.,2,2,None,None,2,2,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of employee health and wellness programmes implemented,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"Governance, State Capacity and Institutional Development cluster",1,1,None,None,Achieved as planned.,2,2,None,None,2,2,None,None,Achieved,Achieved as planned.,1,1,None,None,6,6,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of GBV&F workshops conducted  ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",3,3,None,None,Achieved as planned.,3,3,None,None,3,3,None,None,Achieved,Achieved as planned.,3,3,None,None,12,12,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of skills development interventions implemented,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",3. Provision of quality education and a quality health care system(2019-2024),"The Social Protection, Community and Human Development cluster",4,5,One (1) additional training funded and provided by Office of the Premier,None ,"Over-achieved, reason for deviation provided.",7,7,None,None,7,9,Target exceeded due to training programmes offered through Office of the Premier.,None,Achieved,Achieved as planned.,4,4,None,None,22,25,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of valid invoices paid within 30 days,Standardized,Max,Priority 2: Economic Transformation And Job Creation,2. Transformation and modernisation of the provincial economy (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",100 %,99.6 %,Payments were processed but got rejected due to closed bank accounts and re-issued on BAS.,The rejected payments will not be re-issued but will be cancelled from the BAS system and recaptured when the correct banking details are submitted.,"Not achieved, reason for deviation provided.",100 %,100 %,None,None,100 %,100 %,None,None,Achieved,Achieved as planned.,100 %,100 %,None,None,100 %,100 %,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Programme 1: Administration,Quarterly,"Percentage preferential procurement spend by sex/gender, age and disability",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,2. Transformation and modernisation of the provincial economy (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster","Minimum 40% target for 
Women, 30% for Youth 
and 7% for persons with 
disabilities
"," 
Women:48.68%
Youth:31.75%
Persons with Disabilities: 1.59%

",Most people living with disability are not providing proof such as a medical certificate from medical Practitioner to claim points. ,Persons with disabilities will be encouraged to submit proof of disabilities.,"Not achieved, no reason for deviation provided.","Minimum 40% target for 
Women, 30% for Youth 
and 7% for persons with 
disabilities
","Women =52.53%
Youth=36.09%
PwD =12.54%
",None,None,"Minimum 40% target for 
Women, 30% for Youth 
and 7% for persons with 
disabilities
","Women: 55%
Youth: 30%
and
Person with disabilities: 11%
",None,None,Achieved,Provide reason for overachievement ,"Minimum 40% target for 
Women, 30% for Youth 
and 7% for persons with 
disabilities
","Women = 70.53%
Youth = 54.50%
PwD = 7.90%
",The department fully implemented the approved departmental Preferential Procurement Policy. The selection of bidders was at all material times centred on previously disadvantaged individuals.,None,"Minimum 40% target for 
Women, 30% for Youth 
and 7% for persons with 
disabilities
",-,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Sub-programme 1: Office of the MEC,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 1: Administration,Sub-programme 1: Office of the MEC,Quarterly,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,No annual and quarterly target set.,,,,,,,,,,,,,,,,-,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Annually,Default,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of community conversations / dialogues implemented to foster social interaction per year,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",5,5,None,None,Achieved as planned.,10,10,None,None,5,5,None,None,Achieved,Achieved as planned.,5,5,None,None,25,25,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of initiatives implemented to raise awareness on the national symbols,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"Governance, State Capacity and Institutional Development cluster",5,5,None,None,Achieved as planned.,10,10,None,None,10,10,None,None,Achieved,Achieved as planned.,5,5,None,None,30,30,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 2: Cultural Affairs ,Sub-programme : Arts and Culture,Quarterly,Number of artists promoted,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",500,990,Number increased due to the partnership with LEDET in introducing Marula Festival District Build ups.,None,"Over-achieved, reason for deviation provided.",500,1903,The target overachieved as the Choral district Build sessions took place in the same month with Provincial Choral Festival in September as initially planned to overlap to the third quarter. ,To review the programme dates to make sure they happen in quarter ,1500,1574,Additional Artists were promoted during the Mapungubwe District Build Ups as some groups had more numbers than expected.,None,Achieved,Overachieved reasons provided.,500,610,"Additional artists were promoted through the Ku Luma Vukanyi Build-Up events, providing them with valuable exposure and opportunities to showcase their talents.",None,3000,5077,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 2: Cultural Affairs ,Sub-programme : Arts and Culture,Quarterly,Number of GBV&F awareness campaigns implemented,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",3,3,None,None,Achieved as planned.,3,6,"The number is overachieved due to partnership with Police Service   in the three districts to target hot spot areas (Mopani, Capricorn and Waterberg).",The partnership on GBV&F to be aligned during planning cycle,3,3,None,None,Achieved,Achieved as planned.,3,12,The National Department has contributed extra budget   for the implementations of GBVF,None,12,24,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 2: Cultural Affairs ,Sub-programme : Arts and Culture,Quarterly,Number of national days hosted,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"Justice, Crime Prevention and Security cluster",2,2,None,None,Achieved as planned.,1,1,None,None,0,0,None,None,Achieved,No Reporting Required for the quarter under review.,0,0,None,None,3,3,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 2: Cultural Affairs ,Sub-programme : Arts and Culture,Quarterly,Number of practitioners benefiting from capacity building opportunities,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",325,203,"The Capricorn, Sekhukhune and Waterberg capacity building programmes were rescheduled for second quarter due to the engagement of the districts in the preparation of the Arts and Culture Career Expo build up for Youth Day",To host the Capacity building Practitioners programme for the three Districts in the second quarter in the relevant training themes.,"Not achieved, reason for deviation provided.",325,1180,"The number overachieved due to partnership with National Lottery, Department of Labour and Social Development in training of artists in Funding Application and adherence to NPO registration",The over achievement will be managed in the next quarter,325,325,None,None,Achieved,Overachieved reasons provided.,325,57,"The annual target has been successfully achieved, with a notable increase in training activities during the third quarter.","In the coming financial year, the alignment of quarterly targets will be prioritised to ensure a consistent  approach towards achieving planned targets.",1300,1765,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 2: Cultural Affairs ,Sub-programme : Arts and Culture,Quarterly,Number of projects in the creative industries supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,None,None,Achieved as planned.,3,3,None,None,3,3,None,None,Achieved,Achieved as planned.,1,1,None,None,8,8,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 2: Cultural Affairs ,Sub-programme : Arts and Culture,Quarterly,Number of social cohesion and nation building programmes organised ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",0,0,No planned target for the quarter,None,No reporting required as,0,0,None,None,1,1,None,None,Achievedzz,Achieved as planned.,1,1,None,None,2,2,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 2: Cultural Affairs ,Sub-programme : Arts and Culture,Quarterly,Number of statutory and non-statutory bodies supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",4,5,The Limpopo Provincial Language Committee managed to open Provincial account and managed to submit the required documents earlier which enabled the Department to make a transfer.,None,Achieved as planned.,3,2,The Provincial Language Committee has already been supported in quarter one as the structure submitted the required documents earlier.,None,0,0,None,None,Achieved,No Reporting Required for the quarter under review.,0,0,None,None,7,7,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 2: Cultural Affairs ,Sub-programme 1: Management,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 2: Cultural Affairs ,Sub-programme 1: Management,Quarterly,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,No annual and quarterly target set.,,,,,,,,,,,,,,,,-,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 2: Cultural Affairs ,Sub-programme: Arts and Culture,Annually,Percentage Provincial Theatre construction,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,40 %,40 %,,,40 %,40 %,,None,None,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 2: Cultural Affairs ,Sub-programme: Heritage Resource Services,Quarterly,Number of initiatives implemented to raise awareness on the national symbols **,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",5,5,None,None,Achieved as planned.,10,10,None,None,10,10,None,None,Achieved,Achieved as planned.,5,5,None,None,30,30,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 2: Cultural Affairs ,Sub-programme:Language Services,Quarterly,% of documents received that are translated and edited,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",100 %,100 %,None,None,Achieved as planned.,100 %,100 %,None,None,100 %,100 %,None,None,Achieved,Achieved as planned.,100 %,100 %,None,None,100 %,100 %,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 2: Cultural Affairs ,Sub-programme:Language Services,Quarterly,Number of multilingualism promotion campaigns hosted ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",2,6,"Additional four (4) multilingualism promotion campaigns were conducted during two Career Day Exhibitions, Youth Day, Youth Career Expo as per invite in the different districts and departments.",None,"Over-achieved, reason for deviation provided.",3,3,None,None,3,3,None,None,Avhieved,Achieved as planned.,2,4,Additional two multilingualism promotion campaigns hosted as per invitations,None,10,16,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 2: Cultural Affairs ,Sub-programme:Museum Services,Quarterly,"Number of job opportunities created through arts, culture, and heritage programmes ",Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Transformation and modernization of the provincial economy,"The Economic Sectors, Employment and Infrastructure Development cluster",143,122,Recruitment of Archive services was not yet finalised during the quarter.,Recruitment will be finalised in July 2024,"Not achieved, reason for deviation provided.",143,129,"The remaining fourteen (14) is as a -result of two that exited the programme and six were targeted to start in the third quarter to align with the adjusted allocation for the programme.

The last six (6) for Archives Services warranted the department to get the database from the local universities.
","Replacement of the two exited and Placement of the six (6) will be done in the third quarter.





Placement of the six (6) to be effected during October 2024.
",143,139,There were no applications received in two (2) libraries and two job offers were declined.,Replace one position in January 2025 and recruit the remaining three EPWP workers in the fourth quarter.,Notachievef,Not Achieved reason for deviation provided.,143,132,The advertisement for EPWP positions closed on 25 February 2025 and the recruitment process is yet to be finalised.,"The recruitment process has been finalised for five (5) EPWP workers assigned to the Library and Archives, with their start date set for 1 April 2025. The recruitment for the remaining EPWP positions is expected to be concluded within the first quarter of 2025/26 financial year.",143,522,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 3: Library and Archives Services ,Programme 3: Library and Archives Services ,Annually,Number of libraries established per year,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,4,2,,,4,2,,"Two (2) libraries did not reach Practical Completion. The original contractor was terminated in September 2024, and a replacement contractor has since been appointed. Delays at the Mampane/Sekhukhune Library were caused by a shortage of fencing materials from the supplie","Tshaulu, replacement contractor has been appointed, and the site handover took place on 27 February 2025. The contractor is currently finalising the submission of safety files and other contractual documents.

At Mampane Library, materials were delivered in January 2025, and construction progress is currently at 90%.
",,,,153
,"Sport, Arts and Culture",Limpopo,Programme 3: Library and Archives Services ,Programme 3: Library and Archives Services ,Quarterly,Number of public awareness programmes conducted about archival services,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",2,2, None,None,"Not achieved, reason for deviation provided.",2,2,None,None,2,2,None,None,,Achieved as planned.,2,2,None,None,8,8,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 3: Library and Archives Services ,Sub-programme 1: Management,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 3: Library and Archives Services ,Sub-programme 1: Management,Quarterly,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,No annual and quarterly target set.,,,,,,,,,,,,,,,,-,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 3: Library and Archives Services ,Sub-programme: Library services,Quarterly,Number of library materials purchased,Not Applicable,Not  Applicable,"Priority 3: Education, Skills And Health",7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",0,0,None,None,No reporting required for the quarter under review.,0,0,None,None,10000,0,The Bids for procurement of books were not responsive. ,The bid will be re-advertised in January 2025. ,Notachieved,,15000,6981,The procurement process was reinitiated several times as the required three quotations could not be obtained.,"Requests for Quotations (RFQs) for the second batch of books closed on 18 March 2025

Purchase Orders will be issued in April, with deliveries expected in the first quarter of 2025/26 financial year.
",25000,6981,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 3: Library and Archives Services ,Sub-programme:Archives,Quarterly,Number of archive and records training conducted ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",2,3,"One (01) additional training conducted as a result of request from the Department of Agriculture, Land Reform and Rural Development.",None,Achieved as planned.,2,2,None,None,2,2,None,None,Achieved,,2,2,None,None,8,9,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 3: Library and Archives Services ,Sub-programme:Archives,Quarterly,Number of oral history projects undertaken ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",3,3,None,None,Achieved as planned.,4,4,None,None,5,5,None,None,Achieved,,3,3,None,None,15,3,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 3: Library and Archives Services ,Sub-programme:Archives,Quarterly,Number of record classification systems approved,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",2,2,None,None,Achieved as planned.,3,3,None,None,3,3,None,None,Achieved,,2,2,None,None,10,10,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Annually,Default ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,Number of athletes supported by the sports academies,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",250,250,None,None,Achieved as planned.,250,255,Team entourage as per federation request led to supporting additional five (5) athletes.,Federation to submit requests prior to the commencement of the  implementation quarter.,250,252,Response to additional support to Table Tennis and Baseball.,None,Achieved,Overachieved reasons provided.,250,250,None,None,1000,250,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,"Number of schools, hubs and clubs provided with equipment and/or attire to enable participation in sport and or recreation",Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",472,65,"There was a delay in the submission of needs by schools, clubs and hubs which impacted on procurement processes.",Equipments will be delivered and distributed in July 2024,"Not achieved, reason for deviation provided.",305,548,Addressing the previous quarter's backlog where needs were not submitted on time.,"Encourage the federations, hubs and schools to submit their needs by end of January  in preparation for the following year.",50,360,Addressing previous quarter backlog,None,Achieved,Overachieved reasons provided.,50,144,Addressing the backlog of schools that failed to collect equipment’s and/or during the 2nd and 3rd quarters.,Continue with Consultative engagements with federations to adhere to the plan.,877,1117,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 4: Sport and Recreation,Sub-programme :School sport,Annually,Number of people trained to deliver school sport  ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",200,0,,,,,,,,,,,,,,,,,,200,0,,The bids were non- responsive as they exceeded the market research price and provincial Treasury prescribed rate as per cost containment measures.,The bids have been readvertised,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 4: Sport and Recreation,Sub-programme :Sport,Quarterly,Number of local Leagues supported,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",50,59,High interest shown by clubs in participating in leagues,None,"Over-achieved, reason for deviation provided.",100,107,Unanticipated requests from federations for support during their leagues,Encourage federations to submit  league plans and national calendars on time.,73,29,Leagues were suspended by Federations due to examinations,Implement suspended leagues in the four quarter,Achieved,Not achieved reasons provided.,0,40,Addressing previous quarter backlog.,None,223,235,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 4: Sport and Recreation,Sub-programme :Sport,Quarterly,Number of people trained to deliver club development,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,7. Strengthen crime prevention and social cohesion (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",150,0,The bids were non- responsive as they exceed the market research price and provincial Treasury prescribed rate as per cost containment measures.,Bids have been re-advertised.,"Not achieved, reason for deviation provided.",150,312,Addressing the previous quarter's backlog where target was not achieved due to non-responsive bids.,Commence with procurement process  two month before the staging of the workshop.,150,200,Addressing previous quarter backlog,None,Achieved,Overachieved reasons provided.,50,0,Prospective people were trained in the third quarter following a request from the federations.,Continue with Consultative engagements with federations to adhere to the plan.,500,512,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 4: Sport and Recreation,Sub-programme :Sport,Quarterly,Number of people trained to deliver on academy programmes,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",25,25,None,None,Achieved as planned.,25,25,None,None,25,25,None,None,Achieved,Achieved as planned.,25,25,None,None,100,100,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 4: Sport and Recreation,Sub-programme :Sport,Quarterly,Number of sport academies supported,Non-Standardized,Max,Priority 6: Social Cohesion and Safer Communities,7. Strengthen crime prevention and social cohesion (2019-2024),"The Social Protection, Community and Human Development cluster",6,6,None,None,Achieved as planned.,6,6,None,None,6,6,None,None,Achieved,Achieved as planned.,6,6,None,None,6,6,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 4: Sport and Recreation,Sub-programme 1: Management,Annually,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,153
,"Sport, Arts and Culture",Limpopo,Programme 4: Sport and Recreation,Sub-programme 1: Management,Quarterly,deafult,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,No annual and quarterly target set.,,,,,,,,,,,,,,,,-,,,,,,,153
