Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,National_Summary,OTP_Q2,DesiredPerformance,National_Q1,National_Q2,National_Q3,OTP_Q4,National_Q4,UID
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.3: Food Security,Quarterly,Number of aquaculture/fisheries projects/farms supported,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",0,0,Planned for the second quarter,"
None",1,"
2",The over performance was due to early delivery of 1 set of animals by the service provider,None,1,"
0",The target was achieved in the 2nd quarter,None,0,0,None,None,2,2,2,None,,,,,,,,Noted.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.3: Food Security,Quarterly,Number of food gardens supported,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",30,31,The over achievement was due to request for mechanization support from smallholder producers to cultivate thier land,Continuous support to producers who need to increase their Agriculture production,150,"
155","
The over achievement was due to requests for production inputs (seedlings) from two schools in Nkomazi municipality",Continuous support to producers who need to increase Agriculture production,330,"
360",The over achievement is due to requests from the Department of Human Settlement to establish food gardens for newly handed-over houses,Continue to support the producers if resources are available,80,76,The target was achieved in the previous quarters.,None,590,622,622,The overachievement was due to requests from other Departments for the establishment of food gardens ,,,,,,,,It is important to constantly  record the changes in demand or trends to inform future realistic planning and resource allocation that cater for the support required.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.3: Food Security,Quarterly,Number of hectares planted for food production,Standardized,Not  Applicable,Not Applicable,"Spatial Integration, Human Settlements  and Local Government",Not Applicable,200,254,The over achievement was due to requests for mechanization support from smallholder producers to cultivate their land,Continuous support to producers who need to increase Agriculture production,300,"
346",The over achievement was due to requests for mechanization support from producers,Continuous support to all producers who need to increase Agriculture production,9500,"
8 908 ",The under-achievement is due to late rains and heat waves that delayed land cultivation ,The underperformance will be addressed in the 4th quarter,3100, 3 913 ,The over achievement was due to requests for mechanization support from producers who have their own production inputs,Continuous support to producers who want to increase Agriculture production,13100,13421,13421,The overachievement was due to requests for mechanization support from producers who have their production inputs ,,,,,,,,t is important to constantly  record the changes in demand or trends to inform future realistic planning and resource allocation that cater for the support required.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.3: Food Security,Quarterly,Number of projects/farms provided with livestock through Masibuyele Esibayeni Programme,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",35,5,The under achievement was due to unresolved price negotiations between the department and the contracted service providers which too longer than expected,The department will continue to engage the service providers,36,"

22

","The department experienced challenges in the procurement of poultry and the prices keep escalating with every negotiation as markets remain volatile especially on poultry and poultry feeds  

",The department to procure the outstanding sets in the next quarters,31,"8
",Delays in the supply and delivery of poultry sets due to ongoing price negotiations that have dragged for longer than expected due to the cost increase in poultry and poultry supplies which keeps on changing,Procurement restarted towards the end of Q3 and still in progress for delivery in the last quarter of 2024/25,0,50,"Over achievement was addressing the shortfall of the previous quarter, which could not be achieved as planned due to price escalation ",Within the available resources the department will address the backlog.,102,85,85,Price hikes necessitated by avian flu made it impossible for the planned budget to cover the targeted sets of ,Align the  sets with available budget,,,,,,,Noted.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.3: Food Security,Quarterly,Number of smallholder producers supported,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",80,88,The over achievement was due to request for mechanization support from smallholder producer to cultivate their land,Continuous support to smallholder producer as per the need,140,"
147",The over achievement was due to requests for mechanization support from farmers in Ehlanzeni District,Continuous support to smallholder producers who needs to increase Agriculture production,680,"
680","
None","
None",100,133 ,The over achievement was due to requests for mechanization support from producers who have their own production inputs,Continuous support to smallholder producers as per the need,1000,1048,1048,The overachievement was due to requests for mechanization support from producers who had their own production inputs,,,,Noted ,,,Noted,t is important to constantly  record the changes in demand or trends to inform future realistic planning and resource allocation that cater for the support required.,Achieved as planned. ,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.3: Food Security,Quarterly,Number of subsistence producers supported,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",200,225,The over achievement was as a results of request for production inputs from subsistence producers which was realized due to early delivery of the Presidential Employment Stimulus Initiative,Continuous support to smallholder producer as per the need,300,"
337",The over achievement was due to support of seedlings received from University of Mpumalanga while conducting a workshop for farmers involved in Urban Agriculture,"Continuous support to subsistence producers who need to increase Agriculture production.

",1305,"
1 362 ",The overachievement was due to celebration of commemoration day (16 days of activism against Gender based violence) ,Continuous support to subsistence producers to increase Agricultural production as per the need and availability of resources ,200,307,The over achievement was due to requests for production inputs from producers which were realized during the delivery of the Presidential Employment Stimulus initiative ,Continuous support to subsistence producers as per the need,2005,2231,2231,The over achievement was due to the support of seedlings received from the University of Mpumalanga while conducting a workshop ,,,,None ,,,Noted,t is important to constantly  record the changes in demand or trends to inform future realistic planning and resource allocation that cater for the support required.,Noted.,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.3: Food Security,Quarterly,Number of vulnerable households supported with agricultural food production initiatives,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",2200,2200,"
None","
None",2218,"

2 279 

",The over achievement was due to the Presidential Employment Stimulus (PES3) intervention (distribution of Smart Agricultural Boxes),Continuous support to vulnerable households producers who need to increase Agriculture production,6300,"6 300 

",None,None,1882,1 900 ,The over achievement was due to requests for production inputs from producers which were realized during the delivery of the Presidential Employment Stimulus initiative ,Continuous support to vulnerable households as per the need,12600,1900,12679,The overachievement was due to the Presidential Employment Stimulus (PES) 3 intervention,,,,,,,,t is important to constantly  record the changes in demand or trends to inform future realistic planning and resource allocation that cater for the support required.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 4:  Veterinary Services,Sub Programme 4.1:	Animal Health,Quarterly,Number of animal inspections for regulatory purposes,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",1095860,1420915,Good turnout at inspection points and due to increased inspection intensity at FMD outbreak areas,Continue to inspect animals as per the requirements,1087860,"
1 172 134 ",There was higher turnout at inspection points,Continue to do inspections as planned,1075710,"
788 201 ",There was a decline in animals presented at inspection points following severe drought,"Once the condition of animals improve, animals will be brought to inspection points and inspections will increase",1042153,1 056 999 ,The increase was due to good turnout at inspection points,Continue with livestock inspections as legislated,4301583,4438249,4438249,There was good turnout at inspection points,,,,,,,,"It is important to set realistic targets 
and ensure actual performance is aligned to the planned targets; and keep constant changes to the demand for services to inform future realistic planning.
",,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 4:  Veterinary Services,Sub Programme 4.1:	Animal Health,Quarterly,Number of animal vaccinations against controlled and notifiable animal diseases,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",90519,136270,More vaccinations were done to prevent and control disease outbreaks ,Vaccinations will be done as per the plan to ensure disease control is maintained,76669,"

68 189 

",There was inadequate FMD vaccine in the country and more is expected to be availed by Botswana Vaccine Institute by Mid-October,Once the vaccine is available FMD vaccinations will be intensified,48750,"50 259 
",Poor turnout at dip tanks due to poor animal conditions due to drought,As the condition of animals improves more animals will be presented to dip tanks for vaccinations,103927,150 641 ,The overachievement was due to increased surveillance to ascertain and monitor disease status in the province,Continue with surveillance as required,319865,405359,405359,There were more requests from farmers with regards to animal disease vaccination,,,,,,,,Noted.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 4:  Veterinary Services,Sub Programme 4.1:	Animal Health,Quarterly,"Number of animals sampled/tested for controlled animal disease surveillance purposes (excluding FMD, PPR, AI and CBPP)",Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",11100,15173,More animals were sampled for other diseases due to additional requests ,Continue with surveillance as planned to ascertain disease status in the province,10967,"


14 972 ",More samples were collected to intensify disease surveillance in the wake of high outbreaks in the country,Continue to sample and test as planned,10443,11 667 ,Increased surveillance of animal diseases to monitor disease status ,Continue with planned disease surveillance to monitor disease status in the province,13467,27 574 ,Increased surveillance as a result of outbreaks of diseases in the country during the quarter,Continue with disease surveillance to monitor disease status,45977,69386,69386,More requests from farmers were received following more awareness on diseases,,,,,,,,Noted.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 4:  Veterinary Services,Sub Programme 4.1:	Animal Health,Quarterly,Number of clinical cases attended to,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",10625,11108,More animals were presented at the veterinary clinics,Continue to attend to clinical cases as per the need,10625,"
14 598 ","There was a higher demand for clinical cases at the clinics
",Continue to attend to clinical cases as required by clients,10625,"
10 891 
",More clinical cases presented than anticipated,Continue to provide clinical services as needed,10625,10 576 ,Fewer animals were presented at the clinics than planned,Continue to attend to animals as per their needs,42500,47173,47173,More animals were brought to the clinics for veterinary care,,,,,,,,"It is important to set realistic targets 
and ensure actual performance is aligned to the planned targets; and keep constant changes to the demand for services to inform future realistic planning.
",,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 4:  Veterinary Services,Sub Programme 4.1:	Animal Health,Quarterly,Number of samples collected for targeted animal disease surveillance,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",747,2833,More samples were collected to control disease outbreaks,Targeted samples will continue to be sampled as per the plan for disease surveillance,856,"

1 515
 
","
More samples were collected to intensify disease surveillance in the wake of high outbreaks in the country",Continue to conduct surveys as planned,989,"709

",Poor turnout at dip tanks due to poor animal conditions due to drought,As the condition of animals improves more animals will be presented for surveillance,899,1 662 ,Increased surveillance as a result of outbreaks of diseases in the country during the quarter under review,Continue with disease surveillance to monitor disease status,3491,6719,6719,Disease outbreaks necessitated more surveillance,,,,Noted ,,,None ,"It is important to set realistic targets 
and ensure actual performance is aligned to the planned targets. 
",Reason for deviation and corrective action in noted.,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 4:  Veterinary Services,Sub Programme 4.1:	Animal Health,Quarterly,Number of visits to epidemiological units for veterinary interventions,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",2982,3541,More visits were undertaken to control and prevent the outbreaks that occurred during the quarter,Continue with the visits to perform all planned veterinary interventions,3306,"

3 703 

",More visits were conducted to intensify disease surveillance in the wake of higher disease outbreaks in the country,Continue to conduct veterinary interventions as planned,3210,"2 740 

",Two Technicians were temporarily incapacitated,The visits will improve in the next quarter as the officials improve in their health status,3127,3 154 ,Increase in visits due to increased surveillance to ascertain and monitor disease status in the province,Continue with surveillance as required,12625,13138,13140,Disease outbreaks led to more visits to epidemiological units,,,,Noted ,,,None ,Noted.,Reason for deviation and corrective action in noted.,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 4:  Veterinary Services,Sub Programme 4.2: Veterinary International Trade Facilitation,Quarterly,Number of veterinary certificates issued for export facilitation,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",675,999,More demand for products of animal origin and feed,Export certificates will continue to be issued as required,700,"
1 098 ",There was a higher demand for exports,Continue to issue certificates to compliant consignments,821,"
1 054 ",More demand for export of animal products,Continue to issue veterinary certificates to compliant export consignments,700,839 ,There was more demand for products of animal origin for export,Continue processing exports for compliant consignments,2896,3990,3990,There was more demand in export of animal products ,,,,None ,,,None ,"It is important to set realistic targets 
and ensure actual performance is aligned to the planned targets; and keep constant changes to the demand for services to inform future realistic planning.
",Noted.,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 4:  Veterinary Services,Sub Programme 4.3: Veterinary Public Health,Quarterly,Number of abattoirs registered,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",50,49,The under-achievement was due one abattoir which was non-compliant ,The abattoir will be registered in the next quarter once compliant,0,"
0
","None
",Register or reregister any new or existing compliant abattoirs,0,"0
",None,None,0,0,None,None,50,49,49,One facility could not comply to be registered,,,,,,,,The corrective action is not clearly elaborated.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 4:  Veterinary Services,Sub Programme 4.3: Veterinary Public Health,Quarterly,Number of contact sessions held with role players,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",180,182,Two additional contact sessions were conducted due to the new market needs for export at one abattoir,Continue with the contact sessions as planned,230,"
212",Staff shortage. One official was discharged on ill-health,Use Community Service Veterinarians and assign additional duties to officials to minimize the impact of staff shortage.,180,"
230","Butchery monitoring was intensified to ensure meat safety following increased food poisoning as reported in the media
",Continue to provide contact sessions to clients as required with regards to meat safety,190,163,More contacts were held in the previous quarters due to needs,Continue with contacts as required,780,787,787,More contact sessions were held following suspicion of food poisoning ,,,,,,,,Noted.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 4:  Veterinary Services,Sub Programme 4.3: Veterinary Public Health,Quarterly,Number of inspections conducted on facilities producing meat,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",120,130,More inspections were performed to address non-compliances at abattoirs,Continue with inspections as required,130,"
127",Shortage of staff. One official was discharged on ill-health,Use Community Service Veterinarians and assign additional duties to officials to minimize the impact of staff shortage,120,"
138",More inspections were conducted on abattoirs as follow up inspections for compliance,Continue to provide inspection services as planned,130,127,Three abattoirs were not operational with effect from 1 March 2025 and inspections could not be conducted at these facilities,Continue with inspections of facilities as per legislation,500,522,522,More inspections were conducted to enforce compliance,,,,Noted ,,,Noted,Noted.,Noted.,,Noted ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 4:  Veterinary Services,Sub Programme 4.4: Veterinary Diagnostics Services,Quarterly,Number of laboratory tests performed according to approved standards,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",10000,12795,Higher number of samples were submitted than planned due to increased needs for surveillance,Continue to test samples as required,10000,"

12 924 

","The over performance was a result of increased sample submissions to the laboratory
",Continue to test samples as required and planned,10000,"7 996 


",There were lower submissions of samples than anticipated,Test all samples that will be submitted for routine testing and disease monitoring as required,10000,20 567 ,There was an increase in the submission of samples due to higher requests from farmers,Continue to process samples as required,40000,54282,54282,More samples were submitted for testing ,,,,it is importatnt to ensure that future target setting is informed by current performance trends.,,,Noted,"It is important to set realistic targets 
and ensure actual performance is aligned to the planned targets; and keep constant changes to the demand for services to inform future realistic planning.
",Noted.,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 4:  Veterinary Services,Sub Programme 4.5: Veterinary Technical Support Services,Quarterly,Number of Performing Animals Protection Act (PAPA) registration licences issued,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,None,None,1,"

6
",There were more applications for PAPA licenses and were issued after complying,Attend to all registration requests and issue licenses when compliant,6,"10

",New compliant facilities not in the plan were registered,Continue with the registration of new compliant facilities,6,3,The facilities were compliant and registered in the second quarter,Continue to register compliant facilities (existing and new),16,22,22,There were more new facilities that were compliant and got registered,,,,None ,,,None ," It is important to set realistic targets 
and ensure actual performance is aligned to the planned targets; and keep constant changes to the demand for services to inform future realistic planning.
",Noted. ,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 5:	Research and Technology Development Services,Sub Programme 5.1: Agricultural Research,Annually,Number of research projects implemented to improve agricultural production,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,18,18,,,18,18,18,None,None,,,"None, target achieved as planned.",,,,,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 5:	Research and Technology Development Services,Sub Programme 5.1: Agricultural Research,Quarterly,Number of articles in popular media,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",3,2,One article could not be completed due to prioritising the veld assessment,The shortfall will be addressed in the next quarter,9,"
10",Addressing backlog from the 1st quarter,None ,13,"
13","
None","
None",9,9,None,None,34,34,34,None,,,,,,,,It is important to specify the actual performance that relates to the previous quarter.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 5:	Research and Technology Development Services,Sub Programme 5.1: Agricultural Research,Quarterly,Number of demonstration trials conducted,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",2,2,"
None","
None",0,"
0
","
Planned for the 3rd quarter","
None",5,"
6",One demonstration trial was conducted in collaboration with the University of Mpumalanga (UMP) on cowpea ,None,5,4,More demonstration trials were achieved in previous quarters,None,12,12,12,none,,,,,,,,Noted.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 5:	Research and Technology Development Services,Sub Programme 5.1: Agricultural Research,Quarterly,Number of soil samples analysed,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",100,148,More requests for soil analysis were received from farmers than expected,None,200,"
200
","
None
","
None
",200,"200 
",None,None,200,200,None,None,700,748,748,More requests for soil analysis received from farmers than anticipated,,,,,,,,Performance target achieved as planned.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 5:	Research and Technology Development Services,Sub Programme 5.1: Agricultural Research,Quarterly,Number of veld / pasture assessments conducted,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",45,53,More requests received than anticipated,None,60,"
50","
Less request received than planned","
None",60,"
69","
More request received than anticipated","
None
",35,35,None,None,200,207,207,More requests for soil analysis received from farmers than anticipated,,,,,,,,It is important to provide corrective action when the indicator has underperformed in its quarterly target.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Annually,Number of new technologies developed for the smallholder producers,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,1,1,,,1,1,1,None,None,,,"None, target achieved as planned.",,,,,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Annually,Number of scientific papers published,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,2,1,,,2,1,2,None,None,,,None ,,,,,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Quarterly,Number of agricultural information reports compiled,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",82,83,More request for agricultural information reports were received,None,165,"
78",Less requests received than planned. The indicator is request based,The backlog will be addressed in the remaining quarters ,125,"
207",More agricultural information requests were received than anticipated,None,138,196,More requests for agricultural information reports were received than planned.,None,510,564,564,More requests for agricultural information reports received than anticipated,,,,,,,,Noted.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Quarterly,Number of GIS database maintained,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",30,30,None,None,30,"
30","
 None","
None",20,"
20
","
None","
None",30,30,None,None,110,110,110,None,,,,,,,,Performance target achieved as planned.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Quarterly,Number of research presentations made at peer reviewed events,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,Planned for the second quarter,None,3,"
7",More articles accepted at professional conference,None ,2,"
0","
More presentations achieved in the second quarter","None
",3,2,More research presentations were achieved in the previous quarters,None,8,9,9,1 more paper was accepted at peer review events ,,,,None ,,,Not targeted for the period under review.,Noted.,Noted.,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Quarterly,Number of research presentations made at technology transfer events,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",21,22,One more request was received than anticipated,None,21,"

32

",More requests were received than anticipated,None ,29,39,More request received than planned.,None,20,16,More research presentations were achieved in the previous quarters,None,91,109,109,More request to make presentation made at technology transfer events received than anticipated,,,,None ,,,Noted,It is important to constantly track the changes in demand to inform future realistic planning.,Kindly elaborate on the factors that led to an increase in demand.,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Quarterly,Number of soil survey reports compiled,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",12,3,Few request for soil surveys were received,,12,"
21
",More soil survey reports were done to address for underperformance in the first quarter,None,6,"
7
",One additional soil survey request was received ,None,5,4 ,More soil surveys were achieved during the 2nd quarter.,None,35,35,35,None,,,,,,,,"Noted, however, it is important to specify the achievements that relate to previous reporting period.",,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 5:	Research and Technology Development Services,Sub Programme 5.2: Technology Transfer Services,Quarterly,Number of subdivision of Agricultural Land Act recommendation reports compiled,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Spatial Integration, Human Settlements  and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",12,13,More request were received,None,12,"

15",More applications of the Subdivision of Agricultural Land Act were received,None,15,"

24",More Subdivision of Agricultural Land Act applications were received than planned,None,13,7,Applications for the Subdivision Agricultural Land Act were received in the previous quarters,None,52,59,59,More applications received than anticipated,,,,,,,,It is important to constantly track the changes in demand to inform future realistic planning.,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 5:	Research and Technology Development Services,Sub Programme 5.3: Research Infrastructure Support Services,Annually,Number of research infrastructure managed,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,2,2,,,2,2,2,None,None,,,"None, target achieved as planned.",,,,,,,,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 6: Agricultural Economic Services,Sub Programme 6.1: Production Economics and Marketing Support,Quarterly,Number of agribusinesses supported with Black Economic Empowerment advisory services,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",10,11,More requests were received from agribusinesses for BEE advisory services and assistance with BBBEE certificates compliance,Demand driven,12,"

14
",More requests were received from agribusinesses for BEE advisory services and assistance with BBBEE certificates compliance,Demand driven,12,"12

",None,None,6,8,"More agribusinesses were supported with BBBEE
Certificates compliance and Agri-BEE funding information.
",None,40,45,45,"More agribusinesses requested support with BEE advisory services than anticipated

",,,,Noted ,,,None ,Noted.,Achieved as planned.,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 6: Agricultural Economic Services,Sub Programme 6.1: Production Economics and Marketing Support,Quarterly,Number of agri-businesses supported with marketing services,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",58,65,"More agri-businesses needed support with market services as they have more produce ready for the market. Furthermore, more agribusinesses are linked to the GNP market",Demand driven,69,"

73
","More agri-businesses needed support with market services as they have more produce ready for the market. Furthermore, more agribusinesses were linked to the GNP market",Demand driven,69,69,None,None,34,44 ,"More agribusinesses needed support with marketing services as they have more produce ready for the market furthermore, more farmers were supplying the GNP market",None,230,251,250,More agribusinesses needed support with marketing services as they had more produce which was ready for the marke,,,,Noted,,,Noted,Noted.,Achieved as planned.,,None ,202
"Agriculture, Forestry and Fisheries",Agriculture,Mpumalanga,Programme 6: Agricultural Economic Services,Sub Programme 6.1: Production Economics and Marketing Support,Quarterly,Number of clients supported with production economic services,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",500,510,More requests were received from clients on production economic services including those who needed assistance of Business Plans development,Demand driven,600,"
618","More requests were received from clients on production economic services.  The programme also hosted the marketing information capacity building workshops, resulting in more clients",Demand driven,600,"
606","More requests were received from clients on production economic services on various markets, food safety measure and Food Business Operator (FBO) codes and cooperatives registration",None,300,332 ,"More clients needed support on production economic services including those who needed assistance of business plan development, co-operative registration",None,2000,2066,2065,More clients requested support on production economic services market ,,,,Noted ,,,Noted,Noted.,Noted.,,None ,202
