Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,National_Q4,National_Q2,National_Q3,DesiredPerformance,UID
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 1: Administration,Sub Programme 1.4: Financial Management,Quarterly,Percentage of total procurement that targets businesses owned by Women,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",40 %,0 %,40 %,59 %,40 %,73 %,40 %,0 %,40 %,0 %,,,,,Actual achievement not provided,Increased selection of women owned businesses on the CSD for procurement of goods/services through the request for quotation process produced positive results.,None,,"Increased selection of Women owned businesses on the CSD for procurement of goods/services through the request for quotation process produced positive results
",none,Kindly provide Actual output upon approval ,No report received. The National Treasury is experiencing system technical issues which prevents the Departments (GPG) to access the reports,Treasury is still working on the issue of resolving the system glitches.,Unable to assess as preliminary report is not provided,Report not ready,To be submitted at the end of July,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 1: Administration,Sub Programme 1.4: Financial Management,Quarterly,Percentage of total procurement that targets businesses owned by Youth,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",30 %,0 %,30 %,31 %,30 %,50 %,30 %,0 %,30 %,0 %,,,,,Actual achievement not provided,Monitoring the quantity of request for quotations sourced from Youth owned businesses.,None,,"Monitoring the quantity of request for quotations sourced from Youth owned businesses.
",none,Kindly provide Actual output upon approval ,No report received. The National Treasury is experiencing system technical issues which prevents the Departments (GPG) to access the reports,Treasury is still working on the issue of resolving the system glitches.,Unable to assess as preliminary report is not provided,Report ready,To be submitted at the end of July,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 1: Administration,Sub Programme 1.4: Financial Management,Quarterly,Percentage procurement implemented through the open tender system,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",100 %,0 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,,,,,Actual achievement not provided,All tenders above the value of R2 million were completed through the open tender process.,none,,All tenders above the value of R2 million were completed through the open tender process,none,,All tenders above the value of R2 million were completed through the open tender process.,None,Unable to assess as preliminary report is not provided,report not ready,To be submitted at the end of July,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 1: Administration,Sub Programme 1.6 Special Projects,Quarterly,Percentage of Ntirhisano commitments  achieved,Non-Standardized,Max,Priority 2: Economic Transformation And Job Creation,"Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",90 %,96 %,90 %,96 %,90 %,100 %,90 %,100 %,90 %,100 %,,,,,,Five thousand six hundred and sixteen (5 620) cases were allocated to the Department to resolve since 2020 to date through CRM Dynamics. Five thousand three hundred and eighty (5 380) cases have been resolved.,None,,None,None ,,"All cases were resolved on CRM Dynamics as received
",none,,"Five thousand six hundred and sixteen (5 620) cases were allocated to GDARDE to resolve since 2020 to date through CRM Dynamics. Five thousand three hundred and eighty (5 380) cases have been resolved, two thousand and forty (240) cases are active.  ",none,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 1: Administration,Sub Programme 1.6 Special Projects,Quarterly,Percentage of Ntirhisano commitments achieved,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,"Economy, Jobs and Infrastructure ","The Social Protection, Community and Human Development cluster",80 %,,80 %,,80 %,100 %,80 %,100 %,80 %,100 %,,,,,,,,,"All cases were resolved on CRM Dynamics as received
",,Kindly provide Actual output upon approval ,"All cases were resolved on CRM Dynamics as received
",none,,,,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Annually,Number of agricultural infrastracture established,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,50,0,50,0,,All planned projects were halted as a result of the introduction of the new Beneficiary Holder Account Framework. ,"All planned projects have been reprioritized in terms of funding, with the CASP funding for infrastructure projects now being allocated under the Beneficiary Holder Account Framework",,,,,,,,,,,,,,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Quarterly,Number of agricultural infrastructure established,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,0,,0,,,,,,,,,,,,All planned projects were halted as a result of the introduction of the new Beneficiary Holder Account Framework. ,"All planned projects have been reprioritized in terms of funding, with the CASP funding for infrastructure projects now being allocated under the Beneficiary Holder Account Framework.",Unable to assess as preliminary report is not provided,,,,Reason for deviation noted. Internal processes must feed into DPME processes. It is important that performance is reported in time for the PDA to verify and quality assure prior to submitting to the DPME and oversight bodies ,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Annually,Number of hectares of cultivated land under Conservation Agriculture practices,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,106,,106,,Appointment of service providers and procurement of inputs including Legume grains,None,,,,,,,,,,,,,,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Quarterly,Number of green jobs created,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,100,0,450,25,100,25,650,50,,,,,,"Landcare had no adequate funds to execute conservation agriculture projects. National Grant Funds were transferred in the last month of Quarter 2 (September 2024) 
","Accelerated procurement plan is in place and procurement for land care has been  prioritized by SCM
",Actual outputs to be provided before finalisation of the report.,"Late appointment of service providers due to departmental challenges and risks which included, late approvals of business plans and late transfers of funds to the province, resulted into departmental projects being implemented later than was planned for.
","The Department will utilise the Landcare equitable shares to start the process of acquiring RFQs to fast-track service delivery.

",Kindly provide Actual output upon approval ,Inadequate and Late Appointment of Alien Plants EPWP Administration Service Providers for full implementation of the project, Future Appointment of service providers on time i.e. Quarter 2 2025/26,Unable to assess as preliminary report is not provided,report not ready,To be submitted at the end of the quarter,"Based on the APP, the indicator was not planned for in Q1.",Reason for deviation noted. Internal processes must feed into DPME processes. It is important that performance is reported in time for the PDA to verify and quality assure prior to submitting to the DPME and oversight bodies,"While we understand that there may be delays in finalising the report, it is essential that any challenges encountered are clearly articulated so that we can assess the situation and provide the necessary support. Without understanding the root causes, it becomes difficult to suggest corrective measures or to prevent future delays. Could the province please provide more detail on the specific challenges being faced, as well as the steps being taken to address them? Timely reporting is crucial for ensuring effective monitoring and decision-making. We encourage the province to expedite the completion of the report in the future, addressing any internal challenges that may be causing delays","While we understand that there may be delays in finalising the report, it is essential that any challenges encountered are clearly articulated so that we can assess the situation and provide the necessary support. Without understanding the root causes, it becomes difficult to suggest corrective measures or to prevent future delays. Could the province please provide more detail on the specific challenges being faced, as well as the steps being taken to address them? Timely reporting is crucial for ensuring effective monitoring and decision-making. We encourage the province to expedite the completion of the report in the future, addressing any internal challenges that may be causing delays",,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Quarterly,Number of hectares of agricultural land rehabilitated,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,350,0,700,0,400,190,1450,190,,,,,,"Landcare had no adequate funds to execute conservation agriculture projects. National Grant Funds were transferred in the last month of Quarter 2 (September 2024) 
y","Accelerated procurement plan is in place and procurement for land care has been  prioritized by SCM
",Actual outputs to be provided before finalisation of the report.,"Late appointment of service providers due to departmental challenges and risks which included, late approvals of business plans and late transfers of funds to the province, resulted into departmental projects being implemented later than was planned for.
","The Department will utilise the Landcare equitable shares to start the process of acquiring RFQs to fast-track service delivery.

",Kindly provide Actual output upon approval ,Inadequate and Late Appointment of Alien Plants EPWP Administration Service Providers for full implementation of the project,Future Appointment of service providers on time i.e. Quarter 2 2025/26,Unable to assess as preliminary report is not provided,Report not ready,To be submitted at the end of the quarter,"Based on the APP, the indicator was not planned for in Q1. ",Reason for deviation noted. Internal processes must feed into DPME processes. It is important that performance is reported in time for the PDA to verify and quality assure prior to submitting to the DPME and oversight bodies,"While we understand that there may be delays in finalising the report, it is essential that any challenges encountered are clearly articulated so that we can assess the situation and provide the necessary support. Without understanding the root causes, it becomes difficult to suggest corrective measures or to prevent future delays. Could the province please provide more detail on the specific challenges being faced, as well as the steps being taken to address them? Timely reporting is crucial for ensuring effective monitoring and decision-making. We encourage the province to expedite the completion of the report in the future, addressing any internal challenges that may be causing delays","While we understand that there may be delays in finalising the report, it is essential that any challenges encountered are clearly articulated so that we can assess the situation and provide the necessary support. Without understanding the root causes, it becomes difficult to suggest corrective measures or to prevent future delays. Could the province please provide more detail on the specific challenges being faced, as well as the steps being taken to address them? Timely reporting is crucial for ensuring effective monitoring and decision-making. We encourage the province to expedite the completion of the report in the future, addressing any internal challenges that may be causing delays",,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Quarterly,Number of hectares of cultivated land under conservation agriculture practices,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Integrated Human Settlements, Basic Services and Land Release","The Economic Sectors, Employment and Infrastructure Development cluster",0,0,20,0,40,30,40,106,100,106,,,,,,"Landcare had no adequate funds to execute conservation agriculture projects. National Grant Funds were transferred in the last month of Quarter 2 (September 2024) 
","Accelerated procurement plan is in place and procurement for land care has been  prioritized by SCM
",Actual outputs to be provided before finalisation of the report.,"Late appointment of service providers due to departmental challenges and risks which included, late approvals of business plans and late transfers of funds to the province, resulted into departmental projects being implemented later than was planned for.
","The Department will utilise the Landcare equitable shares to start the process of acquiring RFQs to fast-track service delivery.

",Kindly provide Actual output upon approval ,Appointment of service providers and procurement of inputs including Legume grains,None,Unable to assess as preliminary report is not provided,report ready,To be submitted at the end of the quarter,"Based on the APP, the indicator was not planned for in Q1.",Reason for deviation noted. Internal processes must feed into DPME processes. It is important that performance is reported in time for the PDA to verify and quality assure prior to submitting to the DPME and oversight bodies,"While we understand that there may be delays in finalising the report, it is essential that any challenges encountered are clearly articulated so that we can assess the situation and provide the necessary support. Without understanding the root causes, it becomes difficult to suggest corrective measures or to prevent future delays. Could the province please provide more detail on the specific challenges being faced, as well as the steps being taken to address them? Timely reporting is crucial for ensuring effective monitoring and decision-making. We encourage the province to expedite the completion of the report in the future, addressing any internal challenges that may be causing delays","While we understand that there may be delays in finalising the report, it is essential that any challenges encountered are clearly articulated so that we can assess the situation and provide the necessary support. Without understanding the root causes, it becomes difficult to suggest corrective measures or to prevent future delays. Could the province please provide more detail on the specific challenges being faced, as well as the steps being taken to address them? Timely reporting is crucial for ensuring effective monitoring and decision-making. We encourage the province to expedite the completion of the report in the future, addressing any internal challenges that may be causing delays",,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.3: Land Use Management,Annually,Number of agro-ecosystem management plans developed,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,,None,None,,,,,,,,,,,,,,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.3: Land Use Management,Quarterly,Number of farm management plans developed,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",30,43,30,53,30,30,30,31,120,157,,,,,,Request from farmers and other government institutions enabled the overachievement of the quarter target.,None.,,None.,None.,,Request from farmers and other government institutions enabled the overachievement of the quarter target.,None,Unable to assess as preliminary report is not provided,"Requests from
farmers and other government
institutions enabled the overachievement of the target.",None.,43% over achievement. Reason for deviation noted. A corrective action must be provided,Reason for deviation noted. Internal processes must feed into DPME processes. It is important that performance is reported in time for the PDA to verify and quality assure prior to submitting to the DPME and oversight bodies,noted. ,Noted ,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.4: Disaster Risk Reduction,Annually,Default,Not Applicable,Not  Applicable,Not Applicable,-,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.4: Disaster Risk Reduction,Annually,Number of Disaster Relief Schemes managed,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,,None,None,,,,,,,,,,,,,,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.4: Disaster Risk Reduction,Quarterly,Number of awareness campaigns on disaster risk reduction conducted,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,4,4,,,,,,1 awareness campaign on disaster risk reduction was conducted.,None.,,None.,None.,"Kindly provide Actual output upon approval

This reason for deviation is internal focused. ",None,None,Unable to assess as preliminary report is not provided,None.,None.,None ,Reason for deviation noted. Internal processes must feed into DPME processes. It is important that performance is reported in time for the PDA to verify and quality assure prior to submitting to the DPME and oversight bodies,Noted,"Noted. it is advisable that internal systems should be aligned to DPME reporting system, to ensure that internal Quality Assurance processes are undertaken, prior to reporting to the DPME system ",,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.4: Disaster Risk Reduction,Quarterly,Number of surveys on uptake for early warning information conducted,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,1,1,1,1,1,4,4,,,,,,1 survey on uptake for early warning information was conducted.,None.,Actual output not provided ,None.,None.,"Kindly provide Actual output upon approval

This reason for deviation is internal focused. ",None,None,Unable to assess as preliminary report is not provided,None.,None.,None ,Reason for deviation noted. Internal processes must feed into DPME processes. It is important that performance is reported in time for the PDA to verify and quality assure prior to submitting to the DPME and oversight bodies,"The actual achievement as reported under the 'reason for deviation', is not captured under 'actual output' ","Noted. it is advisable that internal systems should be aligned to DPME reporting system, to ensure that internal Quality Assurance processes are undertaken, prior to reporting to the DPME system ",,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Annually,Number of producers supported in the Citrus Commodity,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Economy, Jobs and Infrastructure ","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,6,0,6,0,,There were no applications received under citrus production in this financial year.,Citrus producers will be encouraged to apply for support.,,,,,,,,,,,,,,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Annually,Number of smallholder producers commercialised (reaching an annual net income that exceeds R 1m),Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Safety, Social Cohesion and Food Security","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,20,0,20,0,,The Department is not responsible for this indicator ,Not applicable,,,,,,,,,,,,,,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of hectares planted for food production,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Safety, Social Cohesion and Food Security","The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,0,2500,2670,1700,3 693,4200,6363,,,,,,The performance indicator will report in Q3.,None.,,"Farmers supported with maize and soya seeds were able to plough on more hectares than was targeted for.
",None.,Kindly provide Actual output upon approval ,Good rains experienced in January enabled farmers supported with grain production inputs to plant on more hectares than anticipated.,None,Unable to assess as preliminary report is not provided,,,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of producers supported in the Citrus Commodity,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,0,0,0,6,0,6,0,,,,,,The performance indicator will report in Q4.,None.,,The performance indicator will report in Q4.,None.,,There were no applications received under citrus production in this financial year.,Citrus producers will be encouraged to apply for support.,Unable to assess as preliminary report is not provided,,,None ,Reason for deviation noted. Internal processes must feed into DPME processes. It is important that performance is reported in time for the PDA to verify and quality assure prior to submitting to the DPME and oversight bodies ,Noted ,Noted ,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of producers supported in the Cotton Commodity,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,,0,,0,0,0,0,,,,,,,,,,,,The department is the responsible for this indicator.,Not applicable,Unable to assess as preliminary report is not provided,,,,,None,None.,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of producers supported in the Grain Commodity,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,0,0,42,61,20,1,62,62,,,,,,The performance indicator will report in Q3.,None.,,"The appointed service providers were able to deliver grain production inputs to more producers. This enabled the overachievement of the quarterly target
",None.,Kindly provide Actual output upon approval ,Most grain producers were supported with grain production inputs in Q3.,"None, the annual target has already been achieved.",Unable to assess as preliminary report is not provided,,,None ,Reason for deviation noted. Internal processes must feed into DPME processes. It is important that performance is reported in time for the PDA to verify and quality assure prior to submitting to the DPME and oversight bodies ,Noted ,"Noted. it is advisable that internal systems should be aligned to DPME reporting system, to ensure that internal Quality Assurance processes are undertaken, prior to reporting to the DPME system.",,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of producers supported in the Red Meat Commodity,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,5,0,7,0,8,8,20,8,,,,,,Delays with the approval for constructing cattle handling facilities for red meat producers by DALRRD.,The approved Departmental rollover flowing from the previous financial year will be used to effect payment of the appointed service provider. ,,"Delays with the procurement of the required services in support of the red meat producers.
","The approved Departmental rollover flowing from the previous financial year, will be used to effect payment of the appointed service provider. Delivery to the approved producers is underway, supported red meat producers will be reported in quarter 4.

",Kindly provide Actual output upon approval ,None,None,Unable to assess as preliminary report is not provided,,,None ,Reason for deviation noted. Internal processes must feed into DPME processes. It is important that performance is reported in time for the PDA to verify and quality assure prior to submitting to the DPME and oversight bodies ,Noted ,"Noted. it is advisable that internal systems should be aligned to DPME reporting system, to ensure that internal Quality Assurance processes are undertaken, prior to reporting to the DPME system.",,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of smallholder producers supported to produce food in Sedibeng and West Rand,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Safety, Social Cohesion and Food Security","The Economic Sectors, Employment and Infrastructure Development cluster",3,0,8,28,30,45,31,23,72,96,,,,,,Timely delivery of vegetable and piggery production inputs enabled the overachievement of the quarter target.,None.,,"Timely delivery of vegetable, grain and piggery production inputs enabled the achievement of the quarter target.
",None.,Kindly provide Actual output upon approval ,More producers were supported in Q2 and Q3. ,"None, the annual target  has already been achieved and exceeded to date. ",Unable to assess as preliminary report is not provided,"The Departmental internal processes took long to finalise the CASP/Ilima business plans, resulting into the business plans being approved late with regards to smallholder producers supported.","An acceleration plan has been effected by the Department towards ensuring the approval of 1st trance payments and implementation in the 2nd Quarter of the 2024-2025 financial year.  To date, the business plans have been approved and support to smallholder producers will begin in Q2.",,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of women producers supported,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Safety, Social Cohesion and Food Security","The Economic Sectors, Employment and Infrastructure Development cluster",5,0,15,15,15,19,25,18,60,52,,,,,,15 women producers were supported.,None.,,"Timely delivery of vegetable, grain and piggery production inputs enabled the achievement of the quarterly target
",None.,Kindly provide Actual output upon approval ,"Following the business plan approval processes, the number of farmers approved to be supported was lower than the set APP target.",Alignment of the APP target with the business plan.,Unable to assess as preliminary report is not provided,"The Departmental internal processes took long to finalise the CASP/Ilima business plans, resulting into the business plans being approved late with regards to women producers supported.","An acceleration plan has been effected by the Department towards ensuring the approval of 1st trance payments in the 2nd Quarter of the 2024-2025 financial year.  To date, the business plans have been approved and support to women producers will begin in Q2.",,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.2: Extension and Advisory Services,Annually,Number of youth trained in food production programmes as part of the rehabilitation programmes,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Safety, Social Cohesion and Food Security","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2000,988,2000,988,,Less interest from the youth to participate in food production programmes as part of the rehabilitation programmes facilitated by Gauteng Department of Social Development.,"The indicator is not applicable in 2025/2026 financial year and beyond. Therefore, no corrective measure will be required.",,,,,,,,,,,,,,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.2: Extension and Advisory Services,Quarterly,Number of capacity building activities conducted for smallholder producers,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Safety, Social Cohesion and Food Security","The Economic Sectors, Employment and Infrastructure Development cluster",380,591,420,664,420,555,380,422,1600,2232,,,,,,"The capacity building activities were conducted through technical advisory services, demonstration sessions and training on herd health, winter vaccination, beetroot and kale production, crop insurance, egg production, basic vegetable production, cattle summer licks and supplements enabled the overachievement of the quarter target.",None.,,"The provision of technical advisory services, study groups, demonstration sessions and farmers' days. Focusing on trellising and pruning of tomatoes, food safety, record keeping, soil classification and fertilizer application, vegetable production, piggery management, biosecurity, vaccination basic vegetable production and principles of pig management enabled the overachievement of quarter target.

",None.,,"Provision of technical advisory services, study groups and training on basic pig production management, tomatoes production practices, agricultural disaster risk management, preservation of animal feeds and vegetable production enabled the overachievement of the quarter target. ",None,Unable to assess as preliminary report is not provided,"Technical advisory services, study group sessions, farmers' day, demonstration sessions and training on bookkeeping, garlic production and poultry nutrition enabled the overachievement of the quarter target.",None.,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.2: Extension and Advisory Services,Quarterly,Number of capacity building activities conducted for smallholder producers to be commercialised,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Safety, Social Cohesion and Food Security","The Economic Sectors, Employment and Infrastructure Development cluster",20,24,20,37,20,30,20,20,80,111,,,,,,"The capacity building activities were conducted through technical advisory services, demonstration sessions and training on herd health, winter vaccination, beetroot and kale production, crop insurance, egg production, basic vegetable production, cattle summer licks and supplements enabled the overachievement of the quarter target.",None.,,"The provision of technical advisory services enabled the overachievement of the quarterly target.

",None.,,None,None,Unable to assess as preliminary report is not provided,"Technical advisory services, study groups sessions, farmers' day, demonstration sessions and training on bookkepping, garlic production and poultry nutrition enabled the overachievement of the quarter target.",None.,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.2: Extension and Advisory Services,Quarterly,Number of participants trained in skills  development programmes in the sector,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Education, Skills Revolution and Health ","The Social Protection, Community and Human Development cluster",150,270,220,349,220,225,190,194,780,1038,,,,,,"Training on pest management, use of chemicals in vegetable production, mixed farming, financial management, pig management beef production and water saving technology amongst others enabled the overachievement of the quarter target.",None.,,"Training and demonstration on risk financial management, business management, marketing, physical records management, breeding stock, parent stock management, plant health, business plan development, record keeping, filing and hemp planting enabled the overachievement of the quarter target.

",None.,,"Training on layer and broiler production, integrated DNA technology in agriculture livestock system, animal production, poultry production, grain (maize) production, managing genetics, financial management and hemp production harvesting techniques enabled the overachievement of the quarter target.",None,Unable to assess as preliminary report is not provided,"Training and demonstration potatoes harvest, basic vegetable production, financial management, livestock record keeping, and veld assessment and layer production management enabled the overachievement of the quarter target.",None.,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.3: Food Security,Annually,NUmber of Horticulture production hubs established,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Safety, Social Cohesion and Food Security","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,0,1,0,,Number of Horticulture,The Department to provide budget in the next financial year to implement this indicator.,,,,,,,,,,,,,,,,,,,191
"Agriculture, Forestry and Fisheries",Agriculture,Gauteng,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.3: Food Security,Annually,NUmber of school food gardens supported,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","Safety, Social Cohesion and Food Security","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,200,142,200,142,,Quarter target could not be achieved due to budget cuts,The Department to provide budget in the next financial year.,,,,,,,,,,,,,,,,,,,191
