Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing",Cooperatives Development,Annually,7.2.1 Percentage of AgriBEE Fund applications assessed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,100% of AgriBEE Fund applications assessed,,100%,N/A,N/A,100%,,,,,,,,,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing",Cooperatives Development,Annually,7.2.1 Percentage of AgriBEE Fund applications assessed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing",Cooperatives Development,Quarterly,7.1.1 Number of agricultural cooperatives trained (Farmtogether Agricultural Cooperative Training Programme),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",24,24,36,":36 = MP(6), LP(6), NW(6), FS(6), WC(6), GP(6) 
",36,"36 
MP (6), KZN (6), EC (6), FS (6), NC (6), GP (6) 
",12,12,108,24,108,N/A,N/A,108,N/A,N/A,NA,NA,N/A,N/A,N/A,N/A,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing",Cooperatives Development,Quarterly,7.4.2 Number of non-agricultural enterprises supported,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",4,4,6,"4 = KNZ(2), EC(1), FS(1) 
",4,"
 
8 
 KZN (1), EC (3), FS (2), NW (1), WC (1)

 ",4,4,18,4,21,Savings as a result of reprioritisation led to additional enterprises being supported.,N/A,21,N/A,N/A,"Delays in procurement process
",Management will implement measures to expedite the process,"Due to budget limitation in Q2, the work was re-prioritized and implemented in Q3.
",N/A,N/A,N/A,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing",Development Finance,Quarterly,7.5.1 Number of smallholder producers accessing MAFISA loan,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",10,25,10," 10
",5,"

13

",10,12,35,12,38,"MAFISA is demand driven, more smallholder farmers applied for the loan.",N/A,58,"MAFISA is demand driven, more smallholder farmers applied for the loan",N/A,"N/A
","N/A
","Due to favorable rainfall in KZN, there was high demand for the loans to plant
",N/A,"Due to favourable rainfall, there was high demand for the loans to plant",N/A,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing",International Relations and Trade,Annually,7.7.1 Number of trade agreements implemented,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"International Cooperation, Trade and Security cluster",,,,,,,,,6,,6,N/A,N/A,6,,,,,,,,,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing",International Relations and Trade,Annually,7.7.2 Number of trade agreements negotiated,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"International Cooperation, Trade and Security cluster",,,,,,,,,5,,5,N/A,N/A,5,,,,,,,,,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing",International Relations and Trade,Annually,7.8.1 Number of multilateral commitments implemented,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"International Cooperation, Trade and Security cluster",,,,,,,,,6,,6,N/A,N/A,6,,,,,,,,,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing",International Relations and Trade,Annually,7.8.2 Bilateral agreements implemented (a),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,Status report on bilateral engagements (South-South and North-South),,Status report on bilateral engagements was compiled ( South-South and North-South),N/A,N/A,Status report on bilateral engagements was compiled ( South-South and North-South),,,,,,,,,198
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing",International Relations and Trade,Annually,7.8.2 Bilateral agreements implemented (b),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,Status report on bilateral engagements in Africa,,Status report on bilateral engagements in Africa was compiled,N/A,N/A,Status report on bilateral engagements in Africa was compiled,,,,,,,,,198
,"Agriculture, Land Reform and Rural Development",National,Programme 6: Land Administration,Deeds Registration,Quarterly,8.1.1 Percentage of deeds made available within seven days from lodgement for execution,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","The Economic Sectors, Employment and Infrastructure Development cluster",95 %,83 %,95 %,89 %,95 %,98 %,95 %,99 %,95 %,99 %,92,High lodgement  in Cape Town Deeds office impacted on the attainment of the set target. ,"SOP 1/2008 implemented for CPT office. 
Close monitoring of daily lodgement.",92,Closure of Pretoria Deeds Office due to office relocation and challenge with volumes that are still in boxes due to lack of office space are reasons that impacted highly on the non-achievement of the target during the period under review.,"Implement catch-up plans in offices that 
didn’t meet the target.  Sourcing of the outside storage

","Work backlog due office closure affected by chemical impact and taxi strikes (4-10 Aug 2023)
",Backlogs were reduced by limiting tasks for the day to either capturing or verification in succession,"Low lodgements
",N/A,"Low lodgements encountered during this period that led to execution of more deeds made available 
",N/A,198
