Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,DesiredPerformance,OTP_Summary,UID
Environmental Affairs,Environmental Affairs,Western Cape,Programme 4: Environmental Quality Management,Sub Programme 4.3:	Pollution and Waste Management,Annually,4.3.3 Number of waste management planning intervention(s) undertaken,Non-Standardized,Not  Applicable,Not Applicable,"Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 4: Environmental Quality Management,Sub Programme 4.3:	Pollution and Waste Management,Annually,4.3.4 Report on the State of Waste Management,Non-Standardized,Not  Applicable,Not Applicable,"Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 4: Environmental Quality Management,Sub Programme 4.3:	Pollution and Waste Management,Annually,4.3.6 Number of river and estuarine sites monitored in respect of pollution control,Non-Standardized,Not  Applicable,Not Applicable,VIP 2: Growth and Jobs,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,42,42,42,42,42,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 4: Environmental Quality Management,Sub Programme 4.3:	Pollution and Waste Management,Annually,4.3.7 Number of proactive inspections in respect of pollution control,Non-Standardized,Not  Applicable,Not Applicable,"Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,5,5,5,5,5,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 4: Environmental Quality Management,Sub Programme 4.3:	Pollution and Waste Management,Annually,4.3.8 Number of closure letters issued in respect of section 30 cases,Non-Standardized,Not  Applicable,Not Applicable,"Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,4,11,4,11,11,"This APP deliverable is demand-driven, so the number of incidents reported to the Department cannot be predicted.",N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 4: Environmental Quality Management,Sub Programme 4.3:	Pollution and Waste Management,Annually,4.3.9 Number of decisions issued in respect of contaminated land cases,Non-Standardized,Not  Applicable,Not Applicable,"Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,4,9,4,9,9,"This APP deliverable is demand-driven, so the number of decisions issued for PART 8 reported to the Department cannot be predicted.  ",N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 4: Environmental Quality Management,Sub Programme 4.3:	Pollution and Waste Management,Quarterly,4.3.5 Percentage of complete waste licence applications finalized within legislated timeframes,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",95 %,100 %,95 %,100 %,95 %,100 %,95 %,80 %,95 %,380 %,97,This is a demand driven indicator.   ,N/A,,"Five waste management licenses were finalised, and all were within timeframe.",N/A,PDO notes the overachievement and reason for deviation provided no corrective action is required. ,"The province is on target for Q2 and has achieved the target for the quarter
","Seven waste management licenses were finalised, and all were within timeframe.",N/A,The PDO notes that the target was over achieved and reason for deviation was provided. ,"The province is above Q2 target and has achieved by exceeding the target for the quarter 
","Thirteen waste management licenses were finalised, and all were within timeframe.",N/A,"PDO notes that the indicator was overachieved, target was 95% and achieved 100. Reason for deviation was provided, no corrective action needed.  ","The province is above Q3 target and has achieved by exceeding the target for the quarter 
","Five waste management licenses were finalised, and four were within timeframe.  Due to the delay in receiving the required ROD (Record of Decision) from the Department of Water and Sanitation, one license was finalised outside of timeframe.",N/A,,"The province is below Q4 target and has not achieved the annual target  
",,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 4: Environmental Quality Management,Sub-Programme 4.1: Impact Management,Annually,4.1.1 Number of Provincial Environmental Impact Management System evaluation reports,Non-Standardized,Not  Applicable,Not Applicable,"Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,N/A,N/A,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 4: Environmental Quality Management,Sub-Programme 4.1: Impact Management,Annually,4.1.3 Percentage of Environmental Impact Assessment (EIA) non-applications timeously responded to ,Non-Standardized,Not  Applicable,Not Applicable,"Enable a resilient, sustainable, quality and inclusive living environment","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,95 %,,95 %,,,,,,,,,,,,,,,,,,,,,,,,201
Environmental Affairs,Environmental Affairs,Western Cape,Programme 4: Environmental Quality Management,Sub-Programme 4.1: Impact Management,Quarterly,4.1.2 Percentage of complete Environmental Impact Assessment (EIA) applications finalized within legislated timeframes,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Increase wellness, safety and tackle social ills","The Economic Sectors, Employment and Infrastructure Development cluster",100 %,98 %,100 %,100 %,100 %,94 %,100 %,96 %,100 %,388 %,97,Inadequate staffing has resulted in operational challenges., The Department is in the process of recruiting contract staff for a 24-month period as part of a PID project. Appointment of this staff would ease the burden of the current staff capacity constraints ,,"61 EIA Applications were finalised of which 60 were finalised within timeframe. 

Due to capacity constraints an EIA timeframe was missed.",The Department is in the process of recruiting contract staff for a 24-month period as part of a PID project. Appointment of this staff would ease the burden of the current staff capacity constraints.,,"The province is below Q1 target and has not achieved the target for the quarter 
","74 EIA Applications were finalised, and all were finalised within timeframe.",N/A,PDO notes that the target has been achieved no reason for deviation or corrective action is required. ,"The province is on target for Q2 and has achieved the target for the quarter
",49 EIA Applications were finalised of which 46 were finalised within timeframe.,The Department is in the process of recruiting contract staff for a 24-month period as part of a PID project. Appointment of this staff would ease the burden of the current staff capacity constraints.,PDO notes the underperformance of the indicator where target was 100% and Department achieved  94% Reason for deviation and corrective action is provided. ,Target not achieved  : reasons for deviation to reflect information of staff complaints below by ed of January 2025.,70 EIA Applications were finalized of which 67 were finalized within timeframe.,The Department is in the process of recruiting contract staff for a 24-month period as part of a PID project. Appointment of this staff would ease the burden of the current staff capacity constraints.,"PDO notes that the target was under achieved, reason for deviation and corrective action is provided. ","The province is below Q4 target and has not achieved the annual target  
",,,201
