Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,OTP_Q3,National_Q1,National_Q2,National_Q3,National_Q4,OTP_Q4,OTP_Q1,UID
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Quarterly,Number of community- based plans developed,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",43,45,Collaboration with other stakeholders in conducting outreach programmes warranted for additional community based plans to be developed to inform stakeholder’s plans for interventions.,None,118,123,Overachievement is due to mayoral outreach programme at Tswaing ward 4 in order to accelerate service delivery and special request to conduct Community profiling from Mahikeng Service Point.,N/A,,191,192,-	Additional 1 Community Based Plan was achieved by Naledi Service Point as a result of Thuntsa Lerole in Monoto Mosetlha which was not targeted.,None,260,260,None,None,260,260,260,None,None,,,"The same comment as above applies, submission is noted.",Performance is noted with overachievement reported for this indicator.,Targeted output achieved.,Targeted output is achieved for this indicator.,,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.5:	Community Based Research and Planning,Quarterly,Number of households profiled,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",280,306,Additional HHs were identified during Mayoral Imbizos and Thuntsa lerole programmes had to be profiled to access SRD service for immediate intervention.,None,3055,3201,Overachievement is due to Mafikeng Service point receiving Tswaing mayoral  request to conduct household profiling in order to accelerate service delivery in ward 4.,N/A,,4570,4 716,-	Additional profiling was conducted as per distribution of food parcels for Thuntsa Lerole Campaign,None,5320,5394,Additional households were identified during Mayoral Imbizos and Thuntsa Lerole programmes had to be profiled to access SRD service for immediate intervention.,None,5320,5394,5394,Additional households were identified during Mayoral Imbizos and Thuntsa Lerole programmes had to be profiled to access SRD service for immediate intervention.,,,,Overachievement is noted.,Performance is noted with overachievement reported for this indicator.,Performance is noted for this indicator with overachievement reported.,Overachievement for this indicator is noted with reason for deviation reported.,,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.6:	Youth development,Annually,Number of youth participating in skills development programmes,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",2. Tackling Unemployment (2019-2024),"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,1200,0,,,1200,0,0,NDA not able to provide service on time as per signed MOU.,Strengthen collaboration with NDA.,,,,,,,,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.6:	Youth development,Quarterly,Number of youth development structures supported,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",105,98,Reasons for under performance is due to the decline in membership of the youth structures,The youth development structures to be revised,105,105,N/A,N/A,,105,105,None,None,105,105,None,None,105,105,105,None,None,,,Targeted output is underachieved.,Targeted output is achieved for this indicator.,Underachievement with reason for deviation reported for this indicator.,Targeted output is achieved for this indicator. ,,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.6:	Youth development,Quarterly,Number of youth participating in youth mobilisation programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",4210,4245,Overachievement is due to increased need for services during the month of June.,None,3835,4033,Increased demand for youth service especially during Thuntsha Lerole Programme,N/A,,2615,2 700,-	Increased demands for youth services,None,2895,3234,Intensified participation in programmes such as Thuntsha Lerole ,None,13555,14212,14212,Intensified participation in programmes such as Thuntsha Lerole ,None,,,Overachievement is noted with reason for deviation reported.,Performance is noted with overachievement reported for this indicator.,Performance is noted for this indicator with overachievement reported.,Overachievement for this indicator is noted with reason for deviation reported.,,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.7:	Women development,Quarterly,Number of women participating in empowerment programmes,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",70,72,Overachievement is due to collaboration with NDSD and partnership with Hydro foam and SEDA Ratlou,None,383,576,"Intensified resource mobilisation during Cooperative Lekgotla, Pop-up market in Dr RSM and women dialogue conducted.",N/A,,207,284,"Due to interdepartmental collaboration, training facilitated on pop up market etiquette and access to market for women in Cooperatives and SMMEs .",None,97,142,"Interdepartmental collaboration, training facilitated on pop up market etiquette and access to market for women in Cooperatives and SMMEs",None,757,1074,1074,"Interdepartmental collaboration, training facilitated on pop up market etiquette and access to market for women in Cooperatives and SMMEs",None,,,Overachievement is noted.,Performance is noted with overachievement reported for this indicator.,Performance is noted for this indicator with overachievement reported.,Overachievement for this indicator is noted with reason for deviation and corrective action reported.,,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.8:	Population Policy Promotion,Annually,Number of demographic profiles completed,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,4,4,,,4,4,4,None,None,,,,,,,,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.8:	Population Policy Promotion,Annually,Number of Population Policy assessment reports produced,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,1,1,,,1,1,1,None,None,,,,,,,,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.8:	Population Policy Promotion,Annually,Number of research projects completed,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,Provision of quality Health Care Services (especially opening hrs of clinics,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,1,1,,,1,1,1,None,None,,,,,,,,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.8:	Population Policy Promotion,Quarterly,Number of population advocacy sessions conducted,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",7,7,None,None,8,8,N/A,N/A,,8,8,None,None,4,4,None,None,27,4,27,None,None,,,Targeted output is achieved for this indicator.,Targeted output is achieved for this indicator.,Targeted output achieved.,Targeted output is achieved for this indicator.,,,61
Social Development,Social Development,North West,Programme 5: Development and Research,Sub Programme 5.8:	Population Policy Promotion,Quarterly,Number of population capacity development sessions conducted,Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,2. Tackling Unemployment (2019-2024),"The Social Protection, Community and Human Development cluster",0,,,,2,2,N/A,N/A,,1,1,None,None,1,1,None,None,4,4,4,None,None,,,,Targeted output is achieved for this indicator.,Targeted output achieved.,Targeted output is achieved for this indicator.,,,61
